Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2014-08-27,6.22,42900,3.9(10.00 %),22100,948090000,0,0,42900,42900,42900
2014-08-28,6.83,45900,4.2(9.79 %),34603,1629801344,0,0,45900,45900,45900
2014-08-29,6.85,47200,0.1(0.21 %),27929,1398412200,0,0,50400,50400,43800
2014-09-03,6.47,44600,-2.6(-5.51 %),7700,369450000,0,0,45200,50000,44100
2014-09-04,5.83,41500,-4.4(-9.87 %),4251,171902600,0,0,44600,44600,41500
2014-09-05,5.29,37400,-3.7(-9.20 %),16729,610829000,0,0,37400,40200,37400
2014-09-08,5.66,39000,2.5(6.85 %),400,15170000,0,0,36700,39000,36700
2014-09-09,5.61,38700,-0.3(-0.77 %),7900,291820000,0,0,37000,38700,36700
2014-09-10,5.12,36000,-3.4(-8.79 %),4500,159220000,0,0,36000,36000,36000
2014-09-11,5.08,35000,-0.3(-0.85 %),2500,86650000,0,0,35000,35000,34500
2014-09-12,4.86,33500,-1.5(-4.29 %),900,30640000,0,0,34500,34500,33500
2014-09-15,5.31,35850,3.1(9.25 %),6000,203360000,0,0,34300,35850,33200
2014-09-16,4.93,34050,-2.6(-7.10 %),1200,40800000,0,0,34050,34050,34050
2014-09-17,5.08,35000,1(2.94 %),1000,34850000,0,0,34100,36000,34100
2014-09-18,5.29,36500,1.5(4.29 %),2200,79320000,0,0,36000,36500,35000
2014-09-19,5.44,37500,1(2.74 %),12400,457830000,0,0,36500,37500,36500
2014-09-22,5.58,38500,1(2.67 %),13200,501800000,0,0,37000,39500,37000
2014-09-23,5.51,38000,-0.5(-1.30 %),7600,286000000,0,0,37900,38200,37100
2014-09-24,5.58,38500,0.5(1.32 %),2500,95670000,0,0,38000,38500,38000
2014-09-25,5.48,37800,-0.7(-1.82 %),3500,132670000,0,0,38800,38800,37700
2014-09-26,5.47,37700,-0.1(-0.26 %),6300,239360000,0,0,38000,38200,37100
2014-09-29,5.51,38000,0.3(0.80 %),6400,242130000,0,0,37900,38000,37700
2014-09-30,5.44,37500,-0.5(-1.32 %),900,34030000,0,0,37900,37900,37500
2014-10-01,5.5,37900,0.4(1.07 %),6800,257720000,49,1656000,37900,37900,37900
2014-10-02,5.44,37500,-0.4(-1.06 %),7000,261190000,0,0,37900,37900,37000
2014-10-03,5.44,37500,0(0.00 %),8100,303850000,0,0,37500,37900,37400
2014-10-06,5.38,37100,-0.4(-1.07 %),3800,141480000,0,0,37300,37300,37100
2014-10-07,5.31,36600,-0.5(-1.35 %),600,22040000,0,0,36800,36800,36600
2014-10-08,5.29,36500,-0.1(-0.27 %),300,10950000,0,0,36500,36500,36500
2014-10-09,5.29,36500,0(0.00 %),2400,87600000,0,0,36500,36500,36500
2014-10-10,5.22,36000,-0.5(-1.37 %),2700,97240000,0,0,36000,36100,36000
2014-10-13,5.22,36000,0(0.00 %),600,21600000,0,0,36000,36000,36000
2014-10-14,5.22,36000,0(0.00 %),2700,97230000,0,0,38500,38500,35500
2014-10-15,5.09,35100,-0.9(-2.50 %),5100,180040000,0,0,36000,36000,35000
