Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2015-08-04,4.96,53500,-4(-6.96 %),9220,522000000,100000,5350000000,57500,58000,53500
2015-08-05,5.1,55000,1.5(2.80 %),19420,1038000000,0,0,55000,55000,53000
2015-08-06,4.77,51500,-3.5(-6.36 %),23650,1233000000,0,0,53500,53500,51500
2015-08-07,4.44,47900,-3.6(-6.99 %),23890,1146000000,0,0,47900,51500,47900
2015-08-10,4.73,51000,3.1(6.47 %),11530,578000000,0,0,47900,51000,47900
2015-08-11,4.5,48500,-2.5(-4.90 %),22830,1186000000,0,0,51500,53500,48500
2015-08-12,4.45,48000,-0.5(-1.03 %),25000,1191000000,0,0,48600,49500,47000
2015-08-13,4.53,48900,0.9(1.88 %),14720,700000000,0,0,48000,49000,45900
2015-08-14,4.52,48800,-0.1(-0.20 %),3570,170000000,0,0,47500,48900,47300
2015-08-17,4.49,48400,-0.4(-0.82 %),49820,2374000000,0,0,46600,48600,46600
2015-08-18,4.45,48000,-0.4(-0.83 %),47070,2256000000,0,0,47900,48200,47600
2015-08-19,4.49,48400,0.4(0.83 %),25460,1229000000,0,0,48000,48900,47900
2015-08-20,4.54,49000,0.6(1.24 %),102480,4941000000,0,0,48600,49000,47200
2015-08-21,4.61,49700,0.7(1.43 %),104370,5117000000,0,0,49000,49900,48200
2015-08-24,4.51,48700,-1(-2.01 %),48760,2360000000,0,0,48700,48700,47800
2015-08-25,4.41,47600,-1.1(-2.26 %),75340,3620000000,55000,2783000000,49200,49200,46000
2015-08-26,4.42,47700,0.1(0.21 %),105380,4964000000,55000,2722500000,48300,48300,46000
2015-08-27,4.34,46800,-0.9(-1.89 %),20510,966000000,0,0,47700,47900,46800
2015-08-28,4.3,46400,-0.4(-0.85 %),49470,2324000000,0,0,47900,47900,46300
2015-08-31,4.31,46500,0.1(0.22 %),63050,2916000000,0,0,47100,47100,46000
2015-09-01,4.31,46500,0(0.00 %),64670,3021000000,0,0,47000,47200,46200
2015-09-03,4.29,46300,-0.2(-0.43 %),105250,4844000000,0,0,46700,46700,45600
2015-09-04,4.23,45600,-0.7(-1.51 %),16340,755000000,0,0,46600,46600,45600
2015-09-07,4.23,45600,0(0.00 %),82270,3755000000,0,0,45700,45700,45000
2015-09-08,4.2,45300,-0.3(-0.66 %),57180,2589000000,0,0,45300,45500,45000
2015-09-09,4.16,44900,-0.4(-0.88 %),59660,2696000000,0,0,45500,45500,44900
2015-09-10,4.16,44900,0(0.00 %),60240,2705000000,126430,5689350000,45000,45000,44800
2015-09-11,4.16,44900,0(0.00 %),17410,782000000,0,0,44900,45000,44800
2015-09-14,4.16,44900,0(0.00 %),69820,3175000000,0,0,44900,45900,44800
2015-09-15,4.15,44800,-0.1(-0.22 %),12800,574000000,0,0,44900,44900,43000
