Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2006-12-22,11.26,304000,-16(-5.00 %),4590,1444640,0,0,315000,315000,304000
2006-12-25,10.71,289000,-15(-4.93 %),10,2890,0,0,304000,304000,289000
2006-12-26,10.19,275000,-14(-4.84 %),96450,26523750,25000,6875000,289000,289000,275000
2006-12-27,10.0,270000,-5(-1.82 %),61000,16747000,0,0,275000,275000,270000
2006-12-28,9.52,257000,-13(-4.81 %),21800,5602600,0,0,257000,257000,257000
2006-12-29,9.08,245000,-12(-4.67 %),44690,10969050,0,0,250000,250000,245000
2007-01-02,8.63,233000,0(0.00 %),33400,7782000000,0,0,233000,233000,233000
2007-01-03,9.04,244000,11(4.72 %),16620,0,0,0,244000,244000,233000
2007-01-04,9.48,256000,12(4.92 %),5450,1395000000,0,0,256000,256000,256000
2007-01-05,9.93,268000,12(4.69 %),25450,0,0,0,268000,268000,267000
2007-01-08,10.41,281000,13(4.85 %),85650,2363000000,0,0,281000,281000,281000
2007-01-09,10.89,294000,13(4.63 %),54340,15819000000,0,0,288000,294000,288000
2007-01-10,10.89,294000,0(0.00 %),23540,6927000000,0,0,294000,295000,294000
2007-01-11,10.56,285000,-9(-3.06 %),22780,6542000000,0,0,290000,290000,280000
2007-01-12,10.19,275000,-10(-3.51 %),17630,4814000000,0,0,271000,275000,271000
2007-01-15,10.19,275000,0(0.00 %),4920,1318000000,0,0,263000,275000,263000
2007-01-16,10.56,285000,10(3.64 %),28460,8019000000,0,0,275000,285000,275000
2007-01-17,10.56,285000,0(0.00 %),32310,9305000000,0,0,285000,290000,285000
2007-01-18,10.19,275000,-10(-3.51 %),57650,15811000000,0,0,271000,275000,271000
2007-01-19,10.19,275000,0(0.00 %),20390,5612000000,0,0,285000,285000,275000
2007-01-22,10.19,275000,0(0.00 %),41610,11174000000,0,0,265000,278000,265000
2007-01-23,10.19,275000,0(0.00 %),24800,6900000000,0,0,275000,279000,275000
2007-01-24,10.0,270000,-5(-1.82 %),5060,1377000000,0,0,277000,277000,270000
2007-01-25,10.0,270000,0(0.00 %),10380,2803000000,0,0,270000,270000,270000
2007-01-26,9.52,257000,-13(-4.81 %),3910,1005000000,0,0,270000,270000,257000
2007-01-29,9.63,260000,3(1.17 %),13650,3617000000,0,0,260000,269000,260000
2007-01-30,10.11,273000,13(5.00 %),9400,2566000000,0,0,273000,273000,273000
2007-01-31,10.11,273000,3(1.11 %),48910,4891000000,0,0,275000,275000,273000
2007-02-01,10.0,270000,-3(-1.10 %),29740,2974000000,0,0,270000,272000,270000
2007-02-02,10.08,272000,2(0.74 %),11700,1170000000,0,0,270000,272000,270000
2007-02-05,10.04,271000,-1(-0.37 %),3360,896000000,0,0,271000,271000,259000
2007-02-06,10.0,270000,-1(-0.37 %),4230,1142000000,0,0,270000,271000,270000
