Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2009-08-20,8.89,69000,3(4.55 %),10,690000,400000,25800000000,69000,69000,69000
2009-08-21,9.27,72000,3(4.35 %),20,1440000,24324,1751328000,72000,72000,72000
2009-08-24,9.73,75500,3.5(4.86 %),10,755000,0,0,75500,75500,75500
2009-08-25,10.18,79000,3.5(4.64 %),20,1580000,0,0,79000,79000,79000
2009-08-26,10.63,82500,3.5(4.43 %),3310,273075000,103000,8497500000,82500,82500,82500
2009-08-27,11.14,86500,4(4.85 %),381720,33018780000,0,0,86500,86500,86500
2009-08-28,11.66,90500,4(4.62 %),309600,28018800000,300000,27150000000,90500,90500,90500
2009-08-31,12.24,95000,4.5(4.97 %),112000,10640000000,28000,2408000000,95000,95000,95000
2009-09-01,12.82,99500,4.5(4.74 %),921830,91715460000,0,0,99500,99500,99000
2009-09-03,13.01,101000,1.5(1.51 %),331850,33537595000,0,0,99000,103000,95000
2009-09-04,12.37,96000,-5(-4.95 %),506740,48791425000,0,0,101000,101000,96000
2009-09-07,12.49,97000,1(1.04 %),405040,39129460000,0,0,96000,98000,94500
2009-09-08,12.62,98000,1(1.03 %),326720,32239610000,24990,2311575000,100000,100000,97500
2009-09-09,12.24,95000,-3(-3.06 %),513680,49392315000,0,0,97500,97500,95000
2009-09-10,12.43,96500,1.5(1.58 %),693920,66260535000,0,0,94000,97000,93500
2009-09-11,13.04,100000,3.5(3.63 %),422220,42123640000,0,0,99500,100000,99000
2009-09-14,13.7,105000,5(5.00 %),55900,5869500000,104000,10920000000,105000,105000,105000
2009-09-15,14.35,110000,5(4.76 %),271220,29834200000,296700,32237000000,110000,110000,110000
2009-09-16,15.0,115000,5(4.55 %),1262020,145044100000,0,0,115000,115000,111000
2009-09-17,15.13,116000,1(0.87 %),733950,84595340000,50000,5750000000,117000,118000,110000
2009-09-18,15.78,121000,5(4.31 %),618210,73984500000,0,0,116000,121000,116000
2009-09-21,16.56,127000,6(4.96 %),315910,40120570000,30000,3810000000,127000,127000,127000
2009-09-22,17.35,133000,6(4.72 %),72040,9581320000,215000,28595000000,133000,133000,133000
2009-09-23,18.13,139000,6(4.51 %),98680,13716520000,189990,25748730000,139000,139000,139000
2009-09-24,18.91,145000,6(4.32 %),1795070,257614700000,50000,7130000000,141000,145000,140000
2009-09-25,19.04,146000,1(0.69 %),651310,97241730000,0,0,148000,152000,145000
2009-09-28,18.26,140000,-6(-4.11 %),526570,73852840000,20000,2780000000,146000,146000,139000
2009-09-29,18.0,138000,-2(-1.43 %),633580,88375450000,20000,2920000000,140000,144000,135000
