Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2010-06-23,18.94,28800,-1.2(-4.00 %),1177740,35865024000,0,0,31100,31100,28700
2010-06-24,18.35,27900,-0.9(-3.12 %),454510,12735264000,360000,10062000000,28500,28700,27400
2010-06-25,19.2,29200,1.3(4.66 %),190550,5479204000,0,0,27900,29200,27500
2010-06-28,19.07,29000,-0.2(-0.68 %),392890,11560298000,418000,11620400000,28000,30500,28000
2010-06-29,18.74,28500,-0.5(-1.72 %),139850,4015724000,20000,552000000,29500,29500,28500
2010-06-30,18.22,27700,-0.8(-2.81 %),149870,4138062000,20000,560000000,27500,28000,27500
2010-07-01,18.22,27700,0(0.00 %),138300,3833161000,454550,12000120000,28000,28000,27500
2010-07-02,17.89,27200,-0.5(-1.81 %),235240,6406464000,0,0,27200,27700,27000
2010-07-05,17.62,26800,-0.4(-1.47 %),151740,4076934000,20000,518000000,27000,27000,26600
2010-07-06,16.83,25600,-1.2(-4.48 %),177330,4603711000,20000,534000000,26500,26700,25600
2010-07-07,16.24,24700,-0.9(-3.52 %),232960,5896632000,0,0,25600,26300,24600
2010-07-08,16.44,25000,0.3(1.21 %),246150,6216852000,0,0,25800,25800,24800
2010-07-09,17.23,26200,1.2(4.80 %),324350,8412526000,0,0,25600,26200,25000
2010-07-12,18.08,27500,1.3(4.96 %),324540,8761564000,0,0,26200,27500,26200
2010-07-13,18.94,28800,1.3(4.73 %),257920,7330893000,0,0,28400,28800,27800
2010-07-14,18.41,28000,-0.8(-2.78 %),289280,8243725000,0,0,28500,28900,27800
2010-07-15,17.76,27000,-1(-3.57 %),287560,7793270000,0,0,27200,28000,26700
2010-07-16,17.62,26800,-0.2(-0.74 %),102550,2767306000,20000,558000000,27000,27900,26800
2010-07-19,17.62,26800,0(0.00 %),188710,5078180000,0,0,27000,27600,26500
2010-07-20,17.49,26600,-0.2(-0.75 %),141230,3761889000,0,0,26700,27000,26500
2010-07-21,17.1,26000,-0.6(-2.26 %),104110,2736550000,0,0,26600,26800,26000
2010-07-22,17.03,25900,-0.1(-0.38 %),141790,3681302000,0,0,26000,26500,25800
2010-07-23,17.82,27100,1.2(4.63 %),474030,12845350000,0,0,27100,27100,27000
2010-07-26,17.82,27100,0(0.00 %),400000,11216010000,0,0,28400,28400,27100
2010-07-27,17.43,26500,-0.6(-2.21 %),85660,2294777000,0,0,27100,27200,26500
2010-07-28,17.29,26300,-0.2(-0.75 %),84550,2231434000,0,0,26500,26800,26000
2010-07-29,17.16,26100,-0.2(-0.76 %),169430,4426150000,0,0,26800,26800,25800
2010-07-30,16.97,25800,-0.3(-1.15 %),164370,4274988000,0,0,26000,26500,25800
2010-08-02,16.83,25600,-0.2(-0.78 %),73080,1872275000,0,0,25500,26000,25500
2010-08-03,16.44,25000,-0.6(-2.34 %),121500,3092059000,558500,13627400000,25800,25900,25000
2010-08-04,16.18,24600,-0.4(-1.60 %),138150,3406903000,0,0,25000,25300,24300
