Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2006-12-26,21.43,136000,6(4.62 %),44660,6073760,0,0,136000,136000,136000
2006-12-27,20.8,132000,-4(-2.94 %),23300,3166550,0,0,139000,139000,132000
2006-12-28,21.75,138000,6(4.55 %),18840,2599920,0,0,138000,138000,138000
2006-12-29,21.75,138000,0(0.00 %),21900,3015200,0,0,136000,138000,136000
2007-01-02,20.8,132000,-6(-4.35 %),7910,1044000000,0,0,132000,132000,132000
2007-01-03,20.49,130000,-2(-1.52 %),13900,0,0,0,130000,130000,127000
2007-01-04,20.96,133000,3(2.31 %),30590,4045000000,0,0,133000,133000,130000
2007-01-05,21.91,139000,6(4.51 %),70250,0,0,0,139000,139000,137000
2007-01-08,22.22,141000,2(1.44 %),62550,5297000000,0,0,145000,145000,141000
2007-01-09,22.22,141000,0(0.00 %),13480,1901000000,0,0,141000,141000,141000
2007-01-10,22.38,142000,1(0.71 %),40410,5798000000,0,0,145000,145000,142000
2007-01-11,22.06,140000,-2(-1.41 %),8150,1150000000,0,0,142000,142000,140000
2007-01-12,21.91,139000,-1(-0.71 %),9280,1267000000,0,0,135000,139000,135000
2007-01-15,22.85,145000,6(4.32 %),10350,1466000000,0,0,136000,145000,136000
2007-01-16,22.85,145000,0(0.00 %),1660,241000000,0,0,145000,145000,145000
2007-01-17,23.17,147000,2(1.38 %),41080,6162000000,0,0,152000,152000,147000
2007-01-18,22.54,143000,-4(-2.72 %),6420,918000000,0,0,140000,146000,140000
2007-01-19,22.54,143000,0(0.00 %),24420,3492000000,0,0,143000,143000,143000
2007-01-22,21.91,139000,-4(-2.80 %),41300,5794000000,0,0,143000,143000,139000
2007-01-23,21.91,139000,0(0.00 %),12890,1789000000,0,0,139000,139000,138000
2007-01-24,22.85,145000,6(4.32 %),27480,3951000000,0,0,143000,145000,143000
2007-01-25,21.75,138000,-7(-4.83 %),18520,2637000000,0,0,147000,147000,138000
2007-01-26,22.06,140000,2(1.45 %),28060,3976000000,0,0,138000,144000,138000
2007-01-29,22.54,143000,3(2.14 %),31200,4557000000,0,0,143000,147000,143000
2007-01-30,22.06,140000,-3(-2.10 %),7560,1066000000,0,0,143000,143000,140000
2007-01-31,22.54,143000,4(2.88 %),76660,7666000000,0,0,145000,145000,143000
2007-02-01,22.85,145000,2(1.40 %),83980,8398000000,0,0,144000,147000,144000
2007-02-02,22.85,145000,0(0.00 %),20580,2058000000,0,0,145000,145000,145000
