Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2017-01-13,2.7,43400,0(0.00 %),0,0,0,0,43400,43400,43400
2017-01-16,3.1,46450,6.5(14.98 %),100,4990000,122922,4535821800,46450,46450,46450
2017-01-17,3.56,53400,7.4(14.83 %),900,51570000,0,0,53400,53400,53400
2017-01-18,4.09,61300,8.5(14.83 %),1300,85540000,0,0,61300,61300,61300
2017-01-19,4.7,70400,9.8(14.89 %),21800,1606220000,0,0,70400,70400,66500
2017-01-20,5.26,80900,11(14.93 %),1350,112300000,0,0,78000,80900,78000
2017-01-23,5.94,90600,12.4(14.90 %),11100,910460000,53986,3978768200,90600,90600,80100
2017-01-24,5.86,94300,12.3(15.00 %),38500,3438720000,0,0,90000,94300,88900
2017-01-25,6.38,100900,13.3(14.89 %),16900,1733310000,0,0,100900,100900,100900
2017-02-02,6.22,100000,-2.6(-2.53 %),2200,223280000,0,0,103000,103000,100000
2017-02-03,6.22,100000,-1.5(-1.48 %),4700,466250000,0,0,95000,105000,93000
2017-02-06,6.21,99900,0.7(0.71 %),2600,259900000,0,0,100000,100000,99900
2017-02-07,5.59,92900,-10(-10.00 %),11600,1048600000,0,0,92900,92900,92900
2017-02-08,5.51,88600,-1.8(-1.99 %),28100,2499440000,5220,469800000,91000,92000,83700
2017-02-09,5.35,86000,-2.9(-3.26 %),29200,2419180000,0,0,85000,88600,82400
2017-02-10,5.22,84000,1.2(1.45 %),11000,931600000,0,0,85000,85000,84000
2017-02-13,4.91,79000,-5.7(-6.73 %),61000,4773020000,8,576000,78500,83000,78100
2017-02-14,5.03,81000,2.8(3.58 %),56350,4471330000,0,0,76000,82500,74100
2017-02-15,5.38,86500,7.1(8.94 %),30020,2596470000,0,0,82800,86700,82800
2017-02-16,5.33,85800,-0.7(-0.81 %),44802,3853994000,14616,1169280000,86200,86900,85500
2017-02-17,5.44,87500,1.5(1.74 %),46000,4020922800,0,0,86000,89000,86000
2017-02-20,5.47,88000,0.6(0.69 %),25800,2271830000,74000,6012200000,89000,89000,87500
2017-02-21,5.69,91500,3.4(3.86 %),46820,4238020000,12900,1044700000,88900,92000,88900
2017-02-22,6.03,97000,6.5(7.18 %),44695,4340378000,14000,1159200000,91800,97900,91800
2017-02-23,5.94,95500,-1.7(-1.75 %),10466,994315200,0,0,91100,98000,91100
2017-02-24,5.94,95500,0.4(0.42 %),16000,1521960000,0,0,95500,95500,94500
2017-02-27,5.97,96000,0.9(0.95 %),30400,2968170000,0,0,94000,99900,94000
