Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2008-02-22,46.76,221000,-11(-4.74 %),10,2000000,0,0,221000,221000,221000
2008-02-25,44.43,210000,-11(-4.98 %),160540,33721000000,0,0,210000,215000,210000
2008-02-26,42.31,200000,-10(-4.76 %),5390,1078000000,0,0,200000,200000,200000
2008-02-27,40.2,190000,-10(-5.00 %),6150,1169000000,0,0,190000,190000,190000
2008-02-28,38.29,181000,-9(-4.74 %),1390,252000000,0,0,181000,181000,181000
2008-02-29,36.39,172000,-9(-4.97 %),970,167000000,0,0,172000,172000,172000
2008-03-03,34.7,164000,-8(-4.65 %),230,37720000,0,0,164000,164000,164000
2008-03-04,33.0,156000,-8(-4.88 %),1020,159120000,0,0,156000,156000,156000
2008-03-05,31.52,149000,-7(-4.49 %),600,89430000,0,0,150000,150000,149000
2008-03-06,33.0,156000,7(4.70 %),400010,62277900000,0,0,156000,156000,150000
2008-03-07,34.49,163000,7(4.49 %),256190,41205490000,0,0,161000,163000,156000
2008-03-10,32.79,155000,-8(-4.91 %),121970,20042820000,0,0,169000,170000,155000
2008-03-11,31.31,148000,-7(-4.52 %),6600,976800000,0,0,148000,148000,148000
2008-03-12,29.83,141000,-7(-4.73 %),271340,38537140000,0,0,141000,149000,141000
2008-03-13,28.56,135000,-6(-4.26 %),193170,26888410000,0,0,141000,142000,135000
2008-03-14,28.56,135000,0(0.00 %),241640,31902680000,0,0,135000,135000,129000
2008-03-17,27.29,129000,-6(-4.44 %),132870,17157660000,0,0,130000,130000,129000
2008-03-18,26.02,123000,-6(-4.65 %),5890,724470000,0,0,123000,123000,123000
2008-03-19,24.75,117000,-6(-4.88 %),296540,34699130000,150000,17550000000,117000,119000,117000
2008-03-20,23.7,112000,-5(-4.27 %),17250,1932000000,20000,2340000000,112000,112000,112000
2008-03-21,22.64,107000,-5(-4.46 %),6450,690150000,50000,5350000000,107000,107000,107000
2008-03-24,21.58,102000,-5(-4.67 %),6800,693600000,0,0,102000,102000,102000
2008-03-25,20.52,97000,-5(-4.90 %),1200,116400000,0,0,97000,97000,97000
2008-03-26,19.57,92500,-4.5(-4.64 %),73320,6782100000,0,0,92500,92500,92500
2008-03-27,19.68,93000,0.5(0.54 %),136820,12658280000,0,0,92000,93000,92000
2008-03-28,19.78,93500,0.5(0.54 %),75820,7089170000,0,0,93500,93500,93500
2008-03-31,19.89,94000,0.5(0.53 %),6390,600660000,0,0,94000,94000,94000
2008-04-01,19.99,94500,0.5(0.53 %),5700,538650000,0,0,94500,94500,94500
2008-04-02,20.1,95000,0.5(0.53 %),5900,560500000,0,0,95000,95000,95000
2008-04-03,20.2,95500,0.5(0.53 %),2000,191000000,0,0,95500,95500,95500
2008-04-04,20.31,96000,0.5(0.52 %),1500,144000000,0,0,96000,96000,96000
2008-04-07,20.63,97500,1.5(1.56 %),268400,26162770000,50000,4875000000,97500,97500,96000
2008-04-08,20.31,96000,-1.5(-1.54 %),142740,13786620000,0,0,97500,97500,96000
2008-04-09,19.99,94500,-1.5(-1.56 %),37650,3557925000,0,0,94500,94500,94500
2008-04-10,19.68,93000,-1.5(-1.59 %),6850,637050000,0,0,93000,93000,93000
