Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2007-01-02,2.21,90500,-7.5(-7.65 %),76340,7325000000.0,0,0,90500,98000,90500
2007-01-03,2.2,90000,-0.5(-0.55 %),117380,0.0,0,0,90000,90000,86000
2007-01-04,2.31,94500,4.5(5.00 %),46370,4382000000.0,0,0,94500,94500,94500
2007-01-05,2.42,99000,4.5(4.76 %),143090,0.0,0,0,99000,99000,99000
2007-01-08,2.39,98000,-1(-1.01 %),96590,4306000000.0,0,0,99500,99500,98000
2007-01-09,2.37,97000,-1(-1.02 %),69130,6751000000.0,0,0,98000,98000,97000
2007-01-10,2.31,94500,-2.5(-2.58 %),57710,5493000000.0,0,0,97000,97000,94500
2007-01-11,2.2,90000,-4.5(-4.76 %),68260,6143000000.0,0,0,90000,90000,90000
2007-01-12,2.2,90000,0(0.00 %),118950,10706000000.0,0,0,90000,90000,90000
2007-01-15,2.31,94500,4.5(5.00 %),103090,9726000000.0,0,0,94000,94500,94000
2007-01-16,2.32,95000,0.5(0.53 %),118640,11454000000.0,0,0,98000,98000,95000
2007-01-17,2.42,99000,4(4.21 %),250760,24692000000.0,0,0,99500,99500,97000
2007-01-18,2.51,103000,4(4.04 %),128360,13221000000.0,0,0,103000,103000,103000
2007-01-19,2.63,108000,5(4.85 %),20170,2178000000.0,0,0,108000,108000,108000
2007-01-22,2.66,109000,1(0.93 %),210930,23492000000.0,0,0,113000,113000,109000
2007-01-23,2.78,114000,5(4.59 %),93310,10637000000.0,0,0,114000,114000,114000
2007-01-24,2.9,119000,5(4.39 %),69680,8292000000.0,0,0,119000,119000,119000
2007-01-25,3.02,124000,5(4.20 %),183980,22814000000.0,0,0,124000,124000,124000
2007-01-26,3.02,124000,0(0.00 %),223120,28415000000.0,0,0,130000,130000,124000
2007-01-29,3.17,130000,6(4.84 %),84300,10959000000.0,0,0,130000,130000,130000
2007-01-30,3.32,136000,6(4.62 %),29170,3967000000.0,0,0,136000,136000,136000
2007-01-31,3.46,142000,6(4.41 %),61340,6134000000.0,0,0,136000,142000,136000
2007-02-01,3.63,149000,7(4.93 %),224840,22484000000.0,0,0,149000,149000,149000
2007-02-02,3.66,150000,1(0.67 %),164240,16424000000.0,0,0,149000,150000,149000
2007-02-05,3.83,157000,7(4.67 %),119920,18827000000.0,0,0,157000,157000,157000
