Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2010-07-27,10.72,18900,0.2(1.07 %),215010,4010777000,0,0,18900,18900,17800
2010-07-28,11.06,19500,0.6(3.17 %),204360,3862798000,0,0,18200,19500,18200
2010-07-29,10.6,18700,-0.8(-4.10 %),218080,4136933000,0,0,19500,19500,18700
2010-07-30,10.89,19200,0.5(2.67 %),186020,3503319000,0,0,18600,19200,17800
2010-08-02,10.89,19200,0(0.00 %),138570,2660312000,0,0,19200,19200,19000
2010-08-03,10.38,18300,-0.9(-4.69 %),47650,882660000,0,0,19200,19200,18300
2010-08-04,9.87,17400,-0.9(-4.92 %),64780,1168132000,0,0,18800,19000,17400
2010-08-05,9.87,17400,0(0.00 %),87160,1534623000,0,0,17800,17800,17400
2010-08-06,9.98,17600,0.2(1.15 %),123310,2161271000,0,0,17900,18000,17100
2010-08-09,9.64,17000,-0.6(-3.41 %),78960,1354763000,0,0,17900,17900,16800
2010-08-10,9.19,16200,-0.8(-4.71 %),183050,2982365000,0,0,16600,17000,16200
2010-08-11,9.64,17000,0.8(4.94 %),224160,3724752000,0,0,16200,17000,16200
2010-08-12,9.98,17600,0.6(3.53 %),391780,6778986000,0,0,17000,17600,16300
2010-08-13,10.32,18200,0.6(3.41 %),208460,3727759000,0,0,17700,18200,17000
2010-08-16,10.66,18800,0.6(3.30 %),176600,3260361000,0,0,18600,18800,18000
2010-08-17,10.72,18900,0.1(0.53 %),144620,2728985000,0,0,18800,19200,18000
2010-08-18,10.21,18000,-0.9(-4.76 %),132960,2432480000,0,0,18900,19000,18000
2010-08-19,10.15,17900,-0.1(-0.56 %),68990,1223055000,0,0,18200,18200,17200
2010-08-20,10.21,18000,0.1(0.56 %),100900,1771830000,0,0,18000,18000,17100
2010-08-23,9.7,17100,-0.9(-5.00 %),54680,941582000,0,0,18000,18000,17100
2010-08-24,9.75,17200,0.1(0.58 %),113720,1922924000,0,0,17300,17500,16300
2010-08-25,9.58,16900,-0.3(-1.74 %),160770,2679105000,0,0,17200,17200,16400
2010-08-26,9.64,17000,0.1(0.59 %),133590,2301699000,0,0,17700,17700,16500
2010-08-27,9.53,16800,-0.2(-1.18 %),49200,825545000,0,0,17000,17000,16400
2010-08-30,9.47,16700,-0.1(-0.60 %),144670,2419462000,0,0,17000,17300,16500
2010-08-31,9.41,16600,-0.1(-0.60 %),70170,1169122000,0,0,16800,16800,16600
2010-09-01,9.07,16000,-0.6(-3.61 %),53080,865885000,70000,1218000000,16400,16600,16000
2010-09-06,9.53,16800,0.8(5.00 %),75010,1254487000,268740,4514832000,16600,16800,16400
2010-09-07,9.7,17100,0.3(1.79 %),47060,799498000,0,0,16800,17200,16800
2010-09-08,9.7,17100,0(0.00 %),61820,1023063000,0,0,16500,17100,16300
2010-09-09,9.36,16500,-0.6(-3.51 %),49330,825299000,0,0,17100,17100,16500
2010-09-10,9.02,15900,-0.6(-3.64 %),98740,1616751000,0,0,16400,16800,15900
2010-09-13,9.19,16200,0.3(1.89 %),189270,3050066000,0,0,15600,16600,15600
2010-09-14,9.24,16300,0.1(0.62 %),153980,2488795000,0,0,16700,16700,15900
2010-09-15,9.13,16100,-0.2(-1.23 %),232550,3733445000,0,0,16400,16400,15900
2010-09-16,9.19,16200,0.1(0.62 %),44900,728030000,0,0,16300,16300,15900
2010-09-17,9.3,16400,0.2(1.23 %),26760,437971000,200000,3400000000,16000,16500,16000
2010-09-20,9.3,16400,0(0.00 %),70500,1156605000,200000,3440000000,16500,16900,16100
2010-09-21,9.24,16300,-0.1(-0.61 %),94940,1540527000,0,0,16400,16400,16000
2010-09-22,9.3,16400,0.1(0.61 %),121740,1987025000,0,0,16300,16500,16200
2010-09-23,9.13,16100,-0.3(-1.83 %),103120,1671671000,0,0,16500,16500,16000
2010-09-24,9.58,16900,0.8(4.97 %),1398630,23460890000,0,0,16000,16900,16000
2010-09-27,9.75,17200,0.3(1.78 %),254700,4359111000,0,0,17300,17500,16900
2010-09-28,9.36,16500,-0.7(-4.07 %),192580,3259452000,0,0,17200,17400,16500
2010-09-29,9.47,16700,0.2(1.21 %),81210,1345111000,0,0,16500,16700,16500
2010-09-30,9.07,16000,-0.7(-4.19 %),284370,4638082000,0,0,16500,16800,15900
2010-10-01,8.73,15400,-0.6(-3.75 %),119750,1881719000,0,0,16200,16200,15400
2010-10-04,8.47,14300,-0.4(-2.94 %),73620,975487000,0,0,14300,14300,14300
2010-10-05,8.15,12700,-0.5(-3.79 %),175890,2226233000,0,0,12700,13100,12600
2010-10-06,8.54,13300,0.6(4.72 %),81050,1074231000,0,0,13100,13300,12900
2010-10-07,8.73,13600,0.3(2.26 %),124200,1715151000,0,0,13300,13900,13300
2010-10-08,8.79,13700,0.1(0.74 %),69110,941965000,0,0,13800,13800,13300
2010-10-11,8.79,13700,0(0.00 %),35770,486222000,0,0,13500,13700,13500
2010-10-12,8.67,13500,-0.2(-1.46 %),49890,665590000,0,0,13400,13500,13200
2010-10-13,8.54,13300,-0.2(-1.48 %),35740,476313000,200000,2740000000,13300,13500,13300
2010-10-14,8.67,13500,0.2(1.50 %),96410,1298510000,0,0,13300,13600,13300
2010-10-15,8.54,13300,-0.2(-1.48 %),25010,333594000,190000,2603000000,13400,13400,13300
2010-10-18,8.54,13300,0(0.00 %),65330,874047000,0,0,13300,13500,13200
2010-10-19,8.54,13300,0(0.00 %),67210,877160000,0,0,13300,13300,12700
2010-10-20,8.34,13000,-0.3(-2.26 %),150760,1945367000,280000,3780000000,13000,13000,12700
2010-10-21,8.09,12600,-0.4(-3.08 %),68500,872600000,0,0,12600,13000,12600
2010-10-22,7.9,12300,-0.3(-2.38 %),55760,686421000,0,0,12000,12600,12000
2010-10-25,8.15,12700,0.4(3.25 %),204560,2596508000,0,0,12600,12900,12000
2010-10-26,8.34,13000,0.3(2.36 %),110830,1423974000,0,0,12900,13300,12100
2010-10-27,8.34,13000,0(0.00 %),158410,2044694000,0,0,13300,13500,12400
2010-10-28,8.54,13300,0.3(2.31 %),110150,1451855000,0,0,13000,13300,12500
2010-10-29,8.54,13300,0(0.00 %),313400,4182590000,0,0,13100,13500,13000
2010-11-01,8.28,12900,-0.4(-3.01 %),20610,267262000,0,0,13200,13200,12900
2010-11-02,8.22,12800,-0.1(-0.78 %),7310,91958000,0,0,12700,12900,12400
2010-11-03,7.9,12300,-0.5(-3.91 %),35420,436166000,0,0,12600,12600,12300
2010-11-04,8.22,12800,0.5(4.07 %),69080,884724000,0,0,12500,12900,12500
2010-11-05,8.15,12700,-0.1(-0.78 %),32860,417795000,257000,3341000000,12700,12800,12700
2010-11-08,7.83,12200,-0.5(-3.94 %),185430,2298033000,354250,4605250000,12500,12900,12200
2010-11-09,8.02,12500,0.3(2.46 %),80710,988264000,0,0,12600,12600,12000
2010-11-10,8.02,12500,0(0.00 %),60950,761805000,0,0,12700,12700,12300
2010-11-11,7.9,12300,-0.2(-1.60 %),11240,138503000,0,0,12400,12700,12300
2010-11-12,7.57,11800,-0.5(-4.07 %),23440,277263000,0,0,12400,12400,11700
2010-11-15,7.32,11400,-0.4(-3.39 %),6850,78190000,0,0,11900,11900,11400
2010-11-16,7.32,11400,0(0.00 %),13820,153751000,0,0,11000,11700,11000
2010-11-17,7.06,11000,-0.4(-3.51 %),31090,351502000,0,0,11200,11600,11000
2010-11-18,7.32,11400,0.4(3.64 %),49370,559533000,0,0,11400,11500,10800
2010-11-19,7.38,11500,0.1(0.88 %),38000,442350000,0,0,11700,11700,11400
2010-11-22,7.19,11200,-0.3(-2.61 %),2660,29866000,0,0,11000,11600,11000
2010-11-23,7.19,11200,0(0.00 %),21800,248080000,0,0,11400,11400,11200
2010-11-24,7.19,11200,0(0.00 %),31040,352452000,0,0,11400,11400,11200
2010-11-25,7.38,11500,0.3(2.68 %),10650,121825000,100000,1150000000,11500,11500,11300
2010-11-26,7.12,11100,-0.4(-3.48 %),33200,378880000,0,0,11500,11500,11100
2010-11-29,7.32,11400,0.3(2.70 %),52400,594780000,0,0,11300,11400,11000
2010-11-30,7.57,11800,0.4(3.51 %),52640,619594000,0,0,11800,11900,11500
2010-12-01,7.57,11800,0(0.00 %),5550,65166000,0,0,11800,11800,11500
2010-12-02,7.9,12300,0.5(4.24 %),105590,1272351000,0,0,11800,12300,11700
2010-12-03,8.28,12900,0.6(4.88 %),656430,8467947000,0,0,12900,12900,12900
2010-12-06,8.67,13500,0.6(4.65 %),534050,7209675000,653910,8435439000,13500,13500,13500
2010-12-07,9.05,14100,0.6(4.44 %),737220,10391773000,0,0,14100,14100,14000
2010-12-08,8.6,13400,-0.7(-4.96 %),201790,2726572000,287280,4251744000,13500,14400,13400
2010-12-09,8.22,12800,-0.6(-4.48 %),416880,5359594000,0,0,12800,13500,12800
2010-12-10,8.6,13400,0.6(4.69 %),423110,5523324000,50000,670000000,13200,13400,12600
2010-12-13,8.54,13300,-0.1(-0.75 %),552920,7570861000,0,0,13900,14000,13300
2010-12-14,8.15,12700,-0.6(-4.51 %),307740,3941873000,250000,3175000000,12900,13200,12700
2010-12-15,7.77,12100,-0.6(-4.72 %),285400,3479662000,0,0,12500,12700,12100
2010-12-16,7.45,11600,-0.5(-4.13 %),267250,3133300000,248000,3149600000,11600,12200,11600
2010-12-17,7.77,12100,0.5(4.31 %),299590,3600925000,0,0,12100,12100,11600
2010-12-20,7.83,12200,0.1(0.83 %),307670,3845923000,295670,3400205000,12500,12600,12200
2010-12-21,7.77,12100,-0.1(-0.82 %),171440,2046151000,0,0,12000,12200,11600
2010-12-22,7.57,11800,-0.3(-2.48 %),55440,658438000,351380,4462526000,12300,12300,11800
2010-12-23,7.32,11400,-0.4(-3.39 %),294140,3386041000,0,0,11600,11700,11400
2010-12-24,7.12,11100,-0.3(-2.63 %),89100,996067000,26700,317730000,11300,11500,11100
2010-12-27,7.19,11200,0.1(0.90 %),64690,717638000,0,0,11100,11300,11000
2010-12-28,7.51,11700,0.5(4.46 %),129580,1490804000,0,0,11500,11700,11200
2010-12-29,7.32,11400,-0.3(-2.56 %),127970,1484210000,20000,228000000,11800,12000,11400
2010-12-30,7.12,11100,-0.3(-2.63 %),95150,1065307000,110213,1311535000,11300,11500,11100
2010-12-31,7.45,11600,0.5(4.50 %),148900,1706688000,100000,1160000000,11200,11600,11200
2011-01-04,7.77,12100,0.5(4.31 %),290230,3511683000,0,0,12100,12100,12000
2011-01-05,7.7,12000,-0.1(-0.83 %),536260,6610885000,0,0,12500,12500,12000
2011-01-06,7.57,11800,-0.2(-1.67 %),64120,754711000,0,0,11800,12000,11600
2011-01-07,7.45,11600,-0.2(-1.69 %),132530,1543997000,0,0,11700,11900,11600
2011-01-10,7.32,11400,-0.2(-1.72 %),164860,1888688000,0,0,11500,11600,11300
2011-01-11,7.12,11100,-0.3(-2.63 %),169370,1890830000,0,0,11500,11500,11100
2011-01-12,7.25,11300,0.2(1.80 %),133160,1507090000,0,0,11200,11500,11200
2011-01-13,7.45,11600,0.3(2.65 %),127430,1475710000,0,0,11600,11700,11300
2011-01-14,7.51,11700,0.1(0.86 %),80350,925640000,0,0,11800,11800,11400
2011-01-17,7.38,11500,-0.2(-1.71 %),213100,2463134000,450000,5490000000,11700,11800,11500
2011-01-18,7.25,11300,-0.2(-1.74 %),84570,963245000,200000,2400000000,11600,11600,11300
2011-01-19,7.38,11500,0.2(1.77 %),92340,1053215000,165000,1947000000,11300,11600,11300
2011-01-20,7.25,11300,-0.2(-1.74 %),23330,267160000,0,0,11400,11600,11300
2011-01-21,7.19,11200,-0.1(-0.88 %),150280,1698153000,0,0,11300,11500,11200
2011-01-24,7.06,11000,-0.2(-1.79 %),171310,1891905000,0,0,11300,11300,11000
2011-01-25,6.93,10800,-0.2(-1.82 %),79230,860448000,0,0,11000,11100,10800
2011-01-26,7.12,11100,0.3(2.78 %),22280,244797000,0,0,11100,11100,10800
2011-01-27,7.25,11300,0.2(1.80 %),208120,2332156000,0,0,11100,11300,11100
2011-01-28,6.93,10800,-0.5(-4.42 %),375400,4082459000,0,0,11000,11200,10800
2011-02-08,6.93,10800,0(0.00 %),239870,2596941000,0,0,10900,11000,10800
2011-02-09,6.93,10800,0(0.00 %),57270,614790000,0,0,10800,10900,10600
2011-02-10,6.8,10600,-0.2(-1.85 %),47820,508656000,0,0,10700,10700,10600
2011-02-11,6.74,10500,-0.1(-0.94 %),87950,925911000,0,0,10600,10700,10400
2011-02-14,6.61,10300,-0.2(-1.90 %),67510,703336000,0,0,10400,10600,10300
2011-02-15,6.55,10200,-0.1(-0.97 %),44190,452173000,0,0,10300,10400,10100
2011-02-16,6.42,10000,-0.2(-1.96 %),101020,1011380000,0,0,10200,10200,9900
2011-02-17,6.23,9700,-0.3(-3.00 %),106450,1036959000,0,0,10000,10000,9600
2011-02-18,6.1,9500,-0.2(-2.06 %),93490,902524000,0,0,9600,9900,9500
2011-02-21,5.84,9100,-0.4(-4.21 %),64570,588597000,0,0,9200,9300,9100
2011-02-22,5.58,8700,-0.4(-4.40 %),208310,1812823000,0,0,8700,8800,8700
2011-02-23,5.58,8700,0(0.00 %),199640,1744434000,0,0,8800,9000,8600
2011-02-24,5.58,8700,0(0.00 %),142950,1207171000,0,0,8500,8700,8300
2011-02-25,5.65,8800,0.1(1.15 %),97150,849550000,0,0,8700,8800,8600
2011-02-28,5.46,8500,-0.3(-3.41 %),63180,549132000,0,0,8600,8900,8500
2011-03-01,5.46,8500,0(0.00 %),153750,1296865000,0,0,8500,8600,8100
2011-03-02,5.2,8100,-0.4(-4.71 %),219950,1784512000,0,0,8400,8400,8100
2011-03-03,4.94,7700,-0.4(-4.94 %),141830,1104898000,0,0,7800,8000,7700
2011-03-04,4.94,7700,0(0.00 %),64470,494386000,0,0,7700,7800,7500
2011-03-07,4.94,7700,0(0.00 %),85980,657298000,0,0,7700,7700,7500
2011-03-08,4.75,7400,-0.3(-3.90 %),74860,563437000,0,0,7600,7800,7400
2011-03-09,4.56,7100,-0.3(-4.05 %),121890,865837000,100000,740000000,7200,7200,7100
2011-03-10,4.75,7400,0.3(4.23 %),57960,428904000,250000,1775000000,7400,7400,7400
2011-03-11,4.94,7700,0.3(4.05 %),30880,237776000,58610,451297000,7700,7700,7700
2011-03-14,4.88,7600,-0.1(-1.30 %),177710,1392119000,0,0,8000,8000,7600
2011-03-15,4.94,7700,0.1(1.32 %),39820,304204000,169860,1290936000,7500,7800,7500
2011-03-16,4.94,7700,0(0.00 %),53630,411972000,150000,1155000000,7600,7800,7500
2011-03-17,4.88,7600,-0.1(-1.30 %),44640,339822000,150000,1155000000,7600,7800,7500
2011-03-18,5.07,7900,0.3(3.95 %),100400,776813000,0,0,7700,7900,7500
2011-03-21,5.14,8000,0.1(1.27 %),103660,829082000,543477,4323468000,8000,8100,7900
2011-03-22,4.94,7700,-0.3(-3.75 %),93580,733684000,0,0,8000,8000,7700
2011-03-23,4.94,7700,0(0.00 %),34400,264656000,0,0,7800,7800,7600
2011-03-24,4.88,7600,-0.1(-1.30 %),53970,411384000,322000,2479400000,7800,7800,7600
2011-03-25,4.75,7400,-0.2(-2.63 %),77350,583537000,0,0,7700,7700,7400
2011-03-28,4.94,7700,0.3(4.05 %),195490,1501791000,480000,3612000000,7600,7700,7600
2011-03-29,4.88,7600,-0.1(-1.30 %),74770,572608000,200000,1540000000,7700,7800,7600
2011-03-30,4.81,7500,-0.1(-1.32 %),168230,1271945000,0,0,7400,7600,7400
2011-03-31,4.81,7500,0(0.00 %),54180,406890000,200000,1560000000,7600,7600,7500
2011-04-01,4.81,7500,0(0.00 %),41350,311959000,0,0,7600,7700,7500
2011-04-04,4.81,7500,0(0.00 %),56800,427062000,473143,3548573000,7600,7600,7500
2011-04-05,4.88,7600,0.1(1.33 %),39670,299620000,0,0,7600,7600,7400
2011-04-06,5.01,7800,0.2(2.63 %),87850,681119000,0,0,7700,7800,7700
2011-04-07,5.01,7800,0(0.00 %),116810,918605000,0,0,7800,7900,7700
2011-04-08,5.01,7800,0(0.00 %),26680,206483000,0,0,7800,7800,7700
2011-04-13,4.94,7700,-0.1(-1.28 %),20970,161646000,525940,4102332000,7800,7800,7600
2011-04-14,4.81,7500,-0.2(-2.60 %),17770,134316000,0,0,7700,7700,7500
2011-04-15,4.81,7500,0(0.00 %),12990,97056000,20000,144000000,7500,7600,7300
2011-04-18,4.69,7300,-0.2(-2.67 %),75320,554595000,242457,1818428000,7500,7500,7200
2011-04-19,4.49,7000,-0.3(-4.11 %),37530,263782000,0,0,7500,7500,7000
2011-04-20,4.49,7000,0(0.00 %),4650,32610000,537264,3760848000,7100,7100,7000
2011-04-21,4.43,6900,-0.1(-1.43 %),19960,137908000,0,0,6800,7000,6800
2011-04-22,4.3,6700,-0.2(-2.90 %),62400,414031000,0,0,6800,6800,6600
2011-04-25,4.36,6800,0.1(1.49 %),9400,64265000,0,0,6800,6900,6800
2011-04-26,4.17,6500,-0.3(-4.41 %),30210,199595000,458721,3119303000,7000,7000,6500
2011-04-27,4.17,6500,0(0.00 %),34040,221126000,770000,4774000000,6800,6800,6300
2011-04-28,3.98,6200,-0.3(-4.62 %),49970,312203000,0,0,6600,6600,6200
2011-04-29,4.04,6300,0.1(1.61 %),28930,175079000,321000,1990200000,6000,6300,6000
2011-05-04,4.11,6400,0.1(1.59 %),23260,146912000,0,0,6500,6500,6100
2011-05-05,4.24,6600,0.2(3.12 %),59130,380770000,0,0,6400,6600,6200
2011-05-06,4.36,6800,0.2(3.03 %),44930,300984000,458721,3027559000,6400,6800,6400
2011-05-09,4.43,6900,0.1(1.47 %),142730,955855000,0,0,6700,7000,6600
2011-05-10,4.3,6700,-0.2(-2.90 %),112090,761634000,0,0,6900,7000,6700
2011-05-11,4.3,6700,0(0.00 %),87460,572384000,321000,2150700000,6700,6700,6400
2011-05-12,4.3,6700,0(0.00 %),84010,554830000,319000,2137300000,6700,6700,6500
2011-05-13,4.24,6600,-0.1(-1.49 %),57610,376661000,0,0,6700,6700,6500
2011-05-16,4.11,6400,-0.2(-3.03 %),31940,205162000,139721,922159000,6500,6600,6300
2011-05-17,3.92,6100,-0.3(-4.69 %),107830,659333000,0,0,6300,6300,6100
2011-05-18,3.72,5800,-0.3(-4.92 %),123030,714478000,0,0,6000,6000,5800
2011-05-19,3.59,5600,-0.2(-3.45 %),118380,664896000,0,0,5800,6000,5600
2011-05-20,3.47,5400,-0.2(-3.57 %),236630,1279202000,0,0,5500,5600,5400
2011-05-23,3.34,5200,-0.2(-3.70 %),83970,439784000,0,0,5500,5500,5200
2011-05-24,3.21,5000,-0.2(-3.85 %),45470,227614000,0,0,5200,5200,5000
2011-05-25,3.08,4800,-0.2(-4.00 %),112740,542002000,0,0,4900,4900,4800
2011-05-26,3.15,4900,0.1(2.08 %),273650,1276422000,0,0,4600,4900,4600
2011-05-27,3.15,4900,0(0.00 %),131040,637337000,0,0,5000,5000,4700
2011-05-30,3.02,4700,-0.2(-4.08 %),92780,440597000,0,0,4900,4900,4700
2011-05-31,2.89,4500,-0.2(-4.26 %),209110,941437000,0,0,4700,4700,4500
2011-06-01,2.89,4500,0(0.00 %),264870,1190775000,176330,811118000,4400,4600,4300
2011-06-02,3.02,4700,0.2(4.44 %),24040,112988000,0,0,4700,4700,4700
2011-06-03,3.15,4900,0.2(4.26 %),286360,1402534000,0,0,4900,4900,4800
2011-06-06,3.27,5100,0.2(4.08 %),293960,1489413000,0,0,4900,5100,4900
