Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2012-04-12,5.28,19400,-0.6(-3.00 %),110,2094000,0,0,19000,19400,19000
2012-04-13,5.04,18500,-0.9(-4.64 %),1150,21275000,0,0,18500,18500,18500
2012-04-16,4.79,17600,-0.9(-4.86 %),1520,28102000,0,0,18500,18500,17600
2012-04-17,4.79,17600,0(0.00 %),1840,32384000,0,0,17600,17600,17600
2012-04-18,5.01,18400,0.8(4.55 %),70,1288000,0,0,18400,18400,18400
2012-04-19,5.01,18400,0(0.00 %),2100,38640000,0,0,18400,18400,18400
2012-04-20,4.76,17500,-0.9(-4.89 %),10,175000,0,0,17500,17500,17500
2012-04-23,4.9,18000,0.5(2.86 %),2000,36000000,0,0,18000,18000,18000
2012-04-24,4.9,18000,0(0.00 %),1500,27000000,0,0,18000,18000,18000
2012-04-25,5.12,18800,0.8(4.44 %),10,188000,0,0,18800,18800,18800
2012-04-26,5.36,19700,0.9(4.79 %),70,1379000,0,0,19700,19700,19700
2012-04-27,5.5,20200,0.5(2.54 %),500,10100000,0,0,20200,20200,20200
2012-05-02,5.61,20600,0.4(1.98 %),3200,65930000,0,0,20600,20700,20600
2012-05-03,5.88,21600,1(4.85 %),3030,64301000,0,0,21000,21600,21000
2012-05-04,6.15,22600,1(4.63 %),1210,27334000,0,0,21600,22600,21600
2012-05-07,6.45,23700,1.1(4.87 %),1700,40290000,0,0,23700,23700,23700
2012-05-08,6.7,24600,0.9(3.80 %),20,492000,0,0,24600,24600,24600
2012-05-09,6.7,24600,0(0.00 %),0,0,0,0,24600,24600,24600
2012-05-10,6.67,23500,-0.1(-0.42 %),820,18565000,0,0,23000,23500,22900
2012-05-11,6.53,23000,-0.5(-2.13 %),500,11500000,0,0,23000,23000,23000
2012-05-14,6.27,22100,-0.9(-3.91 %),100,2210000,0,0,22100,22100,22100
2012-05-15,6.04,21300,-0.8(-3.62 %),200,4270000,0,0,21400,21400,21300
2012-05-16,5.76,20300,-1(-4.69 %),5200,110590000,0,0,20600,21300,20300
2012-05-17,5.48,19300,-1(-4.93 %),520,10066000,0,0,19600,19600,19300
2012-05-18,5.22,18400,-0.9(-4.66 %),1570,30063000,0,0,19300,19300,18400
2012-05-21,5.48,19300,0.9(4.89 %),260,5018000,0,0,19300,19300,19300
2012-05-22,5.73,20200,0.9(4.66 %),2130,42663000,0,0,20000,20200,20000
2012-05-23,5.73,20200,0(0.00 %),1000,19850000,0,0,19500,20200,19500
2012-05-24,5.82,20500,0.3(1.49 %),800,16370000,20000,384000000,20400,20500,20400
2012-05-25,6.07,21400,0.9(4.39 %),280,5499000,0,0,19600,21400,19500
2012-05-28,6.07,21400,0(0.00 %),0,0,0,0,21400,21400,21400
2012-05-29,6.07,21400,0(0.00 %),0,0,0,0,21400,21400,21400
2012-05-30,5.79,20400,-1(-4.67 %),10,204000,0,0,20400,20400,20400
2012-05-31,5.79,20400,0(0.00 %),1280,26194000,0,0,19600,21000,19600
2012-06-01,5.85,20600,0.2(0.98 %),90,1852000,0,0,20400,20600,20400
2012-06-04,5.79,20400,-0.2(-0.97 %),500,10200000,0,0,20400,20400,20400
2012-06-05,5.79,20400,0(0.00 %),0,0,0,0,20400,20400,20400
2012-06-06,5.85,20600,0.2(0.98 %),2070,42642000,0,0,20600,20600,20600
2012-06-07,5.9,20800,0.2(0.97 %),630,12985000,0,0,20100,20800,20100
2012-06-08,6.19,21800,1(4.81 %),8120,174142000,0,0,21000,21800,20900
2012-06-11,5.93,20900,-0.9(-4.13 %),790,17841000,0,0,22800,22800,20900
2012-06-12,6.22,21900,1(4.78 %),100,2100000,0,0,20900,21900,20900
2012-06-13,6.5,22900,1(4.57 %),13240,302447000,0,0,21900,22900,20900
2012-06-14,6.19,21800,-1.1(-4.80 %),2000,43600000,0,0,21800,21800,21800
2012-06-15,6.19,21800,0(0.00 %),2000,43600000,0,0,21800,21800,21800
2012-06-18,6.47,22800,1(4.59 %),13020,293316000,0,0,21800,22800,21800
2012-06-19,6.24,22000,-0.8(-3.51 %),2100,47800000,0,0,22800,22800,22000
2012-06-20,6.53,23000,1(4.55 %),9180,206470000,0,0,22000,23000,22000
2012-06-21,6.24,22000,-1(-4.35 %),4400,97500000,0,0,22200,22200,22000
2012-06-22,6.27,22100,0.1(0.45 %),18300,402630000,0,0,22000,22100,22000
2012-06-25,6.3,22200,0.1(0.45 %),2220,49084000,0,0,22100,22200,22100
2012-06-26,6.3,22200,0(0.00 %),2600,57261000,0,0,22000,22200,22000
2012-06-27,6.53,23000,0.8(3.60 %),10950,253525000,0,0,22800,23300,21500
2012-06-28,6.22,21900,-1.1(-4.78 %),120,2628000,0,0,21900,21900,21900
2012-06-29,6.3,22200,0.3(1.37 %),260,5947000,0,0,22900,22900,22200
2012-07-02,6.39,22500,0.3(1.35 %),6270,145861000,0,0,23300,23300,22500
2012-07-03,6.7,23600,1.1(4.89 %),1730,40828000,0,0,23600,23600,23600
2012-07-04,6.7,23600,0(0.00 %),0,0,0,0,23600,23600,23600
2012-07-05,6.81,24000,0.4(1.69 %),6240,149760000,0,0,24000,24000,24000
2012-07-06,6.67,23500,-0.5(-2.08 %),440,10420000,0,0,23900,23900,23500
2012-07-09,6.41,22600,-0.9(-3.83 %),6020,137066000,0,0,22400,24000,22400
2012-07-10,6.73,23700,1.1(4.87 %),2500,59000000,0,0,23700,23700,23700
2012-07-11,6.81,24000,0.3(1.27 %),100,2292000,0,0,22800,24000,22800
2012-07-12,6.81,24000,0(0.00 %),0,0,0,0,24000,24000,24000
2012-07-13,6.81,24000,0(0.00 %),710,17040000,0,0,24000,24000,24000
2012-07-16,6.78,23900,-0.1(-0.42 %),910,21389000,0,0,23500,23900,23500
2012-07-17,6.81,24000,0.1(0.42 %),130,3090000,0,0,23000,24000,23000
2012-07-18,6.81,24000,0(0.00 %),0,0,0,0,24000,24000,24000
2012-07-19,6.78,23900,-0.1(-0.42 %),5360,127669000,0,0,23800,23900,23800
2012-07-20,6.81,24000,0.1(0.42 %),7340,176160000,0,0,24000,24000,24000
2012-07-23,6.53,23000,-1(-4.17 %),5030,116667000,0,0,23600,23900,23000
2012-07-24,6.58,23200,0.2(0.87 %),270,6264000,0,0,23200,23200,23200
2012-07-25,6.53,23000,-0.2(-0.86 %),10,230000,0,0,23000,23000,23000
2012-07-26,6.53,23000,0(0.00 %),10,230000,0,0,23000,23000,23000
2012-07-27,6.53,23000,0(0.00 %),1350,31050000,0,0,23000,23000,23000
2012-07-30,6.53,23000,0(0.00 %),8390,195475000,0,0,23500,23500,23000
2012-07-31,6.64,23400,0.4(1.74 %),5130,118765000,0,0,23000,23400,23000
2012-08-01,6.61,23300,-0.1(-0.43 %),1320,30756000,0,0,23300,23300,23300
2012-08-02,6.61,23300,0(0.00 %),0,0,0,0,23300,23300,23300
2012-08-03,6.56,23100,-0.2(-0.86 %),150,3470000,0,0,23200,23200,23100
2012-08-06,6.61,23300,0.2(0.87 %),5560,129193000,0,0,23100,23300,23100
2012-08-07,6.64,23400,0.1(0.43 %),1960,45776000,0,0,23300,23400,23200
2012-08-08,6.81,24000,0.6(2.56 %),3100,72855000,0,0,23500,24000,23500
2012-08-09,6.81,24000,0(0.00 %),0,0,0,0,24000,24000,24000
2012-08-10,6.81,24000,0(0.00 %),0,0,0,0,24000,24000,24000
2012-08-13,6.81,24000,0(0.00 %),1100,26400000,0,0,24000,24000,24000
2012-08-14,6.81,24000,0(0.00 %),10,240000,0,0,24000,24000,24000
2012-08-15,6.84,24100,0.1(0.42 %),110,2641000,0,0,24000,24100,24000
2012-08-16,6.84,24100,0(0.00 %),0,0,0,0,24100,24100,24100
2012-08-17,6.84,24100,0(0.00 %),0,0,0,0,24100,24100,24100
