Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2018-01-08,5.99,13600,1.7(14.29 %),100,1360000,0,0,13600,13600,13600
2018-01-09,5.99,13600,0(0.00 %),0,0,22700,264720000,13600,13600,13600
2018-01-10,6.87,14550,2(14.71 %),100,1560000,0,0,14550,14550,14550
2018-01-11,7.89,16700,2.3(14.74 %),100,1790000,2000,26600000,16700,16700,16700
2018-01-12,9.03,19150,2.6(14.53 %),100,2050000,3000,45900000,19150,19150,19150
2018-01-15,9.03,20500,0(0.00 %),0,0,0,0,20500,20500,20500
2018-01-16,10.35,21950,3(14.63 %),100,2350000,0,0,21950,21950,21950
2018-01-17,11.41,25150,2.4(10.21 %),8200,216240000,0,0,25150,25150,25150
2018-01-18,11.59,26300,-0.1(-0.38 %),6700,168970000,0,0,27700,27700,25000
2018-01-19,11.01,25000,-0.2(-0.79 %),27650,717320000,0,0,25500,28150,24450
2018-01-22,11.45,26000,0(0.00 %),93750,2355060000,0,0,25100,26000,25000
2018-01-23,11.89,27000,1.9(7.57 %),54100,1358640000,0,0,25100,27000,25000
2018-01-24,11.89,27000,1.9(7.57 %),67200,1727510000,6000,128400000,25600,27000,25400
2018-01-25,12.07,27400,1.7(6.61 %),13900,381900000,50000,1275000000,27500,27600,27400
2018-01-26,11.89,27000,-0.5(-1.82 %),10200,279780000,0,0,27600,27700,27000
2018-01-29,11.67,26500,-0.9(-3.28 %),4000,106570000,0,0,27200,27200,26400
2018-01-30,12.11,27500,0.9(3.38 %),300,8300000,0,0,28000,28000,27500
2018-01-31,12.11,27500,-0.2(-0.72 %),1400,38340000,0,0,28000,28000,26800
2018-02-01,11.85,26900,-0.5(-1.82 %),4400,119030000,0,0,27000,27500,26900
2018-02-02,11.89,27000,-0.1(-0.37 %),550,14790000,0,0,27200,27200,27000
2018-02-05,11.89,27000,-0.1(-0.37 %),9300,251100000,0,0,27000,27000,27000
2018-02-06,11.89,27000,0(0.00 %),13100,344500000,0,0,26000,27000,25100
2018-02-07,11.89,27000,0.7(2.66 %),1100,29990000,0,0,28900,28900,27000
2018-02-08,11.45,26000,-1.3(-4.76 %),750,19754800,1000,23300000,28500,28500,26000
2018-02-09,11.67,26500,0.1(0.38 %),2700,70840000,0,0,27400,27400,25800
2018-02-12,11.94,27100,0.9(3.44 %),6300,171880000,0,0,27500,27500,27000
2018-02-13,11.94,27100,-0.2(-0.73 %),3500,95250000,0,0,27100,27400,27100
2018-02-21,12.33,28000,0.8(2.94 %),2900,81770000,0,0,28000,28500,28000
2018-02-22,11.98,27200,-1(-3.55 %),1700,47520000,29000,703000000,29950,29950,27200
2018-02-23,12.33,28000,0(0.00 %),0,0,0,0,28000,28000,28000
2018-02-26,12.29,27900,-0.1(-0.36 %),6100,171110000,0,0,28200,29000,27900
2018-02-27,11.89,27000,-1.1(-3.91 %),7500,203520000,0,0,27100,27200,27000
2018-02-28,11.89,27000,-0.1(-0.37 %),12800,349030000,1000,23100000,27200,27500,27000
2018-03-01,13.79,28900,4(14.65 %),33800,1004020000,0,0,25100,28900,25100
2018-03-02,14.1,32000,2.3(7.74 %),85519,2783360000,0,0,33500,33500,31200
2018-03-05,14.36,32600,0.1(0.31 %),22000,706360000,0,0,32700,32700,31700
2018-03-06,14.49,32900,0.8(2.49 %),43300,1425250000,0,0,32200,34000,32100
2018-03-07,16.65,35200,4.9(14.89 %),21100,733510000,0,0,34400,35200,33500
2018-03-08,16.3,37000,2.2(6.32 %),4500,164390000,20000,620000000,35150,37000,35150
2018-03-09,16.3,37000,0.5(1.37 %),11835,448180000,2500,77750000,36000,39600,36000
2018-03-12,19.16,39600,5.6(14.78 %),32300,1399700000,36700,1185410000,39600,39600,39600
2018-03-13,21.89,46550,6.4(14.78 %),19400,953240000,0,0,46550,46550,46550
2018-03-14,21.14,48000,-1.1(-2.24 %),22710,1083867000,1000,41800000,53200,53200,46300
2018-03-15,21.81,49500,1.8(3.77 %),12025,584665000,0,0,47000,49800,47000
2018-03-16,22.25,50500,1.9(3.91 %),26600,1350050000,66500,3325000000,51900,52950,49000
2018-03-19,24.45,54000,4.7(9.25 %),13110,745470000,0,0,54000,54000,54000
2018-03-20,25.99,59000,2.1(3.69 %),28405,1636982500,298200,14910000000,55500,59000,55500
2018-03-21,26.65,60500,2.9(5.03 %),7200,426250000,31850,1592500000,58500,60500,57000
2018-03-22,29.91,64700,8.7(14.70 %),16000,1025870000,50000,2520000000,60000,64700,59300
2018-03-23,27.97,63500,-0.6(-0.94 %),8000,514240000,0,0,65000,65000,63100
2018-03-26,30.84,67900,5.7(8.86 %),4600,318510000,300,16410000,64600,67900,64600
2018-03-27,35.02,74900,10.3(14.88 %),5705,437520000,500,35750000,73900,74900,67000
2018-03-28,32.16,73900,-3.7(-4.82 %),2070,157337000,0,0,76700,80000,73900
2018-03-29,35.9,78100,5.6(7.38 %),3300,259680000,204500,13268750000,76000,78100,76000
2018-03-30,36.56,83000,4.3(5.46 %),8250,683580000,27800,1860475000,82000,85000,81800
2018-04-02,36.12,82000,-0.8(-0.97 %),2975,252190000,10800,892500000,88800,88800,82000
2018-04-03,35.64,80900,-3.8(-4.49 %),3650,291045000,0,0,84500,84500,78000
2018-04-04,36.12,82000,2.3(2.89 %),45850,3748630000,5761,489685000,79100,82500,79100
2018-04-05,36.47,82800,1(1.22 %),34710,2860148000,0,0,82100,82800,81900
2018-04-06,35.68,81000,-1.4(-1.70 %),31600,2606110000,0,0,82600,83000,81000
2018-04-09,34.36,78000,-4.5(-5.45 %),15400,1211650000,0,0,80000,80000,78000
2018-04-10,34.4,78100,-0.6(-0.76 %),2200,176120000,0,0,80500,80900,78100
2018-04-11,33.04,75000,-5.1(-6.37 %),8665,652167000,0,0,77000,77000,73000
2018-04-12,31.1,70600,-4.7(-6.24 %),7500,537030000,0,0,72100,72900,69800
2018-04-13,31.06,70500,-1.1(-1.54 %),5650,398814500,0,0,65700,75000,65700
2018-04-16,31.94,72500,1.9(2.69 %),9500,692850000,0,0,71000,73500,71000
2018-04-17,34.01,77200,4.3(5.90 %),66200,5031040000,0,0,74000,77200,74000
2018-04-18,34.1,77400,1.4(1.84 %),20110,1550468000,0,0,77000,77400,77000
2018-04-19,32.99,74900,-2.2(-2.85 %),1200,89030000,0,0,75000,75000,73100
2018-04-20,33.26,75500,1.3(1.75 %),10100,759700000,0,0,73000,75500,73000
2018-04-23,32.42,73600,-1.6(-2.13 %),30400,2286530000,0,0,75200,75700,73000
2018-04-24,33.08,75100,-0.1(-0.13 %),34400,2580090000,0,0,74900,75100,73000
2018-04-26,33.48,76000,1(1.33 %),108300,8208300000,0,0,75000,76100,75000
2018-04-27,38.32,81300,11.2(14.78 %),58500,4589100000,0,0,77000,81300,77000
2018-05-02,37.22,84500,6.1(7.78 %),2300,193350000,0,0,82500,84500,82500
2018-05-03,36.56,83000,-1.1(-1.31 %),2500,210500000,0,0,84500,84500,83000
2018-05-04,37.66,85500,1.3(1.54 %),200,18100000,0,0,88800,88800,85500
2018-05-07,37.84,85900,-4.6(-5.08 %),3300,281100000,13000,1040000000,91500,91500,81000
2018-05-08,35.68,81000,-4.2(-4.93 %),13700,1168060000,0,0,85500,86000,79900
2018-05-09,43.17,86700,12.7(14.89 %),21700,2038080000,0,0,85300,86700,84000
2018-05-10,45.81,104000,10.1(10.76 %),16910,1688650000,16500,1626000000,95000,104000,91100
2018-05-11,50.22,111300,14.1(14.11 %),11165,1221470000,7518,840230000,96700,111300,96700
2018-05-14,43.61,106000,-10.5(-9.59 %),1250,128020000,0,0,106000,108500,106000
2018-05-15,41.41,94000,-8.5(-8.29 %),2800,263500000,0,0,95000,95000,93000
2018-05-16,40.75,92500,-1.6(-1.70 %),1700,157750000,0,0,93000,93000,92500
2018-05-17,40.09,91000,-1.8(-1.94 %),9815,882825000,0,0,94000,94000,89000
2018-05-18,43.61,97400,9(10.00 %),3300,307850000,0,0,90300,97400,90300
2018-05-21,44.05,100000,6.7(7.18 %),1060,104220000,0,0,95000,100000,95000
2018-05-22,41.85,95000,-3.3(-3.36 %),3700,352490000,0,0,97000,97000,95000
2018-05-23,41.98,95300,0(0.00 %),15,1335000,0,0,95300,95300,95300
2018-05-24,41.85,95000,-0.3(-0.31 %),700,67000000,0,0,95000,96000,95000
2018-05-25,41.41,94000,-1.7(-1.78 %),8250,770400000,0,0,95000,95000,92500
2018-05-28,39.65,90000,-3.4(-3.64 %),14900,1359600000,0,0,94000,94000,90000
2018-05-29,39.87,90500,-0.7(-0.77 %),29621,2659755500,0,0,90500,91000,87500
2018-05-30,37.88,86000,-3.8(-4.23 %),12110,1049710000,0,0,86200,87100,86000
2018-05-31,38.32,87000,0.3(0.35 %),2530,219990000,0,0,86700,87000,86700
2018-06-01,40.09,91000,4(4.60 %),14000,1262100000,0,0,90000,91200,88600
2018-06-04,41.85,95000,4.8(5.32 %),2880,272440000,0,0,90000,95000,90000
2018-06-05,41.63,94500,0.1(0.11 %),970,91560000,0,0,95500,95500,94500
2018-06-06,41.85,95000,0.3(0.32 %),2100,200300000,0,0,95000,95500,95000
2018-06-07,41.85,95000,-0.4(-0.42 %),6100,578500000,0,0,94000,95000,94000
2018-06-08,42.73,97000,2.2(2.32 %),1310,125042500,0,0,94800,97000,94800
2018-06-11,40.09,91000,-4.4(-4.61 %),1610,146500000,0,0,91000,91000,91000
2018-06-12,40.09,91000,0(0.00 %),0,0,0,0,91000,91000,91000
2018-06-13,40.09,91000,0(0.00 %),0,0,0,0,91000,91000,91000
2018-06-14,40.09,91000,0(0.00 %),0,0,50000,3870000000,91000,91000,91000
2018-06-15,40.09,91000,0(0.00 %),100,9100000,0,0,91000,91000,91000
2018-06-18,39.21,89000,-2(-2.20 %),1900,174050000,0,0,94000,95000,89000
2018-06-19,37.88,86000,-5.6(-6.11 %),6000,519750000,0,0,87500,87500,86000
2018-06-20,36.56,83000,-3.6(-4.16 %),5200,447930000,0,0,87000,87000,83000
2018-06-21,37.44,85000,-1.1(-1.28 %),5900,506340000,0,0,85000,86900,85000
2018-06-22,38.32,87000,1.1(1.28 %),5500,473470000,0,0,85000,87800,85000
2018-06-25,37.44,85000,-1.1(-1.28 %),1000,85000000,0,0,85000,85000,85000
2018-06-26,40.09,91000,6(7.06 %),33500,2974230000,157200,15248400000,85000,91000,84000
2018-06-27,40.13,91100,2.3(2.59 %),7900,713710000,240000,21360000000,90300,91100,90000
2018-06-28,37.44,85000,-5.3(-5.87 %),4700,407450000,0,0,87400,87400,85000
2018-06-29,35.02,79500,-7.2(-8.30 %),10300,826300000,0,0,81500,82000,79500
2018-07-02,30.4,73900,-11.2(-13.97 %),12800,915800000,73200,6734400000,74200,74200,73900
2018-07-03,26.92,64200,-10.4(-14.55 %),1500,91560000,0,0,64200,64200,64200
2018-07-04,30.35,65400,7.9(12.95 %),1039,71035000,0,0,65400,65400,65400
2018-07-05,29.95,68000,-0.9(-1.31 %),2100,135800000,0,0,70000,70000,64100
2018-07-06,27.53,63200,-2.2(-3.40 %),5200,324150000,0,0,63200,63200,63200
2018-07-09,25.55,58100,-4.3(-6.90 %),12250,685844100,0,0,62300,62300,58100
2018-07-10,25.55,58000,2(3.57 %),9100,527520000,0,0,62100,62100,56500
2018-07-11,27.22,61800,3.8(6.55 %),2500,145370000,0,0,53900,62100,53900
2018-07-12,26.08,59200,1.1(1.89 %),900,51920000,0,0,57500,59300,57500
2018-07-13,24.67,56000,-1.7(-2.95 %),720,41042000,0,0,60000,60000,56000
2018-07-16,23.79,54000,-3(-5.26 %),25905,1319085000,0,0,52500,54000,52100
2018-07-17,23.79,54000,3.1(6.09 %),45700,2469360000,0,0,57800,57800,54000
2018-07-18,27.09,57800,7.5(13.89 %),13550,771060000,0,0,54000,57800,51000
2018-07-19,27.75,63000,6.1(10.72 %),3614,218214000,0,0,64900,64900,57200
2018-07-20,29.95,67400,7.6(12.58 %),4200,268730000,20150,1035710000,63000,67400,60400
2018-07-23,28.19,64000,0(0.00 %),450,28823600,0,0,68000,68000,64000
2018-07-24,29.91,67900,2.9(4.46 %),100,6790000,0,0,67900,67900,67900
2018-07-25,29.91,67900,0(0.00 %),0,0,0,0,67900,67900,67900
2018-07-26,26.43,63100,-7.9(-11.63 %),8160,548808100,0,0,63100,70000,63100
