Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2024-07-02,28.1,28700,0.1(0.35 %),719800,20636000000,6666667,200000010000,28600,28850,28550
2024-07-03,27.41,28000,-0.7(-2.44 %),656000,18667000000,0,0,28700,29000,27500
2024-07-04,26.34,26900,-1.1(-3.93 %),555600,15114000000,0,0,27900,28000,26700
2024-07-05,25.31,25850,-1.05(-3.90 %),509400,13485000000,0,0,26850,26900,25850
2024-07-08,26.43,27000,1.15(4.45 %),195100,5136000000,0,0,25800,27000,25800
2024-07-09,26.48,27050,0.05(0.19 %),299200,8094000000,0,0,27100,27200,26950
2024-07-10,26.24,26800,-0.25(-0.92 %),258000,6971000000,0,0,27050,27200,26800
2024-07-11,26.53,27100,0.3(1.12 %),233700,6313000000,0,0,26800,27150,26800
2024-07-12,26.43,27000,-0.1(-0.37 %),208400,5633000000,0,0,27100,27200,26900
2024-07-15,26.29,26850,-0.15(-0.56 %),238300,6423000000,0,0,27000,27200,26700
2024-07-16,26.24,26800,-0.05(-0.19 %),177700,4773000000,0,0,26850,27000,26750
2024-07-17,25.85,26400,-0.4(-1.49 %),315500,8412000000,0,0,26800,27100,26250
2024-07-18,25.11,25650,-0.75(-2.84 %),354900,9228000000,0,0,26400,26550,25200
2024-07-19,24.77,25300,-0.35(-1.36 %),293400,7478000000,0,0,25650,25750,25150
2024-07-22,24.38,24900,-0.4(-1.58 %),324100,8128000000,0,0,25550,25550,24700
2024-07-23,24.23,24750,-0.15(-0.60 %),206700,5133000000,0,0,24900,25050,24700
2024-07-24,24.48,25000,0.25(1.01 %),277000,6867000000,0,0,24750,25400,24600
2024-07-25,24.62,25150,0.15(0.60 %),273300,6813000000,0,0,25000,25150,24750
2024-07-26,25.11,25650,0.5(1.99 %),342500,8694000000,0,0,25150,25650,25150
2024-07-29,25.26,25800,0.15(0.58 %),323400,8330000000,0,0,25650,25850,25650
2024-07-30,25.11,25650,-0.15(-0.58 %),225500,5776000000,0,0,25800,25800,25450
2024-07-31,25.06,25600,-0.05(-0.19 %),185300,4745000000,0,0,25650,25750,25450
2024-08-01,24.38,24900,-0.7(-2.73 %),239800,6034000000,0,0,25600,25600,24900
2024-08-02,24.72,25250,0.35(1.41 %),300700,7517000000,0,0,24900,25250,24800
2024-08-05,23.3,23800,-1.45(-5.74 %),327000,8120000000,0,0,25250,25250,23800
2024-08-06,24.08,24600,0.8(3.36 %),474900,11533000000,0,0,23800,24700,23800
2024-08-07,24.23,24750,0.15(0.61 %),218900,5409000000,105700,2420530000,24600,24850,24550
2024-08-08,24.18,24700,-0.05(-0.20 %),167000,4146000000,0,0,24750,25000,24700
2024-08-09,24.82,25350,0.65(2.63 %),382500,9583000000,0,0,24700,25400,24650
2024-08-12,25.45,26000,0.65(2.56 %),405800,10382000000,0,0,25350,26000,25350
2024-08-13,25.45,26000,0(0.00 %),265400,6901000000,330000,8580000000,26000,26200,25850
2024-08-14,25.26,25800,-0.2(-0.77 %),200600,5202000000,0,0,26000,26100,25800
2024-08-15,24.77,25300,-0.5(-1.94 %),189100,4845000000,0,0,25800,25800,25300
2024-08-16,25.11,25650,0.35(1.38 %),415400,10515000000,0,0,25300,25650,24850
2024-08-19,24.57,25100,-0.55(-2.14 %),183000,4645000000,0,0,25650,25700,25100
2024-08-20,25.01,25550,0.45(1.79 %),211200,5351000000,0,0,25100,25550,25100
2024-08-21,25.16,25700,0.15(0.59 %),226000,5787000000,0,0,25550,25800,25400
2024-08-22,25.06,25600,-0.1(-0.39 %),275900,7036000000,0,0,25700,25700,25250
2024-08-23,25.01,25550,-0.05(-0.20 %),140800,3595000000,0,0,25600,25650,25400
2024-08-26,25.01,25550,0(0.00 %),109400,2792000000,0,0,25550,25650,25400
2024-08-27,24.77,25300,-0.25(-0.98 %),117400,2974000000,0,0,25550,25550,25200
2024-08-28,24.77,25300,0(0.00 %),118300,2993000000,0,0,25300,25400,25150
2024-08-29,24.48,25000,-0.3(-1.19 %),155000,3888000000,0,0,25200,25300,24900
2024-08-30,24.28,24800,-0.2(-0.80 %),147000,3649000000,0,0,25000,25000,24550
2024-09-04,24.08,24600,-0.2(-0.81 %),107800,2654000000,0,0,24800,24800,24450
2024-09-05,24.23,24750,0.15(0.61 %),247800,6106000000,0,0,24600,24900,24500
2024-09-06,25.89,26450,1.7(6.87 %),1027800,26363000000,0,0,24750,26450,24700
2024-09-09,26.19,26750,0.3(1.13 %),434000,11411000000,0,0,26400,26750,26000
2024-09-10,25.21,25750,-1(-3.74 %),206800,5456000000,0,0,26600,26700,25750
2024-09-11,25.55,26100,0.35(1.36 %),379700,9681000000,0,0,25750,26100,24700
2024-09-12,25.94,26500,0.4(1.53 %),245900,6443000000,0,0,26000,26500,26000
2024-09-13,26.09,26650,0.15(0.57 %),256500,6808000000,0,0,26400,26700,26400
2024-09-16,25.8,26350,-0.3(-1.13 %),197300,5230000000,0,0,26650,26700,26000
2024-09-17,25.55,26100,-0.25(-0.95 %),230800,5952000000,0,0,26350,26350,25600
2024-09-18,25.31,25850,-0.25(-0.96 %),153900,4001000000,0,0,26100,26100,25850
2024-09-19,24.82,25350,-0.5(-1.93 %),225000,5796000000,0,0,25850,26000,25350
2024-09-20,24.96,25500,0.15(0.59 %),197500,5014000000,0,0,25350,25600,25050
2024-09-23,24.77,25300,-0.2(-0.78 %),121400,3095000000,0,0,25500,25650,25300
2024-09-24,24.38,24900,-0.4(-1.58 %),232300,5823000000,0,0,25300,25400,23550
2024-09-25,24.67,25200,0.3(1.20 %),134800,3376000000,0,0,24900,25200,24800
2024-09-26,24.72,25250,0.05(0.20 %),140800,3553000000,0,0,25200,25400,25100
2024-09-27,24.62,25150,-0.1(-0.40 %),149100,3765000000,0,0,25250,25400,25050
2024-09-30,24.57,25100,-0.05(-0.20 %),161800,4063000000,0,0,25150,25200,24950
2024-10-01,25.11,25650,0.55(2.19 %),349800,8890000000,0,0,25100,25650,25100
2024-10-02,25.36,25900,0.25(0.97 %),412400,10532000000,0,0,25650,25900,25150
2024-10-03,25.45,26000,0.1(0.39 %),193900,5034000000,0,0,25900,26100,25850
2024-10-04,25.41,25950,-0.05(-0.19 %),177300,4598000000,0,0,26000,26050,25800
2024-10-07,25.26,25800,-0.15(-0.58 %),207800,5400000000,0,0,25900,26250,25800
2024-10-08,25.26,25800,0(0.00 %),215800,5573000000,0,0,25800,25950,25700
2024-10-09,25.41,25950,0.15(0.58 %),224800,5811000000,0,0,25800,26000,25750
2024-10-10,25.41,25950,0(0.00 %),219600,5693000000,0,0,25950,26050,25850
2024-10-11,25.41,25950,0(0.00 %),149700,3868000000,0,0,25900,25950,25800
