Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2010-10-27,4.02,22800,-1.2(-5.00 %),24680,564885000,0,0,22900,24000,22800
2010-10-28,3.82,21700,-1.1(-4.82 %),22820,497103000,0,0,22800,22800,21700
2010-10-29,3.65,20700,-1(-4.61 %),53340,1109348000,0,0,20700,22700,20700
2010-11-01,3.61,20500,-0.2(-0.97 %),28940,594430000,0,0,20500,20900,20500
2010-11-02,3.79,21500,1(4.88 %),15780,338066000,0,0,20900,21500,20900
2010-11-03,3.97,22500,1(4.65 %),26470,595555000,0,0,22500,22500,22300
2010-11-04,4.16,23600,1.1(4.89 %),39030,918783000,0,0,23600,23600,23300
2010-11-05,4.35,24700,1.1(4.66 %),14040,346788000,0,0,24700,24700,24700
2010-11-08,4.56,25900,1.2(4.86 %),44640,1156176000,0,0,25900,25900,25900
2010-11-09,4.37,24800,-1.1(-4.25 %),87340,2307066000,0,0,27100,27100,24800
2010-11-10,4.55,25800,1(4.03 %),55510,1428780000,0,0,24800,26000,24800
2010-11-11,4.37,24800,-1(-3.88 %),14320,356254000,0,0,25100,25300,24800
2010-11-12,4.56,25900,1.1(4.44 %),37640,959156000,0,0,24100,25900,23800
2010-11-15,4.35,24700,-1.2(-4.63 %),18860,466706000,0,0,25600,25600,24700
2010-11-16,4.37,24800,0.1(0.40 %),17530,427191000,0,0,25600,25600,24000
2010-11-17,4.41,25000,0.2(0.81 %),5000,125000000,0,0,25000,25000,25000
2010-11-18,4.19,23800,-1.2(-4.80 %),40550,984005000,0,0,25500,25700,23800
2010-11-19,4.0,22700,-1.1(-4.62 %),36370,833128000,0,0,24200,24200,22700
2010-11-22,4.14,23500,0.8(3.52 %),13550,302999000,0,0,23600,23600,22000
2010-11-23,4.28,24300,0.8(3.40 %),27730,637932000,0,0,23700,24600,22400
2010-11-24,4.3,24400,0.1(0.41 %),4470,106799000,0,0,23600,24400,23500
2010-11-25,4.26,24200,-0.2(-0.82 %),12210,299870000,0,0,25000,25000,24200
2010-11-26,4.26,24200,0(0.00 %),8400,203064000,0,0,24200,24200,24000
2010-11-29,4.23,24000,-0.2(-0.83 %),11480,270230000,0,0,24200,24200,23200
2010-11-30,4.44,25200,1.2(5.00 %),18610,468572000,0,0,25200,25200,25000
2010-12-01,4.65,26400,1.2(4.76 %),51930,1368500000,0,0,26400,26400,26000
2010-12-02,4.76,27000,0.6(2.27 %),33090,883504000,0,0,27400,27400,26400
2010-12-03,4.9,27800,0.8(2.96 %),52380,1452998000,0,0,27500,28000,27200
2010-12-06,4.93,28000,0.2(0.72 %),83520,2336925000,0,0,28200,28200,27600
2010-12-07,4.8,26050,-0.7(-2.69 %),5850,151040000,0,0,27000,27000,26050
2010-12-08,4.57,24100,-1.2(-4.74 %),13500,326538000,0,0,24500,25000,24100
2010-12-09,4.73,24900,0.8(3.32 %),13700,327810000,0,0,24000,24900,23400
2010-12-10,4.55,24000,-0.9(-3.61 %),29320,702038000,0,0,24500,24500,23700
2010-12-13,4.78,25200,1.2(5.00 %),54340,1366845000,0,0,25100,25200,25000
2010-12-14,4.57,24100,-1.1(-4.37 %),8510,210592000,0,0,25000,25100,24100
2010-12-15,4.5,23700,-0.4(-1.66 %),8250,197975000,0,0,24100,24200,23700
2010-12-16,4.31,22700,-1(-4.22 %),36890,846201000,0,0,23000,23400,22700
2010-12-17,4.35,22900,0.2(0.88 %),23980,545370000,0,0,22700,23300,22300
2010-12-20,4.27,22500,-0.4(-1.75 %),28250,642522000,0,0,23200,23200,22500
2010-12-21,4.31,22700,0.2(0.89 %),16070,363849000,0,0,23200,23200,22500
2010-12-22,4.36,23000,0.3(1.32 %),22510,518839000,0,0,23200,23200,22900
2010-12-23,4.31,22700,-0.3(-1.30 %),13900,315626000,0,0,22800,22900,22600
2010-12-24,4.35,22900,0.2(0.88 %),9870,223428000,0,0,22400,22900,22400
2010-12-27,4.36,23000,0.1(0.44 %),2100,48300000,0,0,23000,23000,23000
