Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2010-06-07,16.93,30100,-1(-3.22 %),174100,5243000000,0,0,30100,30900,30000
2010-06-08,17.21,30600,0.5(1.66 %),296830,9108518000,0,0,31600,31600,30000
2010-06-09,16.93,30100,-0.5(-1.63 %),270660,8230370000,0,0,30600,30700,30000
2010-06-10,16.31,29000,-1.1(-3.65 %),171510,4995045000,0,0,29400,30000,28700
2010-06-11,16.08,28600,-0.4(-1.38 %),207730,5996494000,0,0,29400,29400,28500
2010-06-14,16.59,29500,0.9(3.15 %),264930,7746507000,80000,2400000000,28600,30000,28600
2010-06-15,16.31,29000,-0.5(-1.69 %),153920,4484483000,0,0,29900,29900,28900
2010-06-16,16.59,29500,0.5(1.72 %),225880,6649713000,0,0,29000,29800,29000
2010-06-17,16.42,29200,-0.3(-1.02 %),171440,5046014000,84000,2368800000,29500,29600,29200
2010-06-18,16.25,28900,-0.3(-1.03 %),121420,3512067000,0,0,29200,29200,28600
2010-06-21,16.25,28900,0(0.00 %),200230,5800010000,0,0,29000,29100,28900
2010-06-22,16.17,26900,-0.1(-0.43 %),195110,4525679000,80000,1936000000,26900,26900,26900
2010-06-23,16.17,23000,0(0.00 %),42650,976013000,0,0,22500,23800,22500
2010-06-24,16.94,24100,1.1(4.78 %),396740,9489754000,0,0,23500,24100,23300
2010-06-25,16.94,24100,0(0.00 %),266630,6481549000,0,0,24000,25000,23900
2010-06-28,16.87,24000,-0.1(-0.41 %),148950,3582161000,0,0,24200,24200,23900
2010-06-29,16.73,23800,-0.2(-0.83 %),136270,3262033000,0,0,24000,24300,23800
2010-06-30,16.03,22800,-1(-4.20 %),324040,7438452000,80000,1992000000,23200,23300,22700
2010-07-01,15.74,22400,-0.4(-1.75 %),264470,5931013000,0,0,22600,23000,22300
2010-07-02,16.1,22900,0.5(2.23 %),91600,2069516000,0,0,23200,23200,22200
2010-07-05,16.17,23000,0.1(0.44 %),115070,2640780000,200000,4580000000,22900,23000,22500
2010-07-06,16.1,22900,-0.1(-0.43 %),408600,9385108000,1500000,33000000000,22500,23000,22500
2010-07-07,16.1,22900,0(0.00 %),339170,7794627000,0,0,23200,23200,22800
2010-07-08,16.1,22900,0(0.00 %),308800,7080745000,0,0,22900,23100,22800
2010-07-09,16.45,23400,0.5(2.18 %),622360,14448765000,0,0,23000,23400,22800
2010-07-12,16.94,24100,0.7(2.99 %),623230,15039490000,100000,2410000000,23600,24500,23500
2010-07-13,16.94,24100,0(0.00 %),315500,7605855000,0,0,24300,24300,23900
2010-07-14,16.31,23200,-0.9(-3.73 %),430560,10090354000,100000,2320000000,24000,24100,23200
2010-07-15,16.45,23400,0.2(0.86 %),260630,6148052000,645000,14254500000,23500,23900,23400
2010-07-16,16.31,23200,-0.2(-0.85 %),118880,2767141000,0,0,23300,23600,23100
2010-07-19,16.17,23000,-0.2(-0.86 %),81370,1867137000,0,0,22800,23100,22700
2010-07-20,16.03,22800,-0.2(-0.87 %),121800,2784180000,0,0,23000,23000,22800
2010-07-21,15.96,22700,-0.1(-0.44 %),176750,3996871000,0,0,22900,22900,22500
2010-07-22,15.81,22500,-0.2(-0.88 %),235640,5311289000,0,0,22500,22600,22400
2010-07-23,15.74,22400,-0.1(-0.44 %),355370,7971596000,0,0,22500,22600,22300
2010-07-26,16.38,23300,0.9(4.02 %),263130,6099947000,0,0,22400,23500,22400
2010-07-27,16.24,23100,-0.2(-0.86 %),81960,1892035000,0,0,23100,23400,22800
2010-07-28,15.67,22300,-0.8(-3.46 %),126320,2846903000,0,0,23000,23000,22300
2010-07-29,15.67,22300,0(0.00 %),74180,1655416000,0,0,22500,22500,22200
2010-07-30,15.67,22300,0(0.00 %),88610,1980255000,0,0,22200,22700,22200
2010-08-02,15.46,22000,-0.3(-1.35 %),41700,922428000,0,0,22300,22600,22000
2010-08-03,15.46,22000,0(0.00 %),34520,760083000,0,0,22900,22900,22000
2010-08-04,15.32,21800,-0.2(-0.91 %),71110,1550118000,0,0,21700,21900,21700
2010-08-05,15.32,21800,0(0.00 %),87660,1923326000,0,0,21800,22000,21800
2010-08-06,15.39,21900,0.1(0.46 %),71920,1561853000,0,0,21300,21900,21300
2010-08-09,14.97,21300,-0.6(-2.74 %),237120,5136057000,0,0,22300,22300,21300
2010-08-10,14.27,20300,-1(-4.69 %),192760,3922722000,0,0,20600,20700,20300
2010-08-11,14.83,21100,0.8(3.94 %),54260,1138266000,0,0,20900,21200,20500
2010-08-12,14.13,20100,-1(-4.74 %),146540,2953378000,0,0,20500,20800,20100
2010-08-13,14.34,20400,0.3(1.49 %),62960,1268397000,0,0,20000,20500,20000
2010-08-16,15.04,21400,1(4.90 %),140680,3003771000,0,0,21000,21400,20900
2010-08-17,15.04,21400,0(0.00 %),26270,555779000,0,0,20700,21500,20700
2010-08-18,14.69,20900,-0.5(-2.34 %),31850,676805000,0,0,21800,21800,20800
2010-08-19,14.76,21000,0.1(0.48 %),6550,136575000,0,0,21200,21200,20700
2010-08-20,14.9,21200,0.2(0.95 %),90330,1898024000,0,0,21000,21200,20800
2010-08-23,14.76,21000,-0.2(-0.94 %),38820,816550000,0,0,21000,21200,21000
2010-08-24,14.06,20000,-1(-4.76 %),259760,5289639000,0,0,20700,20800,20000
2010-08-25,13.35,19000,-1(-5.00 %),134950,2577516000,0,0,19500,19500,19000
2010-08-26,13.71,19500,0.5(2.63 %),125810,2401399000,0,0,19900,19900,19000
2010-08-27,14.06,20000,0.5(2.56 %),61480,1217104000,0,0,19900,20200,19000
2010-08-30,14.69,20900,0.9(4.50 %),61240,1278077000,0,0,21000,21000,20600
2010-08-31,15.25,21700,0.8(3.83 %),156040,3351458000,0,0,20500,21700,20500
2010-09-01,15.32,21800,0.1(0.46 %),61340,1325472000,0,0,21000,22200,21000
2010-09-06,15.46,22000,0.2(0.92 %),473620,10490816000,0,0,22600,22600,21900
2010-09-07,15.39,21900,-0.1(-0.45 %),66140,1448782000,0,0,21500,22000,21500
2010-09-08,15.32,21800,-0.1(-0.46 %),38810,832454000,0,0,21400,21800,21200
2010-09-09,15.89,22600,0.8(3.67 %),161970,3638574000,100000,2220000000,22700,22800,21800
2010-09-10,15.32,21800,-0.8(-3.54 %),228900,5076205000,0,0,22300,22600,21800
2010-09-13,15.46,22000,0.2(0.92 %),178460,3953262000,0,0,22000,22800,21500
2010-09-14,15.6,22200,0.2(0.91 %),39070,869566000,1228300,27022600000,22400,22500,22100
2010-09-15,15.46,22000,-0.2(-0.90 %),132730,2922631000,0,0,21600,22500,21600
2010-09-16,15.96,22700,0.7(3.18 %),276900,6189821000,100000,2180000000,22000,22700,22000
2010-09-17,16.73,23800,1.1(4.85 %),562480,13383624000,0,0,23600,23800,23500
2010-09-20,17.5,24900,1.1(4.62 %),1947160,48484284000,0,0,24900,24900,24900
2010-09-21,17.5,24900,0(0.00 %),1243910,31191886000,0,0,25000,26000,23800
2010-09-22,17.5,24900,0(0.00 %),980330,24270443000,0,0,24900,25000,24500
2010-09-23,17.15,24400,-0.5(-2.01 %),607600,14807837000,3150000,74655000000,24700,24800,24000
2010-09-24,17.71,25200,0.8(3.28 %),1215440,30519166000,0,0,24500,25600,24000
2010-09-27,17.99,25600,0.4(1.59 %),827790,21182844000,0,0,26000,26100,25200
2010-09-28,18.43,25200,0.6(2.44 %),911150,23154569000,0,0,25600,25700,25100
2010-09-29,17.99,24600,-0.6(-2.38 %),398280,9891702000,0,0,25300,25300,24300
2010-09-30,17.56,24000,-0.6(-2.44 %),321820,7743823000,20000,480000000,24000,24400,23600
2010-10-01,17.26,23600,-0.4(-1.67 %),297100,7081598000,0,0,23900,24300,23600
2010-10-04,16.46,22500,-1.1(-4.66 %),820010,18522912000,20000,494000000,23200,23200,22500
2010-10-05,16.82,23000,0.5(2.22 %),279030,6253836000,20000,428000000,22000,23000,21900
2010-10-06,17.56,24000,1(4.35 %),325720,7728308000,41760,944544000,23500,24100,23200
2010-10-07,17.34,23700,-0.3(-1.25 %),336600,8095906000,50000,1200000000,24000,24400,23700
2010-10-08,17.12,23400,-0.3(-1.27 %),209530,4934832000,0,0,23500,23900,23400
