Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2006-12-25,16.61,47200,2.2(4.89 %),2320,109504,0,0,45000,47200,45000
2006-12-26,17.42,49500,2.3(4.87 %),3000,148500,0,0,47200,49500,47200
2006-12-27,18.13,51500,2(4.04 %),32270,1661905,0,0,51500,51500,51500
2006-12-28,17.42,49500,-2(-3.88 %),4100,204750,0,0,54000,54000,49500
2006-12-29,18.13,51500,2(4.04 %),16300,839450,0,0,49500,51500,49500
2007-01-02,19.01,54000,2.5(4.85 %),10,1000000,0,0,54000,54000,54000
2007-01-03,18.13,51500,-2.5(-4.63 %),2310,0,0,0,54000,54000,51500
2007-01-04,17.25,49000,-2.5(-4.85 %),500,25000000,0,0,49000,49000,49000
2007-01-05,16.4,46600,-2.4(-4.90 %),27230,0,0,0,46600,46600,46600
2007-01-08,15.73,44700,-1.9(-4.08 %),19670,256000000,0,0,46600,46600,44700
2007-01-09,15.14,43000,-1.7(-3.80 %),81290,3477000000,0,0,42500,43000,42500
2007-01-10,15.87,45100,2.1(4.88 %),30060,1238000000,0,0,40900,45100,40900
2007-01-11,16.65,47300,2.2(4.88 %),11230,525000000,0,0,47300,47300,46600
2007-01-12,15.84,45000,-2.3(-4.86 %),8180,372000000,0,0,45100,47100,45000
2007-01-15,15.07,42800,-2.2(-4.89 %),23100,990000000,0,0,45000,45000,42800
2007-01-16,15.14,43000,0.2(0.47 %),21360,918000000,0,0,43000,43000,43000
2007-01-17,15.14,43000,0(0.00 %),22200,955000000,0,0,43000,43000,43000
2007-01-18,15.84,45000,2(4.65 %),39600,1737000000,0,0,43000,45000,43000
2007-01-19,16.61,47200,2.2(4.89 %),46150,2140000000,0,0,47000,47200,45000
2007-01-22,17.39,49400,2.2(4.66 %),66090,3255000000,0,0,49200,49400,49200
2007-01-23,17.42,49500,0.1(0.20 %),41970,2078000000,0,0,49500,49500,49500
2007-01-24,18.13,51500,2(4.04 %),32690,1684000000,0,0,51500,51500,51500
2007-01-25,18.83,53500,2(3.88 %),46460,2503000000,0,0,54000,54000,53500
2007-01-26,17.95,51000,-2.5(-4.67 %),9550,487000000,0,0,53500,53500,51000
2007-01-29,17.78,50500,-0.5(-0.98 %),30750,1551000000,0,0,50500,50500,48500
2007-01-30,18.3,52000,1.5(2.97 %),1650,85000000,0,0,51000,52000,51000
2007-01-31,19.18,54500,2.5(4.81 %),20520,2052000000,0,0,52000,54500,52000
2007-02-01,20.06,57000,2.5(4.59 %),28410,2841000000,0,0,57000,57000,57000
2007-02-02,20.94,59500,2.5(4.39 %),14040,1404000000,0,0,57000,59500,57000
2007-02-05,20.06,57000,-2.5(-4.20 %),4910,284000000,0,0,57000,58500,57000
2007-02-06,19.18,54500,-2.5(-4.39 %),8190,446000000,0,0,54500,54500,54500
2007-02-07,19.54,55500,1(1.83 %),14720,808000000,0,0,55500,55500,52000
2007-02-08,18.66,53000,-2.5(-4.50 %),5790,316000000,0,0,53000,58000,53000
2007-02-09,17.78,50500,-2.5(-4.72 %),8200,416000000,0,0,50500,51000,50500
2007-02-12,18.66,53000,2.5(4.95 %),500,27000000,0,0,53000,53000,53000
2007-02-13,18.66,53000,0(0.00 %),1100,60000000,0,0,53000,55500,53000
2007-02-14,18.83,53500,0.5(0.94 %),3320,177000000,0,0,53500,53500,53000
2007-02-15,19.54,55500,2(3.74 %),3400,184000000,0,0,55500,55500,53000
2007-02-26,20.06,57000,1.5(2.70 %),9730,555000000,0,0,57000,57000,57000
2007-02-27,20.94,59500,2.5(4.39 %),13380,792000000,0,0,59500,59500,57000
2007-02-28,21.12,60000,0.5(0.84 %),6460,388000000,0,0,60000,60000,60000
2007-03-01,20.06,57000,-3(-5.00 %),2270,129000000,0,0,57000,57000,57000
2007-03-02,19.36,55000,-2(-3.51 %),11280,616000000,0,0,54500,55000,54500
2007-03-05,19.36,55000,0(0.00 %),25370,1395000000,0,0,55000,55000,53500
2007-03-06,20.24,57500,2.5(4.55 %),23710,1358000000,0,0,57500,57500,55000
2007-03-07,21.12,60000,2.5(4.35 %),23710,1401000000,0,0,59000,60000,58000
2007-03-08,22.18,63000,3(5.00 %),27600,1739000000,0,0,63000,63000,63000
2007-03-09,23.23,66000,3(4.76 %),22170,1463000000,0,0,66000,66000,66000
