Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2009-12-02,7.27,51500,2.3(4.67 %),168440,8671860000,0,0,51500,51500,51000
2009-12-03,7.05,50000,-1.5(-2.91 %),31220,1626458000,0,0,53500,53500,49200
2009-12-04,6.77,48000,-2(-4.00 %),21440,1038560000,74280,3528300000,49000,49000,48000
2009-12-07,6.56,46500,-1.5(-3.12 %),27210,1293580000,0,0,48700,48700,46000
2009-12-08,6.24,44200,-2.3(-4.95 %),48260,2156062000,0,0,46500,46500,44200
2009-12-09,5.93,42000,-2.2(-4.98 %),15700,659400000,0,0,42000,42000,42000
2009-12-10,5.93,42000,0(0.00 %),76550,3078595000,0,0,39900,42000,39900
2009-12-11,5.63,39900,-2.1(-5.00 %),34810,1389419000,0,0,39900,40500,39900
2009-12-14,5.63,39900,0(0.00 %),35370,1421541000,0,0,40000,41000,39900
2009-12-15,5.63,39900,0(0.00 %),13260,529694000,0,0,39900,40500,39900
2009-12-16,5.36,38000,-1.9(-4.76 %),19740,759185000,0,0,39800,39800,38000
2009-12-17,5.36,38000,0(0.00 %),35340,1349482000,0,0,36600,39700,36600
2009-12-18,5.63,39900,1.9(5.00 %),29430,1165504000,0,0,38900,39900,38900
2009-12-21,5.9,41800,1.9(4.76 %),46550,1913884000,0,0,41300,41800,40000
2009-12-22,6.0,42500,0.7(1.67 %),30770,1329662000,0,0,43400,43700,40100
2009-12-23,6.0,41000,0(0.00 %),23570,944220000,0,0,39500,42000,39500
2009-12-24,6.01,41100,0.1(0.24 %),10760,440131000,0,0,41000,41100,40000
2009-12-25,6.19,42300,1.2(2.92 %),25060,1050853000,0,0,42500,43000,41000
2009-12-28,5.88,40200,-2.1(-4.96 %),15720,647290000,0,0,42000,42500,40200
2009-12-29,5.89,40300,0.1(0.25 %),11400,468530000,0,0,41000,42200,40300
2009-12-30,5.98,40900,0.6(1.49 %),20210,811253000,0,0,40300,41100,40000
2009-12-31,6.0,41000,0.1(0.24 %),70840,2946535000,0,0,41500,42500,41000
2010-01-04,6.29,43000,2(4.88 %),15590,669934000,0,0,41000,43000,41000
2010-01-05,6.14,42000,-1(-2.33 %),66900,2844393000,0,0,41000,44400,41000
2010-01-06,6.29,43000,1(2.38 %),76450,3256460000,0,0,42000,43000,42000
2010-01-07,6.29,43000,0(0.00 %),27050,1160020000,0,0,42600,43000,42500
2010-01-08,6.23,42600,-0.4(-0.93 %),14830,636847000,0,0,43900,43900,42600
2010-01-11,6.2,42400,-0.2(-0.47 %),8550,360332000,0,0,43300,43300,41000
2010-01-12,6.0,41000,-1.4(-3.30 %),21140,879280000,0,0,42000,42500,41000
2010-01-13,5.98,40900,-0.1(-0.24 %),14650,600733000,0,0,41100,42000,40900
2010-01-14,6.11,41800,0.9(2.20 %),13140,543071000,0,0,41900,41900,41000
2010-01-15,6.08,41600,-0.2(-0.48 %),9700,404588000,0,0,41200,42000,41200
2010-01-18,5.88,40200,-1.4(-3.37 %),21370,862997000,0,0,40200,41700,40200
2010-01-19,5.92,40500,0.3(0.75 %),12630,516070000,0,0,41000,41500,40000
2010-01-20,5.7,39000,-1.5(-3.70 %),42270,1695665000,0,0,40500,41300,39000
2010-01-21,5.75,39300,0.3(0.77 %),11040,440870000,0,0,40900,40900,39300
2010-01-22,5.73,39200,-0.1(-0.25 %),6760,264985000,0,0,39500,39500,39100
2010-01-25,5.72,39100,-0.1(-0.26 %),7130,279217000,0,0,39500,39500,39100
2010-01-26,5.79,39600,0.5(1.28 %),26220,1048796000,0,0,40000,40000,39600
2010-01-27,5.82,39800,0.2(0.51 %),2510,97771000,0,0,39000,39800,38800
2010-01-28,5.78,39500,-0.3(-0.75 %),5990,236020000,0,0,39000,39700,39000
2010-01-29,5.78,39500,0(0.00 %),4720,185570000,0,0,39000,39500,39000
2010-02-01,5.65,38600,-0.9(-2.28 %),8370,326532000,0,0,39000,39100,38600
2010-02-02,5.67,38800,0.2(0.52 %),8600,333834000,0,0,39000,39000,38800
2010-02-03,5.72,39100,0.3(0.77 %),9110,356629000,0,0,39800,39800,38800
2010-02-04,5.73,39200,0.1(0.26 %),7710,302362000,0,0,39000,39500,39000
2010-02-05,5.67,38800,-0.4(-1.02 %),2010,77988000,0,0,38800,38800,38800
2010-02-08,5.63,38500,-0.3(-0.77 %),60,2335000,0,0,39000,39000,38500
2010-02-09,5.57,38100,-0.4(-1.04 %),9100,348020000,0,0,38500,38500,38000
2010-02-10,5.63,38500,0.4(1.05 %),5480,211000000,0,0,38500,38600,38500
2010-02-11,5.76,39400,0.9(2.34 %),7100,275645000,0,0,38500,39400,38500
2010-02-12,5.72,39100,-0.3(-0.76 %),4040,157964000,0,0,39100,39100,39100
2010-02-22,5.85,40000,0.9(2.30 %),1090,41614000,0,0,37400,40000,37400
2010-02-23,5.73,39200,-0.8(-2.00 %),1700,66702000,0,0,39800,39800,39000
2010-02-24,5.7,39000,-0.2(-0.51 %),1510,58998000,0,0,39800,39800,39000
2010-02-25,5.7,39000,0(0.00 %),12890,503148000,0,0,39200,39200,39000
2010-02-26,5.7,39000,0(0.00 %),2190,84470000,0,0,37500,39000,37100
2010-03-01,5.7,39000,0(0.00 %),5030,188676000,0,0,37600,39000,37500
2010-03-02,5.59,38200,-0.8(-2.05 %),4670,179085000,0,0,39800,39800,38000
2010-03-03,5.59,38200,0(0.00 %),16470,627622000,0,0,38200,38500,38000
2010-03-04,5.65,38600,0.4(1.05 %),2400,93841000,0,0,39500,39500,38500
2010-03-05,5.59,38200,-0.4(-1.04 %),10070,389360000,0,0,39000,39000,38200
2010-03-08,5.79,39600,1.4(3.66 %),6520,257119000,0,0,39000,40000,39000
