Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2009-12-23,3.92,50000,2(4.17 %),2610,130500000,0,0,50000,50000,50000
2009-12-24,4.11,52500,2.5(5.00 %),3600,189000000,0,0,52500,52500,52500
2009-12-25,4.31,55000,2.5(4.76 %),15520,853600000,0,0,55000,55000,55000
2009-12-28,4.51,57500,2.5(4.55 %),22110,1271325000,0,0,57500,57500,57500
2009-12-29,4.7,60000,2.5(4.35 %),38610,2316600000,0,0,60000,60000,60000
2009-12-30,4.94,63000,3(5.00 %),6900,434700000,0,0,63000,63000,63000
2009-12-31,5.17,66000,3(4.76 %),16600,1095600000,0,0,66000,66000,66000
2010-01-04,5.41,69000,3(4.55 %),9500,655500000,0,0,69000,69000,69000
2010-01-05,5.64,72000,3(4.35 %),20500,1476000000,0,0,72000,72000,72000
2010-01-06,5.68,72500,0.5(0.69 %),94440,7079020000,0,0,75500,75500,72500
2010-01-07,5.8,74000,1.5(2.07 %),45500,3265875000,0,0,70000,75000,70000
2010-01-08,5.84,74500,0.5(0.68 %),23530,1786945000,0,0,77000,77500,74500
2010-01-11,6.03,77000,2.5(3.36 %),14590,1124495000,0,0,77500,78000,75500
2010-01-12,5.76,73500,-3.5(-4.55 %),31540,2491360000,0,0,80000,80000,73500
2010-01-13,5.48,70000,-3.5(-4.76 %),9910,693700000,0,0,70000,70000,70000
2010-01-14,5.52,70500,0.5(0.71 %),53980,3769890000,0,0,69500,72000,68500
2010-01-15,5.56,71000,0.5(0.71 %),15060,1040955000,0,0,67500,71000,67000
2010-01-18,5.29,67500,-3.5(-4.93 %),43440,2989635000,0,0,72000,73000,67500
2010-01-19,5.33,68000,0.5(0.74 %),1430,97240000,0,0,68000,68000,68000
2010-01-20,5.17,66000,-2(-2.94 %),1260,85510000,0,0,68000,69000,66000
2010-01-21,4.94,63000,-3(-4.55 %),23690,1494720000,0,0,64000,64000,63000
2010-01-22,4.7,60000,-3(-4.76 %),25790,1597040000,0,0,64000,64500,60000
2010-01-25,4.74,60500,0.5(0.83 %),39940,2339705000,0,0,57500,61000,57000
2010-01-26,4.98,63500,3(4.96 %),27290,1726690000,0,0,62500,63500,62500
2010-01-27,4.94,63000,-0.5(-0.79 %),10730,672390000,50000,3325000000,65000,65000,61000
2010-01-28,4.78,61000,-2(-3.17 %),5940,361615000,0,0,61000,63000,60500
2010-01-29,4.86,62000,1(1.64 %),12380,766305000,0,0,62000,62500,61000
2010-02-01,4.94,63000,1(1.61 %),3930,248985000,0,0,63000,63500,61500
2010-02-02,4.98,63500,0.5(0.79 %),12750,816885000,0,0,62000,64500,62000
2010-02-03,4.98,63500,0(0.00 %),1010,63735000,0,0,63500,63500,63000
2010-02-04,5.01,64000,0.5(0.79 %),6600,418045000,0,0,61500,64000,61500
2010-02-05,4.78,61000,-3(-4.69 %),26670,1627920000,0,0,61000,63500,61000
2010-02-08,4.62,59000,-2(-3.28 %),18040,1058075000,0,0,62000,62000,58000
2010-02-09,4.62,59000,0(0.00 %),12680,717120000,0,0,59000,59000,56500
2010-02-10,4.62,59000,0(0.00 %),6400,374185000,0,0,59000,60000,56500
2010-02-11,4.7,60000,1(1.69 %),4530,270480000,0,0,60000,60000,59000
2010-02-12,4.86,62000,2(3.33 %),12020,714305000,0,0,62000,63000,58000
2010-02-22,4.9,62500,0.5(0.81 %),8050,499310000,0,0,62000,62500,59000
2010-02-23,4.86,62000,-0.5(-0.80 %),4960,302920000,0,0,59500,62000,59500
2010-02-24,4.7,60000,-2(-3.23 %),3510,209850000,0,0,59500,60000,59500
2010-02-25,4.54,58000,-2(-3.33 %),6930,404845000,0,0,59000,60500,58000
2010-02-26,4.54,58000,0(0.00 %),2800,163230000,0,0,59500,60000,58000
2010-03-01,4.66,59500,1.5(2.59 %),8210,487970000,0,0,58000,60000,58000
2010-03-02,4.7,60000,0.5(0.84 %),12780,760970000,0,0,59500,60000,59500
2010-03-03,4.78,61000,1(1.67 %),8110,497235000,0,0,61500,61500,61000
2010-03-04,4.78,61000,0(0.00 %),12170,743180000,0,0,62000,62000,60000
2010-03-05,4.78,61000,0(0.00 %),21810,1298250000,0,0,61000,61000,58000
2010-03-08,4.86,62000,1(1.64 %),23050,1420625000,0,0,62000,62000,61000
2010-03-09,4.78,61000,-1(-1.61 %),3580,219040000,0,0,63000,63000,61000
2010-03-10,5.01,64000,3(4.92 %),288980,18411185000,0,0,62000,64000,61500
2010-03-11,5.25,67000,3(4.69 %),221670,14851890000,24000,1476000000,67000,67000,67000
2010-03-12,5.48,70000,3(4.48 %),100110,7007700000,0,0,70000,70000,70000
2010-03-15,5.76,73500,3.5(5.00 %),86950,6390675000,0,0,73500,73500,73000
2010-03-16,5.48,70000,-3.5(-4.76 %),115140,8114520000,0,0,70500,75500,70000
2010-03-17,5.37,68500,-1.5(-2.14 %),74320,5170930000,0,0,71500,71500,68500
2010-03-18,5.41,69000,0.5(0.73 %),57130,3927465000,0,0,70000,70000,66000
2010-03-19,5.45,69500,0.5(0.72 %),100290,6990720000,25000,1650000000,70000,70000,69000
2010-03-22,5.41,69000,-0.5(-0.72 %),12480,859120000,0,0,68500,69000,68500
2010-03-23,5.29,67500,-1.5(-2.17 %),17420,1185800000,0,0,68000,69000,67500
2010-03-24,5.33,68000,0.5(0.74 %),4450,304015000,0,0,68500,68500,68000
2010-03-25,5.29,67500,-0.5(-0.74 %),33050,2218925000,0,0,68000,68000,66500
2010-03-26,5.33,68000,0.5(0.74 %),69020,4712880000,0,0,68500,69000,67500
2010-03-29,5.37,68500,0.5(0.74 %),19060,1303975000,0,0,68500,68500,68000
2010-03-30,5.25,67000,-1.5(-2.19 %),34860,2371770000,0,0,68000,68500,67000
2010-03-31,5.17,66000,-1(-1.49 %),23400,1555735000,0,0,66500,67000,66000
2010-04-01,5.29,67500,1.5(2.27 %),43260,2842150000,0,0,65000,67500,64000
2010-04-02,5.21,66500,-1(-1.48 %),23680,1582105000,0,0,66000,68000,65500
2010-04-05,5.45,69500,3(4.51 %),54510,3776300000,30000,1920000000,69000,69500,68000
2010-04-06,5.45,69500,0(0.00 %),20710,1454275000,0,0,71000,71000,69000
2010-04-07,5.45,69500,0(0.00 %),13810,962690000,0,0,70000,70500,69500
2010-04-08,5.45,69500,0(0.00 %),24450,1699385000,0,0,70000,70000,69000
2010-04-09,5.68,72500,3(4.32 %),64150,4620915000,32000,2160000000,71000,72500,70500
2010-04-12,5.95,76000,3.5(4.83 %),12590,956840000,45130,3159100000,76000,76000,76000
2010-04-13,6.23,79500,3.5(4.61 %),115230,9157090000,0,0,79500,79500,77000
2010-04-14,6.5,83000,3.5(4.40 %),129540,10640245000,0,0,82500,83000,77500
2010-04-15,6.42,82000,-1(-1.20 %),31180,2565100000,0,0,85500,86000,80500
2010-04-16,6.74,86000,4(4.88 %),52620,4515225000,500000,43000000000,86000,86000,83500
2010-04-19,6.97,89000,3(3.49 %),55680,4984785000,0,0,90000,90000,85000
2010-04-20,6.97,89000,0(0.00 %),73120,6497130000,0,0,88500,90500,86500
2010-04-21,6.9,88000,-1(-1.12 %),122180,10845220000,0,0,89500,90000,86000
2010-04-22,6.9,88000,0(0.00 %),52260,4655000000,0,0,86500,90000,86500
2010-04-26,6.58,84000,-4(-4.55 %),125360,10813060000,0,0,87500,88000,84000
2010-04-27,6.62,84500,0.5(0.60 %),25570,2148530000,0,0,84000,84500,83500
2010-04-28,6.62,84500,0(0.00 %),37010,3108185000,0,0,87500,87500,83000
2010-04-29,6.74,86000,1.5(1.78 %),40590,3433580000,0,0,86500,86500,83500
