Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2021-07-16,18.72,30000,1(3.45 %),2685467,77842858000,150000,4785000000,29000,30400,27900
2021-07-19,17.47,28000,-2(-6.67 %),1078833,31618937000,0,0,29800,30200,28000
2021-07-20,17.47,28000,0(0.00 %),1366200,37367450000,0,0,28000,28900,26700
2021-07-21,18.28,29300,1.3(4.64 %),1013750,29146525100,0,0,28000,29400,28000
2021-07-22,18.78,30100,0.8(2.73 %),1110440,33170533300,0,0,29300,30600,28600
2021-07-23,17.78,28500,-1.6(-5.32 %),680700,19908770000,0,0,30000,30300,28500
2021-07-26,17.16,27500,-1(-3.51 %),478600,13332110000,0,0,28200,28600,27500
2021-07-27,16.79,26900,-0.6(-2.18 %),619600,16934510000,0,0,27500,29000,26900
2021-07-28,16.22,26000,-0.9(-3.35 %),926156,24433182000,0,0,27000,27500,25000
2021-07-29,16.1,25800,-0.2(-0.77 %),819100,21245640000,0,0,26000,26900,25600
2021-07-30,16.66,26700,0.9(3.49 %),846300,22344700000,0,0,25800,26900,25800
2021-08-02,16.16,25900,-0.8(-3.00 %),1013900,26398010000,0,0,26900,26900,25700
2021-08-03,15.97,25600,-0.3(-1.16 %),1242600,31462770000,0,0,25800,26000,24500
2021-08-04,16.6,26600,1(3.91 %),968900,25246250000,0,0,25700,26600,25500
2021-08-05,16.97,27200,0.6(2.26 %),669700,17935130000,0,0,26600,27300,26000
2021-08-06,17.41,27900,0.7(2.57 %),1231316,34099593200,20000,490000000,27200,28400,26600
2021-08-09,18.22,29200,1.3(4.66 %),1111500,31640440000,3157000,88396000000,28000,29400,27500
2021-08-10,18.22,29200,0(0.00 %),515209,14912832800,0,0,29600,29600,28400
2021-08-11,17.72,28400,-0.8(-2.74 %),746800,21395480000,0,0,29200,29200,28400
2021-08-12,17.72,28400,0(0.00 %),321940,9165460000,0,0,28400,28800,28000
2021-08-13,17.6,28200,-0.2(-0.70 %),489600,13763380000,3157000,88396000000,28400,28500,27900
2021-08-16,18.16,29100,0.9(3.19 %),631410,18344205000,0,0,28600,29600,28300
2021-08-17,17.72,28400,-0.7(-2.41 %),472800,13585570000,0,0,29200,29400,28400
2021-08-18,17.47,28000,-0.4(-1.41 %),245054,6936692000,0,0,28400,29200,28000
2021-08-19,17.47,28000,0(0.00 %),416424,11642522000,0,0,28000,28200,27700
2021-08-20,16.85,27000,-1(-3.57 %),955362,26334889600,0,0,28200,28400,26600
2021-08-23,16.04,25700,-1.3(-4.81 %),665806,17521612900,0,0,26700,27100,25100
2021-08-24,16.72,26800,1.1(4.28 %),421760,11253706000,0,0,25800,27500,25800
2021-08-25,16.97,27200,0.4(1.49 %),356631,9631997000,0,0,27000,27300,26600
2021-08-26,17.78,28500,1.3(4.78 %),1064500,29831400000,0,0,27800,28700,27500
2021-08-27,17.78,28500,0(0.00 %),769617,21740338400,0,0,28500,28600,27500
2021-09-06,17.78,28500,0(0.00 %),499400,14184000000,0,0,28500,29000,27550
2021-09-07,17.47,28000,-0.5(-1.75 %),231300,6519000000,149400,3966570000,28600,28600,27800
2021-09-08,17.69,28350,0.35(1.25 %),336000,9478000000,0,0,28000,28450,27800
2021-09-09,17.5,28050,-0.3(-1.06 %),160000,4508000000,0,0,28300,28350,28000
2021-09-10,17.53,28100,0.05(0.18 %),293000,8235000000,0,0,28000,28300,28000
2021-09-13,18.0,28850,0.75(2.67 %),527700,15007000000,0,0,28100,28900,27950
2021-09-14,17.81,28550,-0.3(-1.04 %),218100,6243000000,0,0,28800,28800,28400
2021-09-15,17.81,28550,0(0.00 %),224600,6382000000,0,0,28400,28600,28200
2021-09-16,17.6,28200,-0.35(-1.23 %),298200,8407000000,0,0,28550,28550,28000
2021-09-17,18.1,29000,0.8(2.84 %),925800,26542000000,0,0,28200,29000,28000
2021-09-20,17.91,28700,-0.3(-1.03 %),269700,7800000000,0,0,29000,29300,28600
2021-09-21,17.78,28500,-0.2(-0.70 %),236200,6665000000,0,0,28050,28600,28000
2021-09-22,17.6,28200,-0.3(-1.05 %),263100,7441000000,0,0,28200,28500,28150
2021-09-23,17.97,28800,0.6(2.13 %),1073000,30941000000,0,0,28200,29000,28200
2021-09-24,18.03,28900,0.1(0.35 %),148400,4270000000,0,0,28600,28950,28600
2021-09-27,18.1,29000,0.1(0.35 %),818700,23713000000,0,0,28900,29700,28500
2021-09-28,17.94,28750,-0.25(-0.86 %),263200,7516000000,349000,10819000000,28900,28900,28400
2021-09-29,17.75,28450,-0.3(-1.04 %),154300,4403000000,50000,1350000000,28500,28650,28450
2021-09-30,17.85,28600,0.15(0.53 %),289700,8258000000,0,0,28500,28800,28350
2021-10-01,17.66,28300,-0.3(-1.05 %),262600,7510000000,0,0,28600,28800,28300
2021-10-04,17.72,28400,0.1(0.35 %),151200,4260000000,0,0,28500,28500,28050
2021-10-05,17.88,28650,0.25(0.88 %),245900,6992000000,0,0,28400,28650,28150
2021-10-06,17.97,28800,0.15(0.52 %),232600,6702000000,0,0,28700,29050,28500
2021-10-07,18.03,28900,0.1(0.35 %),324900,9352000000,0,0,28900,29000,28500
2021-10-08,18.03,28900,0(0.00 %),354300,10213000000,0,0,28900,29000,28500
2021-10-11,19.28,30900,2(6.92 %),1808100,55272000000,0,0,29250,30900,29100
2021-10-12,20.28,32500,1.6(5.18 %),1325500,42488000000,0,0,31600,32800,31000
2021-10-13,20.25,32450,-0.05(-0.15 %),343100,11191000000,0,0,32100,33400,31900
2021-10-14,19.69,31550,-0.9(-2.77 %),1105400,35112000000,50000,1735000000,31800,32250,31550
2021-10-15,19.47,31200,-0.35(-1.11 %),1207100,37957000000,240000,7468800000,31800,32000,30300
2021-10-18,19.34,31000,-0.2(-0.64 %),545800,17152000000,0,0,31200,32100,30900
2021-10-19,19.66,31500,0.5(1.61 %),579700,18011000000,200000,6248000000,31000,31500,30500
2021-10-20,19.22,30800,-0.7(-2.22 %),450700,13947000000,200000,6184000000,31500,31500,29550
2021-10-21,18.91,30300,-0.5(-1.62 %),328400,10021000000,700000,21229000000,31100,31100,30000
2021-10-22,18.91,30300,0(0.00 %),628400,19043000000,0,0,30050,30750,30050
2021-10-25,18.47,29600,-0.7(-2.31 %),536600,16119000000,0,0,30300,30700,29600
2021-10-26,18.1,29000,-0.6(-2.03 %),799200,22922000000,200000,5728000000,29300,29300,28350
2021-10-27,19.09,30600,1.6(5.52 %),427200,12862000000,500000,15050000000,29050,30700,29050
2021-10-28,19.09,30600,0(0.00 %),616000,18660000000,0,0,31000,31000,30000
2021-10-29,18.97,30400,-0.2(-0.65 %),872200,26326000000,0,0,30450,30450,29800
2021-11-01,19.09,30600,0.2(0.66 %),1538400,46912000000,0,0,30500,30800,30100
2021-11-02,19.59,31400,0.8(2.61 %),2067400,63901000000,0,0,30600,31500,30150
2021-11-03,19.22,30800,-0.6(-1.91 %),1287700,39787000000,0,0,31750,31750,30300
2021-11-04,19.28,30900,0.1(0.32 %),1179100,36276000000,60000,1920000000,30750,31000,30250
2021-11-05,18.94,30350,-0.55(-1.78 %),697700,21240000000,0,0,31000,31000,30200
2021-11-08,19.31,30950,0.6(1.98 %),843200,25725000000,0,0,30350,31000,30350
2021-11-09,19.09,30600,-0.35(-1.13 %),1069200,32713000000,0,0,30900,30900,30500
2021-11-10,19.41,31100,0.5(1.63 %),1227800,38041000000,0,0,30650,31400,30650
2021-11-11,19.03,30500,-0.6(-1.93 %),1173500,36169000000,0,0,31100,31300,30300
2021-11-12,19.03,30500,0(0.00 %),470100,14263000000,0,0,30600,30800,30050
2021-11-15,19.37,31050,0.55(1.80 %),1291100,39991000000,0,0,30500,31650,30400
2021-11-16,19.16,30700,-0.35(-1.13 %),593700,18403000000,450000,13941000000,31500,31500,30700
2021-11-17,19.41,31100,0.4(1.30 %),734300,22635000000,0,0,30600,31200,30600
2021-11-18,20.06,32150,1.05(3.38 %),1477400,47000000000,600000,19122000000,31100,32500,31100
2021-11-19,20.44,32750,0.6(1.87 %),2633500,86432000000,0,0,32700,33500,32150
2021-11-22,19.91,31900,-0.85(-2.60 %),698200,22615000000,0,0,32750,33000,31800
2021-11-23,19.84,31800,-0.1(-0.31 %),667300,21283000000,0,0,31700,32200,31500
2021-11-24,19.97,32000,0.2(0.63 %),1248300,40311000000,0,0,31800,33150,31500
