Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2008-02-27,18.78,32000,-1.6(-4.76 %),220,7000000,0,0,32000,32000,32000
2008-02-28,17.84,30400,-1.6(-5.00 %),340,10000000,0,0,30500,30500,30400
2008-02-29,16.96,28900,-1.5(-4.93 %),300,9000000,0,0,28900,28900,28900
2008-03-03,16.14,27500,-1.4(-4.84 %),20,550000,0,0,27500,27500,27500
2008-03-04,15.37,26200,-1.3(-4.73 %),210,5502000,0,0,26200,26200,26200
2008-03-05,14.61,24900,-1.3(-4.96 %),200,4980000,0,0,24900,24900,24900
2008-03-06,14.14,24100,-0.8(-3.21 %),48880,1231043000,0,0,25000,26100,23700
2008-03-07,14.84,25300,1.2(4.98 %),144960,3649302000,0,0,23000,25300,23000
2008-03-10,14.14,24100,-1.2(-4.74 %),17310,439741000,0,0,26200,26200,24100
2008-03-11,13.44,22900,-1.2(-4.98 %),2290,52441000,0,0,22900,22900,22900
2008-03-12,12.79,21800,-1.1(-4.80 %),15590,339862000,0,0,21800,21800,21800
2008-03-13,12.2,20800,-1(-4.59 %),8620,179296000,0,0,20800,20800,20800
2008-03-14,11.62,19800,-1(-4.81 %),4870,96426000,0,0,19800,19800,19800
2008-03-17,11.09,18900,-0.9(-4.55 %),2500,47250000,0,0,18900,18900,18900
2008-03-18,10.56,18000,-0.9(-4.76 %),720,12960000,0,0,18000,18000,18000
2008-03-19,10.03,17100,-0.9(-5.00 %),59710,1021233000,0,0,17100,18900,17100
2008-03-20,9.56,16300,-0.8(-4.68 %),9600,156774000,0,0,16300,17000,16300
2008-03-21,9.09,15500,-0.8(-4.91 %),7990,123845000,0,0,15500,15500,15500
2008-03-24,8.68,14800,-0.7(-4.52 %),9910,146668000,0,0,14800,14800,14800
2008-03-25,8.27,14100,-0.7(-4.73 %),1180,16638000,0,0,14100,14100,14100
2008-03-26,7.86,13400,-0.7(-4.96 %),13130,176822000,0,0,13400,14100,13400
2008-03-27,7.92,13500,0.1(0.75 %),6130,82400000,0,0,13400,13500,13400
2008-03-28,7.98,13600,0.1(0.74 %),8390,113359000,0,0,13500,13600,13500
2008-03-31,8.04,13700,0.1(0.74 %),1810,24797000,0,0,13700,13700,13700
2008-04-01,8.1,13800,0.1(0.73 %),5100,70380000,0,0,13800,13800,13800
2008-04-02,8.16,13900,0.1(0.72 %),100,1390000,0,0,13900,13900,13900
2008-04-03,8.21,14000,0.1(0.72 %),880,12320000,0,0,14000,14000,14000
2008-04-04,8.27,14100,0.1(0.71 %),10,141000,0,0,14100,14100,14100
2008-04-07,8.39,14300,0.2(1.42 %),10100,144430000,0,0,14300,14300,14300
2008-04-08,8.51,14500,0.2(1.40 %),52960,767752000,0,0,14500,14500,14300
2008-04-09,8.51,14500,0(0.00 %),11540,165858000,0,0,14300,14700,14300
2008-04-10,8.39,14300,-0.2(-1.38 %),850,12275000,0,0,14500,14500,14300
2008-04-11,8.27,14100,-0.2(-1.40 %),580,8178000,0,0,14100,14100,14100
2008-04-16,8.16,13900,-0.2(-1.42 %),3240,45036000,0,0,13900,13900,13900
2008-04-17,8.27,14100,0.2(1.44 %),6090,84285000,0,0,13700,14100,13700
2008-04-18,8.16,13900,-0.2(-1.42 %),6040,83956000,0,0,13900,13900,13900
2008-04-21,8.04,13700,-0.2(-1.44 %),2370,32469000,0,0,13700,13700,13700
2008-04-22,8.16,13900,0.2(1.46 %),37820,525018000,0,0,13900,13900,13700
2008-04-23,8.04,13700,-0.2(-1.44 %),9430,131064000,0,0,14000,14100,13700
2008-04-24,7.92,13500,-0.2(-1.46 %),9140,123394000,0,0,13500,13900,13500
2008-04-25,7.92,13500,0(0.00 %),6580,88138000,0,0,13300,13700,13300
2008-04-28,8.04,13700,0.2(1.48 %),9920,135023000,0,0,13600,13700,13600
2008-04-29,8.16,13900,0.2(1.46 %),76200,1059148000,0,0,13900,13900,13700
2008-05-05,8.16,13900,0(0.00 %),7290,102594000,0,0,14100,14100,13900
2008-05-06,8.04,13700,-0.2(-1.44 %),1940,26578000,0,0,13700,13700,13700
2008-05-07,7.92,13500,-0.2(-1.46 %),14180,191440000,0,0,13500,13700,13500
2008-05-08,7.8,13300,-0.2(-1.48 %),350,4655000,0,0,13300,13300,13300
2008-05-09,7.69,13100,-0.2(-1.50 %),2870,37597000,0,0,13100,13100,13100
2008-05-12,7.57,12900,-0.2(-1.53 %),100,1290000,0,0,12900,12900,12900
2008-05-13,7.45,12700,-0.2(-1.55 %),50,635000,0,0,12700,12700,12700
2008-05-14,7.33,12500,-0.2(-1.57 %),110,1375000,0,0,12500,12500,12500
2008-05-15,7.22,12300,-0.2(-1.60 %),90,1107000,0,0,12300,12300,12300
2008-05-16,7.1,12100,-0.2(-1.63 %),1120,13552000,0,0,12100,12100,12100
2008-05-19,6.98,11900,-0.2(-1.65 %),1870,22253000,0,0,11900,11900,11900
