Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2009-10-28,9.55,29300,0.3(1.03 %),6561020,193181151000,838046,23590331000,29700,29800,29000
2009-10-29,9.19,28200,-1.1(-3.75 %),3970860,112086281000,0,0,28500,29000,27900
2009-10-30,9.19,28200,0(0.00 %),3723990,105349522000,0,0,28500,28600,28000
2009-11-02,8.93,27400,-0.8(-2.84 %),5989710,163214340000,255000,7063500000,27500,27700,26800
2009-11-03,8.63,26500,-0.9(-3.28 %),3297810,88175848000,165833,4328241000,27100,27500,26400
2009-11-04,8.63,26500,0(0.00 %),2791880,74655368000,92507,2451436000,27000,27100,26300
2009-11-05,8.89,27300,0.8(3.02 %),2980370,80486172000,160000,4032000000,27000,27500,26600
2009-11-06,8.8,27000,-0.3(-1.10 %),3057730,83986504000,90000,2340000000,27900,27900,27000
2009-11-09,8.6,26400,-0.6(-2.22 %),3593740,95048816000,100000,2570000000,26500,26900,26200
2009-11-10,8.44,25900,-0.5(-1.89 %),2749910,71829961000,83463,2181423000,26500,26700,25800
2009-11-11,8.63,26500,0.6(2.32 %),2148090,56244027000,381784,9430065000,26000,26500,25800
2009-11-12,8.63,26500,0(0.00 %),1890050,50231245000,0,0,26500,26800,26400
2009-11-13,8.63,26500,0(0.00 %),1842920,48620583000,0,0,26300,26500,26200
2009-11-16,8.44,25900,-0.6(-2.26 %),1965290,51265704000,306927,7983102000,26200,26500,25900
2009-11-17,8.24,25300,-0.6(-2.32 %),2059480,52625149000,0,0,25900,25900,25300
2009-11-18,8.14,25000,-0.3(-1.19 %),2541330,63484740000,70000,1735000000,25000,25100,24800
2009-11-19,8.28,25400,0.4(1.60 %),1896910,47901874000,220000,5296000000,25000,25600,25000
2009-11-20,8.14,25000,-0.4(-1.57 %),1462170,36740936000,0,0,25300,25400,25000
2009-11-23,7.92,24300,-0.7(-2.80 %),1601490,39215936000,181874,4328601000,24800,24900,24300
2009-11-24,7.62,23400,-0.9(-3.70 %),2915180,69203138000,40000,924000000,24000,24300,23400
2009-11-25,7.27,22300,-1.1(-4.70 %),4320240,96944110000,90000,2007000000,23000,23000,22300
2009-11-26,6.91,21200,-1.1(-4.93 %),4072270,86783052000,75000,1590000000,21500,21900,21200
