Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2010-10-14,12.06,55000,0(0.00 %),102890,5659900000,0,0,55000,56000,54500
2010-10-15,11.52,52500,-2.5(-4.55 %),79650,4230915000,0,0,52500,55000,52500
2010-10-18,11.3,51500,-1(-1.90 %),67420,3473090000,0,0,52500,53000,50500
2010-10-19,11.41,52000,0.5(0.97 %),64120,3303855000,0,0,52000,53500,50000
2010-10-20,11.41,52000,0(0.00 %),11000,565056000,0,0,49600,52000,49600
2010-10-21,11.41,52000,0(0.00 %),20500,1051750000,0,0,51500,52000,50000
2010-10-22,11.41,52000,0(0.00 %),26000,1351000000,0,0,52000,52000,51500
2010-10-25,11.41,52000,0(0.00 %),26200,1342530000,0,0,50000,52000,50000
2010-10-26,11.52,52500,0.5(0.96 %),17310,909100000,0,0,52000,53500,51500
2010-10-27,11.52,52500,0(0.00 %),20750,1085555000,0,0,53000,53500,50000
2010-10-28,10.97,50000,-2.5(-4.76 %),16160,809190000,0,0,50500,51500,49900
2010-10-29,11.19,51000,1(2.00 %),18000,909500000,0,0,50500,51000,48000
2010-11-01,11.3,51500,0.5(0.98 %),710,36610000,0,0,52000,52000,51000
2010-11-02,10.86,49500,-2(-3.88 %),5200,259600000,0,0,51500,52000,49000
2010-11-03,10.97,50000,0.5(1.01 %),6680,328318000,0,0,47100,51000,47100
2010-11-04,11.17,50000,0.9(1.83 %),9630,469970000,0,0,46700,50000,46700
2010-11-05,11.17,50000,0(0.00 %),3000,150000000,0,0,50000,50000,50000
2010-11-08,11.17,50000,0(0.00 %),29730,1472800000,0,0,50000,50000,48500
2010-11-09,11.12,49800,-0.2(-0.40 %),11060,531058000,0,0,48000,50000,47500
2010-11-10,11.1,49700,-0.1(-0.20 %),3500,171750000,0,0,49800,49800,47400
2010-11-11,11.06,49500,-0.2(-0.40 %),2310,110786000,0,0,47600,49500,47400
2010-11-12,10.92,48900,-0.6(-1.21 %),6310,303243000,0,0,47200,48900,47100
2010-11-15,10.92,48900,0(0.00 %),1000,48900000,0,0,48900,48900,48900
2010-11-16,10.43,46700,-2.2(-4.50 %),3740,175462000,0,0,48800,48800,46700
2010-11-17,10.72,48000,1.3(2.78 %),14590,704790000,0,0,46700,49000,46700
2010-11-18,10.72,48000,0(0.00 %),1100,53100000,0,0,49000,49000,48000
2010-11-19,10.72,48000,0(0.00 %),2100,100800000,0,0,48000,48000,48000
2010-11-22,10.61,47500,-0.5(-1.04 %),2000,95000000,0,0,47500,47500,47500
2010-11-23,10.68,47800,0.3(0.63 %),3600,170800000,0,0,47200,48000,47200
2010-11-24,10.68,47800,0(0.00 %),200,9560000,0,0,47800,47800,47800
2010-11-25,10.68,47800,0(0.00 %),3280,156744000,0,0,47900,47900,47700
2010-11-26,10.68,47800,0(0.00 %),6420,302330000,0,0,49000,49000,45500
2010-11-29,10.54,47200,-0.6(-1.26 %),4620,214764000,100000,4550000000,45500,47400,45500
2010-11-30,10.54,47200,0(0.00 %),12820,608944000,0,0,48900,48900,47000
2010-12-01,10.5,47000,-0.2(-0.42 %),14600,674190000,0,0,47100,47200,45000
2010-12-02,10.5,47000,0(0.00 %),26600,1234610000,0,0,46000,47000,46000
2010-12-03,10.95,49000,2(4.26 %),36300,1775130000,20000,980000000,47000,49300,47000
2010-12-06,11.06,49500,0.5(1.02 %),12700,607930000,0,0,50000,50000,46600
2010-12-07,10.88,48700,-0.8(-1.62 %),46600,2225910000,0,0,49300,49300,47100
2010-12-08,10.61,47500,-1.2(-2.46 %),18690,885291000,0,0,47300,47500,47300
2010-12-09,10.97,49100,1.6(3.37 %),6530,316282000,0,0,45200,49300,45200
