Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2018-08-08,5.66,9500,0.1(1.06 %),452721,4553960300,0,0,8700,10500,8700
2018-08-09,5.89,9900,-0.2(-1.98 %),256811,2504263300,0,0,9900,10100,8840
2018-08-10,5.24,9210,-1(-10.20 %),213435,2078581000,0,0,9300,9900,9210
2018-08-13,5.89,9420,0.2(2.06 %),608321,5839253500,0,0,9420,9420,8500
2018-08-14,5.36,9210,-0.6(-6.25 %),215585,2076707600,0,0,9600,9700,9210
2018-08-15,5.3,8900,-0.7(-7.29 %),310054,2874071700,0,0,9400,9500,8600
2018-08-16,5.36,9000,-0.3(-3.23 %),254405,2375396000,0,0,9000,9400,8800
2018-08-17,5.42,9100,-0.2(-2.15 %),232938,2165046400,0,0,9000,9400,8800
2018-08-20,5.3,8900,-0.4(-4.30 %),312731,2875205500,0,0,9200,9300,8900
2018-08-21,5.3,8900,-0.3(-3.26 %),286640,2616610100,0,0,9200,9300,8600
2018-08-22,5.24,8800,-0.3(-3.30 %),414933,3722447800,21,163800,8800,9100,8500
2018-08-23,5.24,8800,-0.2(-2.22 %),170328,1544403600,0,0,9000,9200,8700
2018-08-24,5.48,9200,0.1(1.10 %),680649,6592543100,0,0,9000,9420,9000
2018-08-27,5.36,9000,-0.7(-7.22 %),403722,3923019600,88,730400,9200,9840,9000
2018-08-28,5.36,9000,-0.7(-7.22 %),280578,2658589800,0,0,9400,9600,8800
2018-08-29,5.24,8800,-0.7(-7.37 %),68360,607856000,0,0,8900,9000,8800
2018-08-30,5.36,9000,0.1(1.12 %),92124,810068900,0,0,8800,9000,8700
2018-08-31,5.24,8800,0(0.00 %),181696,1662464400,0,0,8700,9200,8700
2018-09-04,5.24,8800,-0.4(-4.35 %),60537,523467200,0,0,8800,8800,8500
2018-09-05,5.12,8600,0(0.00 %),168869,1488389500,0,0,8800,8900,8300
2018-09-06,5.0,8400,-0.4(-4.55 %),185740,1608476000,0,0,8200,8700,8200
2018-09-07,4.94,8300,-0.4(-4.60 %),164266,1379280700,0,0,8500,8500,8100
2018-09-10,4.76,8000,-0.4(-4.76 %),185593,1531043300,0,0,8300,8300,7900
2018-09-11,5.18,8560,0.4(4.82 %),370275,3064392300,2350,16685000,7900,8560,7500
2018-09-12,4.76,8090,-0.3(-3.61 %),176225,1459840000,0,0,8100,8400,8090
2018-09-13,4.82,8100,-0.2(-2.41 %),198076,1622119200,0,0,8100,8200,8000
2018-09-14,4.94,8300,0.1(1.22 %),181152,1521372200,0,0,8200,8600,8000
2018-09-17,4.88,8200,-0.2(-2.38 %),151610,1264759000,0,0,8500,8500,8100
2018-09-18,4.82,8100,-0.2(-2.41 %),134994,1093549400,0,0,8200,8200,8000
2018-09-19,4.76,8000,-0.1(-1.23 %),196527,1587726000,0,0,8000,8100,7900
2018-09-20,4.76,8000,-0.1(-1.23 %),193494,1547045600,0,0,8000,8000,7900
2018-09-21,4.94,8300,0.3(3.75 %),360098,3047919800,0,0,8100,8560,8000
2018-09-24,4.94,8300,-0.2(-2.35 %),248609,2170340700,0,0,8500,8880,8200
2018-09-25,5.3,8880,0.2(2.30 %),493247,4577593600,0,0,8500,8880,8500
2018-09-26,5.36,9000,-0.3(-3.23 %),435407,4105465100,0,0,9300,9500,8700
2018-09-27,5.6,9400,0(0.00 %),728675,7052117500,0,0,9400,9630,9000
2018-09-28,5.66,9500,-0.2(-2.06 %),804080,7965094600,0,0,9500,10000,9300
2018-10-01,5.24,8840,-1.1(-11.11 %),40106,365328700,80,680000,9500,9500,8840
2018-10-02,5.12,8600,-0.5(-5.49 %),25267,217966300,800,6400000,8600,8800,8180
2018-10-03,5.0,8400,-0.2(-2.33 %),29002,246298500,49,362600,8600,8600,8400
2018-10-04,5.06,8500,0(0.00 %),43844,373594000,0,0,8500,8700,8500
2018-10-05,5.06,8500,0(0.00 %),91532,796027000,0,0,8600,8800,8500
2018-10-08,5.12,8600,-0.1(-1.15 %),38167,326770600,0,0,8600,8700,8500
2018-10-09,5.0,8400,-0.2(-2.33 %),50331,422890600,0,0,8500,8500,8300
2018-10-10,4.82,8100,-0.3(-3.57 %),39090,320706400,0,0,8400,8400,8100
2018-10-11,4.64,7800,-0.4(-4.88 %),77606,616313200,0,0,8100,8100,7800
2018-10-12,4.7,7900,0(0.00 %),45531,354671900,0,0,7900,7900,7600
2018-10-15,4.64,7800,0(0.00 %),20080,157995400,0,0,7900,8000,7800
2018-10-16,4.76,8000,0.1(1.27 %),10972,86167200,0,0,7800,8000,7700
2018-10-17,4.7,7900,0(0.00 %),19577,153905600,0,0,8000,8000,7700
2018-10-18,4.52,7600,-0.3(-3.80 %),33983,265681500,65,442000,8000,8000,7600
2018-10-19,4.41,7400,-0.4(-5.13 %),13602,101364900,0,0,7500,7600,7400
2018-10-22,4.47,7500,0(0.00 %),14386,108190000,0,0,7800,7800,7500
2018-10-23,4.52,7600,0.1(1.33 %),29305,217587500,0,0,7300,7600,7300
2018-10-24,4.35,7300,-0.1(-1.35 %),23053,169323200,0,0,7400,7400,7300
2018-10-25,4.35,7300,0(0.00 %),8221,56722800,0,0,6800,7300,6800
2018-10-26,4.11,6900,0(0.00 %),15270,105973000,0,0,6790,7100,6790
2018-10-29,3.99,6700,-0.2(-2.90 %),24790,168201000,0,0,6900,6900,6600
2018-10-30,4.05,6800,0(0.00 %),25566,171902200,0,0,6500,6800,6500
2018-10-31,4.11,6900,0.2(2.99 %),45128,300817600,0,0,6800,6900,6320
2018-11-01,3.81,6420,-0.3(-4.48 %),20600,134070000,0,0,6600,6700,6420
2018-11-02,4.05,6800,0.3(4.62 %),86373,569149600,0,0,6500,6800,6300
2018-11-05,3.93,6600,0(0.00 %),24718,164017200,0,0,6600,6800,6600
2018-11-06,4.11,6900,0.3(4.55 %),15070,102735000,0,0,6600,7060,6600
2018-11-07,4.17,7000,0.2(2.94 %),23000,160890000,0,0,7000,7100,6900
2018-11-08,4.17,7000,0(0.00 %),5674,39718000,0,0,7000,7000,7000
2018-11-09,4.05,6800,-0.2(-2.86 %),20155,137924000,0,0,6900,6900,6800
2018-11-12,3.99,6700,-0.1(-1.47 %),22900,150610000,0,0,6600,6800,6500
2018-11-13,3.93,6600,0(0.00 %),22247,145440200,1979,11280300,6500,6600,6500
2018-11-14,3.87,6500,0(0.00 %),15610,101445000,0,0,6500,6500,6400
2018-11-15,3.75,6300,-0.2(-3.08 %),29351,184181500,0,0,6500,6500,6200
2018-11-16,3.75,6300,0(0.00 %),13356,82597000,0,0,6100,6300,6000
2018-11-19,3.75,6300,0.1(1.61 %),19264,120346800,0,0,6200,6400,6200
2018-11-20,3.81,6400,0.2(3.23 %),11925,76003000,0,0,6300,6400,6300
2018-11-21,3.81,6400,0(0.00 %),8900,56960000,5470,30085000,6400,6400,6400
2018-11-22,3.81,6400,0(0.00 %),24660,155618000,0,0,6700,6700,6100
2018-11-23,3.69,6200,-0.1(-1.59 %),16990,105666000,0,0,6200,6300,6200
2018-11-26,3.69,6200,0(0.00 %),11930,73563000,6800,36040000,6200,6200,6100
2018-11-27,3.63,6100,-0.1(-1.61 %),19500,118620000,0,0,6400,6400,6000
2018-11-28,3.63,6100,0(0.00 %),10010,61429000,0,0,6100,6200,6100
2018-11-29,3.57,6000,-0.1(-1.64 %),14065,84410000,0,0,6000,6100,6000
2018-11-30,3.51,5900,-0.1(-1.67 %),7324,43934000,0,0,6000,6000,5900
2018-12-03,3.39,5700,-0.3(-5.00 %),9619,54452200,1576,9456000,6000,6000,5600
2018-12-04,3.27,5500,-0.2(-3.51 %),60270,332732000,0,0,5500,5600,5400
2018-12-05,3.33,5600,0.1(1.82 %),20140,113144000,0,0,5500,5700,5400
2018-12-06,3.27,5500,-0.1(-1.79 %),34553,191249100,0,0,5600,5600,5500
2018-12-07,3.33,5600,0.1(1.82 %),11600,64150000,0,0,5500,5600,5500
2018-12-10,3.33,5600,0.1(1.82 %),22210,124705000,0,0,5500,5700,5500
2018-12-11,3.33,5600,0(0.00 %),15951,87857800,0,0,5600,5600,5500
