Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2017-06-09,9.36,15100,0.95(6.71 %),2268500,34254000000,0,0,15100,15100,15100
2017-06-12,9.95,16050,0.95(6.29 %),2498930,38843000000,0,0,16150,16150,14100
2017-06-13,10.01,16150,0.1(0.62 %),3809550,59438000000,0,0,15800,16250,14950
2017-06-14,9.61,15500,-0.65(-4.02 %),1047980,16235000000,0,0,15800,15800,15200
2017-06-15,10.26,16550,1.05(6.77 %),2860630,45792000000,0,0,15450,16550,15200
2017-06-16,10.97,17700,1.15(6.95 %),3212380,55842000000,0,0,16750,17700,16700
2017-06-19,10.85,17500,-0.2(-1.13 %),1253710,21925000000,0,0,17900,17900,17100
2017-06-20,10.73,17300,-0.2(-1.14 %),872250,15057000000,0,0,17500,17500,17100
2017-06-21,10.76,17350,0.05(0.29 %),1505590,25967000000,0,0,17300,17600,16950
2017-06-22,10.73,17300,-0.05(-0.29 %),1183930,20301000000,0,0,17300,17500,16900
2017-06-23,10.79,17400,0.1(0.58 %),1554810,27214000000,0,0,17350,17700,17300
2017-06-26,11.53,18600,1.2(6.90 %),2490950,45160000000,0,0,17450,18600,17450
2017-06-27,11.97,19300,0.7(3.76 %),2126670,40438000000,0,0,18650,19350,18650
2017-06-28,11.81,19050,-0.25(-1.30 %),2830970,53552000000,0,0,19300,19450,18400
2017-06-29,11.75,18950,-0.1(-0.52 %),2882890,53876000000,0,0,19050,19100,18150
2017-06-30,10.94,17650,-1.3(-6.86 %),2186090,39301000000,0,0,18850,19100,17650
2017-07-03,10.66,17200,-0.45(-2.55 %),2676180,44645000000,0,0,16450,17300,16450
2017-07-04,10.57,17050,-0.15(-0.87 %),2347990,40652000000,0,0,17200,17700,16950
2017-07-05,10.2,16450,-0.6(-3.52 %),1572490,25901000000,0,0,17050,17100,15900
2017-07-06,9.49,15300,-1.15(-6.99 %),2388100,36924000000,0,0,16000,16200,15300
2017-07-07,9.55,15400,0.1(0.65 %),1528000,23433000000,0,0,15000,15500,14950
2017-07-10,8.9,14350,-1.05(-6.82 %),2669680,38496000000,0,0,15400,15400,14350
2017-07-11,8.96,14450,0.1(0.70 %),3602570,49171000000,0,0,13350,14500,13350
2017-07-12,9.18,14800,0.35(2.42 %),2115590,31067000000,0,0,14450,14900,14350
2017-07-13,8.56,13800,-1(-6.76 %),1298370,18107000000,0,0,14800,14850,13800
2017-07-14,8.43,13600,-0.2(-1.45 %),506770,6731000000,0,0,12950,13950,12950
2017-07-17,8.56,13800,0.2(1.47 %),1132950,15272000000,0,0,13600,13850,12750
2017-07-18,9.02,14550,0.75(5.43 %),2198900,31470000000,0,0,13700,14650,13650
2017-07-19,8.4,13550,-1(-6.87 %),1208790,16493000000,0,0,14550,14550,13550
2017-07-20,8.43,13600,0.05(0.37 %),147400,1945000000,0,0,13200,13800,12800
2017-07-21,7.84,12650,-0.95(-6.99 %),263840,3463000000,0,0,13600,13600,12650
2017-07-24,7.84,12650,0(0.00 %),497610,6338000000,0,0,11800,13050,11800
2017-07-25,7.94,12800,0.15(1.19 %),170850,2176000000,0,0,13000,13000,12100
2017-07-26,7.94,12800,0(0.00 %),204600,2581000000,0,0,12800,12800,12300
2017-07-27,7.72,12450,-0.35(-2.73 %),194160,2373000000,0,0,12500,12500,11950
2017-07-28,7.75,12500,0.05(0.40 %),262480,3146000000,0,0,12450,12500,11600
2017-07-31,7.32,11800,-0.7(-5.60 %),1594360,18595000000,0,0,11700,12150,11650
2017-08-01,7.19,11600,-0.2(-1.69 %),2075200,23064000000,0,0,11000,11700,11000
2017-08-02,7.22,11650,0.05(0.43 %),276120,3210000000,0,0,11600,11750,11450
2017-08-03,7.13,11500,-0.15(-1.29 %),396900,4469000000,0,0,11700,11700,10850
2017-08-04,7.63,12300,0.8(6.96 %),1465130,17820000000,0,0,11500,12300,10750
2017-08-07,8.03,12950,0.65(5.28 %),524970,6640000000,0,0,12600,12950,12400
2017-08-08,7.69,12400,-0.55(-4.25 %),725610,8920000000,0,0,12900,12900,12050
2017-08-09,7.16,11550,-0.85(-6.85 %),752770,8827000000,0,0,12300,12300,11550
2017-08-10,7.04,11350,-0.2(-1.73 %),1182230,13340000000,0,0,11550,12000,10750
2017-08-11,6.82,11000,-0.35(-3.08 %),681220,7285000000,0,0,11300,11300,10600
2017-08-14,6.36,10250,-0.75(-6.82 %),574250,5913000000,0,0,10950,10950,10250
2017-08-15,6.36,10250,0(0.00 %),1496610,15525000000,0,0,10400,10650,10200
2017-08-16,6.2,10000,-0.25(-2.44 %),798660,7834000000,0,0,10350,10350,9550
2017-08-17,6.29,10150,0.15(1.50 %),1040220,10059000000,0,0,10000,10150,9300
2017-08-18,6.2,10000,-0.15(-1.48 %),2053250,19898000000,0,0,10100,10150,9450
2017-08-21,6.01,9700,-0.3(-3.00 %),1108450,10429000000,0,0,9980,9980,9300
2017-08-22,5.6,9030,-0.67(-6.91 %),707640,6427000000,0,0,9450,9500,9030
2017-08-23,5.21,8400,-0.63(-6.98 %),1225180,10390000000,0,0,9000,9000,8400
2017-08-24,4.85,7820,-0.58(-6.90 %),471750,3708000000,0,0,7840,8100,7820
2017-08-25,5.18,8360,0.54(6.91 %),1724600,13956000000,0,0,7850,8360,7820
2017-08-28,5.54,8940,0.58(6.94 %),2305420,20121000000,0,0,8420,8940,8390
2017-08-29,5.58,9000,0.06(0.67 %),1530270,13788000000,0,0,8940,9300,8500
2017-08-30,5.58,9000,0(0.00 %),1343310,11938000000,0,0,8680,9200,8370
2017-08-31,5.34,8610,-0.39(-4.33 %),1181930,10037000000,0,0,8980,8980,8370
2017-09-01,5.02,8100,-0.51(-5.92 %),1568360,12732000000,0,0,8610,8680,8010
2017-09-05,5.37,8660,0.56(6.91 %),1716430,14510000000,0,0,8100,8660,8100
2017-09-06,5.38,8680,0.02(0.23 %),1222480,10615000000,0,0,8700,8800,8100
2017-09-07,5.07,8170,-0.51(-5.88 %),495050,4142000000,0,0,8640,8640,8170
2017-09-08,5.07,8170,0(0.00 %),819900,6746000000,0,0,8120,8320,8120
2017-09-11,5.08,8190,0.02(0.24 %),316900,2584000000,0,0,8170,8190,8050
2017-09-12,5.08,8190,0(0.00 %),437410,3605000000,0,0,8190,8290,8180
2017-09-13,5.08,8190,0(0.00 %),235130,1912000000,0,0,8300,8300,8050
2017-09-14,5.15,8300,0.11(1.34 %),492500,4071000000,0,0,8200,8340,8200
2017-09-15,5.08,8200,-0.1(-1.20 %),306910,2501000000,0,0,8300,8390,8090
2017-09-18,5.09,8210,0.01(0.12 %),234120,1924000000,0,0,8200,8250,8150
2017-09-19,5.09,8210,0(0.00 %),353020,2895000000,0,0,8200,8220,8150
2017-09-20,5.08,8200,-0.01(-0.12 %),148520,1217000000,0,0,8220,8220,8050
2017-09-21,5.05,8150,-0.05(-0.61 %),214270,1746000000,0,0,8200,8210,8050
2017-09-22,5.05,8150,0(0.00 %),355600,2877000000,0,0,8060,8150,8010
2017-09-25,5.06,8160,0.01(0.12 %),325480,2637000000,0,0,8080,8170,8000
2017-09-26,5.07,8170,0.01(0.12 %),173200,1409000000,0,0,8150,8200,8070
2017-09-27,5.11,8240,0.07(0.86 %),461470,3797000000,0,0,8190,8290,8150
2017-09-28,5.03,8110,-0.13(-1.58 %),31810,259000000,0,0,8090,8240,8090
2017-09-29,4.99,8050,-0.06(-0.74 %),51380,415000000,0,0,8200,8200,8050
2017-10-02,4.99,8040,-0.01(-0.12 %),220110,1750000000,0,0,8100,8100,7700
2017-10-03,4.66,7520,-0.52(-6.47 %),82080,622000000,0,0,7640,7970,7500
2017-10-04,4.66,7520,0(0.00 %),52910,400000000,0,0,7500,7610,7500
2017-10-05,4.68,7550,0.03(0.40 %),486540,3660000000,0,0,7520,7700,7520
2017-10-06,4.6,7420,-0.13(-1.72 %),44040,329000000,0,0,7350,7580,7350
2017-10-09,4.5,7250,-0.17(-2.29 %),46200,339000000,0,0,7410,7420,7250
2017-10-10,4.34,7000,-0.25(-3.45 %),152730,1070000000,0,0,7000,7230,7000
2017-10-11,4.4,7100,0.1(1.43 %),54090,381000000,0,0,7100,7100,6930
2017-10-12,4.36,7030,-0.07(-0.99 %),57340,404000000,0,0,7150,7190,7010
2017-10-13,4.32,6970,-0.06(-0.85 %),54470,379000000,0,0,7030,7100,6740
2017-10-16,4.15,6700,-0.27(-3.87 %),238040,1621000000,0,0,7000,7000,6700
2017-10-17,4.32,6970,0.27(4.03 %),141590,974000000,0,0,6700,6980,6700
2017-10-18,4.39,7080,0.11(1.58 %),127080,899000000,0,0,7000,7100,6900
2017-10-19,4.4,7090,0.01(0.14 %),99790,702000000,0,0,7090,7120,6900
2017-10-20,4.4,7100,0.01(0.14 %),256140,1812000000,0,0,7100,7100,6900
