Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2013-05-16,8.78,17900,-1.3(-6.77 %),130,2327000,0,0,17900,17900,17900
2013-05-17,8.2,16700,-1.2(-6.70 %),10,167000,0,0,16700,16700,16700
2013-05-20,7.66,15600,-1.1(-6.59 %),40310,628836000,0,0,15600,15600,15600
2013-05-21,7.36,15000,-0.6(-3.85 %),2723800,39921956000,0,0,14600,15000,14600
2013-05-22,7.85,16000,1(6.67 %),1274270,20354918000,0,0,15700,16000,15500
2013-05-23,8.39,17100,1.1(6.88 %),1239310,21178183000,0,0,17100,17100,16600
2013-05-24,7.85,16000,-1.1(-6.43 %),2523500,40777469000,0,0,17100,17400,16000
2013-05-27,7.31,14900,-1.1(-6.88 %),1470620,22112194000,0,0,15200,15800,14900
2013-05-28,7.12,14500,-0.4(-2.68 %),1198810,16751173000,0,0,14400,14500,13900
2013-05-29,6.82,13900,-0.6(-4.14 %),998580,13614302000,40000,620000000,13800,14400,13500
2013-05-30,6.97,14200,0.3(2.16 %),374470,5275456000,0,0,13600,14700,13600
2013-05-31,6.62,13500,-0.7(-4.93 %),615720,8503610000,0,0,14000,14400,13500
2013-06-03,6.72,13700,0.2(1.48 %),379690,5190790000,50000,720000000,13500,13900,13400
2013-06-04,6.33,12900,-0.8(-5.84 %),374230,4960018000,0,0,13700,13800,12900
2013-06-05,6.33,12900,0(0.00 %),284950,3718497000,0,0,13200,13400,12800
2013-06-06,6.23,12700,-0.2(-1.55 %),351130,4507432000,50000,690000000,12800,13200,12700
2013-06-07,6.33,12900,0.2(1.57 %),437330,5637101000,0,0,12700,13100,12700
2013-06-10,6.13,12500,-0.4(-3.10 %),264570,3366685000,0,0,13000,13200,12400
2013-06-11,6.53,13300,0.8(6.40 %),1176730,15592176000,30000,399000000,12500,13300,12500
2013-06-12,6.97,14200,0.9(6.77 %),2428790,34045624000,300000,3900000000,13500,14200,13500
2013-06-13,6.97,14200,0(0.00 %),1185800,17041224000,287000,3817100000,14700,14800,14200
2013-06-14,6.82,13900,-0.3(-2.11 %),933890,13081000000,0,0,14100,14300,13800
2013-06-17,6.38,13000,-0.9(-6.47 %),1093200,14691724000,0,0,13700,13900,13000
2013-06-18,6.38,13000,0(0.00 %),497460,6503408000,0,0,13000,13300,12900
2013-06-19,6.82,13900,0.9(6.92 %),983840,13465939000,0,0,13400,13900,13300
2013-06-20,6.92,14100,0.2(1.44 %),1522520,21651176000,0,0,13900,14500,13900
2013-06-21,6.87,14000,-0.1(-0.71 %),466530,6489698000,0,0,14000,14100,13600
2013-06-24,6.58,13400,-0.6(-4.29 %),506810,6964406000,0,0,14300,14300,13300
2013-06-25,6.13,12500,-0.9(-6.72 %),1310770,16565263000,0,0,13400,13400,12500
2013-06-26,6.13,12500,0(0.00 %),467450,5882040000,0,0,12500,12900,12400
2013-06-27,6.23,12700,0.2(1.60 %),241780,3061680000,107000,1337500000,12700,12800,12600
2013-06-28,6.23,12700,0(0.00 %),333650,4240239000,0,0,12800,12900,12500
2013-07-01,6.13,12500,-0.2(-1.57 %),202700,2542650000,0,0,12600,12800,12400
2013-07-02,6.23,12700,0.2(1.60 %),149220,1885567000,107000,1337500000,12500,12700,12500
2013-07-03,6.18,12600,-0.1(-0.79 %),188220,2368864000,0,0,12600,12800,12500
2013-07-04,6.18,12600,0(0.00 %),196440,2482792000,0,0,12600,12800,12600
2013-07-05,6.18,12600,0(0.00 %),217050,2742860000,0,0,12600,12700,12500
2013-07-08,6.04,12300,-0.3(-2.38 %),199980,2481397000,0,0,12600,12600,12300
2013-07-09,6.04,12300,0(0.00 %),105230,1295540000,0,0,12400,12400,12300
2013-07-10,5.94,12100,-0.2(-1.63 %),205060,2522326000,0,0,12400,12500,12100
2013-07-11,5.84,11900,-0.2(-1.65 %),273790,3280363000,0,0,12100,12200,11900
2013-07-12,5.94,12100,0.2(1.68 %),194040,2342658000,0,0,11900,12300,11900
2013-07-15,6.08,12400,0.3(2.48 %),267370,3285197000,0,0,12200,12500,12200
2013-07-16,6.04,12300,-0.1(-0.81 %),94400,1162925000,0,0,12300,12500,12200
2013-07-17,5.94,12100,-0.2(-1.63 %),209240,2542092000,0,0,12300,12300,12100
2013-07-18,5.89,12000,-0.1(-0.83 %),91700,1103605000,0,0,12000,12200,11900
2013-07-19,5.89,12000,0(0.00 %),135160,1623005000,0,0,12100,12100,12000
2013-07-22,5.79,11800,-0.2(-1.67 %),136260,1622837000,0,0,11900,12000,11800
2013-07-23,5.74,11700,-0.1(-0.85 %),141880,1673366000,0,0,11800,12000,11700
2013-07-24,5.89,12000,0.3(2.56 %),227000,2714395000,0,0,12000,12100,11800
2013-07-25,5.59,11400,-0.6(-5.00 %),198360,2310814000,0,0,12000,12000,11400
2013-07-26,5.3,10800,-0.6(-5.26 %),398540,4396802000,0,0,11400,11500,10800
2013-07-29,5.05,10300,-0.5(-4.63 %),319090,3361623000,0,0,10900,10900,10300
2013-07-30,5.05,10300,0(0.00 %),292330,3003279000,0,0,10300,10500,10200
2013-07-31,4.86,9900,-0.4(-3.88 %),356570,3563535000,0,0,10200,10300,9800
2013-08-01,5.15,10500,0.6(6.06 %),429570,4415449000,0,0,9800,10500,9800
2013-08-02,5.05,10300,-0.2(-1.90 %),192300,2046499000,0,0,10700,11000,10300
2013-08-05,5.3,10800,0.5(4.85 %),411390,4423284000,0,0,10300,11000,10300
2013-08-06,5.35,10900,0.1(0.93 %),154640,1670181000,0,0,10700,11000,10600
2013-08-07,5.3,10800,-0.1(-0.92 %),152770,1641500000,0,0,10900,10900,10600
2013-08-08,5.3,10800,0(0.00 %),254270,2773993000,0,0,10700,11200,10700
2013-08-09,5.2,10600,-0.2(-1.85 %),110140,1174959000,0,0,10800,10800,10600
2013-08-12,5.15,10500,-0.1(-0.94 %),131530,1366000000,0,0,10500,10600,10300
2013-08-13,5.05,10300,-0.2(-1.90 %),313750,3222984000,0,0,10400,10500,10100
2013-08-14,5.05,10300,0(0.00 %),180930,1845716000,0,0,10200,10400,10100
2013-08-15,5.05,10300,0(0.00 %),189690,1950397000,0,0,10300,10500,10100
2013-08-16,5.15,10500,0.2(1.94 %),253500,2675043000,0,0,10300,10700,10300
2013-08-19,5.2,10600,0.1(0.95 %),242690,2561908000,0,0,10500,10700,10400
2013-08-20,5.2,10600,0(0.00 %),171610,1826687000,0,0,10700,10800,10400
2013-08-21,5.15,10500,-0.1(-0.94 %),225680,2354565000,0,0,10600,10600,10400
2013-08-22,5.01,10200,-0.3(-2.86 %),180220,1868784000,0,0,10500,10600,10200
2013-08-23,5.1,10400,0.2(1.96 %),261370,2675116000,0,0,10300,10400,10200
2013-08-26,5.1,10400,0(0.00 %),129180,1326685000,0,0,10400,10400,10200
2013-08-27,5.01,10200,-0.2(-1.92 %),47520,484868000,0,0,10400,10400,10200
