Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2012-07-26,4.42,17500,-0.8(-4.37 %),159640,2791591000,0,0,18300,18300,17400
2012-07-27,4.25,16800,-0.7(-4.00 %),120970,2052936000,0,0,17800,17800,16800
2012-07-30,4.45,17600,0.8(4.76 %),172060,2955755000,0,0,16800,17600,16700
2012-07-31,4.48,17700,0.1(0.57 %),339380,6085668000,0,0,18400,18400,17500
2012-08-01,4.5,17800,0.1(0.56 %),39910,704759000,0,0,17700,18100,17400
2012-08-02,4.45,17600,-0.2(-1.12 %),26710,476612000,0,0,18000,18000,17600
2012-08-03,4.55,18000,0.4(2.27 %),24420,435866000,0,0,17800,18000,17600
2012-08-06,4.55,18000,0(0.00 %),124650,2251735000,0,0,18200,18400,17800
2012-08-07,4.42,17500,-0.5(-2.78 %),125880,2235787000,0,0,18000,18100,17500
2012-08-08,4.45,17600,0.1(0.57 %),27100,474269000,482000,8222200000,17900,17900,17400
2012-08-09,4.5,17800,0.2(1.14 %),68540,1211663000,68180,1145424000,17300,17800,17300
2012-08-10,4.45,17600,-0.2(-1.12 %),101720,1800132000,50000,850000000,17800,17800,17500
2012-08-13,4.65,18400,0.8(4.55 %),435250,7944455000,80000,1344000000,17800,18400,17800
2012-08-14,4.88,19300,0.9(4.89 %),311940,5973051000,100850,1775300000,18500,19300,18500
2012-08-15,4.8,19000,-0.3(-1.55 %),82540,1570861000,80000,1472000000,19900,19900,18800
2012-08-16,4.8,19000,0(0.00 %),64250,1221371000,0,0,19000,19500,18900
2012-08-17,5.03,19900,0.9(4.74 %),310560,6071247000,0,0,19000,19900,19000
2012-08-20,5.26,20800,0.9(4.52 %),358040,7416746000,260000,4962500000,20100,20800,20100
2012-08-21,5.01,19800,-1(-4.81 %),444030,8819126000,0,0,19800,20800,19800
2012-08-22,4.78,18900,-0.9(-4.55 %),453090,8614965000,0,0,18900,19700,18900
2012-08-23,4.55,18000,-0.9(-4.76 %),99190,1786907000,0,0,18100,18100,18000
2012-08-24,4.5,17800,-0.2(-1.11 %),503710,8763348000,0,0,17100,18800,17100
2012-08-27,4.3,17000,-0.8(-4.49 %),138630,2373720000,0,0,17500,17500,17000
2012-08-28,4.4,17400,0.4(2.35 %),116180,1938705000,0,0,16800,17400,16300
2012-08-29,4.6,18200,0.8(4.60 %),139960,2534575000,0,0,17900,18200,17900
2012-08-30,4.58,18100,-0.1(-0.55 %),221560,4086901000,0,0,18200,18900,18100
2012-08-31,4.55,18000,-0.1(-0.55 %),89890,1614044000,20000,350000000,18400,18400,17800
2012-09-04,4.63,18300,0.3(1.67 %),27370,503588000,0,0,18300,18600,18200
2012-09-05,4.48,17700,-0.6(-3.28 %),91220,1640030000,0,0,18400,18500,17700
2012-09-06,4.42,17500,-0.2(-1.13 %),55650,978377000,0,0,17200,17800,17200
2012-09-07,4.42,17500,0(0.00 %),90780,1577027000,0,0,17500,17600,17200
2012-09-10,4.22,16700,-0.8(-4.57 %),251110,4241836000,0,0,17500,17500,16700
2012-09-11,4.35,17200,0.5(2.99 %),35290,593792000,0,0,16800,17200,16700
2012-09-12,4.35,17200,0(0.00 %),27320,471628000,0,0,17200,17500,17200
2012-09-13,4.4,17400,0.2(1.16 %),26650,460241000,0,0,17300,17500,17100
2012-09-14,4.6,18200,0.8(4.60 %),191670,3457673000,0,0,17700,18200,17500
2012-09-17,4.5,17800,-0.4(-2.20 %),42850,771485000,0,0,18400,18400,17800
2012-09-18,4.55,18000,0.2(1.12 %),78310,1374910000,0,0,17800,18000,17200
2012-09-19,4.37,17300,-0.7(-3.89 %),34090,594977000,0,0,17900,17900,17300
2012-09-20,4.3,17000,-0.3(-1.73 %),314440,5226026000,0,0,17300,17300,16500
2012-09-21,4.32,17100,0.1(0.59 %),19660,337023000,0,0,17400,17400,16900
2012-09-24,4.25,16800,-0.3(-1.75 %),19960,335172000,0,0,17000,17000,16700
2012-09-25,4.22,16700,-0.1(-0.60 %),28310,470514000,0,0,16600,16900,16500
2012-09-26,4.17,16500,-0.2(-1.20 %),29670,493556000,0,0,16800,16900,16500
2012-09-27,4.25,16800,0.3(1.82 %),80410,1332002000,0,0,16500,16800,16400
2012-09-28,4.27,16900,0.1(0.60 %),20390,342770000,0,0,16900,17000,16700
2012-10-01,4.22,16700,-0.2(-1.18 %),43920,722987000,0,0,17000,17000,16300
2012-10-02,4.2,16600,-0.1(-0.60 %),20030,329803000,0,0,16400,16600,16400
2012-10-03,4.2,16600,0(0.00 %),17490,290896000,0,0,16500,16800,16500
2012-10-04,4.2,16600,0(0.00 %),9920,165229000,0,0,16300,17100,16300
2012-10-05,4.15,16400,-0.2(-1.20 %),28910,478110000,0,0,16500,16800,16400
2012-10-08,4.2,16600,0.2(1.22 %),18280,303456000,0,0,16600,16800,16500
2012-10-09,4.2,16600,0(0.00 %),63960,1059860000,0,0,16800,16800,16500
2012-10-10,4.2,16600,0(0.00 %),62540,1049704000,0,0,16600,17000,16600
2012-10-11,4.3,17000,0.4(2.41 %),57260,981030000,0,0,17000,17400,16800
2012-10-12,4.35,17200,0.2(1.18 %),17070,290426000,0,0,17200,17200,16900
2012-10-15,4.3,17000,-0.2(-1.16 %),41930,705499000,0,0,17000,17100,16600
2012-10-16,4.32,17100,0.1(0.59 %),23040,394723000,0,0,17100,17700,17100
2012-10-17,4.25,16800,-0.3(-1.75 %),31900,543188000,0,0,17300,17300,16800
2012-10-18,4.27,16900,0.1(0.60 %),82820,1407399000,0,0,17200,17200,16800
2012-10-19,4.3,17000,0.1(0.59 %),43530,725653000,30000,510000000,16800,17000,16500
2012-10-22,4.25,16800,-0.2(-1.18 %),4670,78053000,0,0,16500,16800,16500
2012-10-23,4.3,17000,0.2(1.19 %),9560,160228000,0,0,16800,17000,16600
2012-10-24,4.3,17000,0(0.00 %),13980,236271000,0,0,17000,17000,16600
2012-10-25,4.2,16600,-0.4(-2.35 %),25020,415466000,0,0,16700,16700,16500
2012-10-26,4.2,16600,0(0.00 %),40160,665968000,0,0,16300,16800,16300
2012-10-29,4.17,16500,-0.1(-0.60 %),22730,377139000,0,0,16800,16800,16500
2012-10-30,4.37,17300,0.8(4.85 %),49980,863269000,72500,1138250000,16500,17300,16500
2012-10-31,4.48,17700,0.4(2.31 %),153410,2733708000,0,0,17800,18100,17500
2012-11-01,4.35,17200,-0.5(-2.82 %),80670,1390746000,0,0,17300,17700,17100
2012-11-02,4.15,16400,-0.8(-4.65 %),303440,4980502000,0,0,16400,16600,16400
2012-11-05,4.0,15800,-0.6(-3.66 %),138680,2210698000,0,0,15600,16400,15600
2012-11-06,4.17,16500,0.7(4.43 %),180930,2935650000,0,0,15300,16500,15300
2012-11-07,4.32,17100,0.6(3.64 %),215750,3687764000,0,0,16600,17300,16200
2012-11-08,4.32,17100,0(0.00 %),284800,4905429000,0,0,17100,17500,16900
2012-11-09,4.52,15900,0.7(4.93 %),291020,4333828000,0,0,15900,15900,15900
2012-11-12,4.73,15600,0.7(4.70 %),335020,5209709000,0,0,15300,15600,15000
2012-11-13,4.95,16300,0.7(4.49 %),624910,10095706000,0,0,15900,16300,15700
2012-11-14,5.19,17100,0.8(4.91 %),449950,7598528000,0,0,16300,17100,16300
2012-11-15,5.13,16900,-0.2(-1.17 %),418640,7064031000,0,0,17000,17400,16500
2012-11-16,5.37,17700,0.8(4.73 %),442140,7537997000,122000,1964200000,16600,17700,16500
2012-11-19,5.61,18500,0.8(4.52 %),645430,11882968000,0,0,18500,18500,17800
2012-11-20,5.61,18500,0(0.00 %),793110,14454719000,0,0,18000,18700,18000
2012-11-21,5.58,18400,-0.1(-0.54 %),500620,9141880000,0,0,18200,18600,18100
2012-11-22,5.86,19300,0.9(4.89 %),329710,6104123000,100000,1750000000,18100,19300,18100
2012-11-23,5.58,18400,-0.9(-4.66 %),487960,9077201000,116500,2143600000,19100,19200,18400
2012-11-26,5.43,17900,-0.5(-2.72 %),558350,9999592000,0,0,18000,18400,17500
2012-11-27,5.55,18300,0.4(2.23 %),357150,6468989000,0,0,17900,18400,17900
2012-11-28,5.52,18200,-0.1(-0.55 %),442340,8060915000,30000,543000000,18200,18400,18200
2012-11-29,5.58,18400,0.2(1.10 %),408350,7537882000,53000,969900000,18300,18900,18300
2012-11-30,5.37,17700,-0.7(-3.80 %),239060,4298479000,0,0,18200,18500,17600
2012-12-03,5.28,17400,-0.3(-1.69 %),312880,5412237000,0,0,17900,17900,17000
2012-12-04,5.34,17600,0.2(1.15 %),193090,3362754000,0,0,17300,17700,17200
2012-12-05,5.25,17300,-0.3(-1.70 %),174980,3075082000,0,0,17600,17900,17300
2012-12-06,5.22,17200,-0.1(-0.58 %),153570,2652144000,0,0,17400,17600,17100
2012-12-07,5.1,16800,-0.4(-2.33 %),111220,1886288000,0,0,17200,17300,16800
2012-12-10,5.34,17600,0.8(4.76 %),250390,4341086000,0,0,16700,17600,16600
2012-12-11,5.16,17000,-0.6(-3.41 %),113130,1948451000,0,0,17600,17700,17000
2012-12-12,5.22,17200,0.2(1.18 %),61390,1060765000,0,0,17000,17700,17000
2012-12-13,5.19,17100,-0.1(-0.58 %),143690,2470532000,0,0,17100,17500,17100
2012-12-14,5.28,17400,0.3(1.75 %),233020,4035944000,0,0,17200,17700,17000
2012-12-17,5.43,17900,0.5(2.87 %),243390,4333384000,0,0,17400,18100,17400
2012-12-18,5.34,17600,-0.3(-1.68 %),154940,2753208000,0,0,17700,18000,17600
2012-12-19,5.52,18200,0.6(3.41 %),424420,7658993000,0,0,17800,18400,17800
2012-12-20,5.46,18000,-0.2(-1.10 %),183050,3273422000,0,0,18300,18300,17600
2012-12-21,5.37,17700,-0.3(-1.67 %),260540,4666680000,0,0,17900,18000,17700
2012-12-24,5.52,18200,0.5(2.82 %),189820,3425831000,0,0,17500,18300,17500
2012-12-25,5.4,17800,-0.4(-2.20 %),232900,4182098000,0,0,18300,18300,17800
2012-12-26,5.43,17900,0.1(0.56 %),204290,3654774000,0,0,17800,18200,17700
2012-12-27,5.43,17900,0(0.00 %),332300,6002683000,0,0,17900,18300,17800
2012-12-28,5.37,17700,-0.2(-1.12 %),243570,4327107000,72500,1283250000,18100,18100,17700
2013-01-02,5.43,17900,0.2(1.13 %),489870,8799202000,0,0,18000,18200,17700
2013-01-03,5.28,17400,-0.5(-2.79 %),344450,6053848000,0,0,17800,17900,17300
2013-01-04,5.31,17500,0.1(0.57 %),216110,3794955000,72500,1283250000,17600,17800,17400
2013-01-07,5.28,17400,-0.1(-0.57 %),157280,2755815000,0,0,17500,17800,17400
2013-01-08,5.43,17900,0.5(2.87 %),513230,9148156000,0,0,17400,18000,17400
2013-01-09,5.34,17600,-0.3(-1.68 %),334580,5962925000,0,0,18100,18100,17600
2013-01-10,5.34,17600,0(0.00 %),148270,2588182000,0,0,17500,17700,17300
2013-01-11,5.58,18400,0.8(4.55 %),499300,9030831000,0,0,17800,18400,17700
2013-01-14,5.86,19300,0.9(4.89 %),523940,10047133000,0,0,19100,19300,18500
2013-01-15,6.01,19800,0.5(2.59 %),447600,8915159000,0,0,20100,20100,19700
2013-01-16,5.98,19700,-0.1(-0.51 %),382620,7485930000,239000,4421500000,19500,19800,19300
2013-01-17,6.27,19600,0.9(4.81 %),511970,10060281000,0,0,19400,20000,18800
2013-01-18,6.2,19400,-0.2(-1.02 %),84170,1610158000,0,0,19300,19600,18800
2013-01-21,5.91,18500,-0.9(-4.64 %),134770,2517260000,0,0,19100,19300,18200
2013-01-22,5.69,17800,-0.7(-3.78 %),210050,3770080000,0,0,18200,18300,17700
2013-01-23,5.75,18000,0.2(1.12 %),176240,3121934000,0,0,17600,18000,17400
2013-01-24,5.91,18500,0.5(2.78 %),81340,1490693000,0,0,17700,18500,17700
2013-01-25,6.23,19500,1(5.41 %),274240,5257494000,0,0,18300,19600,18300
2013-01-28,5.85,18300,-1.2(-6.15 %),308530,5825420000,0,0,19000,19800,18300
2013-01-29,5.98,18700,0.4(2.19 %),103100,1892711000,0,0,18400,18700,18200
