Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2010-01-19,18.6,41000,-2.1(-4.87 %),59540,2470088000.0,25000,1100000000,43100,43200,41000
2010-01-20,17.69,39000,-2(-4.88 %),127610,4987627000.0,0,0,41500,41500,39000
2010-01-21,16.83,37100,-1.9(-4.87 %),62170,2314194000.0,0,0,37300,39000,37100
2010-01-22,16.01,35300,-1.8(-4.85 %),77630,2757345000.0,0,0,37100,37100,35300
2010-01-25,16.56,36500,1.2(3.40 %),32210,1163979000.0,300000,11100000000,35300,37000,35000
2010-01-26,17.37,38300,1.8(4.93 %),69060,2637031000.0,0,0,37500,38300,37500
2010-01-27,17.01,37500,-0.8(-2.09 %),34300,1300652000.0,0,0,38300,38500,37000
2010-01-28,17.24,38000,0.5(1.33 %),29910,1133071000.0,0,0,38200,38200,36700
2010-01-29,17.19,37900,-0.1(-0.26 %),27590,1031827000.0,0,0,37900,38000,36900
2010-02-01,17.19,37900,0(0.00 %),44890,1702346000.0,0,0,38400,38400,37100
2010-02-02,17.01,37500,-0.4(-1.06 %),31840,1193519000.0,0,0,37900,38000,37100
2010-02-03,16.65,36700,-0.8(-2.13 %),50720,1872903000.0,0,0,37000,37500,36600
2010-02-04,16.78,37000,0.3(0.82 %),43180,1593667000.0,0,0,36600,37600,36600
2010-02-05,16.1,35500,-1.5(-4.05 %),60150,2181880000.0,0,0,36100,36900,35500
2010-02-08,16.87,37200,1.7(4.79 %),122400,4466750000.0,0,0,35200,37200,35000
2010-02-09,16.92,37300,0.1(0.27 %),40510,1513767000.0,40000,1416000000,37900,37900,37200
2010-02-10,17.19,37900,0.6(1.61 %),14420,547316000.0,0,0,38300,38300,37900
2010-02-11,17.06,37600,-0.3(-0.79 %),37650,1387210000.0,0,0,37900,37900,36200
2010-02-12,16.28,35900,-1.7(-4.52 %),86340,3108293000.0,0,0,36000,36500,35800
2010-02-22,15.97,35200,-0.7(-1.95 %),13270,470029000.0,0,0,35000,36000,35000
2010-02-23,15.38,33900,-1.3(-3.69 %),24250,819365000.0,0,0,33900,34200,33600
2010-02-24,15.38,33900,0(0.00 %),4430,149125000.0,0,0,33900,33900,33200
2010-02-25,15.38,33900,0(0.00 %),79090,2655779000.0,0,0,34700,34700,33300
2010-02-26,15.38,33900,0(0.00 %),54340,1838648000.0,0,0,33900,33900,33700
2010-03-01,15.24,33600,-0.3(-0.88 %),125950,4248191000.0,40000,1292000000,33900,33900,33500
2010-03-02,15.97,35200,1.6(4.76 %),103050,3627350000.0,0,0,35200,35200,35100
2010-03-03,16.69,36800,1.6(4.55 %),117460,4238989000.0,35000,1172500000,35200,36900,35200
2010-03-04,17.01,37500,0.7(1.90 %),205800,7704359000.0,0,0,38000,38000,37000
