Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2018-10-19,3.21,15400,1(6.94 %),2200,34000000,0,0,15400,15400,15400
2018-10-22,3.43,16450,1.05(6.82 %),2800,46000000,0,0,16450,16450,16450
2018-10-23,3.67,17600,1.15(6.99 %),3200,56000000,0,0,17600,17600,17600
2018-10-24,3.92,18800,1.2(6.82 %),3700,70000000,0,0,18800,18800,18800
2018-10-25,4.19,20100,1.3(6.91 %),800,16000000,0,0,20100,20100,20100
2018-10-26,4.48,21500,1.4(6.97 %),19500,419000000,70000,1400000000,21500,21500,21500
2018-10-29,4.79,23000,1.5(6.98 %),11200,258000000,0,0,23000,23000,23000
2018-10-30,5.12,24600,1.6(6.96 %),10200,251000000,0,0,24600,24600,24600
2018-10-31,5.48,26300,1.7(6.91 %),10500,276000000,20000,480000000,26300,26300,26300
2018-11-01,5.85,28100,1.8(6.84 %),13610,382000000,40000,1040000000,28100,28100,28100
2018-11-02,6.26,30050,1.95(6.94 %),16600,499000000,0,0,30050,30050,30050
2018-11-05,6.7,32150,2.1(6.99 %),38600,1241000000,40000,1120000000,32150,32150,32150
2018-11-06,7.16,34400,2.25(7.00 %),86870,2988000000,0,0,34400,34400,34400
2018-11-07,7.65,36750,2.35(6.83 %),358700,13198000000,0,0,36800,36800,36750
2018-11-08,7.56,36300,-0.45(-1.22 %),77250,2786000000,0,0,36000,36300,35700
2018-11-09,7.39,35500,-0.8(-2.20 %),94040,3318000000,0,0,35500,36250,34800
2018-11-12,7.71,37000,1.5(4.23 %),110590,4008000000,0,0,35300,37600,35300
2018-11-13,7.55,36250,-0.75(-2.03 %),103310,3760000000,0,0,36200,37000,36050
2018-11-14,7.52,36100,-0.15(-0.41 %),94280,3406000000,0,0,35800,38000,35700
2018-11-15,7.43,35700,-0.4(-1.11 %),122210,4365000000,0,0,35900,36500,35000
2018-11-16,7.64,36700,1(2.80 %),73460,2645000000,0,0,35400,36700,35400
2018-11-19,7.6,36500,-0.2(-0.54 %),80460,2928000000,0,0,36200,37200,36050
2018-11-20,7.52,36100,-0.4(-1.10 %),76790,2784000000,0,0,35800,36700,35700
2018-11-21,7.39,35500,-0.6(-1.66 %),77530,2759000000,0,0,35300,36000,35100
2018-11-22,7.58,36400,0.9(2.54 %),84560,3040000000,0,0,35500,37000,35300
2018-11-23,7.62,36600,0.2(0.55 %),112660,4128000000,0,0,36100,37600,35800
2018-11-26,7.81,37500,0.9(2.46 %),127760,4703000000,0,0,36300,37550,36200
2018-11-27,7.93,38100,0.6(1.60 %),114620,4311000000,0,0,37800,39600,36900
2018-11-28,7.89,37900,-0.2(-0.52 %),135880,5079000000,0,0,37500,38200,36800
2018-11-29,7.73,37100,-0.8(-2.11 %),124920,4654000000,0,0,37300,38000,36700
2018-11-30,7.69,36950,-0.15(-0.40 %),100060,3660000000,0,0,36900,37000,36250
2018-12-03,8.02,38500,1.55(4.19 %),107730,4050000000,0,0,36500,38950,36500
2018-12-04,7.89,37900,-0.6(-1.56 %),89790,3411000000,0,0,38500,38800,37500
2018-12-05,7.82,37550,-0.35(-0.92 %),93080,3494000000,0,0,37500,38000,37200
2018-12-06,7.75,37200,-0.35(-0.93 %),85200,3166000000,0,0,37500,37600,36800
2018-12-07,7.76,37250,0.05(0.13 %),90240,3332000000,0,0,36700,37300,36400
2018-12-10,7.65,36750,-0.5(-1.34 %),86510,3175000000,0,0,36750,37000,36400
