Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2013-07-29,4.0,12900,0.6(4.88 %),846600,10889680000.0,200000,2220000000,12500,13200,11100
2013-07-30,4.15,13400,0.5(3.88 %),1243300,16600230000.0,0,0,12900,13800,12800
2013-07-31,4.06,13100,-0.3(-2.24 %),1590100,20704240000.0,100000,1220000000,13400,14100,12450
2013-08-01,3.91,12600,-0.5(-3.82 %),665900,8515840000.0,0,0,13100,13300,12300
2013-08-02,4.06,13100,0.5(3.97 %),555000,7142840000.0,100000,1150000000,12500,13200,11700
2013-08-05,3.94,12700,-0.4(-3.05 %),666200,8533880000.0,400000,4760000000,13000,13100,12200
2013-08-06,3.94,12700,0(0.00 %),697900,8915560000.0,0,0,12800,12900,12500
2013-08-07,4.31,13600,1.2(9.45 %),906200,12442410000.0,0,0,12900,13600,12800
2013-08-08,4.37,14100,0.2(1.44 %),1285500,18036980000.0,0,0,13900,14500,13600
2013-08-09,4.4,14200,0.1(0.71 %),1208700,17384749056.0,0,0,14400,15100,14000
2013-08-12,4.46,14400,0.2(1.41 %),1225800,17310320000.0,0,0,14200,14400,13800
2013-08-13,4.65,15000,0.6(4.17 %),1451900,21723330000.0,0,0,14500,15300,14500
2013-08-14,4.84,15600,0.6(4.00 %),1474200,22194829312.0,0,0,15000,15600,14600
2013-08-15,4.93,15900,0.3(1.92 %),1436700,22875570176.0,0,0,16000,16500,15500
2013-08-16,4.99,16100,0.2(1.26 %),1018500,16288730112.0,0,0,15800,16400,15500
2013-08-19,5.3,17100,1(6.21 %),1743300,29499940864.0,50000,750000000,16300,17250,16100
2013-08-20,4.99,16100,-1(-5.85 %),1277000,21177729024.0,0,0,17300,17500,15900
2013-08-21,5.02,16200,0.1(0.62 %),837700,13282190336.0,0,0,15900,16200,15500
2013-08-22,4.93,15900,-0.3(-1.85 %),731600,11659520000.0,0,0,16200,16200,15700
2013-08-23,4.81,15500,-0.4(-2.52 %),641300,10021749760.0,0,0,15800,16100,15300
2013-08-26,4.96,16000,0.5(3.23 %),647200,10153759744.0,0,0,15400,16000,15300
2013-08-27,4.87,15700,-0.3(-1.88 %),464600,7355610112.0,100000,1570000000,16000,16000,15700
2013-08-28,4.77,15400,-0.3(-1.91 %),624600,9555220480.0,0,0,15700,15700,15000
2013-08-29,4.77,15400,0(0.00 %),690000,10596580352.0,0,0,15400,15600,15000
2013-08-30,4.77,15400,0(0.00 %),418100,6371270144.0,0,0,15400,15400,15100
2013-09-03,4.77,15400,0(0.00 %),449300,6906999808.0,0,0,15400,15500,15200
2013-09-04,4.87,15700,0.3(1.95 %),604700,9386149888.0,0,0,15400,15700,15300
2013-09-05,4.96,16000,0.3(1.91 %),817200,13077480448.0,0,0,15800,16200,15800
2013-09-06,4.87,15700,-0.3(-1.88 %),779300,12351890432.0,0,0,16000,16100,15700
2013-09-09,4.77,15400,-0.3(-1.91 %),511000,7903179776.0,0,0,15600,15700,15300
2013-09-10,4.84,15600,0.2(1.30 %),416900,6465010176.0,0,0,15400,15600,15400
2013-09-11,4.77,15400,-0.2(-1.28 %),518600,8044550144.0,0,0,15500,15700,15400
2013-09-12,4.81,15500,0.1(0.65 %),401800,6196570112.0,0,0,15300,15600,15300
2013-09-13,4.77,15400,-0.1(-0.65 %),403400,6216949760.0,0,0,15500,15800,15300
2013-09-16,4.77,15400,0(0.00 %),555800,8564610048.0,0,0,15400,15700,15300
2013-09-17,4.93,15900,0.5(3.25 %),707200,11059030016.0,0,0,15400,16000,15300
2013-09-18,4.9,15800,-0.1(-0.63 %),649200,10232510464.0,0,0,15900,16000,15700
2013-09-19,5.01,15400,0.4(2.67 %),758300,11590020096.0,0,0,15100,15400,15100
2013-09-20,5.11,15700,0.3(1.95 %),850100,13163219968.0,0,0,15300,15700,15100
2013-09-23,5.21,16000,0.3(1.91 %),1299100,20775849984.0,0,0,15700,16300,15700
2013-09-24,5.73,17100,1.6(10.00 %),1865400,31833131008.0,0,0,16200,17100,16100
2013-09-25,5.44,16700,-0.9(-5.11 %),1322900,22453100544.0,0,0,17900,17900,16600
2013-09-26,5.14,15800,-0.9(-5.39 %),1411600,22424209408.0,0,0,16600,16700,15700
2013-09-27,5.14,15800,0(0.00 %),1064700,16708629504.0,0,0,15400,16000,15300
2013-09-30,5.08,15600,-0.2(-1.27 %),1293900,20114550784.0,0,0,15600,15800,15200
2013-10-01,4.98,15300,-0.3(-1.92 %),904600,13860349952.0,0,0,15200,15600,15100
2013-10-02,5.18,15900,0.6(3.92 %),1011200,15927000064.0,0,0,15300,16000,15300
2013-10-03,5.11,15700,-0.2(-1.26 %),771300,12104030208.0,0,0,16000,16100,15500
2013-10-04,5.18,15900,0.2(1.27 %),864100,13442230272.0,0,0,15500,15900,15200
2013-10-07,5.31,16300,0.4(2.52 %),913400,14634630144.0,0,0,16000,16300,15900
2013-10-08,5.44,16700,0.4(2.45 %),790100,13078890496.0,0,0,16400,16900,16200
2013-10-09,5.44,16700,0(0.00 %),744800,12251809792.0,0,0,16500,16800,16100
2013-10-10,5.34,16400,-0.3(-1.80 %),629000,10402339840.0,0,0,16600,16800,16200
2013-10-11,5.34,16400,0(0.00 %),695500,11416240128.0,0,0,16400,16600,16200
2013-10-14,5.57,17100,0.7(4.27 %),750400,12699559936.0,0,0,16600,17100,16600
2013-10-15,5.83,17900,0.8(4.68 %),787500,13860519936.0,0,0,17200,17900,17100
