Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2006-12-08,6.14,69000,3(4.55 %),10000,690000,0,0,69000,69000,69000
2006-12-11,6.41,72000,3(4.35 %),22500,1620000,0,0,69000,72000,69000
2006-12-12,6.72,75500,3.5(4.86 %),19900,1502450,0,0,75500,75500,75500
2006-12-13,7.03,79000,3.5(4.64 %),5100,402900,10000,790000,75500,79000,75500
2006-12-14,7.34,82500,3.5(4.43 %),43900,3621750,40000,3300000,82500,82500,82500
2006-12-15,7.7,86500,4(4.85 %),70000,6055000,40000,3425000,86500,86500,86500
2006-12-18,7.74,87000,0.5(0.58 %),144260,12513785,0,0,86500,87000,86500
2006-12-19,7.74,87000,0(0.00 %),144320,12613020,0,0,87000,87000,87000
2006-12-20,7.83,88000,1(1.15 %),208330,18422310,90000,8010000,89000,89000,88000
2006-12-21,7.83,88000,0(0.00 %),273590,24167810,0,0,88000,88000,88000
2006-12-22,7.48,84000,-4(-4.55 %),27650,2331500,0,0,84500,84500,84000
2006-12-25,7.61,85500,1.5(1.79 %),148840,12514620,0,0,80000,85500,80000
2006-12-26,7.97,89500,4(4.68 %),65520,5847280,0,0,89000,89500,89000
2006-12-27,8.32,93500,4(4.47 %),44800,4188800,0,0,93500,93500,93500
2006-12-28,8.28,93000,-0.5(-0.53 %),28560,2660605,0,0,93500,93500,93000
2006-12-29,7.88,88500,-4.5(-4.84 %),25010,2218865,0,0,89000,89000,88500
2007-01-02,7.52,84500,0(0.00 %),25050,2117000000,0,0,84500,84500,84500
2007-01-03,7.65,86000,1.5(1.78 %),11440,0,0,0,86000,86000,84500
2007-01-04,8.01,90000,4(4.65 %),19950,1796000000,0,0,90000,90000,90000
2007-01-05,8.41,94500,4.5(5.00 %),56000,0,0,0,94500,94500,94500
2007-01-08,8.54,96000,1.5(1.59 %),111830,2896000000,0,0,99000,99000,96000
2007-01-09,8.9,100000,4(4.17 %),142010,14143000000,0,0,99000,100000,95000
2007-01-10,8.54,96000,-4(-4.00 %),29740,2908000000,0,0,100000,100000,96000
2007-01-11,8.72,98000,2(2.08 %),61250,6016000000,0,0,99000,99000,98000
2007-01-12,8.72,98000,0(0.00 %),110120,10768000000,0,0,97000,98000,96000
2007-01-15,8.72,98000,0(0.00 %),44400,4355000000,0,0,100000,100000,96000
2007-01-16,8.37,94000,-4(-4.08 %),64210,6061000000,0,0,98000,98000,94000
2007-01-17,7.97,89500,-4.5(-4.79 %),30030,2710000000,0,0,94000,94000,89500
2007-01-18,7.97,89500,0(0.00 %),48220,4245000000,0,0,86000,89500,86000
2007-01-19,8.05,90500,1(1.12 %),51020,4597000000,0,0,90000,90500,90000
2007-01-22,7.83,88000,-2.5(-2.76 %),27080,2417000000,0,0,90500,90500,88000
