Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2018-04-27,35.43,160500,10.5(7.00 %),2520730,401315000000,800000,128400000000,160500,160500,153500
2018-05-02,37.09,168000,7.5(4.67 %),657340,109973000000,250000,42500000000,168000,168000,166500
2018-05-03,34.66,157000,-11(-6.55 %),261780,40951000000,0,0,156300,167500,156300
2018-05-04,32.89,149000,-8(-5.10 %),57020,8541000000,0,0,147000,154000,147000
2018-05-07,33.55,152000,3(2.01 %),67180,9917000000,0,0,154800,154800,140200
2018-05-08,33.11,150000,-2(-1.32 %),59090,8941000000,0,0,155000,155000,149000
2018-05-09,33.64,152400,2.4(1.60 %),96890,14749000000,0,0,150000,153500,149000
2018-05-10,34.17,154800,2.4(1.57 %),89910,13861000000,0,0,154000,154800,152500
2018-05-11,33.8,153100,-1.7(-1.10 %),23700,3695000000,0,0,156000,156500,153100
2018-05-14,33.22,150500,-2.6(-1.70 %),40720,6263000000,0,0,153100,159500,150500
2018-05-15,34.66,157000,6.5(4.32 %),82190,12841000000,200000,31600000000,155000,159900,151000
2018-05-16,34.66,157000,0(0.00 %),113000,18062000000,0,0,160000,160000,157000
2018-05-17,35.21,159500,2.5(1.59 %),40650,6478000000,0,0,160000,160000,158000
2018-05-18,35.21,159500,0(0.00 %),35230,5619000000,0,0,159500,160000,158200
2018-05-21,34.46,156100,-3.4(-2.13 %),58530,9228000000,0,0,159900,159900,156000
2018-05-22,34.46,156100,0(0.00 %),188830,30099000000,0,0,160000,163000,156100
2018-05-23,34.66,157000,0.9(0.58 %),148490,23355000000,30000,4726500000,154500,160000,154500
2018-05-24,35.13,146000,1.25(1.35 %),186210,17600000000,0,0,146000,146000,146000
2018-05-25,35.13,93600,0(0.00 %),185010,17385000000,0,0,93600,94100,93600
2018-05-28,34.26,91300,-2.3(-2.46 %),31840,2912000000,0,0,93600,93600,90500
2018-05-29,34.15,91000,-0.3(-0.33 %),48230,4284000000,0,0,92000,92000,87000
2018-05-30,32.65,87000,-4(-4.40 %),89010,7833000000,0,0,91000,91000,87000
2018-05-31,33.93,90400,3.4(3.91 %),30530,2692000000,0,0,87000,90500,87000
2018-06-01,33.89,90300,-0.1(-0.11 %),37140,3345000000,0,0,90400,90400,89500
2018-06-04,33.4,89000,-1.3(-1.44 %),36140,3228000000,0,0,90300,90300,88500
2018-06-05,33.44,89100,0.1(0.11 %),41780,3743000000,69370,6243300000,89000,90000,89000
2018-06-06,33.51,89300,0.2(0.22 %),14560,1297000000,0,0,89100,89300,89000
2018-06-07,33.78,90000,0.7(0.78 %),120650,10866000000,0,0,90000,91000,89300
2018-06-08,33.74,89900,-0.1(-0.11 %),31310,2811000000,0,0,90000,90000,89000
2018-06-11,33.78,90000,0.1(0.11 %),43460,3910000000,70000,6335000000,90000,90000,89800
2018-06-12,33.4,89000,-1(-1.11 %),31120,2768000000,0,0,90100,90100,88000
2018-06-13,33.78,90000,1(1.12 %),92830,8342000000,107500,9696500000,88500,90700,88500
2018-06-14,32.65,87000,-3(-3.33 %),18400,1622000000,0,0,91000,91000,87000
2018-06-15,32.69,87100,0.1(0.11 %),1690,148000000,50000,4500000000,89000,89000,87100
2018-06-18,32.69,87100,0(0.00 %),10520,889000000,0,0,86800,87100,82100
2018-06-19,30.44,81100,-6(-6.89 %),59070,4798000000,0,0,86000,86000,81100
2018-06-20,30.96,82500,1.4(1.73 %),44480,3537000000,0,0,75500,82500,75500
2018-06-21,30.02,80000,-2.5(-3.03 %),65370,5302000000,0,0,83500,83500,79900
2018-06-22,29.65,79000,-1(-1.25 %),20150,1606000000,0,0,74500,81000,74500
2018-06-25,29.72,79200,0.2(0.25 %),51350,4064000000,0,0,78000,80800,77500
2018-06-26,29.65,79000,-0.2(-0.25 %),27380,2102000000,0,0,79900,79900,75000
2018-06-27,30.21,80500,1.5(1.90 %),88550,7118000000,222900,18054900000,78000,81000,78000
2018-06-28,30.21,80500,0(0.00 %),109760,8894000000,0,0,80500,83000,80000
2018-06-29,30.4,81000,0.5(0.62 %),54370,4378000000,0,0,80500,83000,79500
2018-07-02,29.27,78000,-3(-3.70 %),10350,812000000,0,0,81500,81500,76000
2018-07-03,29.27,78000,0(0.00 %),16480,1286000000,0,0,80000,80000,77500
2018-07-04,29.27,78000,0(0.00 %),23410,1808000000,100000,7700000000,72600,78000,72600
2018-07-05,27.77,74000,-4(-5.13 %),680,51000000,0,0,75000,77000,74000
2018-07-06,27.02,72000,-2(-2.70 %),7600,544000000,0,0,72000,72000,70000
2018-07-09,25.9,69000,-3(-4.17 %),1500,104000000,0,0,67100,73000,67100
2018-07-10,26.65,71000,2(2.90 %),62420,4432000000,100000,7000000000,71000,71000,70800
2018-07-11,27.4,73000,2(2.82 %),44430,3180000000,649010,46079710000,71500,73000,71000
2018-07-12,27.4,73000,0(0.00 %),21480,1568000000,25960,1843160000,73000,73800,72000
2018-07-13,29.27,78000,5(6.85 %),13610,1026000000,515730,37748290000,74000,78000,73000
2018-07-16,29.27,78000,0(0.00 %),940,73000000,0,0,78100,78100,75000
2018-07-17,28.15,75000,-3(-3.85 %),750,56000000,0,0,75000,75000,75000
2018-07-18,28.9,77000,2(2.67 %),7960,588000000,0,0,70100,77000,70100
2018-07-19,27.02,72000,-5(-6.49 %),23540,1766000000,226900,16790600000,77000,78800,72000
2018-07-20,27.77,74000,2(2.78 %),10370,767000000,0,0,72500,74000,72500
2018-07-23,27.77,74000,0(0.00 %),14610,1087000000,350000,25940000000,74000,75000,74000
2018-07-24,27.58,73500,-0.5(-0.68 %),4080,299000000,0,0,72800,73500,72800
2018-07-25,27.58,73500,0(0.00 %),5600,412000000,484980,36088520000,73500,74000,73500
2018-07-26,27.77,74000,0.5(0.68 %),9830,719000000,0,0,74000,74000,73000
2018-07-27,27.73,73900,-0.1(-0.14 %),25420,1831000000,0,0,70000,78000,70000
2018-07-30,28.15,75000,1.1(1.49 %),25240,1887000000,100000,7560000000,73900,78000,73900
2018-07-31,28.07,74800,-0.2(-0.27 %),15950,1146000000,0,0,70100,75000,70100
2018-08-01,27.4,73000,-1.8(-2.41 %),2430,176000000,0,0,73000,74800,72000
2018-08-02,27.02,72000,-1(-1.37 %),1420,103000000,0,0,74000,74000,72000
2018-08-03,26.57,70800,-1.2(-1.67 %),5000,357000000,0,0,72900,72900,70800
2018-08-06,26.65,71000,0.2(0.28 %),37050,2548000000,0,0,70300,71000,66100
2018-08-07,26.65,71000,0(0.00 %),23730,1654000000,195000,14235000000,69000,73800,68000
2018-08-08,27.02,72000,1(1.41 %),7530,531000000,0,0,68000,72000,68000
2018-08-09,27.02,72000,0(0.00 %),15530,1117000000,0,0,71600,72000,71600
2018-08-10,27.02,72000,0(0.00 %),860,61000000,0,0,71000,72000,71000
2018-08-13,27.06,72100,0.1(0.14 %),8960,647000000,0,0,72000,72400,72000
2018-08-14,27.06,72100,0(0.00 %),4290,309000000,0,0,72000,72200,72000
2018-08-15,27.77,74000,1.9(2.64 %),18660,1396000000,0,0,76900,76900,73000
2018-08-16,27.77,74000,0(0.00 %),6470,485000000,0,0,75000,76000,73100
2018-08-17,27.77,74000,0(0.00 %),9180,667000000,50000,3800000000,70200,74000,70200
2018-08-20,27.62,73600,-0.4(-0.54 %),260,19000000,200000,15200000000,71200,73600,71200
2018-08-21,28.52,76000,2.4(3.26 %),28170,2086000000,100000,7600000000,73600,76000,71000
2018-08-22,28.9,77000,1(1.32 %),17480,1326000000,0,0,74000,77000,72000
2018-08-23,28.9,77000,0(0.00 %),27060,2011000000,0,0,77000,77000,73000
2018-08-24,27.77,74000,-3(-3.90 %),4430,328000000,50000,3900000000,74000,76500,74000
2018-08-27,28.03,74700,0.7(0.95 %),21140,1581000000,0,0,75000,75000,74600
2018-08-28,28.15,75000,0.3(0.40 %),24020,1797000000,0,0,74700,75000,74000
2018-08-29,28.49,75900,0.9(1.20 %),23490,1787000000,0,0,80000,80000,74700
2018-08-30,28.52,76000,0.1(0.13 %),47390,3542000000,0,0,75900,76000,74000
2018-08-31,28.67,76400,0.4(0.53 %),8680,660000000,0,0,76000,76400,74500
2018-09-04,28.67,76400,0(0.00 %),5360,405000000,0,0,76000,76400,75000
2018-09-05,28.67,76400,0(0.00 %),9090,694000000,0,0,76400,76400,75100
2018-09-06,28.52,76000,-0.4(-0.52 %),21550,1632000000,0,0,76000,76000,75000
2018-09-07,28.49,75900,-0.1(-0.13 %),15540,1179000000,0,0,76000,76000,74500
2018-09-10,27.77,74000,-1.9(-2.50 %),4200,310000000,0,0,75000,75000,73000
2018-09-11,28.15,75000,1(1.35 %),27520,2049000000,0,0,74000,75000,74000
2018-09-12,27.77,74000,-1(-1.33 %),320,24000000,0,0,73100,74000,73100
2018-09-13,28.15,75000,1(1.35 %),19000,1427000000,0,0,75000,75500,74500
2018-09-14,28.15,75000,0(0.00 %),5580,419000000,0,0,75500,75500,75000
2018-09-17,28.15,75000,0(0.00 %),10,1000000,0,0,75000,75000,75000
2018-09-18,28.0,74600,-0.4(-0.53 %),14040,1051000000,0,0,75000,75000,73100
2018-09-19,27.96,74500,-0.1(-0.13 %),9430,701000000,0,0,72100,75500,72100
2018-09-20,28.0,74600,0.1(0.13 %),4770,357000000,0,0,74400,75000,74400
2018-09-21,28.15,75000,0.4(0.54 %),22400,1677000000,0,0,74900,75400,74600
2018-09-24,28.15,75000,0(0.00 %),13710,1028000000,0,0,75000,75100,75000
2018-09-25,28.49,75900,0.9(1.20 %),5320,405000000,196000,13720000000,75900,76100,74900
2018-09-26,28.15,75000,-0.9(-1.19 %),430,33000000,0,0,75900,75900,75000
2018-09-27,27.96,74500,-0.5(-0.67 %),1740,130000000,0,0,75900,75900,74500
2018-09-28,28.56,76100,1.6(2.15 %),39560,3003000000,0,0,75000,76300,75000
2018-10-01,28.52,76000,-0.1(-0.13 %),7800,592000000,0,0,77900,77900,75000
2018-10-02,28.49,75900,-0.1(-0.13 %),5920,447000000,0,0,76000,76000,74500
2018-10-03,28.34,75500,-0.4(-0.53 %),32660,2449000000,0,0,75000,75500,74500
2018-10-04,28.52,76000,0.5(0.66 %),19150,1461000000,0,0,75000,77900,75000
2018-10-05,27.77,74000,-2(-2.63 %),7160,532000000,0,0,76000,76000,74000
2018-10-08,27.81,74100,0.1(0.14 %),630,47000000,0,0,76200,76200,74100
2018-10-09,28.15,75000,0.9(1.21 %),6540,486000000,0,0,74000,75000,74000
2018-10-10,28.37,75600,0.6(0.80 %),9980,746000000,0,0,75800,75800,70700
2018-10-11,27.4,73000,-2.6(-3.44 %),11320,810000000,0,0,73000,75900,71100
2018-10-12,27.77,74000,1(1.37 %),2920,212000000,0,0,71000,74000,71000
2018-10-15,26.91,71700,-2.3(-3.11 %),2940,212000000,0,0,72000,72200,71700
2018-10-16,27.58,73500,1.8(2.51 %),16370,1192000000,0,0,71800,73700,71500
2018-10-17,27.51,73300,-0.2(-0.27 %),31600,2327000000,0,0,73300,76000,73000
2018-10-18,27.21,72500,-0.8(-1.09 %),1700,123000000,0,0,72500,72500,72500
