Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2017-01-16,3.51,13400,-1(-6.94 %),10030,134000000,0,0,13400,13400,13400
2017-01-17,3.3,12600,-0.8(-5.97 %),694980,8730000000,0,0,12500,13000,12500
2017-01-18,3.38,12900,0.3(2.38 %),222960,2817000000,0,0,12000,13000,12000
2017-01-19,3.27,12500,-0.4(-3.10 %),59170,746000000,0,0,12900,12900,12500
2017-01-20,3.41,13050,0.55(4.40 %),123330,1581000000,0,0,12600,13200,12500
2017-01-23,3.31,12650,-0.4(-3.07 %),39700,497000000,0,0,13050,13050,12150
2017-01-24,3.38,12900,0.25(1.98 %),86250,1112000000,1000000,12950000000,12800,12950,12650
2017-01-25,3.43,13100,0.2(1.55 %),46230,602000000,0,0,13000,13150,12900
2017-02-02,3.39,12950,-0.15(-1.15 %),79300,1025000000,0,0,13200,13200,12900
2017-02-03,3.39,12950,0(0.00 %),212360,2749000000,0,0,12900,13000,12800
2017-02-06,3.41,13050,0.1(0.77 %),32990,426000000,0,0,12800,13050,12800
2017-02-07,3.39,12950,-0.1(-0.77 %),25790,333000000,0,0,13100,13100,12900
2017-02-08,3.4,13000,0.05(0.39 %),38560,500000000,0,0,12800,13000,12800
2017-02-09,3.39,12950,-0.05(-0.38 %),48610,627000000,0,0,12900,12950,12800
2017-02-10,3.4,13000,0.05(0.39 %),69740,900000000,0,0,12950,13000,12750
2017-02-13,3.36,12850,-0.15(-1.15 %),21090,272000000,0,0,13000,13000,12850
2017-02-14,3.32,12700,-0.15(-1.17 %),56450,719000000,0,0,12900,12900,12700
2017-02-15,3.39,12950,0.25(1.97 %),34830,447000000,0,0,12800,12950,12700
2017-02-16,3.39,12950,0(0.00 %),76540,992000000,0,0,12950,13000,12900
2017-02-17,3.4,13000,0.05(0.39 %),37130,479000000,0,0,12900,13000,12850
2017-02-20,3.61,13800,0.8(6.15 %),205700,2802000000,0,0,13100,13900,13100
2017-02-21,3.56,13600,-0.2(-1.45 %),50710,699000000,0,0,13900,14000,13600
2017-02-22,3.57,13650,0.05(0.37 %),34540,475000000,0,0,13800,13800,13650
2017-02-23,3.45,13200,-0.45(-3.30 %),64840,858000000,0,0,13200,13400,13150
2017-02-24,3.4,13000,-0.2(-1.52 %),55620,727000000,0,0,13100,13200,13000
2017-02-27,3.53,13500,0.5(3.85 %),45430,602000000,0,0,13500,13800,12900
2017-02-28,3.4,13000,-0.5(-3.70 %),23570,309000000,0,0,13000,13500,13000
2017-03-01,3.49,13350,0.35(2.69 %),20000,264000000,0,0,13200,13350,13200
2017-03-02,3.43,13100,-0.25(-1.87 %),3550,47000000,0,0,13400,13400,13050
2017-03-03,3.51,13400,0.3(2.29 %),72190,963000000,0,0,13000,13500,13000
2017-03-06,3.53,13500,0.1(0.75 %),45000,610000000,0,0,13650,13650,13450
2017-03-07,3.51,13400,-0.1(-0.74 %),21170,284000000,0,0,13400,13450,13400
2017-03-08,3.51,13400,0(0.00 %),5510,74000000,0,0,13400,13400,13400
2017-03-09,3.51,13400,0(0.00 %),17230,224000000,0,0,13000,13400,13000
2017-03-10,3.41,13050,-0.35(-2.61 %),10980,144000000,0,0,13050,13100,13050
2017-03-13,3.45,13200,0.15(1.15 %),8030,105000000,0,0,13050,13200,13050
2017-03-14,3.48,13300,0.1(0.76 %),22750,300000000,0,0,13200,13300,13100
2017-03-15,3.43,13100,-0.2(-1.50 %),46700,607000000,0,0,13100,13100,12850
2017-03-16,3.4,13000,-0.1(-0.76 %),20490,266000000,0,0,13100,13100,12900
2017-03-17,3.4,13000,0(0.00 %),32660,425000000,0,0,13000,13100,12950
2017-03-20,3.4,13000,0(0.00 %),55080,722000000,0,0,13250,13250,13000
2017-03-21,3.4,13000,0(0.00 %),21290,277000000,0,0,13000,13100,13000
2017-03-22,3.39,12950,-0.05(-0.38 %),18990,246000000,0,0,12950,13000,12950
2017-03-23,3.39,12950,0(0.00 %),32440,419000000,0,0,12900,13000,12850
2017-03-24,3.43,13100,0.15(1.16 %),98620,1285000000,0,0,12900,13250,12900
2017-03-27,3.57,13650,0.55(4.20 %),288540,3902000000,0,0,13150,13700,13150
2017-03-28,3.53,13500,-0.15(-1.10 %),91410,1234000000,0,0,13600,13600,13450
2017-03-29,3.57,13650,0.15(1.11 %),32040,432000000,0,0,13450,13650,13400
2017-03-30,3.53,13500,-0.15(-1.10 %),68850,936000000,0,0,13600,13700,13500
2017-03-31,3.55,13550,0.05(0.37 %),44880,608000000,0,0,13550,13600,13450
2017-04-03,3.55,13550,0(0.00 %),44450,605000000,0,0,13550,13750,13550
2017-04-04,3.53,13500,-0.05(-0.37 %),44140,598000000,0,0,13550,13550,13500
2017-04-05,3.51,13400,-0.1(-0.74 %),62740,846000000,0,0,13400,13550,13400
2017-04-07,3.53,13500,0.1(0.75 %),56300,760000000,0,0,13100,13600,13100
2017-04-10,3.53,13500,0(0.00 %),66370,897000000,0,0,13550,13550,13500
2017-04-11,3.53,13500,0(0.00 %),46290,625000000,0,0,13500,13550,13400
2017-04-12,3.49,13350,-0.15(-1.11 %),59000,796000000,0,0,13550,13550,13350
2017-04-13,3.51,13400,0.05(0.37 %),111250,1501000000,0,0,13400,13550,13400
2017-04-14,3.53,13500,0.1(0.75 %),19030,255000000,0,0,13350,13500,13300
2017-04-17,3.55,13550,0.05(0.37 %),30910,419000000,0,0,13650,13650,13500
2017-04-18,3.51,13400,-0.15(-1.11 %),18940,255000000,0,0,13200,13550,13200
2017-04-19,3.53,13500,0.1(0.75 %),10560,142000000,0,0,13500,13500,13400
2017-04-20,3.53,13500,0(0.00 %),22040,298000000,0,0,13500,13500,13400
2017-04-21,3.55,13550,0.05(0.37 %),60630,819000000,0,0,13500,13550,13500
2017-04-24,3.52,13450,-0.1(-0.74 %),11990,161000000,0,0,13550,13550,13450
2017-04-25,3.52,13450,0(0.00 %),16280,219000000,0,0,13400,13500,13400
2017-04-26,3.53,13500,0.05(0.37 %),18490,246000000,0,0,13400,13500,13200
2017-04-27,3.55,13550,0.05(0.37 %),31330,423000000,0,0,13500,13550,13500
2017-04-28,3.55,13550,0(0.00 %),17450,237000000,0,0,13600,13600,13500
2017-05-03,3.55,13550,0(0.00 %),13070,178000000,0,0,13550,13600,13550
2017-05-04,3.55,13550,0(0.00 %),18130,245000000,0,0,13550,13600,13500
2017-05-05,3.58,13700,0.15(1.11 %),44750,613000000,0,0,13600,14000,13550
2017-05-08,3.64,12750,0.2(1.67 %),13720,168000000,0,0,12750,12750,12750
2017-05-09,3.58,12000,-0.2(-1.64 %),5870,71000000,0,0,12200,12200,11900
2017-05-10,3.6,12050,0.05(0.42 %),40740,493000000,0,0,12100,12200,11950
2017-05-11,3.57,11950,-0.1(-0.83 %),29650,356000000,0,0,12100,12200,11950
2017-05-12,3.58,12000,0.05(0.42 %),35160,421000000,0,0,11950,12100,11950
2017-05-15,3.58,12000,0(0.00 %),17730,213000000,0,0,12000,12050,11900
2017-05-16,3.57,11950,-0.05(-0.42 %),30920,371000000,0,0,12000,12050,11950
2017-05-17,3.58,12000,0.05(0.42 %),9800,117000000,0,0,11900,12050,11900
2017-05-18,3.58,12000,0(0.00 %),20310,244000000,0,0,11900,12050,11900
2017-05-19,3.57,11950,-0.05(-0.42 %),192860,2334000000,0,0,11950,12400,11950
2017-05-22,3.58,12000,0.05(0.42 %),77960,934000000,0,0,12000,12150,11900
2017-05-23,3.58,12000,0(0.00 %),17610,211000000,0,0,12000,12000,11900
2017-05-24,3.61,12100,0.1(0.83 %),115500,1383000000,0,0,11850,12200,11850
2017-05-25,3.61,12100,0(0.00 %),18000,215000000,0,0,12200,12200,11950
2017-05-26,3.58,12000,-0.1(-0.83 %),27830,333000000,0,0,12000,12000,11950
2017-05-29,3.58,12000,0(0.00 %),85940,1034000000,0,0,11950,12100,11900
2017-05-30,3.51,11750,-0.25(-2.08 %),49170,582000000,0,0,11900,11900,11750
2017-05-31,3.52,11800,0.05(0.43 %),48200,564000000,0,0,11750,11800,11700
2017-06-01,3.52,11800,0(0.00 %),16060,189000000,0,0,11950,11950,11700
2017-06-02,3.5,11700,-0.1(-0.85 %),12770,149000000,0,0,11700,11700,11650
2017-06-05,3.48,11650,-0.05(-0.43 %),29410,343000000,0,0,11700,11750,11650
2017-06-06,3.5,11700,0.05(0.43 %),13410,156000000,0,0,11650,11700,11600
2017-06-07,3.52,11800,0.1(0.85 %),13930,163000000,0,0,11900,11900,11700
2017-06-08,3.54,11850,0.05(0.42 %),21000,248000000,0,0,11800,11850,11800
2017-06-09,3.52,11800,-0.05(-0.42 %),45220,528000000,0,0,11800,11800,11650
2017-06-12,3.5,11700,-0.1(-0.85 %),61510,716000000,0,0,11650,11700,11600
2017-06-13,3.48,11650,-0.05(-0.43 %),21730,254000000,0,0,11750,11750,11650
2017-06-14,3.51,11750,0.1(0.86 %),41180,482000000,0,0,11750,11750,11700
2017-06-15,3.58,12000,0.25(2.13 %),63110,754000000,0,0,11750,12100,11750
2017-06-16,3.75,12550,0.55(4.58 %),468870,5832000000,0,0,12100,12600,12100
2017-06-19,3.73,12500,-0.05(-0.40 %),324630,4060000000,0,0,12550,12600,12400
2017-06-20,3.73,12500,0(0.00 %),350340,4375000000,0,0,12550,12550,12400
2017-06-21,3.7,12400,-0.1(-0.80 %),115600,1433000000,0,0,12400,12450,12400
2017-06-22,3.72,12450,0.05(0.40 %),147920,1842000000,0,0,12400,12500,12400
2017-06-23,3.72,12450,0(0.00 %),200670,2485000000,0,0,12500,12500,11650
2017-06-26,3.72,12450,0(0.00 %),190260,2370000000,0,0,12500,12550,12400
2017-06-27,3.7,12400,-0.05(-0.40 %),48230,598000000,0,0,12500,12500,12300
2017-06-28,3.72,12450,0.05(0.40 %),52610,653000000,0,0,12450,12450,12400
2017-06-29,3.72,12450,0(0.00 %),53220,661000000,0,0,12400,12500,12400
2017-06-30,3.67,12300,-0.15(-1.20 %),83920,1032000000,0,0,12350,12350,12200
2017-07-03,3.7,12400,0.1(0.81 %),145910,1795000000,0,0,12450,12450,12200
2017-07-04,3.67,12300,-0.1(-0.81 %),102950,1263000000,0,0,12200,12300,12200
2017-07-05,3.66,12250,-0.05(-0.41 %),102320,1249000000,0,0,12300,12350,12150
2017-07-06,3.66,12250,0(0.00 %),125330,1532000000,0,0,12300,12300,12000
2017-07-07,3.58,12000,-0.25(-2.04 %),147410,1772000000,0,0,12250,12250,11500
2017-07-10,3.57,11950,-0.05(-0.42 %),38970,461000000,0,0,11900,11950,11750
2017-07-11,3.57,11950,0(0.00 %),125690,1477000000,0,0,11900,11950,11700
2017-07-12,3.54,11850,-0.1(-0.84 %),59020,698000000,0,0,12100,12100,11800
2017-07-13,3.52,11800,-0.05(-0.42 %),36320,429000000,0,0,11900,11900,11750
2017-07-14,3.54,11850,0.05(0.42 %),18650,222000000,0,0,12000,12000,11800
2017-07-17,3.55,11900,0.05(0.42 %),86430,1026000000,0,0,11900,12000,11800
2017-07-18,3.55,11900,0(0.00 %),29060,341000000,0,0,11900,11900,11700
2017-07-19,3.54,11850,-0.05(-0.42 %),55860,661000000,0,0,11900,11900,11700
2017-07-20,3.51,11750,-0.1(-0.84 %),58910,690000000,0,0,11700,11850,11700
2017-07-21,3.5,11700,-0.05(-0.43 %),23400,274000000,0,0,11850,11850,11650
2017-07-24,3.5,11700,0(0.00 %),55980,654000000,0,0,11700,11750,11600
2017-07-25,3.47,11600,-0.1(-0.85 %),57310,666000000,0,0,11750,11750,11600
2017-07-26,3.51,11750,0.15(1.29 %),42740,502000000,0,0,11750,11800,11700
2017-07-27,3.51,11750,0(0.00 %),48540,569000000,0,0,11800,11800,11700
2017-07-28,3.5,11700,-0.05(-0.43 %),34750,408000000,44000,481800000,11750,11800,11700
2017-07-31,3.52,11800,0.1(0.85 %),77530,911000000,0,0,11700,11850,11700
2017-08-01,3.51,11750,-0.05(-0.42 %),61290,721000000,0,0,11800,11800,11700
2017-08-02,3.51,11750,0(0.00 %),16930,199000000,0,0,11750,11750,11700
2017-08-03,3.51,11750,0(0.00 %),98530,1153000000,0,0,11750,11750,11600
2017-08-04,3.47,11600,-0.15(-1.28 %),52910,616000000,0,0,11750,11750,11600
2017-08-07,3.58,12000,0.4(3.45 %),97580,1128000000,0,0,11600,12000,11350
2017-08-08,3.51,11750,-0.25(-2.08 %),46300,543000000,0,0,12000,12200,11600
2017-08-09,3.5,11700,-0.05(-0.43 %),63640,741000000,0,0,11800,11900,11500
2017-08-10,3.47,11600,-0.1(-0.85 %),14800,172000000,0,0,11700,11700,11500
2017-08-11,3.47,11600,0(0.00 %),19820,229000000,0,0,11600,11700,11500
2017-08-14,3.47,11600,0(0.00 %),19880,230000000,0,0,11700,11700,11500
2017-08-15,3.47,11600,0(0.00 %),8180,95000000,0,0,11600,11600,11500
2017-08-16,3.44,11500,-0.1(-0.86 %),29960,344000000,0,0,11500,11600,11450
2017-08-17,3.44,11500,0(0.00 %),28780,331000000,0,0,11500,11550,11500
2017-08-18,3.47,11600,0.1(0.87 %),7250,83000000,0,0,11450,11600,11450
2017-08-21,3.44,11500,-0.1(-0.86 %),9950,115000000,0,0,11500,11550,11500
2017-08-22,3.42,11450,-0.05(-0.43 %),22580,259000000,0,0,11150,11550,11150
2017-08-23,3.41,11400,-0.05(-0.44 %),2050,23000000,0,0,11400,11400,11400
2017-08-24,3.44,11500,0.1(0.88 %),42600,489000000,0,0,11500,11550,11400
2017-08-25,3.44,11500,0(0.00 %),2440,28000000,0,0,11400,11500,11400
2017-08-28,3.41,11400,-0.1(-0.87 %),23450,268000000,0,0,11500,11500,11300
2017-08-29,3.44,11500,0.1(0.88 %),62650,711000000,0,0,11250,11500,11250
2017-08-30,3.44,11500,0(0.00 %),5200,60000000,0,0,11500,11500,11500
2017-08-31,3.39,11350,-0.15(-1.30 %),32140,365000000,0,0,11300,11450,11300
2017-09-01,3.44,11500,0.15(1.32 %),1280,15000000,0,0,11400,11500,11400
2017-09-05,3.39,11350,-0.15(-1.30 %),24720,282000000,0,0,11400,11500,11350
2017-09-06,3.41,11400,0.05(0.44 %),2840,32000000,0,0,11350,11450,11350
2017-09-07,3.41,11400,0(0.00 %),17910,203000000,0,0,11400,11400,11300
2017-09-08,3.38,11300,-0.1(-0.88 %),32410,368000000,0,0,11400,11400,11300
2017-09-11,3.35,11200,-0.1(-0.88 %),27290,309000000,0,0,11150,11350,11150
2017-09-12,3.35,11200,0(0.00 %),13520,151000000,0,0,11200,11250,11150
2017-09-13,3.39,11350,0.15(1.34 %),4760,53000000,0,0,11200,11350,11200
2017-09-14,3.38,11300,-0.05(-0.44 %),8940,101000000,0,0,11200,11300,11200
2017-09-15,3.38,11300,0(0.00 %),31070,349000000,0,0,11200,11300,11150
2017-09-18,3.38,11300,0(0.00 %),20500,227000000,0,0,11250,11300,11000
2017-09-19,3.38,11300,0(0.00 %),18390,207000000,0,0,11200,11300,11150
2017-09-20,3.35,11200,-0.1(-0.88 %),17770,199000000,0,0,11200,11300,11200
2017-09-21,3.38,11300,0.1(0.89 %),15790,178000000,0,0,11200,11350,11200
2017-09-22,3.55,11900,0.6(5.31 %),57420,679000000,0,0,11400,12000,11400
2017-09-25,3.45,11550,-0.35(-2.94 %),29820,347000000,0,0,11650,11650,11550
2017-09-26,3.51,11750,0.2(1.73 %),7750,89000000,0,0,11400,11750,11350
2017-09-27,3.52,11800,0.05(0.43 %),6630,77000000,0,0,11800,11800,11350
2017-09-28,3.44,11500,-0.3(-2.54 %),12960,150000000,0,0,11750,11800,11400
2017-09-29,3.45,11550,0.05(0.43 %),25250,292000000,0,0,11550,11600,11550
2017-10-02,3.5,11700,0.15(1.30 %),14970,173000000,0,0,11400,11700,11400
2017-10-03,3.44,11500,-0.2(-1.71 %),2470,28000000,0,0,11600,11600,11500
2017-10-04,3.44,11500,0(0.00 %),1900,22000000,0,0,11500,11650,11500
2017-10-05,3.42,11450,-0.05(-0.43 %),7860,91000000,0,0,11600,11600,11450
2017-10-06,3.44,11500,0.05(0.44 %),12640,145000000,0,0,11450,11500,11450
2017-10-09,3.5,11700,0.2(1.74 %),18000,209000000,0,0,11600,11700,11600
2017-10-10,3.5,11700,0(0.00 %),18050,211000000,0,0,11600,11800,11600
2017-10-11,3.47,11600,-0.1(-0.85 %),2640,31000000,0,0,11700,11700,11600
2017-10-12,3.47,11600,0(0.00 %),10250,119000000,0,0,11600,11650,11600
2017-10-13,3.5,11700,0.1(0.86 %),26380,319000000,0,0,12200,12400,11700
2017-10-16,3.5,11700,0(0.00 %),8130,95000000,0,0,11650,11700,11600
2017-10-17,3.44,11500,-0.2(-1.71 %),7550,87000000,0,0,11800,11800,11500
2017-10-18,3.51,11750,0.25(2.17 %),34660,407000000,0,0,11500,11800,11500
2017-10-19,3.58,12000,0.25(2.13 %),96970,1159000000,0,0,11850,12000,11800
2017-10-20,3.55,11900,-0.1(-0.83 %),2110,25000000,0,0,12000,12000,11550
2017-10-23,3.44,11500,-0.4(-3.36 %),20220,235000000,0,0,11500,11700,11500
2017-10-24,3.44,11500,0(0.00 %),70090,811000000,0,0,11500,11750,11500
2017-10-25,3.44,11500,0(0.00 %),12570,145000000,0,0,11500,11500,11500
2017-10-26,3.42,11450,-0.05(-0.43 %),25120,289000000,0,0,11500,11500,11450
2017-10-27,3.44,11500,0.05(0.44 %),1050,12000000,0,0,11550,11600,11500
2017-10-30,3.44,11500,0(0.00 %),15020,172000000,0,0,11500,11500,11400
2017-10-31,3.41,11400,-0.1(-0.87 %),13550,154000000,0,0,11300,11400,11300
2017-11-01,3.35,11200,-0.2(-1.75 %),55390,625000000,0,0,11400,11600,11200
2017-11-02,3.32,11100,-0.1(-0.89 %),71650,802000000,0,0,11200,11300,11050
2017-11-03,3.35,11200,0.1(0.90 %),15150,168000000,0,0,11150,11200,11000
2017-11-06,3.35,11200,0(0.00 %),20530,229000000,0,0,11200,11200,11000
2017-11-07,3.35,11200,0(0.00 %),20600,230000000,0,0,11200,11200,11150
2017-11-08,3.35,11200,0(0.00 %),11270,126000000,0,0,11200,11200,11200
2017-11-09,3.35,11200,0(0.00 %),34790,388000000,0,0,11200,11300,11050
2017-11-10,3.36,11250,0.05(0.45 %),19100,212000000,0,0,11100,11300,10900
2017-11-13,3.38,11300,0.05(0.44 %),2570,28000000,0,0,10900,11500,10900
2017-11-14,3.38,11300,0(0.00 %),63640,715000000,0,0,11300,11300,11000
2017-11-15,3.38,11300,0(0.00 %),48860,543000000,0,0,11300,11400,11100
2017-11-16,3.36,11250,-0.05(-0.44 %),5600,63000000,0,0,11200,11250,11200
2017-11-17,3.35,11200,-0.05(-0.44 %),40550,452000000,0,0,11200,11200,11100
2017-11-20,3.35,11200,0(0.00 %),49590,554000000,0,0,11200,11300,11150
2017-11-21,3.36,11250,0.05(0.45 %),60610,679000000,0,0,11200,11300,11150
2017-11-22,3.36,11250,0(0.00 %),59090,661000000,0,0,11250,11300,11150
2017-11-23,3.35,11200,-0.05(-0.44 %),30120,337000000,0,0,11250,11250,11150
2017-11-24,3.35,11200,0(0.00 %),83480,937000000,0,0,11200,11300,11200
2017-11-27,3.35,11200,0(0.00 %),61750,696000000,0,0,11350,11350,11200
2017-11-28,3.35,11200,0(0.00 %),33790,380000000,0,0,11300,11300,11200
2017-11-29,3.39,11350,0.15(1.34 %),51110,584000000,0,0,11200,11650,11200
2017-11-30,3.39,11350,0(0.00 %),29760,338000000,0,0,11350,11500,11350
2017-12-01,3.41,11400,0.05(0.44 %),39270,447000000,0,0,11400,11500,11350
2017-12-04,3.48,11650,0.25(2.19 %),244540,2824000000,0,0,11400,11800,11400
2017-12-05,3.47,11600,-0.05(-0.43 %),49840,581000000,0,0,11650,11800,11500
2017-12-06,3.47,11600,0(0.00 %),31560,366000000,0,0,11600,11650,11500
2017-12-07,3.45,11550,-0.05(-0.43 %),172300,1988000000,0,0,11550,11600,11500
2017-12-08,3.44,11500,-0.05(-0.43 %),44160,508000000,0,0,11700,11700,11500
2017-12-11,3.41,11400,-0.1(-0.87 %),99630,1131000000,0,0,11400,11450,11300
2017-12-12,3.41,11400,0(0.00 %),154840,1754000000,0,0,11400,11500,11100
2017-12-13,3.41,11400,0(0.00 %),134370,1528000000,0,0,11450,11450,11200
2017-12-14,3.55,11900,0.5(4.39 %),312110,3645000000,0,0,11400,12150,11400
2017-12-15,3.63,12150,0.25(2.10 %),120460,1458700000,0,0,11900,12450,11800
2017-12-18,3.66,12250,0.1(0.82 %),61500,753000000,0,0,12150,12300,12150
2017-12-19,3.58,12000,-0.25(-2.04 %),88420,1066000000,0,0,12200,12200,11950
2017-12-20,3.61,12100,0.1(0.83 %),39640,474000000,0,0,12000,12100,11900
2017-12-21,3.61,12100,0(0.00 %),60620,737000000,0,0,12200,12250,12100
2017-12-22,3.61,12100,0(0.00 %),34210,416000000,0,0,12050,12200,12050
2017-12-25,3.61,12100,0(0.00 %),14880,180000000,0,0,11800,12300,11800
2017-12-26,3.6,12050,-0.05(-0.41 %),25530,308000000,0,0,12050,12150,12000
2017-12-27,3.58,12000,-0.05(-0.41 %),32690,392000000,79849,898301250,12000,12000,11950
