Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2012-05-22,17.47,43000,2(4.88 %),1934550,83072830000,2900000,113100000000,43000,43000,42500
2012-05-23,16.61,40900,-2.1(-4.88 %),1055780,44104759000,0,0,42900,43000,40900
2012-05-24,15.8,38900,-2(-4.89 %),1009380,39301180000,0,0,39000,40000,38900
2012-05-25,15.84,39000,0.1(0.26 %),877260,33972756000,50000,1985000000,38900,39800,37100
2012-05-28,15.27,37600,-1.4(-3.59 %),457400,17368626000,0,0,39200,39200,37500
2012-05-29,14.91,36700,-0.9(-2.39 %),418300,15308860000,0,0,36300,37000,36100
2012-05-30,15.36,37800,1.1(3.00 %),170280,6392818000,0,0,37000,37900,36700
2012-05-31,15.11,37200,-0.6(-1.59 %),269030,9986408000,0,0,37200,37800,36700
2012-06-01,15.11,37200,0(0.00 %),138370,5152981000,0,0,37000,37400,37000
2012-06-04,14.46,35600,-1.6(-4.30 %),383250,13869717000,0,0,36800,36800,35600
2012-06-05,14.46,35600,0(0.00 %),330550,11679609000,0,0,35000,35900,35000
2012-06-06,14.54,35800,0.2(0.56 %),101300,3611519000,0,0,35600,36000,35300
2012-06-07,15.23,37500,1.7(4.75 %),280210,10446066000,100000,3560000000,36300,37500,35800
2012-06-08,15.23,37500,0(0.00 %),300060,11452653000,150000,5737500000,37800,39300,37400
2012-06-11,14.95,36800,-0.7(-1.87 %),106110,3939684000,70000,2660000000,37000,37900,36800
2012-06-12,14.75,36300,-0.5(-1.36 %),126760,4635283000,74000,2740000000,37500,37500,36300
2012-06-13,14.79,36400,0.1(0.28 %),33550,1219912000,0,0,36700,36700,36100
2012-06-14,14.79,36400,0(0.00 %),88860,3229417000,32000,1162976000,36200,36800,36100
2012-06-15,15.07,37100,0.7(1.92 %),80460,2964520000,0,0,36400,37300,36400
2012-06-18,15.4,37900,0.8(2.16 %),181580,6833898000,0,0,37300,38000,37300
2012-06-19,15.4,37900,0(0.00 %),263540,9991509000,34000,1302200000,37900,38200,37600
2012-06-20,15.6,38400,0.5(1.32 %),224150,8570872000,0,0,37900,38700,37900
2012-06-21,15.64,38500,0.1(0.26 %),86970,3348134000,57000,2194500000,38800,38800,38100
2012-06-22,15.68,38600,0.1(0.26 %),182790,7040936000,227000,8739500000,38400,38800,38300
2012-06-25,15.4,37900,-0.7(-1.81 %),216300,8241041000,0,0,38700,38700,37600
2012-06-26,15.4,37900,0(0.00 %),107410,4051624000,0,0,37200,37900,37200
2012-06-27,15.44,38000,0.1(0.26 %),56490,2149488000,0,0,37800,38400,37800
2012-06-28,15.64,38500,0.5(1.32 %),314740,12094377000,0,0,38500,38500,38000
2012-06-29,15.6,38400,-0.1(-0.26 %),591130,22715189000,0,0,38700,38700,38400
2012-07-02,15.64,38500,0.1(0.26 %),111900,4313321000,310000,12214000000,38700,40000,38400
2012-07-03,15.68,38600,0.1(0.26 %),98880,3804347000,0,0,38300,38800,38200
2012-07-04,15.56,38300,-0.3(-0.78 %),181160,6958648000,0,0,38500,38600,38200
2012-07-05,15.56,38300,0(0.00 %),32450,1240133000,0,0,38300,38400,37500
2012-07-06,15.56,38300,0(0.00 %),27580,1050355000,0,0,38300,38300,37500
2012-07-09,15.44,38000,-0.3(-0.78 %),14910,567787000,0,0,38300,38300,37700
2012-07-10,15.23,37500,-0.5(-1.32 %),54900,2067000000,0,0,37700,38000,37500
2012-07-11,15.36,37800,0.3(0.80 %),32940,1232354000,0,0,37000,37800,37000
2012-07-12,15.4,37900,0.1(0.26 %),2830,107127000,0,0,37900,37900,37600
2012-07-13,15.48,38100,0.2(0.53 %),77460,2946446000,0,0,38000,38200,37900
2012-07-16,15.56,38300,0.2(0.52 %),75920,2899815000,0,0,37600,38300,37600
2012-07-17,15.56,38300,0(0.00 %),182340,6993807000,0,0,38600,38600,38000
2012-07-18,15.6,38400,0.1(0.26 %),146560,5622977000,0,0,38600,38600,37700
2012-07-19,16.29,40100,1.7(4.43 %),819250,32240497000,300000,11580000000,38400,40100,37900
2012-07-20,16.09,39600,-0.5(-1.25 %),287610,11392199000,0,0,40000,40000,39400
2012-07-23,16.0,39400,-0.2(-0.51 %),51430,2012883000,35320,1398672000,39600,39600,39000
2012-07-24,15.68,38600,-0.8(-2.03 %),33440,1294306000,0,0,39400,39400,38100
2012-07-25,15.68,38600,0(0.00 %),59190,2281880000,0,0,38000,39000,38000
2012-07-26,15.8,38900,0.3(0.78 %),28250,1094252000,0,0,38900,38900,38600
2012-07-27,15.76,38800,-0.1(-0.26 %),42110,1635340000,0,0,38900,39000,38700
2012-07-30,15.92,39200,0.4(1.03 %),36800,1424955000,0,0,38200,39200,38200
2012-07-31,15.8,38900,-0.3(-0.77 %),37450,1459785000,0,0,39400,39400,38800
2012-08-01,15.84,39000,0.1(0.26 %),126160,4919392000,0,0,38900,39100,38900
2012-08-02,15.96,39300,0.3(0.77 %),379390,14943738000,0,0,39000,39600,38800
2012-08-03,15.96,39300,0(0.00 %),338830,13215723000,0,0,39100,39400,39000
2012-08-06,16.0,39400,0.1(0.25 %),307250,12068682000,0,0,39700,39700,39000
2012-08-07,16.0,39400,0(0.00 %),39770,1565651000,0,0,39400,39500,39100
2012-08-08,15.88,39100,-0.3(-0.76 %),88470,3467890000,0,0,39500,39500,39100
2012-08-09,15.88,39100,0(0.00 %),139970,5477649000,32100,1261530000,39100,39400,39100
2012-08-10,15.88,39100,0(0.00 %),82930,3243967000,0,0,39100,39400,39100
2012-08-13,15.88,39100,0(0.00 %),52670,2052291000,0,0,38500,39200,38500
2012-08-14,15.92,39200,0.1(0.26 %),65220,2554589000,0,0,39000,39300,39000
2012-08-15,16.0,39400,0.2(0.51 %),172630,6792415000,0,0,39400,39500,39300
2012-08-16,16.29,40100,0.7(1.78 %),713090,28567474000,0,0,39500,40300,39500
2012-08-17,16.9,41600,1.5(3.74 %),2424550,100020023000,0,0,40300,41800,40300
2012-08-20,17.02,41900,0.3(0.72 %),285470,11946222000,100000,4190000000,42000,42000,41600
2012-08-21,16.21,39900,-2(-4.77 %),778620,31111679000,0,0,41800,41800,39900
2012-08-22,16.45,40500,0.6(1.50 %),425250,17080317000,0,0,38500,41000,38500
2012-08-23,15.64,38500,-2(-4.94 %),608680,23531277000,0,0,40000,40000,38500
2012-08-24,16.05,39500,1(2.60 %),471190,18219853000,20000,790580000,36800,40300,36800
