Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2009-11-18,4.0,36900,0.9(2.50 %),71640,2680940000,0,0,37700,37700,36800
2009-11-19,3.81,35100,-1.8(-4.88 %),31280,1098427000,0,0,35100,35900,35100
2009-11-20,3.62,33400,-1.7(-4.84 %),17680,590512000,0,0,33400,33400,33400
2009-11-23,3.45,31800,-1.6(-4.79 %),3190,101442000,0,0,31800,31800,31800
2009-11-24,3.29,30300,-1.5(-4.72 %),109190,3310593000,20000,666000000,30300,31000,30300
2009-11-25,3.12,28800,-1.5(-4.95 %),44130,1270959000,0,0,28800,28900,28800
2009-11-26,2.97,27400,-1.4(-4.86 %),1710,46854000,0,0,27400,27400,27400
2009-11-27,2.83,26100,-1.3(-4.74 %),105290,2762646000,0,0,27400,28700,26100
2009-11-30,2.69,24800,-1.3(-4.98 %),50890,1266222000,0,0,26100,26100,24800
2009-12-01,2.82,26000,1.2(4.84 %),24500,629775000,0,0,25500,26000,25100
2009-12-02,2.86,26400,0.4(1.54 %),21810,573900000,0,0,26500,26500,26000
2009-12-03,2.83,26100,-0.3(-1.14 %),18200,462156000,0,0,26400,26400,25100
2009-12-04,2.82,26000,-0.1(-0.38 %),13990,357212000,0,0,26300,26300,24800
2009-12-07,2.68,24700,-1.3(-5.00 %),13870,347560000,0,0,25000,25900,24700
2009-12-08,2.55,23500,-1.2(-4.86 %),30590,719695000,0,0,23600,23600,23500
2009-12-09,2.54,23400,-0.1(-0.43 %),2100,47170000,0,0,22400,23400,22400
2009-12-10,2.54,23400,0(0.00 %),10850,246065000,0,0,23400,23400,22300
2009-12-11,2.42,22300,-1.1(-4.70 %),5330,118939000,0,0,22300,22500,22300
2009-12-14,2.52,23200,0.9(4.04 %),10590,242596000,0,0,21200,23400,21200
2009-12-15,2.42,22300,-0.9(-3.88 %),101280,2361040000,0,0,23000,23900,22100
2009-12-16,2.46,22700,0.4(1.79 %),12090,267433000,0,0,22800,22800,21800
2009-12-17,2.4,22100,-0.6(-2.64 %),17280,378658000,0,0,21800,22500,21600
2009-12-18,2.52,23200,1.1(4.98 %),8970,205065000,0,0,22300,23200,22300
2009-12-21,2.64,24300,1.1(4.74 %),21770,527066000,0,0,24200,24300,24100
2009-12-22,2.76,24100,1.1(4.78 %),14550,347426000,0,0,24000,24100,22600
2009-12-23,2.75,24000,-0.1(-0.41 %),5940,138877000,0,0,23100,24000,23000
