Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2017-03-22,7.03,16000,-1.4(-8.05 %),2200,35200000,0,0,16000,16000,16000
2017-03-23,7.03,16000,0(0.00 %),0,0,0,0,16000,16000,16000
2017-03-24,7.03,16000,0(0.00 %),0,0,0,0,16000,16000,16000
2017-03-27,7.03,16000,0(0.00 %),0,0,27179,369634400,16000,16000,16000
2017-03-28,6.59,15000,-1(-6.25 %),2000,30000000,0,0,15000,15000,15000
2017-03-29,7.47,16050,2(13.33 %),1300,21500000,0,0,15000,16050,15000
2017-03-30,7.25,16500,0(0.00 %),0,0,0,0,16500,16500,16500
2017-03-31,7.69,17500,1(6.06 %),9700,163700000,0,0,15500,17500,15350
2017-04-03,6.81,16250,-1.4(-8.28 %),1000,15500000,0,0,16250,16250,16250
2017-04-04,6.81,15500,0(0.00 %),0,0,0,0,15500,15500,15500
2017-04-05,6.68,15200,-0.3(-1.94 %),3200,48460000,0,0,15400,15400,15100
2017-04-07,6.63,15100,0(0.00 %),0,0,0,0,15100,15100,15100
2017-04-10,6.81,15500,0.4(2.65 %),900,13950000,0,0,15500,15500,15500
2017-04-11,6.81,15500,0(0.00 %),0,0,0,0,15500,15500,15500
2017-04-12,6.81,15500,0(0.00 %),0,0,0,0,15500,15500,15500
2017-04-13,6.81,15500,0(0.00 %),0,0,0,0,15500,15500,15500
2017-04-14,6.81,15500,0(0.00 %),600,9300000,0,0,15500,15500,15500
2017-04-17,6.81,15500,0(0.00 %),600,9300000,0,0,15500,15500,15500
2017-04-18,6.68,15200,-0.3(-1.94 %),3100,46940000,0,0,15000,15200,15000
2017-04-19,6.63,15100,0(0.00 %),1100,16600000,0,0,15000,15100,15000
2017-04-20,6.63,15100,0(0.00 %),0,0,0,0,15100,15100,15100
2017-04-21,6.63,15100,0(0.00 %),0,0,0,0,15100,15100,15100
2017-04-24,6.63,15100,0(0.00 %),0,0,0,0,15100,15100,15100
2017-04-25,6.63,15100,0(0.00 %),1200,18120000,0,0,15100,15100,15100
2017-04-26,5.71,14050,-2.1(-13.91 %),1100,14600000,0,0,14050,14050,14050
2017-04-27,5.84,13300,0(0.00 %),0,0,0,0,13300,13300,13300
2017-04-28,5.84,13300,0(0.00 %),0,0,0,0,13300,13300,13300
2017-05-03,6.59,14250,1.7(12.78 %),5600,83950000,0,0,14250,14250,14250
2017-05-04,6.59,15000,0(0.00 %),0,0,0,0,15000,15000,15000
2017-05-05,6.68,15200,0.2(1.33 %),4000,60400000,0,0,15000,15200,15000
2017-05-08,6.81,15500,0.4(2.65 %),1100,17050000,0,0,15500,15500,15500
2017-05-09,6.81,15500,0(0.00 %),0,0,0,0,15500,15500,15500
2017-05-10,6.15,14400,-1.5(-9.68 %),22400,316400000,0,0,14800,14800,14400
2017-05-11,6.24,14200,0.1(0.71 %),100,1420000,0,0,14200,14200,14200
2017-05-12,6.24,14200,0(0.00 %),0,0,0,0,14200,14200,14200
2017-05-15,6.24,14200,0(0.00 %),0,0,0,0,14200,14200,14200
2017-05-16,6.2,14100,-0.1(-0.70 %),1200,16920000,0,0,14100,14100,14100
2017-05-17,6.28,14300,0.2(1.42 %),9400,132710000,0,0,14000,14300,14000
2017-05-18,6.2,14100,0(0.00 %),0,0,0,0,14100,14100,14100
2017-05-19,6.2,14100,0(0.00 %),0,0,0,0,14100,14100,14100
2017-05-22,6.24,14200,0.1(0.71 %),400,5680000,0,0,14200,14200,14200
2017-05-23,6.15,14000,-0.2(-1.41 %),200,2800000,0,0,14000,14000,14000
2017-05-24,6.2,14100,0.1(0.71 %),600,8430000,0,0,14000,14100,14000
2017-05-25,6.5,14800,0.7(4.96 %),1600,22810000,0,0,14500,14800,14000
2017-05-26,6.28,14300,0(0.00 %),1000,14300000,0,0,14300,14300,14300
2017-05-29,6.37,14500,0.2(1.40 %),2400,34730000,41400,505080000,14400,14500,14400
2017-05-30,6.37,14500,0(0.00 %),4000,58000000,0,0,14500,14500,14500
2017-05-31,6.42,14600,0.1(0.69 %),1300,18980000,0,0,14600,14600,14600
2017-06-01,6.81,15500,0.9(6.16 %),3000,45400000,0,0,14900,15500,14900
2017-06-02,7.03,16000,0.9(5.96 %),2300,35760000,0,0,15200,16000,15200
2017-06-05,7.21,16400,0.9(5.81 %),100,1640000,0,0,16400,16400,16400
2017-06-06,7.29,16600,0.2(1.22 %),300,5020000,0,0,16600,17000,16600
2017-06-07,7.38,15450,0.1(0.72 %),3000,42000000,0,0,15450,15450,15450
2017-06-08,7.49,14200,0.2(1.43 %),8100,114260000,0,0,14000,14500,14000
2017-06-09,7.54,14300,0.2(1.42 %),12500,180600000,0,0,14400,14500,14300
2017-06-12,7.38,14000,-0.4(-2.78 %),200,2630000,0,0,13300,14000,13300
2017-06-13,7.12,13500,0.3(2.27 %),300,4050000,0,0,13500,13500,13500
2017-06-14,6.59,12550,-1(-7.41 %),4500,57540000,0,0,13500,13600,12550
2017-06-16,6.85,13000,0.2(1.56 %),2000,26000000,0,0,13000,13000,13000
2017-06-19,6.85,13000,0(0.00 %),3500,45500000,0,0,13000,13000,13000
2017-06-20,6.85,13000,0(0.00 %),3000,39000000,0,0,13000,13000,13000
2017-06-21,7.01,13300,0.3(2.31 %),6100,81530000,0,0,13500,13500,13300
2017-06-22,7.12,13500,0.1(0.75 %),55500,753980000,0,0,13500,13600,13400
2017-06-23,7.12,13500,-0.1(-0.74 %),3000,40500000,0,0,13500,13500,13500
2017-06-26,7.38,14000,0.5(3.70 %),23000,320500000,0,0,13500,14000,13500
2017-06-27,7.38,14000,0.1(0.72 %),23500,326940000,0,0,14000,14000,13800
2017-06-28,7.38,14000,0.1(0.72 %),15000,210000000,0,0,14000,14000,14000
2017-06-29,7.38,14000,0(0.00 %),8500,119150000,0,0,14400,14400,13900
2017-06-30,7.54,14300,0.3(2.14 %),27610,394540000,0,0,14000,14400,14000
2017-07-03,7.54,14300,0(0.00 %),68400,981270000,0,0,14400,14800,14300
2017-07-04,7.8,14800,0.5(3.50 %),83200,1229090000,0,0,14600,15000,14600
2017-07-05,8.17,15500,0.7(4.73 %),80900,1216590000,0,0,15000,15500,14900
2017-07-06,8.02,15200,0.2(1.33 %),17200,263510000,0,0,15500,15500,15200
2017-07-07,8.02,15200,-0.1(-0.65 %),7000,106540000,0,0,15500,15500,14800
2017-07-10,7.8,14800,-0.4(-2.63 %),16600,249300000,0,0,15200,15200,14800
2017-07-11,7.86,14900,-0.1(-0.67 %),500,7450000,0,0,14900,14900,14900
2017-07-12,7.86,14900,0(0.00 %),1800,26810000,0,0,14900,14900,14800
2017-07-13,7.86,14900,0(0.00 %),1100,16380000,0,0,14800,14900,14800
2017-07-14,7.8,14800,-0.1(-0.67 %),6400,90110000,0,0,14900,14900,14000
2017-07-17,7.38,14000,-0.1(-0.71 %),2910,40841000,0,0,14100,14100,14000
2017-07-18,7.59,14400,0.4(2.86 %),1800,25600000,0,0,14000,14400,14000
2017-07-19,7.65,14500,0.3(2.11 %),2800,40620000,0,0,14700,14700,14500
2017-07-20,7.59,14400,-0.1(-0.69 %),4100,57970000,0,0,14000,14400,14000
2017-07-21,7.59,14400,0.3(2.13 %),1700,24480000,0,0,14400,14400,14400
2017-07-24,7.59,14400,0(0.00 %),5800,82100000,0,0,14500,14500,13800
2017-07-25,7.38,14000,-0.2(-1.41 %),5100,72540000,0,0,14400,14400,14000
2017-07-26,7.49,14200,0(0.00 %),12800,179920000,0,0,14000,14400,13900
2017-07-27,7.43,14100,0(0.00 %),2800,39930000,0,0,14400,14400,14100
2017-07-28,7.54,14300,0(0.00 %),37000,532120000,0,0,14400,14500,14300
2017-07-31,7.65,14500,0.1(0.69 %),12600,181500000,0,0,14500,14500,14400
2017-08-01,7.54,14300,-0.1(-0.69 %),38200,549180000,0,0,14400,14400,14300
2017-08-02,7.49,14200,-0.2(-1.39 %),7722,109648000,0,0,14200,14200,14200
2017-08-03,7.59,14400,0.2(1.41 %),10700,152920000,0,0,14200,14400,14200
2017-08-04,7.54,14300,0(0.00 %),0,0,0,0,14300,14300,14300
2017-08-07,7.54,14300,0(0.00 %),9000,128700000,0,0,14300,14300,14300
2017-08-08,7.43,14100,-0.2(-1.40 %),15900,225090000,0,0,14300,14300,14100
2017-08-09,7.33,13900,-0.3(-2.11 %),16100,224470000,0,0,14000,14000,13900
2017-08-10,7.33,13900,0(0.00 %),430,5950000,0,0,13900,13900,13900
2017-08-11,7.38,14000,0.1(0.72 %),13900,192750000,20,238000,13900,14000,13800
2017-08-14,7.33,13900,0(0.00 %),0,0,0,0,13900,13900,13900
2017-08-15,7.33,13900,0(0.00 %),0,0,0,0,13900,13900,13900
2017-08-16,7.33,13900,0(0.00 %),0,0,0,0,13900,13900,13900
2017-08-17,7.33,13900,0(0.00 %),12100,166800000,0,0,13800,14000,13700
2017-08-18,7.22,13700,-0.1(-0.72 %),1500,20600000,0,0,13800,13800,13700
2017-08-21,7.22,13700,0(0.00 %),2400,33080000,0,0,13800,13800,13700
2017-08-22,7.22,13700,-0.1(-0.72 %),7800,106860000,0,0,13700,13700,13700
2017-08-23,7.28,13800,0.1(0.73 %),12400,170120000,0,0,13700,13800,13700
2017-08-24,7.22,13700,0(0.00 %),5000,68500000,0,0,13700,13700,13700
2017-08-25,7.22,13700,0(0.00 %),5500,75350000,0,0,13700,13700,13700
2017-08-28,7.28,13800,0.1(0.73 %),8110,111552000,0,0,14650,14650,13700
2017-08-29,7.28,13800,0(0.00 %),0,0,0,0,13800,13800,13800
2017-08-30,7.38,14000,0.2(1.45 %),6600,92150000,0,0,13900,14000,13900
2017-08-31,7.28,13800,-0.2(-1.43 %),26500,369810000,0,0,13900,14000,13700
2017-09-01,7.38,14000,0(0.00 %),7400,103400000,0,0,14000,14000,13900
2017-09-05,7.28,13800,-0.2(-1.43 %),1110,15368000,0,0,13900,13900,13800
2017-09-06,7.28,13800,0(0.00 %),600,8320000,0,0,13800,13900,13800
2017-09-07,7.38,14000,0.1(0.72 %),100,1400000,0,0,14000,14000,14000
2017-09-08,7.38,14000,0(0.00 %),3450,48300000,0,0,14000,14000,14000
2017-09-12,7.38,14000,0(0.00 %),28215,395010000,0,0,14000,14000,14000
2017-09-13,7.38,14000,0(0.00 %),1014,14196000,0,0,14000,14000,14000
2017-09-14,7.38,14000,0(0.00 %),11719,164064100,0,0,14000,14000,14000
2017-09-15,7.38,14000,0(0.00 %),8000,112050000,0,0,14100,14100,14000
2017-09-18,7.65,14500,0.5(3.57 %),6000,88200000,0,0,14800,14800,14500
2017-09-19,7.49,14200,-0.5(-3.40 %),5100,73080000,0,0,14500,14500,14200
2017-09-20,7.65,14500,0.2(1.40 %),3500,50750000,0,0,14500,14500,14500
2017-09-21,7.7,14600,0.1(0.69 %),100,1460000,0,0,14600,14600,14600
2017-09-22,7.7,14600,0(0.00 %),0,0,0,0,14600,14600,14600
2017-09-25,7.43,14100,-0.5(-3.42 %),600,8460000,0,0,14100,14100,14100
2017-09-26,7.43,14100,0(0.00 %),3560,50454000,0,0,14600,14600,14100
2017-09-27,7.38,14000,-0.2(-1.41 %),14710,206089000,0,0,14100,14200,13900
2017-09-28,7.38,14000,0(0.00 %),5410,75740000,0,0,14000,14000,14000
2017-09-29,7.38,14000,0(0.00 %),0,0,0,0,14000,14000,14000
2017-10-02,7.38,14000,0(0.00 %),8000,112000000,0,0,14000,14000,14000
2017-10-03,7.38,14000,0(0.00 %),5400,75600000,0,0,14000,14000,14000
2017-10-04,7.38,14000,0(0.00 %),2000,28000000,0,0,14000,14000,14000
2017-10-05,7.38,14000,0(0.00 %),0,0,0,0,14000,14000,14000
2017-10-06,7.38,14000,0(0.00 %),0,0,0,0,14000,14000,14000
2017-10-09,7.65,14500,0.5(3.57 %),1600,23250000,0,0,15000,15000,14500
2017-10-10,7.65,14500,0(0.00 %),2930,41120000,0,0,14000,14500,14000
2017-10-11,7.59,14400,0.4(2.86 %),5100,73440000,0,0,14400,14400,14400
2017-10-12,7.38,14000,-0.4(-2.78 %),2900,40800000,0,0,14400,14400,14000
2017-10-13,7.7,14600,0.5(3.55 %),207,3018700,0,0,14600,14600,14600
2017-10-16,7.54,14300,-0.3(-2.05 %),9000,129300000,0,0,14500,14500,14300
2017-10-17,7.59,14400,0(0.00 %),0,0,0,0,14400,14400,14400
2017-10-18,7.54,14300,-0.1(-0.69 %),520,7432000,0,0,14300,14300,14300
2017-10-19,7.65,14500,0.2(1.40 %),2000,28700000,0,0,14300,14500,14300
2017-10-20,7.59,14400,0(0.00 %),100,1440000,0,0,14400,14400,14400
2017-10-23,7.43,14100,-0.3(-2.08 %),2100,29740000,0,0,14400,14400,14100
2017-10-24,7.38,14000,-0.2(-1.41 %),13000,182160000,0,0,14000,14100,14000
2017-10-25,7.28,13800,-0.2(-1.43 %),16200,225130000,0,0,14000,14000,13800
2017-10-26,7.49,14200,0.3(2.16 %),900,12680000,0,0,14000,14200,14000
2017-10-27,7.17,13600,-0.5(-3.55 %),200,2770000,0,0,14100,14100,13600
2017-10-30,7.38,14000,0.1(0.72 %),2230,31217000,0,0,14000,14000,14000
2017-10-31,7.43,14100,0.1(0.71 %),2900,40890000,0,0,14000,14300,14000
2017-11-01,7.43,14100,0(0.00 %),23000,324300000,0,0,14100,14100,14100
2017-11-02,7.33,13900,-0.2(-1.42 %),10000,139600000,0,0,14000,14000,13900
2017-11-03,7.33,13900,-0.1(-0.71 %),3000,41700000,0,0,13900,13900,13900
2017-11-06,7.33,13900,0(0.00 %),0,0,0,0,13900,13900,13900
2017-11-07,7.38,14000,0.1(0.72 %),10000,140000000,0,0,14000,14000,14000
2017-11-08,7.38,14000,0(0.00 %),13700,191800000,0,0,14000,14000,14000
2017-11-09,7.17,13600,-0.4(-2.86 %),6400,88100000,0,0,14500,14500,13600
2017-11-10,7.28,13800,0(0.00 %),0,0,0,0,13800,13800,13800
2017-11-13,7.28,13800,0(0.00 %),17400,240320000,0,0,13900,13900,13800
2017-11-14,7.12,13500,-0.3(-2.17 %),4300,59100000,0,0,14000,14000,13500
2017-11-15,7.22,13700,0(0.00 %),0,0,0,0,13700,13700,13700
2017-11-16,7.22,13700,0(0.00 %),3800,52060000,0,0,13700,13700,13700
2017-11-17,7.38,14000,0.3(2.19 %),9930,139014000,0,0,14000,14000,14000
2017-11-20,7.38,14000,0(0.00 %),2800,39200000,0,0,14000,14000,14000
2017-11-21,7.38,14000,0(0.00 %),8300,116210000,0,0,14000,14100,14000
2017-11-22,7.38,14000,0(0.00 %),2200,30800000,0,0,14000,14000,14000
2017-11-23,7.38,14000,0(0.00 %),5500,79000000,0,0,14500,14500,14000
2017-11-24,7.33,13900,-0.5(-3.47 %),31011,433052900,0,0,14000,14000,13900
2017-11-27,7.38,14000,0(0.00 %),22601,290032300,0,0,13800,14000,12950
2017-11-28,7.38,14000,1.2(9.37 %),5600,78310000,0,0,14000,14000,13700
2017-11-29,7.38,14000,0(0.00 %),12000,168000000,0,0,14000,14000,14000
2017-11-30,7.38,14000,0(0.00 %),22000,306400000,0,0,13900,14000,13800
2017-12-01,7.38,14000,0.1(0.72 %),14601,203713900,0,0,14000,14000,13900
2017-12-04,7.38,14000,0(0.00 %),53800,752600000,0,0,14200,14200,13900
2017-12-05,7.33,13900,-0.1(-0.71 %),33800,472540000,0,0,14000,14000,13900
2017-12-06,7.38,14000,0(0.00 %),31806,444482800,0,0,13900,14000,13900
2017-12-07,7.38,14000,0(0.00 %),2300,32200000,0,0,14000,14000,14000
2017-12-08,7.38,14000,0(0.00 %),17970,251351000,0,0,14000,14000,14000
2017-12-11,7.38,14000,0(0.00 %),20200,282800000,0,0,14000,14000,14000
2017-12-12,7.54,14300,0.3(2.14 %),29800,420080000,0,0,14000,14300,13900
2017-12-13,7.54,14300,0.2(1.42 %),6260,89470000,0,0,14000,14400,14000
2017-12-14,7.54,14300,0(0.00 %),23100,329320000,40,488000,14200,14300,14200
2017-12-15,7.43,14100,-0.2(-1.40 %),12832,182182000,0,0,14200,14300,14000
2017-12-18,7.49,14200,0(0.00 %),10690,152176500,0,0,14100,14300,14100
2017-12-19,7.43,14100,-0.1(-0.70 %),6700,94640000,0,0,14200,14200,14000
2017-12-20,7.54,14300,0.2(1.42 %),18342,262330600,0,0,14300,14400,14200
2017-12-21,7.54,14300,0(0.00 %),26572,380041000,0,0,14300,14400,14300
2017-12-22,7.65,14500,0.2(1.40 %),11300,163270000,0,0,14400,14500,14400
2017-12-25,7.38,14000,-0.4(-2.78 %),6400,92040000,0,0,14500,14500,14000
2017-12-26,7.54,14300,-0.1(-0.69 %),6000,85287500,0,0,14400,14500,14000
2017-12-27,7.54,14300,0.1(0.70 %),3230,46183000,0,0,14300,14300,14300
2017-12-28,8.49,15300,1.8(12.59 %),51000,767010000,0,0,14400,15300,14400
2017-12-29,7.91,15000,0(0.00 %),4400,69190000,0,0,16000,16000,15000
2018-01-02,7.7,14600,-1.1(-7.01 %),6400,96540000,0,0,15900,15900,14600
2018-01-03,7.86,14900,-0.2(-1.32 %),6809,102906000,0,0,15600,15600,14900
2018-01-04,7.75,14700,-0.4(-2.65 %),9252,138816800,0,0,14500,15950,14500
2018-01-05,7.75,14700,-0.3(-2.00 %),7100,107370000,0,0,15750,15750,14700
2018-01-08,7.86,14900,-0.2(-1.32 %),6636,98383600,0,0,14700,15000,14700
2018-01-09,7.8,14800,0(0.00 %),9977,147049900,0,0,14700,15000,14500
2018-01-10,7.96,15100,0.4(2.72 %),58000,856200000,0,0,14500,15100,14500
2018-01-11,7.75,14700,-0.1(-0.68 %),22305,328174000,0,0,14800,14900,14600
2018-01-12,7.8,14800,0.1(0.68 %),3900,57470000,0,0,14700,14800,14700
2018-01-15,7.8,14800,0.1(0.68 %),1500,22170000,0,0,14800,14800,14700
2018-01-16,7.7,14600,-0.2(-1.35 %),14430,211908000,0,0,15000,15200,14600
2018-01-17,7.65,14500,-0.2(-1.36 %),15300,222460000,0,0,14700,14700,14400
2018-01-18,7.65,14500,0(0.00 %),16100,233600000,0,0,14600,14600,14500
2018-01-19,7.75,14700,0.2(1.38 %),14125,205387500,0,0,14600,14800,14300
2018-01-22,7.65,14500,0(0.00 %),11200,163400000,0,0,14600,14700,14500
2018-01-23,7.7,14600,0(0.00 %),8000,115240000,0,0,14500,14600,14300
2018-01-24,7.65,14500,0.1(0.69 %),8301,120963200,0,0,14600,14600,14500
2018-01-25,7.7,14600,0(0.00 %),4400,64030000,0,0,14500,14600,14500
2018-01-26,7.7,14600,0(0.00 %),1030,15020000,0,0,14600,14600,14600
2018-01-29,7.65,14500,-0.1(-0.68 %),40100,581450000,0,0,14500,14500,14500
2018-01-30,7.59,14400,-0.1(-0.69 %),13000,188300000,0,0,14500,14500,14400
2018-01-31,7.8,14800,0.3(2.07 %),15100,219790000,16367,234048100,14500,14800,14500
2018-02-01,7.7,14600,0(0.00 %),5200,75720000,0,0,14600,14600,14500
2018-02-02,7.7,14600,0(0.00 %),6205,90593000,0,0,14600,14600,14600
2018-02-05,7.59,14400,-0.2(-1.37 %),11300,163680000,0,0,14600,14600,14400
2018-02-06,7.38,14000,-0.5(-3.45 %),13506,178389400,0,0,14300,14300,13400
2018-02-07,6.96,13200,0(0.00 %),11400,149200000,0,0,14000,14000,13000
2018-02-08,7.38,14000,0.9(6.87 %),5915,77866500,0,0,13200,14100,13100
2018-02-09,7.28,13800,0.6(4.55 %),10100,138840000,0,0,13200,13800,13200
2018-02-12,7.01,13300,-0.4(-2.92 %),1505,19760000,0,0,13100,13300,13100
2018-02-13,7.38,14000,0.9(6.87 %),11928,167746800,0,0,13200,14250,13200
2018-02-21,7.49,14200,0.1(0.71 %),3645,51218000,0,0,14000,14200,14000
2018-02-22,7.38,14000,0(0.00 %),0,0,0,0,14000,14000,14000
2018-02-23,7.54,14300,0.3(2.14 %),3820,54276000,0,0,14200,14300,14200
2018-02-26,7.49,14200,0(0.00 %),20,284000,0,0,14200,14200,14200
2018-02-27,7.49,14200,0(0.00 %),10040,144868000,0,0,14800,14800,14200
2018-02-28,7.59,14400,0(0.00 %),5100,73450000,0,0,14400,14500,14400
2018-03-01,7.59,14400,0(0.00 %),100,1440000,0,0,14400,14400,14400
2018-03-02,7.59,14400,0(0.00 %),2000,28800000,0,0,14400,14400,14400
2018-03-05,7.38,14000,-0.4(-2.78 %),4110,57132000,0,0,13900,14000,13900
2018-03-06,7.33,13900,0(0.00 %),4000,55600000,0,0,13900,13900,13900
2018-03-07,7.38,14000,0.1(0.72 %),16000,227000000,0,0,14600,14600,14000
2018-03-08,7.33,13900,-0.3(-2.11 %),8010,111839000,0,0,13900,14000,13900
2018-03-09,7.38,14000,0(0.00 %),22000,306490000,0,0,14100,14100,13800
2018-03-12,7.33,13900,0(0.00 %),20440,286210000,0,0,14100,14100,13900
2018-03-13,7.43,14100,0.1(0.71 %),7270,100770000,0,0,13800,14200,13800
2018-03-14,7.28,13800,-0.1(-0.72 %),3100,43380000,0,0,14000,14000,13800
2018-03-15,7.38,14000,0(0.00 %),4100,57000000,0,0,13900,14000,13900
2018-03-16,7.33,13900,0(0.00 %),9200,127920000,0,0,13900,14000,13900
2018-03-19,7.33,13900,0(0.00 %),11440,159510000,0,0,14000,14000,13800
2018-03-20,7.28,13800,-0.1(-0.72 %),9780,132790000,0,0,13600,13800,13200
2018-03-21,7.17,13600,0(0.00 %),23710,323277000,0,0,13700,13900,13500
2018-03-22,7.38,14000,0.4(2.94 %),2400,33480000,0,0,13700,14000,13700
2018-03-23,7.12,13500,-0.5(-3.57 %),46405,623506500,0,0,13700,13700,13200
2018-03-26,7.07,13400,0(0.00 %),900,12060000,0,0,13400,13400,13400
2018-03-27,7.07,13400,0(0.00 %),43220,579748000,0,0,13400,13500,13400
2018-03-28,6.96,13200,-0.2(-1.49 %),50900,674080000,0,0,13100,13400,13000
2018-03-29,6.75,12800,-0.4(-3.03 %),33700,435980000,0,0,13000,13200,12800
2018-03-30,6.85,13000,0.1(0.78 %),8310,107420000,0,0,13000,13000,12900
2018-04-02,6.8,12900,0(0.00 %),27600,353980000,0,0,12900,12900,12800
2018-04-03,6.75,12800,0(0.00 %),60,760000,0,0,12800,12800,12800
2018-04-04,7.22,13700,0.9(7.03 %),9810,133188000,0,0,13500,13700,13500
