Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2015-10-26,7.86,21700,6.2(40.00 %),18200,385020000,0,0,21700,21700,18500
2015-10-27,7.24,20200,-1.2(-5.66 %),3500,70000000,0,0,20200,20200,20200
2015-10-28,6.26,18600,-2.7(-13.50 %),31900,551960000,0,0,18900,18900,18600
2015-10-29,6.59,18200,0.9(5.20 %),20300,356090000,0,0,17300,18500,17200
2015-10-30,6.7,18500,1(5.71 %),19500,362210000,0,0,17600,19000,17600
2015-11-02,6.63,18300,-0.3(-1.61 %),8200,147370000,0,0,18600,18900,17400
2015-11-03,6.88,19000,1(5.56 %),56900,1055090000,0,0,18300,19000,18100
2015-11-04,7.28,20100,1.6(8.65 %),70000,1379830000,0,0,19100,20350,19000
2015-11-05,8.18,21500,2.9(14.72 %),20812,464281000,50000,985000000,21500,21500,21500
2015-11-06,8.62,23800,1.5(6.73 %),75488,1826010000,0,0,24200,24200,23000
2015-11-09,8.76,24200,0(0.00 %),135200,3032270000,0,0,24200,24200,22150
2015-11-10,7.6,22500,-1.4(-6.25 %),63600,1291090000,70000,1568000000,24300,24300,22500
2015-11-11,7.6,21000,-0.4(-1.87 %),65707,1352280000,1021500,21460100000,19550,21400,19550
2015-11-12,7.96,22000,1.4(6.80 %),84303,1831963000,0,0,21000,22450,20900
2015-11-13,8.18,22600,0.9(4.15 %),148800,3275910000,0,0,22000,22700,21600
2015-11-16,7.86,21700,-0.3(-1.36 %),14000,595840000,200000,4000000000,22100,22700,21000
2015-11-17,7.89,21800,0.3(1.40 %),30300,662320000,400000,8000000000,21900,22300,21500
2015-11-18,7.57,20900,-1(-4.57 %),178600,3705430000,0,0,21500,21900,20250
2015-11-19,7.53,20800,0.1(0.48 %),94000,1906260000,0,0,21300,21300,20100
2015-11-20,7.35,20300,0(0.00 %),126700,2513770000,0,0,20000,20700,19350
2015-11-23,7.57,20900,1.1(5.56 %),66850,1384510000,0,0,20300,21000,20000
2015-11-24,7.6,21000,0.3(1.45 %),140402,2920201600,0,0,20000,21500,20000
2015-11-25,7.75,21400,0.6(2.88 %),109200,2311920000,0,0,20800,21500,20600
2015-11-26,7.78,21500,0.3(1.42 %),77008,1659710000,1000000,21100000000,21200,22000,21200
2015-11-27,7.75,21400,-0.2(-0.93 %),59100,1264800000,0,0,21600,21600,21300
2015-11-30,7.57,20900,-0.5(-2.34 %),96200,2018550000,0,0,21200,21300,20800
