Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2022-01-14,18.8,26250,-1.95(-6.91 %),320600,9258000000,0,0,30150,30150,26250
2022-01-17,17.51,24450,-1.8(-6.86 %),3700,90000000,0,0,24450,24450,24450
2022-01-18,16.29,22750,-1.7(-6.95 %),300,6000000,0,0,22750,22750,22750
2022-01-19,15.18,21200,-1.6(-7.02 %),800,16000000,0,0,21200,21200,21200
2022-01-20,14.14,19750,-1.45(-6.84 %),2100,41000000,0,0,19750,19750,19750
2022-01-21,13.18,18400,-1.4(-7.07 %),5300,97000000,0,0,18400,18400,18400
2022-01-24,13.25,18500,0.1(0.54 %),228100,4045000000,0,0,17150,19500,17150
2022-01-25,13.89,19400,0.9(4.86 %),144700,2723000000,0,0,18500,19750,17800
2022-01-26,13.32,18600,-0.8(-4.12 %),105600,2018000000,0,0,18700,20000,18200
2022-01-27,13.32,18600,0(0.00 %),163200,2954000000,0,0,18000,18700,17400
2022-01-28,13.6,19000,0.4(2.15 %),141000,2599000000,0,0,18400,19000,18000
2022-02-07,13.75,19200,0.2(1.05 %),85900,1649000000,0,0,19100,19600,18700
2022-02-08,13.75,19200,0(0.00 %),124800,2368000000,0,0,19300,19300,18600
2022-02-09,13.32,18600,-0.6(-3.12 %),110400,2093000000,0,0,19000,19300,18600
2022-02-10,13.46,18800,0.2(1.08 %),107700,2026000000,0,0,18700,19100,18550
2022-02-11,13.46,18800,0(0.00 %),71400,1340000000,0,0,18800,19100,18400
2022-02-14,13.46,18800,0(0.00 %),44200,825000000,0,0,18800,18800,18500
2022-02-15,13.25,18500,-0.3(-1.60 %),69000,1284000000,0,0,18800,18800,18400
2022-02-16,13.1,18300,-0.2(-1.08 %),71400,1299000000,0,0,18600,18600,17500
2022-02-17,13.39,18700,0.4(2.19 %),78100,1446000000,0,0,18200,18700,18200
2022-02-18,13.35,18650,-0.05(-0.27 %),75900,1415000000,0,0,18700,18800,18400
2022-02-21,13.46,18800,0.1(0.53 %),81200,1529000000,0,0,18500,19100,18500
2022-02-22,13.5,18850,0.05(0.27 %),97200,1829000000,0,0,18900,19100,18600
2022-02-23,13.57,18950,0.05(0.26 %),76800,1445000000,0,0,18850,19000,18700
2022-02-24,13.46,18800,-0.2(-1.05 %),78100,1463000000,0,0,18900,18900,18500
2022-02-25,13.68,19100,0.3(1.60 %),92700,1754000000,0,0,18900,19100,18800
2022-02-28,14.61,20400,1.3(6.81 %),173800,3486000000,0,0,19300,20400,19300
2022-03-01,15.61,21800,1.4(6.86 %),270400,5795000000,0,0,21000,21800,20700
2022-03-02,15.72,21950,0.15(0.69 %),338700,7498000000,0,0,22300,22800,21750
2022-03-03,15.25,21300,-0.7(-3.18 %),322600,6925000000,0,0,21750,21950,20900
2022-03-04,15.57,21750,0.45(2.11 %),176200,3831000000,0,0,21200,22200,20900
2022-03-07,15.47,21600,-0.2(-0.92 %),280600,6100000000,0,0,21750,22100,21200
2022-03-08,15.43,21550,-0.05(-0.23 %),241800,5188000000,0,0,21500,21800,21200
2022-03-09,16.5,23050,1.45(6.71 %),541600,12041000000,0,0,21600,23050,21400
2022-03-10,17.04,23800,0.7(3.03 %),413600,9837000000,0,0,23400,24200,23100
2022-03-11,16.68,23300,-0.5(-2.10 %),321700,7527000000,0,0,23350,23900,23000
2022-03-14,16.18,22600,-0.7(-3.00 %),383300,8734000000,0,0,23300,23700,22050
2022-03-15,16.47,23000,0.4(1.77 %),262700,5928000000,0,0,22600,23000,22050
2022-03-16,16.9,23600,0.6(2.61 %),309100,7126000000,0,0,23000,23700,22100
2022-03-17,17.19,24000,0.4(1.69 %),343300,8108000000,0,0,23500,24000,23000
2022-03-18,16.9,23600,-0.4(-1.67 %),315900,7514000000,0,0,23800,24400,23300
2022-03-21,16.9,23600,0(0.00 %),325300,7666000000,1813000,39886000000,23600,24000,23050
2022-03-22,17.11,23900,0.3(1.27 %),388100,9268000000,0,0,23500,24700,23200
2022-03-23,17.33,24200,0.3(1.26 %),389400,9302000000,0,0,23800,24400,23500
2022-03-24,17.07,22850,-0.35(-1.51 %),379900,8635000000,0,0,23200,23600,22500
2022-03-25,17.85,23900,1(4.37 %),606300,14087000000,0,0,22800,24100,22400
2022-03-28,17.89,23950,0.05(0.21 %),426400,9914000000,0,0,23800,24000,22800
2022-03-29,17.78,23800,-0.2(-0.83 %),445100,10437000000,0,0,23900,24100,23000
2022-03-30,17.44,23350,-0.45(-1.89 %),464400,10751000000,0,0,23300,23750,22850
2022-03-31,16.84,22550,-0.85(-3.63 %),328500,7551000000,0,0,23300,23900,22500
2022-04-01,16.81,22500,-0.1(-0.44 %),434600,9690000000,0,0,22550,22700,22000
2022-04-04,17.48,23400,0.9(4.00 %),416100,9411000000,0,0,22550,23400,22250
2022-04-05,17.1,22900,-0.5(-2.14 %),399900,9079000000,0,0,23150,23200,22400
2022-04-06,16.73,22400,-0.5(-2.18 %),403100,9096000000,0,0,22300,22950,22250
2022-04-07,16.51,22100,-0.3(-1.34 %),445900,9803000000,0,0,22200,22450,21700
2022-04-08,16.51,22100,0(0.00 %),335300,7397000000,0,0,22000,22500,21800
2022-04-12,16.21,21700,-0.4(-1.81 %),338800,7359000000,0,0,21800,22200,21450
2022-04-13,15.72,21050,-0.65(-3.00 %),425700,9073000000,0,0,21600,21900,21000
2022-04-14,15.98,21400,0.3(1.42 %),380900,8026000000,0,0,20950,21500,20800
2022-04-15,15.98,21400,0(0.00 %),288600,6112000000,0,0,21300,21400,20800
2022-04-18,15.31,20500,-0.9(-4.21 %),269500,5586000000,0,0,21100,21100,20350
2022-04-19,15.87,21250,0.75(3.66 %),295800,6161000000,0,0,20300,21400,20300
2022-04-20,15.83,21200,-0.05(-0.24 %),244900,5156000000,0,0,20900,21500,20700
2022-04-21,15.42,20650,-0.55(-2.59 %),192000,3950000000,0,0,20800,20950,20350
2022-04-22,15.61,20900,0.25(1.21 %),242600,5042000000,0,0,20650,21200,20400
2022-04-25,15.27,20450,-0.45(-2.15 %),277400,5747000000,0,0,20650,21500,19450
2022-04-26,15.42,20650,0.15(0.73 %),402300,7933000000,0,0,20450,20800,19050
2022-04-27,15.68,21000,0.3(1.45 %),408500,8214000000,0,0,20300,21000,19250
2022-04-28,15.76,21100,0.1(0.48 %),317400,6613000000,0,0,20700,21300,20400
2022-04-29,15.91,21300,0.2(0.95 %),291100,6112000000,0,0,20600,21400,20500
2022-05-04,15.91,21300,0(0.00 %),242300,5135000000,0,0,21000,21700,20900
2022-05-05,15.91,21300,0(0.00 %),254500,5363000000,0,0,21000,21500,20800
2022-05-06,15.87,21250,-0.05(-0.23 %),189100,3946000000,0,0,20800,21300,20650
