Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2012-03-12,2.6,13000,-0.6(-4.41 %),10,130000,0,0,13000,13000,13000
2012-03-13,2.48,12400,-0.6(-4.62 %),1010,12524000,0,0,12400,12400,12400
2012-03-14,2.36,11800,-0.6(-4.84 %),10,118000,0,0,11800,11800,11800
2012-03-15,2.26,11300,-0.5(-4.24 %),10,113000,0,0,11300,11300,11300
2012-03-16,2.16,10800,-0.5(-4.42 %),2120,22896000,0,0,10800,10800,10800
2012-03-19,2.06,10300,-0.5(-4.63 %),140,1442000,0,0,10300,10300,10300
2012-03-20,1.96,9800,-0.5(-4.85 %),1220,11956000,0,0,9800,9800,9800
2012-03-21,1.88,9400,-0.4(-4.08 %),86100,809340000,0,0,9400,9400,9400
2012-03-22,1.8,9000,-0.4(-4.26 %),31770,285930000,0,0,9000,9000,9000
2012-03-23,1.88,9400,0.4(4.44 %),230310,2018050000,0,0,8600,9400,8600
2012-03-26,1.96,9800,0.4(4.26 %),138100,1353100000,0,0,9800,9800,9700
2012-03-27,2.04,10200,0.4(4.08 %),224520,2287195000,0,0,10200,10200,10000
2012-03-28,1.94,9700,-0.5(-4.90 %),40470,396501000,0,0,10000,10000,9700
2012-03-29,1.86,9300,-0.4(-4.12 %),193740,1809910000,0,0,9300,9600,9300
2012-03-30,1.8,9000,-0.3(-3.23 %),61870,556219000,0,0,9000,9300,8900
2012-04-03,1.8,9000,0(0.00 %),17010,152374000,0,0,9300,9300,8800
2012-04-04,1.74,8700,-0.3(-3.33 %),37610,330778000,0,0,9100,9100,8700
2012-04-05,1.76,8800,0.1(1.15 %),65300,556855000,0,0,8400,8800,8400
2012-04-06,1.8,9000,0.2(2.27 %),19190,170566000,0,0,8900,9000,8800
2012-04-09,1.8,9000,0(0.00 %),38500,342249000,0,0,8900,9100,8800
2012-04-10,1.8,9000,0(0.00 %),44560,400850000,0,0,8900,9100,8800
2012-04-11,1.8,9000,0(0.00 %),39930,359328000,0,0,9100,9100,8900
2012-04-12,1.78,8900,-0.1(-1.11 %),66750,595190000,0,0,9000,9000,8800
2012-04-13,1.78,8900,0(0.00 %),71260,633468000,0,0,9000,9000,8700
2012-04-16,1.8,9000,0.1(1.12 %),23020,206070000,0,0,9000,9000,8900
2012-04-17,1.82,9100,0.1(1.11 %),67670,608674000,0,0,9000,9100,8900
2012-04-18,1.8,9000,-0.1(-1.10 %),107640,964628000,0,0,9100,9100,8800
2012-04-19,1.78,8900,-0.1(-1.11 %),70920,625298000,0,0,8800,8900,8700
2012-04-20,1.86,9300,0.4(4.49 %),137370,1245390000,0,0,8900,9300,8900
2012-04-23,1.94,9700,0.4(4.30 %),34250,332225000,0,0,9700,9700,9700
2012-04-24,2.02,10100,0.4(4.12 %),380040,3823986000,0,0,10100,10100,9700
2012-04-25,2.12,10600,0.5(4.95 %),162860,1726316000,0,0,10600,10600,10600
2012-04-26,2.22,11100,0.5(4.72 %),453130,4982705000,0,0,11100,11100,10600
