Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2008-12-23,14.65,50000,2.2(4.60 %),3010,150500000,0,0,50000,50000,50000
2008-12-24,15.38,52500,2.5(5.00 %),1000,52500000,0,0,52500,52500,52500
2008-12-25,16.12,55000,2.55(4.86 %),156010,8580550000,0,0,55000,55000,55000
2008-12-26,16.85,57500,2.5(4.55 %),304910,17507740000,0,0,57500,57500,56000
2008-12-29,17.58,60000,2.5(4.35 %),84900,5094000000,0,0,60000,60000,60000
2008-12-30,18.46,63000,3(5.00 %),214180,13492000000,0,0,63000,63000,62500
2008-12-31,18.46,63000,0(0.00 %),90760,5876645000,0,0,65500,65500,63000
2009-01-02,17.58,60000,-3(-4.76 %),56640,3409165000,0,0,60500,60500,60000
2009-01-05,17.87,61000,1(1.67 %),126260,7364420000,0,0,57000,61000,57000
2009-01-06,17.87,61000,0(0.00 %),71980,4355695000,0,0,61000,61500,59500
2009-01-07,17.87,61000,0(0.00 %),130500,8037445000,0,0,61000,63000,60500
2009-01-08,17.58,60000,-1(-1.64 %),122040,7338295000,0,0,60000,61000,59500
2009-01-09,17.87,61000,1(1.67 %),67890,4089725000,0,0,59500,61000,59500
2009-01-12,17.73,60500,-0.5(-0.82 %),29120,1754820000,0,0,60000,60500,60000
2009-01-13,17.43,59500,-1(-1.65 %),24510,1451050000,0,0,59000,60000,59000
2009-01-14,17.58,60000,0.5(0.84 %),59340,3526750000,0,0,59000,60000,59000
2009-01-15,17.29,59000,-1(-1.67 %),19640,1160195000,0,0,59000,60000,59000
2009-01-16,17.58,60000,1(1.69 %),48230,2875005000,0,0,59000,60000,58500
2009-01-19,17.58,60000,0(0.00 %),41160,2465600000,0,0,60000,60000,59500
2009-01-20,17.58,60000,0(0.00 %),29590,1767990000,40000,2280000000,59000,60000,59000
2009-01-21,17.58,60000,0(0.00 %),40490,2426610000,0,0,59500,60000,59500
2009-01-22,17.73,60500,0.5(0.83 %),28710,1723365000,0,0,60500,60500,60000
2009-01-23,17.73,60500,0(0.00 %),13740,829720000,0,0,60000,60500,60000
2009-02-02,17.58,60000,-0.5(-0.83 %),43260,2595755000,0,0,60500,60500,60000
2009-02-03,17.29,59000,-1(-1.67 %),53540,3188975000,0,0,60000,60000,59000
2009-02-04,17.0,58000,-1(-1.69 %),14340,839925000,0,0,58500,59500,58000
2009-02-05,16.26,55500,-2.5(-4.31 %),49100,2777060000,0,0,57500,58000,55500
2009-02-06,16.41,56000,0.5(0.90 %),19160,1063625000,0,0,55500,56000,55000
2009-02-09,17.14,58500,2.5(4.46 %),18660,1085900000,0,0,57500,58500,57000
2009-02-10,17.0,58000,-0.5(-0.85 %),17980,1038855000,0,0,58500,58500,57000
2009-02-11,17.0,58000,0(0.00 %),28390,1620435000,0,0,56500,58000,56500
2009-02-12,17.73,60500,2.5(4.31 %),154380,9240790000,0,0,58000,60500,58000
2009-02-13,17.14,58500,-2(-3.31 %),22450,1322420000,0,0,60000,60000,58500
2009-02-16,17.0,58000,-0.5(-0.85 %),22700,1318230000,0,0,58500,58500,58000
2009-02-17,16.41,56000,-2(-3.45 %),48550,2751560000,0,0,57000,58000,56000
2009-02-18,15.82,54000,-2(-3.57 %),52520,2846765000,0,0,55000,55000,53500
2009-02-19,15.68,53500,-0.5(-0.93 %),53290,2844080000,0,0,54000,55000,52500
2009-02-20,15.38,52500,-1(-1.87 %),39050,2052000000,0,0,53000,53000,52000
2009-02-23,14.65,50000,-2.5(-4.76 %),52920,2674685000,0,0,52000,52000,50000
2009-02-24,13.92,47500,-2.5(-5.00 %),66240,3150550000,0,0,50000,50000,47500
2009-02-25,14.59,49800,2.3(4.84 %),37520,1867837000,0,0,47500,49800,47500
2009-02-26,14.94,51000,1.2(2.41 %),13640,687983000,0,0,49800,51000,48000
2009-02-27,15.24,52000,1(1.96 %),6810,348075000,0,0,51000,52500,50000
2009-03-02,15.24,52000,1(1.96 %),25100,1268125000,0,0,51000,52500,50000
2009-03-03,14.21,48500,-2(-3.96 %),13320,651020000,0,0,50500,50500,48500
2009-03-04,14.65,50000,1.5(3.09 %),9880,494000000,0,0,48500,50000,48500
2009-03-05,15.09,51500,1.5(3.00 %),21370,1107760000,0,0,50000,52000,50000
2009-03-06,15.09,51500,0(0.00 %),12250,629575000,0,0,51500,51500,50000
2009-03-09,15.82,54000,2.5(4.85 %),123110,6645740000,0,0,51500,54000,51500
2009-03-10,15.82,54000,0(0.00 %),65870,3611310000,0,0,54000,56000,54000
2009-03-11,15.82,54000,0(0.00 %),28520,1544725000,0,0,54000,54500,53500
2009-03-12,15.82,54000,0(0.00 %),27830,1496480000,0,0,54000,54000,52500
2009-03-13,15.53,53000,-1(-1.85 %),36990,1977945000,0,0,54000,54000,53000
2009-03-16,15.53,53000,0(0.00 %),29350,1548400000,20900,1076350000,53000,53500,52500
2009-03-17,15.82,54000,1(1.89 %),36550,1971495000,0,0,53000,54500,53000
2009-03-18,16.12,55000,1(1.85 %),100930,5567965000,0,0,54000,56000,54000
2009-03-19,15.82,54000,-1(-1.82 %),29780,1600470000,0,0,55000,55000,53000
2009-03-20,15.82,54000,0(0.00 %),23440,1252690000,0,0,54000,54000,53000
2009-03-23,15.38,52500,-1.5(-2.78 %),16010,855055000,0,0,54000,54000,52500
2009-03-24,15.38,52500,0(0.00 %),58030,3056470000,0,0,52500,54500,50000
2009-03-25,15.99,53000,0.5(0.95 %),45420,2412975000,0,0,52500,53500,52500
2009-03-26,15.99,53000,0(0.00 %),23160,1235165000,0,0,53000,54000,53000
2009-03-27,15.99,53000,0(0.00 %),27090,1439335000,0,0,53000,54000,53000
2009-03-30,15.84,52500,-0.5(-0.94 %),21840,1147250000,0,0,52500,53000,52500
2009-03-31,16.29,54000,1.5(2.86 %),102210,5323568000,0,0,49900,54000,49900
2009-04-01,16.14,53500,-0.5(-0.93 %),14070,749655000,0,0,53500,54000,53000
2009-04-02,16.14,53500,0(0.00 %),25080,1345280000,0,0,53500,54000,53000
2009-04-03,16.89,56000,2.5(4.67 %),190790,10570265000,0,0,53500,56000,53500
2009-04-07,17.65,58500,2.5(4.46 %),391460,22897785000,0,0,56000,58500,56000
2009-04-08,17.8,59000,0.5(0.85 %),201040,12019370000,0,0,58500,61000,58000
2009-04-09,18.55,61500,2.5(4.24 %),339730,20891945000,0,0,59000,61500,59000
2009-04-10,19.46,64500,3(4.88 %),736820,47524890000,0,0,61500,64500,61500
2009-04-13,20.36,67500,3(4.65 %),1347550,90958625000,0,0,67500,67500,67000
2009-04-14,21.12,70000,2.5(3.70 %),469390,32335795000,0,0,69000,70000,67000
2009-04-15,20.06,66500,-3.5(-5.00 %),301530,20130695000,0,0,66500,68500,66500
2009-04-16,19.15,63500,-3(-4.51 %),521770,33353905000,0,0,65000,65000,63500
2009-04-17,18.25,60500,-3(-4.72 %),414300,25065150000,0,0,60500,60500,60500
2009-04-20,17.34,57500,-3(-4.96 %),48070,2764025000,0,0,57500,57500,57500
2009-04-21,16.59,55000,-2.5(-4.35 %),59410,3267550000,0,0,55000,55000,55000
