Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2015-03-12,5.47,44200,-3.3(-6.95 %),179720,7948000000,0,0,44200,48000,44200
2015-03-13,5.1,41200,-3(-6.79 %),19490,805000000,0,0,44200,44200,41200
2015-03-16,4.75,38400,-2.8(-6.80 %),39280,1512000000,0,0,38600,39300,38400
2015-03-17,4.43,35800,-2.6(-6.77 %),50240,1799000000,0,0,35800,36200,35800
2015-03-18,4.58,37000,1.2(3.35 %),40090,1423000000,0,0,35100,37000,35100
2015-03-19,4.58,37000,0(0.00 %),340,13000000,0,0,37000,37300,37000
2015-03-20,4.58,37000,0(0.00 %),14970,550000000,0,0,37000,37000,34600
2015-03-23,4.31,34800,-2.2(-5.95 %),11730,415000000,0,0,36000,37000,34800
2015-03-24,4.34,35100,0.3(0.86 %),5670,199000000,0,0,34800,35100,34800
2015-03-25,4.21,34000,-1.1(-3.13 %),8350,285000000,0,0,34800,34800,34000
2015-03-26,4.14,33500,-0.5(-1.47 %),18890,641000000,0,0,34000,34100,33500
2015-03-27,4.43,35800,2.3(6.87 %),57030,1952000000,0,0,33500,35800,33500
2015-03-30,4.33,35000,-0.8(-2.23 %),6550,232000000,0,0,35800,35900,35000
2015-03-31,4.43,35800,0.8(2.29 %),6190,217000000,0,0,35000,35800,35000
2015-04-01,4.21,34000,-1.8(-5.03 %),16090,562000000,0,0,35000,35300,34000
2015-04-02,4.21,34000,0(0.00 %),43080,1445000000,0,0,34000,34000,33000
2015-04-03,4.29,34700,0.7(2.06 %),7360,246000000,0,0,33100,35000,33100
2015-04-06,4.21,34000,-0.7(-2.02 %),1050,36000000,0,0,35000,35000,34000
2015-04-07,4.19,33900,-0.1(-0.29 %),5270,178000000,0,0,33900,34000,33700
2015-04-08,4.21,34000,0.1(0.29 %),4040,137000000,0,0,34000,34000,33700
2015-04-09,4.24,34300,0.3(0.88 %),13610,462000000,0,0,33900,34400,33900
2015-04-10,4.24,34300,0(0.00 %),29320,1005000000,0,0,34000,34300,34000
2015-04-13,4.45,36000,1.7(4.96 %),1690,57000000,0,0,33600,36000,33500
2015-04-14,4.38,35400,-0.6(-1.67 %),5510,196000000,0,0,35700,35800,35400
2015-04-15,4.36,35200,-0.2(-0.56 %),200,7000000,0,0,35200,35200,35200
2015-04-16,4.27,34500,-0.7(-1.99 %),8390,296000000,0,0,37500,37500,34000
2015-04-17,4.27,34500,0(0.00 %),14830,521000000,0,0,35800,35800,34500
2015-04-20,4.14,33500,-1(-2.90 %),27600,975000000,0,0,34000,36800,33500
2015-04-21,4.39,35500,2(5.97 %),9300,323000000,0,0,35000,35500,33500
2015-04-22,4.39,35500,0(0.00 %),4020,143000000,0,0,35000,35500,34500
2015-04-23,4.52,36500,1(2.82 %),30720,1104000000,0,0,35500,37000,35000
2015-04-24,4.5,36400,-0.1(-0.27 %),17710,643000000,0,0,36400,36500,35500
2015-04-27,4.45,36000,-0.4(-1.10 %),1510,54000000,0,0,36000,36000,36000
2015-05-04,4.33,35000,-1(-2.78 %),8840,308000000,0,0,35900,36000,34500
2015-05-05,4.33,35000,0(0.00 %),7100,247000000,0,0,34700,35000,34600
2015-05-06,4.21,34000,-1(-2.86 %),16940,578000000,0,0,35000,35000,34000
2015-05-07,4.38,35400,1.4(4.12 %),10,0,0,0,35400,35400,35400
2015-05-08,4.39,35500,0.1(0.28 %),500,18000000,0,0,35500,35500,35500
2015-05-11,4.39,35500,0(0.00 %),120,4000000,0,0,35500,35500,33100
2015-05-12,4.27,34500,-1(-2.82 %),4370,147000000,0,0,33600,34600,33600
2015-05-13,4.21,34000,-0.5(-1.45 %),2710,92000000,0,0,34500,34500,34000
2015-05-14,4.14,33500,-0.5(-1.47 %),20360,684000000,0,0,34000,34000,33300
2015-05-15,4.16,33600,0.1(0.30 %),20560,687000000,0,0,33500,33600,33200
2015-05-18,4.44,35900,2.3(6.85 %),35580,1253000000,0,0,34000,35900,34000
2015-05-19,4.47,36100,0.2(0.56 %),17040,618000000,0,0,36400,36900,36000
2015-05-20,4.56,35800,0.7(1.99 %),13300,468000000,0,0,36400,36400,35000
2015-05-21,4.52,35500,-0.3(-0.84 %),16410,579000000,0,0,35100,36000,35000
2015-05-22,4.54,35700,0.2(0.56 %),22910,807000000,0,0,35100,35700,35000
2015-05-25,4.52,35500,-0.2(-0.56 %),12320,438000000,0,0,35500,35700,35500
2015-05-26,4.45,35000,-0.5(-1.41 %),15530,546000000,0,0,35500,35700,35000
2015-05-27,4.39,34500,-0.5(-1.43 %),34010,1169000000,0,0,35000,35400,34100
2015-05-28,4.48,35200,0.7(2.03 %),17510,603000000,0,0,34100,35800,34000
2015-05-29,4.39,34500,-0.7(-1.99 %),8200,286000000,0,0,35000,35000,34500
2015-06-01,4.38,34400,-0.1(-0.29 %),11630,402000000,0,0,34200,34900,34200
2015-06-02,4.36,34300,-0.1(-0.29 %),22510,770000000,0,0,34900,35800,34000
2015-06-03,4.48,35200,0.9(2.62 %),30550,1070000000,0,0,35500,35500,34100
2015-06-04,4.48,35200,0(0.00 %),45440,1594000000,0,0,35500,35500,35000
2015-06-05,4.49,35300,0.1(0.28 %),19710,696000000,0,0,34900,35400,34900
2015-06-08,4.5,35400,0.1(0.28 %),52510,1864000000,0,0,35400,35800,35400
2015-06-09,4.64,36500,1.1(3.11 %),99870,3652000000,0,0,35400,37300,35400
2015-06-10,4.73,37200,0.7(1.92 %),44050,1645000000,0,0,37500,37500,36900
2015-06-11,4.75,37300,0.1(0.27 %),47930,1777000000,0,0,37000,37400,37000
2015-06-12,4.71,37000,-0.3(-0.80 %),17250,639000000,0,0,37100,37300,36800
2015-06-15,4.63,36400,-0.6(-1.62 %),28920,1055000000,0,0,36100,37000,36100
2015-06-16,4.72,37100,0.7(1.92 %),43000,1588000000,0,0,36400,37300,36400
2015-06-17,4.71,37000,-0.1(-0.27 %),20070,743000000,0,0,37000,37100,37000
2015-06-18,4.78,37600,0.6(1.62 %),55720,2085000000,0,0,37000,37600,37000
2015-06-19,5.12,40200,2.6(6.91 %),84160,3274000000,0,0,38000,40200,37600
2015-06-22,5.15,40500,0.3(0.75 %),57500,2362000000,0,0,41000,41900,39800
2015-06-23,4.98,39100,-1.4(-3.46 %),28510,1121000000,0,0,40000,40000,39000
2015-06-24,4.91,38600,-0.5(-1.28 %),18730,728000000,0,0,40000,40000,38600
2015-06-25,4.89,38400,-0.2(-0.52 %),18540,713000000,0,0,38600,39000,38300
2015-06-26,4.94,38800,0.4(1.04 %),10640,409000000,0,0,38100,38900,38100
2015-06-29,4.9,38500,-0.3(-0.77 %),23280,895000000,0,0,38500,38700,38000
2015-06-30,4.9,38500,0(0.00 %),7230,275000000,0,0,38100,38500,37500
2015-07-01,4.9,38500,0(0.00 %),6120,233000000,0,0,38200,38500,38000
2015-07-02,4.89,38400,-0.1(-0.26 %),9600,366000000,0,0,38500,38500,37800
2015-07-03,4.82,37900,-0.5(-1.30 %),29550,1112000000,0,0,38000,38000,37400
2015-07-06,4.84,38000,0.1(0.26 %),21350,804000000,0,0,37100,38000,37100
2015-07-07,4.82,37900,-0.1(-0.26 %),20430,770000000,0,0,38200,38300,37500
2015-07-08,4.76,37400,-0.5(-1.32 %),24050,893000000,0,0,37500,37500,36800
2015-07-09,4.72,37100,-0.3(-0.80 %),5600,208000000,0,0,37400,37400,36900
2015-07-10,4.71,37000,-0.1(-0.27 %),640,24000000,0,0,37000,37000,37000
2015-07-13,4.78,37600,0.6(1.62 %),2090,78000000,0,0,37000,37600,37000
2015-07-14,4.76,37400,-0.2(-0.53 %),5010,187000000,0,0,37400,37400,37000
2015-07-15,4.76,37400,0(0.00 %),5100,191000000,0,0,37400,37400,37400
2015-07-16,4.76,37400,0(0.00 %),70,3000000,0,0,37400,37400,37400
2015-07-17,4.64,36500,-0.9(-2.41 %),22210,816000000,0,0,37300,37400,36400
2015-07-20,4.73,37200,0.7(1.92 %),20500,764000000,0,0,38000,38000,37000
2015-07-21,4.71,37000,-0.2(-0.54 %),13480,499000000,0,0,37100,37500,37000
2015-07-22,4.76,37400,0.4(1.08 %),2780,104000000,0,0,37000,37500,37000
2015-07-23,4.75,37300,-0.1(-0.27 %),9560,355000000,0,0,37300,37300,37000
2015-07-24,4.9,38500,1.2(3.22 %),26920,1027000000,0,0,37500,39000,37500
2015-07-27,4.84,38000,-0.5(-1.30 %),20030,764000000,0,0,38500,38700,37900
2015-07-28,4.81,37800,-0.2(-0.53 %),22180,843000000,0,0,38000,38100,37800
2015-07-29,4.81,37800,0(0.00 %),38600,1460000000,0,0,37900,38000,37800
2015-07-30,4.77,37500,-0.3(-0.79 %),6000,226000000,0,0,37800,37800,37500
2015-07-31,4.75,37300,-0.2(-0.53 %),19770,742000000,0,0,37700,37700,37300
2015-08-03,4.8,37700,0.4(1.07 %),32780,1230000000,0,0,37200,37900,37200
2015-08-04,4.82,37900,0.2(0.53 %),1200,45000000,0,0,37900,38000,37900
2015-08-05,4.84,38000,0.1(0.26 %),12760,482000000,0,0,38000,38100,37500
2015-08-06,4.84,38000,0(0.00 %),23200,879000000,0,0,38000,38000,37700
2015-08-07,4.82,37900,-0.1(-0.26 %),9390,355000000,0,0,37800,38000,37600
2015-08-10,4.87,38300,0.4(1.06 %),14380,547000000,0,0,38000,38300,38000
2015-08-11,4.87,38300,0(0.00 %),18400,704000000,0,0,38300,38500,38200
2015-08-12,4.87,38300,0(0.00 %),48210,1841000000,0,0,38000,38800,37800
2015-08-13,4.86,38200,-0.1(-0.26 %),29890,1142000000,0,0,38300,38600,37800
2015-08-14,4.84,38000,-0.2(-0.52 %),20440,776000000,0,0,37800,38000,37800
2015-08-17,4.84,38000,0(0.00 %),77970,2960000000,0,0,38000,38300,37800
2015-08-18,4.85,38100,0.1(0.26 %),15050,571000000,0,0,38100,38100,37900
2015-08-19,4.84,38000,-0.1(-0.26 %),18290,695000000,0,0,38000,38100,38000
2015-08-20,5.14,40400,2.4(6.32 %),66320,2595000000,0,0,38100,40400,38100
2015-08-21,5.01,39400,-1(-2.48 %),78910,3123000000,0,0,39500,40000,38900
2015-08-24,4.71,37000,-2.4(-6.09 %),57830,2173000000,0,0,38800,38800,36700
2015-08-25,4.76,37400,0.4(1.08 %),31320,1162000000,0,0,37200,37900,37000
2015-08-26,4.9,38500,1.1(2.94 %),14040,530000000,0,0,37500,38500,37400
2015-08-27,4.89,38400,-0.1(-0.26 %),10090,388000000,0,0,38600,38600,38100
2015-08-28,4.91,38600,0.2(0.52 %),24860,955000000,0,0,38100,38600,38100
2015-08-31,4.87,38300,-0.3(-0.78 %),29800,1137000000,0,0,39400,39400,38000
2015-09-01,4.87,38300,0(0.00 %),18010,689000000,0,0,38300,38600,38000
2015-09-03,4.82,37900,-0.4(-1.04 %),29850,1133000000,0,0,38000,38400,37900
2015-09-04,4.78,37600,-0.3(-0.79 %),20690,780000000,0,0,37900,38000,37600
2015-09-07,4.78,37600,0(0.00 %),2720,102000000,0,0,37600,37600,37600
2015-09-08,4.9,38500,0.9(2.39 %),4530,173000000,0,0,37800,38500,37800
2015-09-09,4.95,38900,0.4(1.04 %),29660,1143000000,80000,2872000000,38500,39000,38000
2015-09-10,4.95,38900,0(0.00 %),5590,217000000,0,0,39000,39400,38700
2015-09-11,4.84,38000,-0.9(-2.31 %),29300,1116000000,85000,3077000000,38500,38500,38000
2015-09-14,4.78,37600,-0.4(-1.05 %),8420,318000000,0,0,37900,38000,37600
2015-09-15,4.84,38000,0.4(1.06 %),1580,60000000,0,0,38500,38500,37500
2015-09-16,4.89,38400,0.4(1.05 %),1450,56000000,0,0,38400,38400,38400
2015-09-17,4.96,39000,0.6(1.56 %),2340,91000000,60680,2172344000,38900,39000,38000
2015-09-18,5.01,39400,0.4(1.03 %),11420,445000000,0,0,38900,39500,38800
2015-09-21,5.06,39800,0.4(1.02 %),7590,301000000,0,0,39800,39800,39200
2015-09-22,5.0,39300,-0.5(-1.26 %),10500,412000000,0,0,39500,39500,39100
2015-09-23,4.98,39100,-0.2(-0.51 %),5900,231000000,0,0,39100,39300,39100
2015-09-24,4.94,38800,-0.3(-0.77 %),10570,413000000,0,0,39900,39900,38800
2015-09-25,5.01,39400,0.6(1.55 %),37010,1436000000,0,0,38800,39400,38600
2015-09-28,5.16,38500,1.1(2.94 %),920,35000000,0,0,38800,38800,37200
2015-09-29,5.01,37400,-1.1(-2.86 %),13140,494000000,0,0,37100,38000,37000
2015-09-30,5.11,38100,0.7(1.87 %),35970,1373000000,0,0,37900,38400,37900
2015-10-01,5.36,40000,1.9(4.99 %),72770,2855000000,0,0,38200,40000,38200
2015-10-02,5.24,39100,-0.9(-2.25 %),139370,5608000000,0,0,40400,41100,39100
2015-10-05,5.3,39500,0.4(1.02 %),16060,635000000,0,0,39200,40400,39100
2015-10-06,5.5,41000,1.5(3.80 %),79090,3263000000,0,0,40900,42000,40000
2015-10-07,5.43,40500,-0.5(-1.22 %),21490,872000000,0,0,40800,40800,40300
2015-10-08,5.36,40000,-0.5(-1.23 %),31010,1242000000,0,0,40400,40400,40000
2015-10-09,5.42,40400,0.4(1.00 %),20910,845000000,0,0,40800,40800,40000
2015-10-12,5.42,40400,0(0.00 %),17200,695000000,0,0,40400,40700,40400
2015-10-13,5.43,40500,0.1(0.25 %),35860,1449000000,0,0,40200,40500,40200
2015-10-14,5.43,40500,0(0.00 %),27680,1118000000,0,0,40500,40600,40200
2015-10-15,5.63,42000,1.5(3.70 %),91360,3756000000,0,0,40500,42000,40500
2015-10-16,5.64,42100,0.1(0.24 %),64100,2736000000,0,0,42100,43100,42100
2015-10-19,5.66,42200,0.1(0.24 %),12970,545000000,0,0,42000,42200,42000
2015-10-20,5.87,43800,1.6(3.79 %),69890,2996000000,0,0,42000,43800,42000
2015-10-21,5.71,42600,-1.2(-2.74 %),42620,1850000000,0,0,44000,44000,42600
2015-10-22,5.71,42600,0(0.00 %),28330,1210000000,0,0,42800,43200,42100
2015-10-23,5.9,44000,1.4(3.29 %),63360,2766000000,0,0,42800,44000,42800
2015-10-26,6.17,46000,2(4.55 %),122760,5636000000,0,0,44500,46600,44500
2015-10-27,6.37,47500,1.5(3.26 %),75300,3551000000,0,0,46000,48000,46000
2015-10-28,6.33,47200,-0.3(-0.63 %),50090,2377000000,0,0,47500,48000,47000
2015-10-29,6.3,47000,-0.2(-0.42 %),66430,3147000000,0,0,47200,47700,47000
2015-10-30,6.48,48300,1.3(2.77 %),96170,4636000000,0,0,47600,48800,47200
2015-11-02,6.03,45000,-3.3(-6.83 %),92780,4310000000,0,0,48000,48100,45000
2015-11-03,6.03,45000,0(0.00 %),61560,2757000000,0,0,45500,45500,44000
2015-11-04,5.83,43500,-1.5(-3.33 %),32030,1422000000,0,0,45000,45000,43500
2015-11-05,6.14,45800,2.3(5.29 %),70960,3174000000,0,0,43100,45800,43000
