Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2016-07-05,10.03,16400,1(6.49 %),1911550,30812000000,0,0,15700,16400,15400
2016-07-06,10.7,17500,1.1(6.71 %),2315490,36977000000,0,0,16700,17500,15300
2016-07-07,9.97,16300,-1.2(-6.86 %),1099950,17935000000,0,0,16500,16900,16300
2016-07-08,9.3,15200,-1.1(-6.75 %),14800,225000000,0,0,15200,15200,15200
2016-07-11,8.69,14200,-1(-6.58 %),2380750,33810000000,0,0,14200,14400,14200
2016-07-12,8.13,13300,-0.9(-6.34 %),752980,10015000000,0,0,13300,13300,13300
2016-07-13,7.95,13000,-0.3(-2.26 %),3154250,39781000000,0,0,12400,13000,12400
2016-07-14,7.4,12100,-0.9(-6.92 %),1932590,24114000000,0,0,13000,13500,12100
2016-07-15,6.91,11300,-0.8(-6.61 %),886880,10022000000,0,0,11300,11300,11300
2016-07-18,6.48,10600,-0.7(-6.19 %),565810,5998000000,0,0,10600,10600,10600
2016-07-19,6.3,10300,-0.3(-2.83 %),3598940,35743000000,0,0,9900,10400,9900
2016-07-20,6.54,10700,0.4(3.88 %),1199870,12290000000,0,0,10200,10700,10000
2016-07-21,6.18,10100,-0.6(-5.61 %),1127800,11413000000,0,0,10600,10800,10000
2016-07-22,5.81,9500,-0.6(-5.94 %),349850,3346000000,0,0,9600,9800,9400
2016-07-25,5.57,9100,-0.4(-4.21 %),490050,4494000000,0,0,9500,9500,8900
2016-07-26,5.32,8700,-0.4(-4.40 %),251940,2183000000,0,0,8900,9000,8500
2016-07-27,5.44,8900,0.2(2.30 %),412830,3582000000,0,0,8900,8900,8400
2016-07-28,5.5,9000,0.1(1.12 %),770770,6938000000,0,0,8600,9200,8600
2016-07-29,5.57,9100,0.1(1.11 %),234120,2103000000,0,0,8800,9100,8700
2016-08-01,5.5,9000,-0.1(-1.10 %),151450,1367000000,0,0,9100,9200,8900
2016-08-02,5.2,8500,-0.5(-5.56 %),166420,1438000000,0,0,9000,9000,8400
2016-08-03,5.26,8600,0.1(1.18 %),200750,1698000000,0,0,8500,8600,8300
2016-08-04,5.14,8400,-0.2(-2.33 %),159020,1362000000,0,0,8500,8700,8400
2016-08-05,5.14,8400,0(0.00 %),162740,1350000000,0,0,8400,8400,8200
2016-08-08,5.14,8400,0(0.00 %),130940,1078000000,0,0,8300,8400,8000
2016-08-09,5.44,8900,0.5(5.95 %),1663340,14449000000,0,0,8300,8900,8000
2016-08-10,5.63,9200,0.3(3.37 %),988710,8962000000,0,0,8900,9300,8800
2016-08-11,5.38,8800,-0.4(-4.35 %),514940,4542000000,0,0,9200,9200,8600
2016-08-12,5.2,8500,-0.3(-3.41 %),201930,1720000000,0,0,8700,8800,8300
2016-08-15,5.08,8300,-0.2(-2.35 %),175120,1474000000,0,0,8500,8500,8300
2016-08-16,5.14,8400,0.1(1.20 %),296780,2459000000,0,0,8300,8400,8200
2016-08-17,5.26,8600,0.2(2.38 %),826250,6993000000,0,0,8300,8800,8000
2016-08-18,5.08,8300,-0.3(-3.49 %),390500,3311000000,0,0,8500,8600,8300
2016-08-19,5.08,8300,0(0.00 %),247680,2056000000,0,0,8300,8400,8200
2016-08-22,5.08,8300,0(0.00 %),221540,1832000000,0,0,8200,8400,8200
2016-08-23,5.08,8300,0(0.00 %),220150,1825000000,0,0,8300,8400,8200
2016-08-24,5.14,8400,0.1(1.20 %),437270,3664000000,0,0,8300,8600,8200
2016-08-25,5.38,8800,0.4(4.76 %),1069900,9253000000,0,0,8300,8900,8300
2016-08-26,5.32,8700,-0.1(-1.14 %),599480,5270000000,0,0,8800,9000,8600
2016-08-29,5.08,8300,-0.4(-4.60 %),539780,4711000000,0,0,8700,9000,8300
2016-08-30,5.08,8300,0(0.00 %),197840,1645000000,0,0,8300,8400,8200
2016-08-31,5.08,8300,0(0.00 %),279300,2313000000,0,0,8300,8400,8200
2016-09-01,5.02,8200,-0.1(-1.20 %),356420,2965000000,0,0,8300,8500,8200
2016-09-05,5.08,8300,0.1(1.22 %),241730,1996000000,0,0,8200,8300,8200
2016-09-06,5.14,8400,0.1(1.20 %),212920,1771000000,0,0,8300,8400,8200
2016-09-07,5.08,8300,-0.1(-1.19 %),131760,1094000000,0,0,8400,8400,8200
2016-09-08,5.08,8300,0(0.00 %),220740,1832000000,0,0,8300,8400,8200
