Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2009-05-20,1.36,34000,1.6(4.94 %),20,680000,1128040,36207280000,34000,34000,34000
2009-05-21,1.42,35700,1.7(5.00 %),10,357000,0,0,35700,35700,35700
2009-05-22,1.49,37400,1.7(4.76 %),500,18700000,0,0,37400,37400,37400
2009-05-25,1.56,39200,1.8(4.81 %),10,392000,0,0,39200,39200,39200
2009-05-26,1.64,41100,1.9(4.85 %),10,411000,207000,7861700000,41100,41100,41100
2009-05-27,1.72,43100,2(4.87 %),16040,691324000,0,0,43100,43100,43100
2009-05-28,1.8,45200,2.1(4.87 %),21900,989880000,0,0,45200,45200,45200
2009-05-29,1.89,47400,2.2(4.87 %),25850,1225290000,0,0,47400,47400,47400
2009-06-01,1.98,49700,2.3(4.85 %),61090,3036173000,0,0,49700,49700,49700
2009-06-02,2.07,52000,2.3(4.63 %),16350,850200000,40000,1986000000,52000,52000,52000
2009-06-03,2.17,54500,2.5(4.81 %),41500,2261750000,85000,4470000000,54500,54500,54500
2009-06-04,2.27,57000,2.5(4.59 %),161220,9189540000,0,0,57000,57000,57000
2009-06-05,2.37,59500,2.5(4.39 %),500,29750000,20000,1090000000,59500,59500,59500
2009-06-08,2.47,62000,2.5(4.20 %),55600,3447200000,0,0,62000,62000,62000
2009-06-09,2.59,65000,3(4.84 %),166030,10791950000,0,0,65000,65000,65000
2009-06-10,2.71,68000,3(4.62 %),333800,22698400000,0,0,68000,68000,68000
2009-06-11,2.83,71000,3(4.41 %),909580,64560750000,0,0,71000,71000,70000
2009-06-12,2.97,74500,3.5(4.93 %),15670,1167415000,0,0,74500,74500,74500
2009-06-15,3.11,78000,3.5(4.70 %),858330,66940015000,0,0,78000,78000,77000
2009-06-16,2.97,74500,-3.5(-4.49 %),192300,14521745000,0,0,76000,78000,74500
2009-06-17,2.83,71000,-3.5(-4.70 %),87640,6222440000,0,0,71000,71000,71000
2009-06-18,2.71,68000,-3(-4.23 %),870410,61753815000,725810,48992175000,74000,74000,67500
2009-06-19,2.65,66500,-1.5(-2.21 %),387420,25828305000,0,0,69000,69000,65000
