Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2007-10-09,4.58,88000,4(4.76 %),1900,167000000,20000,1600000000,88000,88000,88000
2007-10-10,4.79,92000,4(4.55 %),2000,184000000,0,0,92000,92000,92000
2007-10-11,5.02,96500,4.5(4.89 %),11200,1081000000,0,0,96500,96500,96500
2007-10-12,5.25,101000,4.5(4.66 %),123080,12431000000,0,0,101000,101000,101000
2007-10-15,5.51,106000,5(4.95 %),67920,7200000000,0,0,106000,106000,106000
2007-10-16,5.77,111000,5(4.72 %),55400,6149000000,0,0,111000,111000,111000
2007-10-17,6.03,116000,5(4.50 %),14250,1653000000,0,0,116000,116000,116000
2007-10-18,6.24,120000,4(3.45 %),734430,87310000000,0,0,121000,121000,112000
2007-10-19,6.55,126000,6(5.00 %),412180,51210000000,0,0,122000,126000,120000
2007-10-22,6.87,132000,6(4.76 %),65150,8600000000,0,0,132000,132000,132000
2007-10-23,7.18,138000,6(4.55 %),74690,10307000000,0,0,138000,138000,138000
2007-10-24,7.49,144000,6(4.35 %),141200,20333000000,0,0,144000,144000,144000
2007-10-25,7.7,148000,4(2.78 %),414740,61569000000,0,0,150000,150000,141000
2007-10-26,7.33,141000,-7(-4.73 %),62400,8831000000,0,0,142000,142000,141000
2007-10-29,6.97,134000,-7(-4.96 %),26940,3610000000,0,0,134000,134000,134000
2007-10-30,6.66,128000,-6(-4.48 %),29390,3762000000,0,0,128000,128000,128000
2007-10-31,6.66,128000,0(0.00 %),318140,39499000000,0,0,122000,132000,122000
2007-11-01,6.71,129000,1(0.78 %),64970,8336000000,0,0,127000,131000,127000
2007-11-02,6.45,124000,-5(-3.88 %),42500,5393000000,0,0,129000,129000,124000
2007-11-05,6.24,120000,-4(-3.23 %),72010,8649000000,30000,3780000000,120000,124000,119000
2007-11-06,5.98,115000,-5(-4.17 %),45410,5350000000,0,0,120000,120000,115000
2007-11-07,5.77,111000,-4(-3.48 %),86230,9622000000,0,0,112000,114000,110000
2007-11-08,6.03,116000,5(4.50 %),19020,2206000000,0,0,116000,116000,116000
2007-11-09,6.24,120000,4(3.45 %),127250,15118000000,0,0,119000,120000,116000
2007-11-12,5.93,114000,-6(-5.00 %),52120,6113000000,0,0,120000,120000,114000
2007-11-13,5.67,109000,-5(-4.39 %),47880,5324000000,0,0,114000,114000,109000
2007-11-14,5.93,114000,5(4.59 %),45010,5052000000,0,0,109000,114000,109000
2007-11-15,5.77,111000,-3(-2.63 %),43770,4897000000,0,0,112000,114000,111000
2007-11-16,5.72,110000,-1(-0.90 %),17160,1892000000,0,0,110000,112000,110000
2007-11-19,5.67,109000,-1(-0.91 %),14490,1563000000,0,0,107000,109000,107000
2007-11-20,5.57,107000,-2(-1.83 %),20300,2184000000,0,0,108000,109000,106000
2007-11-21,5.31,102000,-5(-4.67 %),64510,6606000000,0,0,103000,104000,102000
2007-11-22,5.36,103000,1(0.98 %),42590,4373000000,0,0,101000,104000,101000
2007-11-23,5.31,102000,-1(-0.97 %),32000,3234000000,0,0,100000,102000,100000
2007-11-26,5.57,107000,5(4.90 %),70190,7510000000,0,0,107000,107000,107000
2007-11-27,5.83,112000,5(4.67 %),48620,5445000000,0,0,112000,112000,112000
2007-11-28,5.83,112000,0(0.00 %),131370,14352000000,0,0,107000,114000,107000
2007-11-29,5.83,112000,0(0.00 %),67090,7480000000,0,0,112000,112000,110000
2007-11-30,5.72,110000,-2(-1.79 %),64330,7075000000,0,0,111000,111000,109000
2007-12-03,5.72,110000,0(0.00 %),101750,11201000000,0,0,110000,111000,110000
2007-12-04,5.98,115000,5(4.55 %),174120,19960000000,0,0,114000,115000,113000
2007-12-05,5.88,113000,-2(-1.74 %),82200,9368000000,0,0,115000,115000,113000
2007-12-06,6.03,116000,3(2.65 %),75320,8688000000,0,0,115000,116000,113000
2007-12-07,5.98,115000,-1(-0.86 %),30080,3466000000,0,0,116000,116000,114000
2007-12-10,5.83,112000,-3(-2.61 %),19740,2221000000,0,0,114000,114000,112000
2007-12-11,5.67,109000,-3(-2.68 %),16140,1767000000,0,0,110000,112000,109000
2007-12-12,5.67,109000,0(0.00 %),31840,3445000000,35000,3640000000,107000,110000,107000
2007-12-13,5.51,106000,-3(-2.75 %),30110,3224000000,0,0,109000,109000,106000
2007-12-14,5.41,104000,-2(-1.89 %),17730,1847000000,0,0,103000,107000,103000
2007-12-17,5.31,102000,-2(-1.92 %),33880,3507000000,0,0,106000,106000,102000
2007-12-18,5.46,105000,3(2.94 %),8160,845000000,0,0,102000,105000,102000
2007-12-19,5.72,110000,5(4.76 %),52670,5794000000,33000,3630000000,110000,110000,110000
2007-12-20,5.62,108000,-2(-1.82 %),29070,3200000000,0,0,112000,112000,107000
2007-12-21,5.67,109000,1(0.93 %),15900,1729000000,0,0,109000,109000,107000
2007-12-24,5.57,107000,-2(-1.83 %),12950,1387000000,0,0,107000,109000,106000
2007-12-25,5.51,106000,-1(-0.93 %),22480,2373000000,0,0,107000,107000,105000
2007-12-26,5.57,107000,1(0.94 %),26270,2789000000,0,0,106000,107000,105000
2007-12-27,5.57,107000,0(0.00 %),51430,5546000000,0,0,108000,109000,106000
2007-12-28,5.57,107000,0(0.00 %),10240,1096000000,0,0,107000,107000,107000
2008-01-02,5.51,106000,-1(-0.93 %),7240,770000000,0,0,106000,108000,106000
2008-01-03,5.51,106000,0(0.00 %),8200,869000000,0,0,105000,107000,105000
2008-01-04,5.36,103000,-3(-2.83 %),23030,2382000000,0,0,104000,105000,103000
2008-01-07,5.12,98500,-4.5(-4.37 %),43450,4335000000,0,0,101000,102000,98500
2008-01-08,5.18,99500,1(1.02 %),26020,2591000000,0,0,98500,101000,98500
2008-01-09,5.12,98500,-1(-1.01 %),10890,1079000000,0,0,100000,100000,98500
2008-01-10,4.92,94500,-4(-4.06 %),13340,1258000000,0,0,94000,96000,94000
2008-01-11,4.94,95000,0.5(0.53 %),21300,2030000000,0,0,94500,97000,94500
2008-01-14,4.71,90500,-4.5(-4.74 %),17240,1562000000,0,0,91000,92000,90500
2008-01-15,4.47,86000,-4.5(-4.97 %),38380,3317000000,0,0,86500,87000,86000
2008-01-16,4.68,90000,4(4.65 %),13170,1185000000,0,0,90000,90000,90000
2008-01-17,4.73,91000,1(1.11 %),56200,5281000000,0,0,94500,94500,90000
2008-01-18,4.94,95000,4(4.40 %),16390,1504000000,0,0,90000,95000,89000
2008-01-21,4.84,93000,-2(-2.11 %),10050,930000000,0,0,95000,95000,91000
2008-01-22,4.71,90500,-2.5(-2.69 %),14910,1352000000,0,0,90000,91500,90000
2008-01-23,4.5,86500,-4(-4.42 %),36690,3176000000,0,0,87000,88000,86000
2008-01-24,4.47,86000,-0.5(-0.58 %),20130,1774000000,0,0,90500,90500,86000
2008-01-25,4.45,85500,-0.5(-0.58 %),19230,1631000000,0,0,83500,86000,83500
2008-01-28,4.4,84500,-1(-1.17 %),12460,1047000000,0,0,83000,85000,83000
2008-01-29,4.6,88500,4(4.73 %),29310,2538000000,0,0,84500,88500,84000
2008-01-30,4.81,92500,4(4.52 %),25420,2351000000,0,0,92500,92500,92500
2008-01-31,4.81,92500,0(0.00 %),11100,1003000000,0,0,90000,92500,88000
2008-02-01,4.94,95000,2.5(2.70 %),17420,1632000000,0,0,93000,95000,92000
2008-02-12,4.79,92000,-3(-3.16 %),16670,1551000000,0,0,95000,95500,92000
2008-02-13,4.68,90000,-2(-2.17 %),16780,1518000000,0,0,92000,92000,90000
2008-02-14,4.76,91500,1.5(1.67 %),5250,480000000,0,0,90000,92000,90000
2008-02-15,4.71,90500,-1(-1.09 %),7570,677000000,0,0,91500,91500,88500
2008-02-18,4.5,86500,-4(-4.42 %),31490,2711000000,0,0,86000,87000,86000
2008-02-19,4.47,86000,-0.5(-0.58 %),30530,2591000000,0,0,84000,86000,84000
2008-02-20,4.27,82000,-4(-4.65 %),17400,1445000000,0,0,84000,84500,82000
2008-02-21,4.06,78000,-4(-4.88 %),21210,1654000000,0,0,78000,78000,78000
2008-02-22,3.9,75000,-3(-3.85 %),30350,2266000000,0,0,74500,75000,74500
2008-02-25,4.06,78000,3(4.00 %),42420,3214000000,0,0,72500,78000,72500
2008-02-26,3.88,74500,-3.5(-4.49 %),10840,808000000,0,0,74500,75000,74500
2008-02-27,3.69,71000,-3.5(-4.70 %),15630,1114000000,0,0,71000,73000,71000
2008-02-28,3.51,67500,-3.5(-4.93 %),24120,1642000000,0,0,69000,71000,67500
2008-02-29,3.35,64500,-3(-4.44 %),32850,2119000000,0,0,64500,65000,64500
2008-03-03,3.2,61500,-3(-4.65 %),1810,111315000,0,0,61500,61500,61500
2008-03-04,3.04,58500,-3(-4.88 %),620,36270000,0,0,58500,58500,58500
2008-03-05,2.91,56000,-2.5(-4.27 %),124050,6949780000,0,0,56000,59000,56000
2008-03-06,3.04,58500,2.5(4.46 %),6650,389025000,0,0,58500,58500,58500
2008-03-07,3.17,61000,2.5(4.27 %),9250,564250000,0,0,61000,61000,61000
2008-03-10,3.33,64000,3(4.92 %),19090,1221760000,0,0,64000,64000,64000
2008-03-11,3.33,64000,0(0.00 %),55650,3450860000,0,0,61000,64000,61000
