Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2010-02-03,3.17,108000,5(4.85 %),10140,1095120000,0,0,108000,108000,108000
2010-02-04,3.32,113000,5(4.63 %),11690,1320970000,0,0,113000,113000,113000
2010-02-05,3.47,118000,5(4.42 %),269750,31639940000,0,0,115000,118000,115000
2010-02-08,3.38,115000,-3(-2.54 %),74810,8593550000,0,0,115000,117000,113000
2010-02-09,3.23,110000,-5(-4.35 %),44920,4959130000,0,0,115000,115000,110000
2010-02-10,3.17,108000,-2(-1.82 %),162280,17624640000,0,0,108000,110000,107000
2010-02-11,3.17,108000,0(0.00 %),60500,6514940000,0,0,107000,111000,105000
2010-02-12,3.32,113000,5(4.63 %),52600,5941200000,0,0,110000,113000,110000
2010-02-22,3.41,116000,3(2.65 %),12690,1463900000,0,0,116000,117000,113000
2010-02-23,3.26,111000,-5(-4.31 %),61590,6921710000,0,0,112000,115000,111000
2010-02-24,3.29,112000,1(0.90 %),23840,2643880000,0,0,112000,113000,110000
2010-02-25,3.32,113000,1(0.89 %),28790,3286530000,0,0,114000,116000,111000
2010-02-26,3.32,113000,0(0.00 %),42360,4803540000,0,0,114000,114000,112000
2010-03-01,3.35,114000,1(0.88 %),31430,3587580000,0,0,115000,115000,113000
2010-03-02,3.35,114000,0(0.00 %),64440,7428700000,0,0,115000,116000,114000
2010-03-03,3.44,117000,3(2.63 %),100070,11571280000,0,0,115000,117000,114000
2010-03-04,3.47,118000,1(0.85 %),29400,3481720000,0,0,120000,120000,118000
2010-03-05,3.62,123000,5(4.24 %),125640,15200570000,0,0,118000,123000,118000
2010-03-08,3.76,128000,5(4.07 %),39760,5021150000,0,0,125000,129000,123000
2010-03-09,3.7,126000,-2(-1.56 %),40470,5158960000,0,0,128000,128000,126000
2010-03-10,3.85,131000,5(3.97 %),153290,19872530000,0,0,126000,132000,126000
2010-03-11,4.03,137000,6(4.58 %),86700,11783850000,0,0,133000,137000,132000
2010-03-12,4.2,143000,6(4.38 %),135890,19341790000,0,0,142000,143000,137000
