Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2018-08-09,9.79,13600,-1.4(-9.33 %),478300,6882970000,0,0,15100,15400,13600
2018-08-10,9.0,12650,-1.1(-8.09 %),248300,3114190000,0,0,12800,13600,12650
2018-08-13,8.28,11600,-1(-8.00 %),258200,2924510000,0,0,11600,11800,11600
2018-08-14,7.85,10900,-0.6(-5.22 %),111800,1236430000,0,0,10700,11600,10700
2018-08-15,7.56,10500,-0.4(-3.67 %),119500,1261920000,0,0,10500,11000,10400
2018-08-16,7.7,10700,0.2(1.90 %),75900,797160000,0,0,10600,10700,10200
2018-08-17,7.78,10800,0.1(0.93 %),83500,886490000,0,0,10700,10800,10500
2018-08-20,7.92,11000,0.2(1.85 %),106700,1156810000,0,0,11200,11200,10700
2018-08-21,7.92,11000,0(0.00 %),105700,1161390000,0,0,10900,11200,10900
2018-08-22,8.06,11200,0.2(1.82 %),102700,1135710000,0,0,11200,11200,10600
2018-08-23,7.85,10900,-0.3(-2.68 %),104500,1139820000,0,0,11000,11200,10900
2018-08-24,7.7,10700,-0.2(-1.83 %),106700,1143240000,0,0,10900,10900,10700
2018-08-27,7.99,11100,0.4(3.74 %),106200,1164290000,0,0,10900,11100,10700
2018-08-28,8.06,11200,0.1(0.90 %),95400,1067070000,0,0,11000,11200,11000
2018-08-29,7.92,11000,-0.2(-1.79 %),91200,1005460000,0,0,11200,11200,11000
2018-08-30,8.06,11200,0.2(1.82 %),75800,838200000,0,0,11000,11200,10900
2018-08-31,7.99,11100,-0.1(-0.89 %),54500,609570000,0,0,11100,11400,11000
2018-09-04,8.35,11600,0.5(4.50 %),510300,5763010000,0,0,11000,11700,10900
2018-09-05,9.14,12400,1.1(9.48 %),754800,9070310000,0,0,11400,12400,11400
2018-09-06,9.86,13600,1(7.87 %),647300,8708030000,0,0,13000,13600,12700
2018-09-07,9.22,12800,-0.9(-6.57 %),403400,5486850000,0,0,13900,14000,12800
2018-09-10,8.57,11900,-0.9(-7.03 %),179200,2159980000,0,0,12800,12800,11900
2018-09-11,8.64,12000,0.1(0.84 %),140200,1629190000,0,0,11700,12100,11300
2018-09-12,8.35,11600,-0.4(-3.33 %),138600,1608660000,0,0,12000,12000,11300
2018-09-13,8.21,11400,-0.2(-1.72 %),255300,2929380000,0,0,11700,11700,11300
2018-09-14,8.14,11300,-0.1(-0.88 %),159900,1804350000,0,0,11300,11500,11100
