Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2012-02-16,3.13,34000,-1(-2.86 %),40310,1390985000,0,0,34500,35000,34000
2012-02-17,3.09,33500,-0.5(-1.47 %),38440,1297340000,0,0,33500,34200,33500
2012-02-20,3.04,33000,-0.5(-1.49 %),27100,908320000,0,0,33300,33600,33000
2012-02-21,2.95,32000,-1(-3.03 %),25160,826864000,0,0,32900,32900,32000
2012-02-22,2.95,32000,0(0.00 %),8540,273249000,0,0,32000,32100,31900
2012-02-23,2.93,31800,-0.2(-0.62 %),4700,149939000,0,0,32000,32000,31700
2012-02-24,2.9,31500,-0.3(-0.94 %),20,630000,0,0,31500,31500,31500
2012-02-27,3.01,32700,1.2(3.81 %),7900,254013000,0,0,30700,32700,30700
2012-02-28,3.13,34000,1.3(3.98 %),11640,383298000,0,0,33000,34000,32700
2012-02-29,3.11,33800,-0.2(-0.59 %),5060,170582000,0,0,32700,34000,32500
2012-03-01,3.23,35000,1.2(3.55 %),12310,420853000,0,0,33900,35000,33000
2012-03-02,3.36,36500,1.5(4.29 %),8190,295387000,0,0,35200,36700,33900
2012-03-05,3.5,38000,1.5(4.11 %),3160,118667000,0,0,36500,38000,36500
2012-03-06,3.33,36100,-1.9(-5.00 %),9240,362129000,0,0,39400,39400,36100
2012-03-07,3.16,34300,-1.8(-4.99 %),5880,211800000,0,0,36100,36100,34300
2012-03-08,3.0,32600,-1.7(-4.96 %),19060,621374000,0,0,32600,33800,32600
2012-03-09,3.11,33800,1.2(3.68 %),12200,380995000,0,0,31200,33800,31200
2012-03-12,3.23,35000,1.2(3.55 %),7480,241816000,0,0,33800,35000,32300
2012-03-13,3.34,36300,1.3(3.71 %),4180,146191000,0,0,36400,36400,33500
2012-03-14,3.18,34500,-1.8(-4.96 %),11120,404578000,0,0,37100,37100,34500
2012-03-15,3.23,35000,0.5(1.45 %),1430,47925000,0,0,33600,35000,32900
2012-03-16,3.31,35900,0.9(2.57 %),13460,482814000,160000,5600000000,35800,35900,35800
2012-03-19,3.19,34600,-1.3(-3.62 %),2930,102625000,216160,7760144000,34200,35900,34200
2012-03-20,3.03,32900,-1.7(-4.91 %),6550,228767000,0,0,34900,35000,32900
2012-03-21,3.18,34500,1.6(4.86 %),4820,164000000,0,0,31600,34500,31600
2012-03-22,3.23,35000,0.5(1.45 %),500,17500000,0,0,35000,35000,35000
2012-03-23,3.22,34900,-0.1(-0.29 %),205040,7086398000,0,0,35000,35100,34000
