Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2016-07-12,11.24,14100,0.9(6.82 %),43600,615000000,0,0,14100,14100,14100
2016-07-13,11.96,15000,0.9(6.38 %),90160,1351000000,0,0,15000,15000,14000
2016-07-14,11.16,14000,-1(-6.67 %),41520,581000000,0,0,14000,14000,14000
2016-07-15,11.16,14000,0(0.00 %),56210,761000000,0,0,13400,14000,13100
2016-07-18,11.56,14500,0.5(3.57 %),86000,1208000000,0,0,14000,14500,13500
2016-07-19,11.96,15000,0.5(3.45 %),135470,2023000000,0,0,14600,15100,14600
2016-07-20,11.8,14800,-0.2(-1.33 %),50290,754000000,0,0,15200,15200,14400
2016-07-21,11.8,14800,0(0.00 %),40000,603000000,0,0,15100,15400,14600
2016-07-22,11.48,14400,-0.4(-2.70 %),89810,1304000000,0,0,14900,14900,14400
2016-07-25,11.88,14900,0.5(3.47 %),77600,1147000000,0,0,14500,15000,14500
2016-07-26,11.96,15000,0.1(0.67 %),66500,995000000,0,0,14800,15300,14800
2016-07-27,11.96,15000,0(0.00 %),107620,1619000000,0,0,15000,15200,14900
2016-07-28,12.04,15100,0.1(0.67 %),111610,1678000000,0,0,15000,15200,14800
2016-07-29,11.96,15000,-0.1(-0.66 %),126500,1906000000,0,0,15100,15200,14900
2016-08-01,12.04,15100,0.1(0.67 %),188200,2859000000,0,0,15200,15400,15000
2016-08-02,11.64,14600,-0.5(-3.31 %),137700,2030000000,0,0,14900,14900,14500
2016-08-03,11.56,14500,-0.1(-0.68 %),189300,2747000000,0,0,14600,14700,14300
2016-08-04,11.56,14500,0(0.00 %),149000,2168000000,0,0,14500,14800,14400
2016-08-05,11.32,14200,-0.3(-2.07 %),213300,3064000000,0,0,14400,14600,14200
2016-08-08,11.4,14300,0.1(0.70 %),187670,2671000000,0,0,14300,14300,14000
2016-08-09,11.4,14300,0(0.00 %),27900,399000000,0,0,14300,14300,14300
2016-08-10,11.4,14300,0(0.00 %),145420,2057000000,0,0,14300,14300,14000
2016-08-11,11.32,14200,-0.1(-0.70 %),102000,1448000000,0,0,14300,14300,14100
2016-08-12,11.4,14300,0.1(0.70 %),145000,2079000000,0,0,14100,14600,14100
2016-08-15,11.64,14600,0.3(2.10 %),145700,2109000000,0,0,14400,14600,14300
2016-08-16,11.72,14700,0.1(0.68 %),131100,1909000000,0,0,14500,14700,14300
