Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2006-12-22,4.61,38000,-2(-5.00 %),28000,1096760,0,0,40000,40000,38000
2006-12-25,4.38,36100,-1.9(-5.00 %),250,9025,0,0,38000,38000,36100
2006-12-26,4.17,34300,-1.8(-4.99 %),57520,1972936,0,0,34300,34300,34300
2006-12-27,3.96,32600,-1.7(-4.96 %),45350,1478410,0,0,32600,32600,32600
2006-12-28,4.15,34200,1.6(4.91 %),25050,855110,0,0,32600,34200,32600
2006-12-29,4.13,34000,-0.2(-0.58 %),6200,209600,0,0,35000,35000,34000
2007-01-02,4.13,34000,0(0.00 %),6500,214000000,0,0,34000,34000,32300
2007-01-03,4.07,33500,-0.5(-1.47 %),11710,0,0,0,33500,33500,32300
2007-01-04,4.07,33500,0(0.00 %),5120,172000000,0,0,33500,33500,33500
2007-01-05,4.12,33900,0.4(1.19 %),1900,0,0,0,33900,33900,33000
2007-01-08,4.1,33800,-0.1(-0.29 %),5700,0,0,0,33800,33800,33500
2007-01-09,4.1,33800,0(0.00 %),2000,68000000,0,0,33800,33800,33800
2007-01-10,3.93,32400,-1.4(-4.14 %),13800,447000000,0,0,33800,33800,32400
2007-01-11,3.93,32400,0(0.00 %),39900,1293000000,0,0,32400,32400,32400
2007-01-12,3.89,32000,-0.4(-1.23 %),15800,493000000,0,0,30800,32000,30800
2007-01-15,3.7,30500,-1.5(-4.69 %),14570,456000000,0,0,32000,32000,30500
2007-01-16,3.64,30000,-0.5(-1.64 %),15110,452000000,0,0,30500,30500,29500
2007-01-17,3.64,30000,0(0.00 %),7400,222000000,0,0,30000,30000,30000
2007-01-18,3.64,30000,0(0.00 %),17020,513000000,0,0,31000,31000,30000
2007-01-19,3.76,31000,1(3.33 %),13600,410000000,0,0,30000,31000,30000
2007-01-22,3.83,31500,0.5(1.61 %),9960,314000000,0,0,32500,32500,31000
2007-01-23,3.83,31500,0(0.00 %),11900,381000000,0,0,31500,32500,31500
2007-01-24,3.7,30500,-1(-3.17 %),10510,319000000,0,0,31500,31500,30000
2007-01-25,3.76,31000,0.5(1.64 %),8110,256000000,0,0,32000,32000,31000
2007-01-26,3.64,30000,-1(-3.23 %),700,21000000,0,0,31000,31000,30000
2007-01-29,3.64,30000,0(0.00 %),6070,182000000,0,0,30000,30000,30000
2007-01-30,3.7,30500,0.5(1.67 %),3830,117000000,0,0,30000,30500,30000
2007-01-31,3.64,30000,-0.5(-1.64 %),6000,600000000,0,0,30500,30500,30000
2007-02-01,3.83,31500,1.5(5.00 %),7430,743000000,0,0,31500,31500,30500
2007-02-02,3.93,32400,0.9(2.86 %),6720,672000000,0,0,31500,32400,31500
2007-02-05,4.13,34000,1.6(4.94 %),10860,369000000,0,0,34000,34000,34000
2007-02-06,4.34,35700,1.7(5.00 %),18740,669000000,0,0,35700,35700,35700
2007-02-07,4.54,37400,1.7(4.76 %),29570,1106000000,0,0,37400,37400,37400
2007-02-08,4.32,35600,-1.8(-4.81 %),13130,471000000,0,0,35600,37000,35600
2007-02-09,4.12,33900,-1.7(-4.78 %),4190,142000000,0,0,33900,33900,33900
2007-02-12,3.92,32300,-1.6(-4.72 %),32610,1053000000,0,0,32300,32300,32300
2007-02-13,4.12,33900,1.6(4.95 %),5100,173000000,0,0,33900,33900,33900
2007-02-14,4.31,35500,1.6(4.72 %),22160,787000000,0,0,35500,35500,35500
2007-02-15,4.31,35500,0(0.00 %),13300,476000000,0,0,35500,36000,35500
2007-02-26,4.43,36500,1(2.82 %),11570,418000000,0,0,36500,36500,35500
2007-02-27,4.65,38300,1.8(4.93 %),39920,1529000000,0,0,38300,38300,38300
2007-02-28,4.88,40200,1.9(4.96 %),26100,1049000000,0,0,40200,40200,40200
2007-03-01,5.12,42200,2(4.98 %),38390,1620000000,0,0,42200,42200,42200
2007-03-02,5.38,44300,2.1(4.98 %),32230,1428000000,0,0,44300,44300,44300
2007-03-05,5.65,46500,2.2(4.97 %),13650,635000000,0,0,46500,46500,46500
2007-03-06,5.93,48800,2.3(4.95 %),63000,3066000000,0,0,48800,48800,48000
2007-03-07,6.19,51000,2.2(4.51 %),5250,267000000,0,0,48800,51000,48800
2007-03-08,6.5,53500,2.5(4.90 %),47790,2557000000,0,0,53500,53500,53500
2007-03-09,6.8,56000,2.5(4.67 %),33630,1883000000,0,0,56000,56000,56000
2007-03-12,7.1,58500,2.5(4.46 %),8400,491000000,0,0,56000,58500,56000
2007-03-13,7.1,58500,0(0.00 %),54930,3304000000,0,0,58500,61000,58500
2007-03-14,6.8,56000,-2.5(-4.27 %),42180,2400000000,0,0,56000,58500,56000
2007-03-15,6.5,53500,-2.5(-4.46 %),9340,500000000,0,0,53500,53500,53500
2007-03-16,6.18,49900,-2.55(-4.86 %),50730,2531000000,0,0,49900,49900,49900
2007-03-19,6.44,52000,2.1(4.21 %),16540,860000000,0,0,49900,52000,49900
2007-03-20,6.74,54500,2.5(4.81 %),60080,3274000000,0,0,54500,54500,54500
2007-03-21,6.81,55000,0.5(0.92 %),59760,3310000000,0,0,56000,56000,55000
2007-03-22,6.5,52500,-2.5(-4.55 %),29790,1564000000,0,0,52500,52500,52500
2007-03-23,6.68,54000,1.5(2.86 %),26100,1411000000,0,0,55000,55000,52500
2007-03-26,6.37,51500,-2.5(-4.63 %),14680,758000000,0,0,52000,52000,51500
2007-03-27,6.06,49000,-2.5(-4.85 %),14850,728000000,0,0,49000,49000,49000
2007-03-28,5.77,46600,-2.4(-4.90 %),19930,930000000,0,0,47000,47000,46600
2007-03-29,6.05,48900,2.3(4.94 %),10360,507000000,0,0,48900,48900,48900
2007-03-30,6.31,51000,2.1(4.29 %),20800,1061000000,0,0,51000,51000,51000
2007-04-02,6.31,51000,0(0.00 %),4960,253000000,0,0,51000,51000,51000
2007-04-03,6.0,48500,-2.5(-4.90 %),5500,269000000,0,0,49500,49500,48500
2007-04-04,6.19,50000,1.5(3.09 %),2500,123000000,0,0,48500,50000,48500
2007-04-05,6.0,48500,-1.5(-3.00 %),6850,340000000,0,0,50000,50000,48500
2007-04-06,6.0,48500,0(0.00 %),4240,204000000,0,0,48000,48500,48000
2007-04-09,5.88,47500,-1(-2.06 %),7450,352000000,0,0,47000,47500,47000
2007-04-10,5.59,45200,-2.3(-4.84 %),4600,210000000,0,0,47500,47500,45200
2007-04-11,5.38,43500,-1.7(-3.76 %),5320,235000000,0,0,44400,44400,43500
2007-04-12,5.12,41400,-2.1(-4.83 %),11100,460000000,0,0,41400,41400,41400
2007-04-13,4.95,40000,-1.4(-3.38 %),8150,323000000,0,0,39500,40000,39500
2007-04-16,4.79,38700,-1.3(-3.25 %),11360,440000000,0,0,39100,39100,38500
2007-04-17,4.58,37000,-1.7(-4.39 %),10840,401000000,0,0,38000,38000,36900
2007-04-18,4.8,38800,1.8(4.86 %),3730,138000000,0,0,37000,38800,37000
2007-04-19,5.01,40500,1.7(4.38 %),17500,710000000,0,0,40700,40700,40500
2007-04-20,4.89,39500,-1(-2.47 %),14960,592000000,0,0,39600,39600,39500
2007-04-23,4.67,37700,-1.8(-4.56 %),1400,53000000,0,0,39500,39500,37700
2007-04-24,4.52,36500,-1.2(-3.18 %),4840,177000000,0,0,38000,38000,36500
2007-04-25,4.7,38000,1.5(4.11 %),3500,130000000,0,0,36500,38000,36500
2007-05-02,4.58,37000,-1(-2.63 %),400,15000000,0,0,38000,38000,37000
2007-05-03,4.7,38000,1(2.70 %),4950,188000000,0,0,38800,38800,38000
2007-05-04,4.7,38000,0(0.00 %),600,23000000,0,0,38000,38000,38000
2007-05-07,4.94,39900,1.9(5.00 %),2900,115000000,0,0,38000,39900,38000
2007-05-08,4.95,40000,0.1(0.25 %),4190,169000000,0,0,40500,40500,40000
2007-05-09,4.7,38000,-2(-5.00 %),2720,107000000,0,0,40000,40000,38000
2007-05-10,4.58,37000,-1(-2.63 %),4540,0,0,0,37000,37000,37000
2007-05-11,4.76,38500,1.5(4.05 %),1720,66000000,0,0,37000,38500,37000
2007-05-14,4.94,39900,1.4(3.64 %),1500,58000000,0,0,38500,39900,36600
2007-05-15,5.04,40700,0.8(2.01 %),4380,178000000,0,0,40700,40700,40700
2007-05-16,4.83,39000,-1.7(-4.18 %),1100,43000000,0,0,40700,40700,39000
2007-05-17,4.73,38200,-0.8(-2.05 %),2700,103000000,0,0,39000,39000,38200
2007-05-18,4.83,39000,0.8(2.09 %),5600,217000000,0,0,38200,39000,38200
2007-05-21,5.01,40500,1.5(3.85 %),13730,553000000,0,0,40000,40500,40000
2007-05-22,5.2,42000,1.5(3.70 %),30670,1288000000,0,0,42000,42000,42000
2007-05-23,5.46,44100,2.1(5.00 %),22500,992000000,0,0,44100,44100,44100
2007-05-24,5.2,42000,-2.1(-4.76 %),11390,0,0,0,42000,45300,42000
2007-05-25,5.2,42000,0(0.00 %),10100,424000000,0,0,42000,42000,42000
2007-05-28,5.2,42000,0(0.00 %),6030,256000000,0,0,42000,43000,42000
2007-05-29,5.01,40500,-1.5(-3.57 %),5200,220000000,0,0,43000,43000,40500
2007-05-30,4.84,39100,-1.4(-3.46 %),10530,416000000,0,0,40500,40500,39100
2007-05-31,5.07,41000,1.9(4.86 %),2750,113000000,0,0,39100,41000,39100
2007-06-01,5.07,41000,0(0.00 %),6670,273000000,0,0,41000,41000,41000
2007-06-04,5.07,41000,0(0.00 %),310,13000000,0,0,41000,41000,41000
2007-06-05,4.85,39200,-1.8(-4.39 %),4350,178000000,0,0,41000,41000,39200
2007-06-06,4.95,40000,0.8(2.04 %),7340,291000000,0,0,39000,40000,39000
2007-06-07,5.2,42000,2(5.00 %),25570,1062000000,0,0,41000,42000,41000
2007-06-08,5.2,42000,0(0.00 %),28880,1228000000,0,0,43000,43000,42000
2007-06-11,5.26,42500,0.5(1.19 %),26390,1116000000,0,0,42000,42500,42000
2007-06-12,5.38,43500,1(2.35 %),48850,2106000000,0,0,43000,43500,43000
2007-06-13,5.57,45000,1.5(3.45 %),42780,1925000000,0,0,45000,45000,45000
2007-06-14,5.84,47200,2.2(4.89 %),28070,1325000000,0,0,47200,47200,47200
2007-06-15,6.13,49500,2.3(4.87 %),17670,875000000,0,0,49500,49500,49500
2007-06-18,6.37,51500,2(4.04 %),56900,2930000000,0,0,51500,51500,51500
2007-06-19,6.25,50500,-1(-1.94 %),197410,10522000000,0,0,54000,54000,50500
2007-06-20,6.37,51500,1(1.98 %),88220,4459000000,0,0,48000,51500,48000
2007-06-21,6.19,50000,-1.5(-2.91 %),25380,1276000000,0,0,51500,51500,50000
2007-06-22,6.5,52500,2.5(5.00 %),73260,3804000000,0,0,52500,52500,49000
2007-06-25,6.5,52500,0(0.00 %),131830,6985000000,0,0,53000,53000,52500
2007-06-26,6.37,51500,-1(-1.90 %),21000,1092000000,0,0,52500,52500,51500
2007-06-27,6.19,50000,-1.5(-2.91 %),61200,3074000000,0,0,51500,51500,50000
2007-06-28,5.94,48000,-2(-4.00 %),25620,1232000000,0,0,48200,48200,48000
2007-06-29,5.82,47000,-1(-2.08 %),49960,2351000000,0,0,47500,47500,47000
2007-07-02,5.69,46000,-1(-2.13 %),25910,1217000000,0,0,48500,48500,46000
2007-07-03,5.41,43700,-2.3(-5.00 %),16550,723000000,0,0,43700,43700,43700
2007-07-04,5.57,45000,1.3(2.97 %),32610,1439000000,0,0,43700,45000,43700
2007-07-05,5.45,44000,-1(-2.22 %),10760,482000000,0,0,45000,45000,44000
2007-07-06,5.69,46000,2(4.55 %),32050,1469000000,0,0,44000,46000,44000
2007-07-09,5.78,46700,0.7(1.52 %),14980,704000000,0,0,47000,47000,46700
2007-07-10,6.06,49000,2.3(4.93 %),61090,2966000000,0,0,47000,49000,47000
2007-07-11,6.06,49000,0(0.00 %),42650,2095000000,0,0,49500,49500,49000
2007-07-12,5.77,46600,-2.4(-4.90 %),7110,333000000,0,0,47000,47000,46600
2007-07-13,5.68,45900,-0.7(-1.50 %),13360,609000000,0,0,45000,45900,45000
2007-07-16,5.66,45700,-0.2(-0.44 %),17000,781000000,0,0,46000,46000,45700
2007-07-17,5.74,46400,0.7(1.53 %),8170,376000000,0,0,45700,46400,45700
2007-07-18,5.69,46000,-0.4(-0.86 %),14210,660000000,0,0,47000,47000,46000
2007-07-19,5.69,46000,0(0.00 %),15830,728000000,0,0,46000,46000,46000
2007-07-20,5.94,48000,2(4.35 %),23760,1119000000,0,0,46200,48000,46200
2007-07-23,5.73,46300,-1.7(-3.54 %),14480,689000000,0,0,48500,48500,46300
2007-07-24,5.7,46100,-0.2(-0.43 %),9750,450000000,0,0,45300,46900,45300
2007-07-25,5.74,46400,0.3(0.65 %),10670,494000000,0,0,46100,46400,46100
2007-07-26,5.63,45500,-0.9(-1.94 %),17770,817000000,0,0,46500,46500,45500
2007-07-27,5.57,45000,-0.5(-1.10 %),13460,606000000,0,0,45500,45500,45000
2007-07-30,5.3,42800,-2.2(-4.89 %),19030,815000000,0,0,42800,44000,42800
2007-07-31,5.3,42800,0(0.00 %),6250,269000000,0,0,43500,43500,42500
2007-08-01,5.42,43800,1(2.34 %),4570,199000000,0,0,42000,43900,42000
2007-08-02,5.48,44300,0.5(1.14 %),4860,216000000,0,0,44900,44900,43000
2007-08-03,5.35,43200,-1.1(-2.48 %),4000,174000000,0,0,44300,44300,43200
2007-08-06,5.2,42000,-1.2(-2.78 %),7060,297000000,0,0,42000,42100,42000
2007-08-07,5.2,42000,0(0.00 %),6080,255000000,0,0,42000,42000,41900
2007-08-08,5.25,42400,0.4(0.95 %),2760,117000000,0,0,42000,42500,42000
2007-08-09,5.23,42300,-0.1(-0.24 %),6190,262000000,0,0,42400,42500,41000
2007-08-10,5.14,41500,-0.8(-1.89 %),2500,104000000,0,0,42300,42300,41500
2007-08-13,4.99,40300,-1.2(-2.89 %),9500,382000000,0,0,40200,40300,40200
2007-08-14,5.14,41500,1.2(2.98 %),7320,301000000,0,0,40500,41500,40500
2007-08-15,5.1,41200,-0.3(-0.72 %),7320,303000000,0,0,41500,41700,41100
2007-08-16,5.14,41500,0.3(0.73 %),8870,368000000,0,0,41500,41500,41100
2007-08-17,5.14,41500,0(0.00 %),8110,329000000,0,0,40200,41500,40200
2007-08-20,4.95,40000,-1.5(-3.61 %),13480,541000000,0,0,41000,41000,40000
2007-08-21,5.02,40600,0.6(1.50 %),6040,245000000,0,0,40000,41000,40000
2007-08-22,4.96,40100,-0.5(-1.23 %),3630,148000000,0,0,41000,41000,40100
2007-08-23,4.84,39100,-1(-2.49 %),10150,398000000,0,0,39000,40000,39000
2007-08-24,5.05,40800,1.7(4.35 %),20500,826000000,0,0,40000,40800,39500
2007-08-27,5.07,41000,0.2(0.49 %),33600,1370000000,0,0,40500,41900,40000
2007-08-28,5.06,40900,-0.1(-0.24 %),32500,1332000000,0,0,41000,41500,40500
2007-08-29,4.95,40000,-0.9(-2.20 %),14910,600000000,0,0,40500,40500,40000
2007-08-30,4.95,40000,0(0.00 %),6800,272000000,0,0,40500,40500,40000
