Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2024-01-15,18.23,19750,1.25(6.76 %),62000,1185000000,0,0,19000,19750,18650
2024-01-16,19.48,21100,1.35(6.84 %),35000,736000000,0,0,20000,21100,20000
2024-01-17,20.81,22550,1.45(6.87 %),28300,638000000,0,0,22550,22550,22500
2024-01-18,22.11,23950,1.4(6.21 %),112400,2680000000,0,0,24100,24100,22550
2024-01-19,20.58,22300,-1.65(-6.89 %),78200,1745000000,0,0,24000,24000,22300
2024-01-22,20.58,22300,0(0.00 %),20000,446000000,0,0,22300,22400,22300
2024-01-23,20.58,22300,0(0.00 %),47200,1052000000,0,0,22300,22500,22300
2024-01-24,20.58,22300,0(0.00 %),7100,158000000,0,0,22300,22400,21400
2024-01-25,20.58,22300,0(0.00 %),3200,71000000,0,0,21500,22300,21500
2024-01-26,20.58,22300,0(0.00 %),7600,169000000,0,0,22300,22300,22300
2024-01-29,20.58,22300,0(0.00 %),30100,671000000,0,0,22300,22300,22200
2024-01-30,20.31,22000,-0.3(-1.35 %),5600,123000000,0,0,22100,22150,22000
2024-01-31,19.85,21500,-0.5(-2.27 %),1000,21000000,0,0,21500,21500,21500
2024-02-01,20.77,22500,1(4.65 %),11100,251000000,0,0,21550,22950,21550
2024-02-02,20.77,22500,0(0.00 %),0,0,0,0,22500,22500,22500
2024-02-05,19.85,21500,-1(-4.44 %),600,13000000,0,0,22000,22000,21500
2024-02-06,19.94,21600,0.1(0.47 %),200,4000000,0,0,21600,21600,21600
2024-02-07,19.94,21600,0(0.00 %),500,10000000,0,0,21600,21600,21600
2024-02-15,20.03,21700,0.1(0.46 %),200,4000000,0,0,21600,21700,21600
2024-02-16,20.72,22450,0.75(3.46 %),1400,31000000,0,0,22000,22450,22000
2024-02-19,20.31,22000,-0.45(-2.00 %),15700,345000000,0,0,22450,22450,21900
2024-02-20,21.18,22950,0.95(4.32 %),79600,1813000000,0,0,22450,23000,22350
2024-02-21,21.18,22950,0(0.00 %),0,0,0,0,22950,22950,22950
2024-02-22,21.0,22750,-0.2(-0.87 %),200,4000000,0,0,22800,22800,22750
2024-02-23,20.86,22600,-0.15(-0.66 %),600,13000000,0,0,22100,22600,22100
2024-02-26,20.45,22150,-0.45(-1.99 %),1000,22000000,0,0,22000,22150,22000
2024-02-27,20.68,22400,0.25(1.13 %),12800,287000000,0,0,22500,22500,22400
2024-02-28,20.77,22500,0.1(0.45 %),17600,392000000,0,0,22500,22500,21600
2024-02-29,20.68,22400,-0.1(-0.44 %),1100,24000000,0,0,21800,22400,21800
2024-03-01,20.4,22100,-0.3(-1.34 %),14000,313000000,0,0,22400,22500,22100
2024-03-04,20.4,22100,0(0.00 %),8400,187000000,0,0,22500,22500,22000
2024-03-05,20.77,22500,0.4(1.81 %),19800,441000000,0,0,22150,22500,22150
2024-03-06,20.77,22500,0(0.00 %),0,0,0,0,22500,22500,22500
2024-03-07,20.77,22500,0.4(1.81 %),18600,417000000,0,0,22100,22600,22100
2024-03-08,20.49,22200,-0.3(-1.33 %),1000,22000000,0,0,22400,22400,22200
2024-03-11,20.54,22250,0.05(0.23 %),4700,104000000,0,0,22200,22300,22200
2024-03-12,20.77,22500,0.25(1.12 %),42400,953000000,0,0,22250,22500,22250
2024-03-13,21.23,23000,0.5(2.22 %),4100,92000000,0,0,22300,23000,22300
2024-03-14,20.86,22600,-0.4(-1.74 %),6600,148000000,0,0,22500,22600,22500
2024-03-15,20.95,22700,0.1(0.44 %),14200,321000000,0,0,22600,22800,22600
2024-03-18,20.86,22600,-0.1(-0.44 %),11300,258000000,0,0,23500,23500,22600
2024-03-19,20.77,22500,-0.1(-0.44 %),15200,336000000,0,0,22600,22600,21700
2024-03-20,20.86,22600,0.1(0.44 %),7700,174000000,0,0,22600,22700,22500
2024-03-21,20.86,22600,0(0.00 %),15500,351000000,0,0,22700,22700,22600
2024-03-22,20.77,22500,-0.1(-0.44 %),1600,36000000,0,0,22600,22700,22500
2024-03-25,20.49,22200,-0.3(-1.33 %),12100,269000000,0,0,22500,22500,22200
2024-03-26,20.58,22300,0.1(0.45 %),7700,171000000,0,0,22300,22300,22300
2024-03-27,20.63,22350,0.05(0.22 %),24800,557000000,0,0,22500,22500,22350
2024-03-28,20.95,22700,0.35(1.57 %),1100,24000000,0,0,22600,22700,22600
2024-03-29,21.05,22800,0.1(0.44 %),2000,45000000,0,0,22700,22800,22700
2024-04-01,20.86,22600,-0.2(-0.88 %),800,17000000,0,0,22300,22600,22300
2024-04-02,20.77,22500,-0.1(-0.44 %),600,13000000,0,0,22000,22500,22000
2024-04-03,20.72,22450,-0.05(-0.22 %),6800,152000000,0,0,22400,22500,22400
2024-04-04,20.72,22450,0(0.00 %),11100,249000000,0,0,22300,22500,22300
2024-04-05,20.95,22700,0.25(1.11 %),2700,61000000,0,0,22450,22700,22450
2024-04-08,20.86,22600,-0.1(-0.44 %),32600,735000000,0,0,22400,22700,22400
2024-04-09,20.72,22450,-0.15(-0.66 %),64900,1457000000,0,0,22600,22600,22400
2024-04-10,20.86,22600,0.15(0.67 %),13800,311000000,0,0,22450,22600,22450
2024-04-11,20.86,22600,0(0.00 %),11900,268000000,0,0,22650,22650,22600
2024-04-12,20.77,22500,-0.1(-0.44 %),27200,616000000,0,0,22600,22700,22500
2024-04-15,20.54,22250,-0.25(-1.11 %),6300,140000000,0,0,22500,22500,22250
2024-04-16,20.68,22400,0.15(0.67 %),2000,43000000,0,0,21550,22400,21550
2024-04-17,20.72,22450,0.05(0.22 %),18400,413000000,0,0,21000,22500,21000
2024-04-19,20.4,22100,-0.35(-1.56 %),10100,226000000,0,0,22450,22450,22100
2024-04-22,20.77,22500,0.4(1.81 %),5500,123000000,0,0,22400,22500,22400
2024-04-23,20.58,22300,-0.2(-0.89 %),500,11000000,0,0,22500,22500,22300
2024-04-24,20.68,22400,0.1(0.45 %),300,6000000,0,0,22400,22400,22400
2024-04-25,20.49,22200,-0.2(-0.89 %),17800,395000000,0,0,22200,22500,22200
2024-04-26,20.58,22300,0.1(0.45 %),400,8000000,0,0,22300,22300,22300
2024-05-02,20.77,22500,0.2(0.90 %),2100,47000000,0,0,22500,22500,22500
2024-05-03,20.77,22500,0(0.00 %),3000,67000000,0,0,22500,22500,22500
2024-05-06,20.86,22600,0.1(0.44 %),51400,1156000000,0,0,22500,22600,21950
2024-05-07,20.86,22600,0(0.00 %),16300,367000000,0,0,22500,22600,22500
2024-05-08,20.81,22550,-0.05(-0.22 %),2100,47000000,0,0,22550,22550,22550
2024-05-09,20.91,22650,0.1(0.44 %),22300,503000000,0,0,22600,22650,22550
2024-05-10,21.0,22750,0.1(0.44 %),17200,390000000,0,0,22650,22750,22650
2024-05-13,20.95,22700,-0.05(-0.22 %),2600,59000000,0,0,22750,22750,22700
2024-05-14,21.0,22750,0.05(0.22 %),6400,145000000,0,0,22750,22750,22750
2024-05-15,20.86,22600,-0.15(-0.66 %),5800,137000000,0,0,23000,24300,22600
2024-05-16,21.32,23100,0.5(2.21 %),110200,2648000000,0,0,22600,24150,22500
2024-05-17,21.41,23200,0.1(0.43 %),1400,32000000,0,0,23100,23200,23100
2024-05-20,20.95,22700,-0.5(-2.16 %),11500,267000000,0,0,23200,23700,22600
2024-05-21,20.86,22600,-0.1(-0.44 %),2000,45000000,0,0,22700,22700,22600
2024-05-22,20.95,22700,0.1(0.44 %),3800,85000000,0,0,22600,22700,22600
2024-05-23,20.95,22700,0(0.00 %),0,0,0,0,22700,22700,22700
2024-05-24,21.09,22850,0.15(0.66 %),2300,52000000,0,0,22800,23200,22800
2024-05-27,21.14,22900,0.05(0.22 %),2700,61000000,0,0,22850,22900,22850
2024-05-28,21.6,23400,0.5(2.18 %),5700,131000000,0,0,23000,23400,22900
2024-05-29,21.69,23500,0.1(0.43 %),3000,70000000,0,0,23500,23500,23500
2024-05-30,21.09,22850,-0.65(-2.77 %),800,18000000,0,0,22800,24150,22800
2024-05-31,21.51,23300,0.45(1.97 %),74600,1815000000,0,0,23300,24400,23300
2024-06-03,21.78,23600,0.3(1.29 %),800,18000000,0,0,23400,23600,23400
2024-06-04,21.78,23600,0(0.00 %),400,9000000,0,0,23400,23600,23400
2024-06-05,21.88,23700,0.1(0.42 %),200,4000000,0,0,23700,23700,23700
2024-06-06,21.97,23800,0.1(0.42 %),5100,122000000,0,0,24000,24150,23800
2024-06-07,22.06,23900,0.1(0.42 %),2800,68000000,0,0,25450,25450,23900
2024-06-10,22.34,24200,0.3(1.26 %),26900,643000000,0,0,23900,24200,23900
2024-06-11,22.8,24700,0.5(2.07 %),9400,231000000,0,0,24050,24700,24050
2024-06-12,23.26,25200,0.5(2.02 %),26000,655000000,0,0,24700,26200,24700
2024-06-13,22.85,24750,-0.45(-1.79 %),300,7000000,0,0,25200,25200,24750
2024-06-14,23.08,25000,0.25(1.01 %),1900,47000000,0,0,25000,25000,24800
2024-06-17,23.08,25000,0(0.00 %),200,5000000,0,0,25000,25000,25000
2024-06-18,24.69,26750,1.75(7.00 %),66500,1778000000,0,0,26700,26750,26700
2024-06-19,25.66,27800,1.05(3.93 %),26500,738000000,0,0,28600,28600,27000
2024-06-20,25.48,27600,-0.2(-0.72 %),29400,803000000,0,0,26000,29000,26000
2024-06-21,24.46,26500,-1.1(-3.99 %),8900,234000000,0,0,26100,27200,26000
2024-06-24,24.23,26250,-0.25(-0.94 %),10000,262000000,0,0,26000,26450,26000
2024-06-25,24.28,26300,0.05(0.19 %),6600,173000000,0,0,26250,26300,26000
2024-06-26,24.09,26100,-0.2(-0.76 %),1800,47000000,0,0,26000,27500,26000
2024-06-27,24.65,26700,0.6(2.30 %),55900,1481000000,0,0,26250,26700,26250
2024-06-28,24.65,26700,0(0.00 %),4300,114000000,0,0,26700,26700,26500
2024-07-01,24.18,26200,-0.5(-1.87 %),2400,62000000,0,0,26700,26700,25950
2024-07-02,24.09,26100,-0.1(-0.38 %),15800,411000000,0,0,26000,26500,26000
2024-07-03,24.51,26550,0.45(1.72 %),7900,207000000,0,0,26200,26550,26200
2024-07-04,24.46,26500,-0.05(-0.19 %),7700,203000000,0,0,26500,26500,26200
2024-07-05,24.18,26200,-0.3(-1.13 %),1400,37000000,0,0,26200,26600,26200
2024-07-08,24.46,26500,0.3(1.15 %),3000,78000000,0,0,26300,26500,26300
2024-07-09,24.55,26600,0.1(0.38 %),3800,101000000,0,0,26750,28300,26350
2024-07-10,26.12,28300,1.7(6.39 %),7800,219000000,0,0,28300,28450,26600
2024-07-11,24.65,26700,-1.6(-5.65 %),6700,178000000,0,0,26400,26700,26400
2024-07-12,24.65,26700,0(0.00 %),200,5000000,0,0,26700,26700,26700
2024-07-15,24.65,26700,0(0.00 %),19300,515000000,0,0,26500,26750,26500
2024-07-16,24.65,26700,0(0.00 %),300,8000000,0,0,26700,26700,26700
2024-07-17,24.65,26700,0(0.00 %),800,22000000,0,0,27650,28000,26700
2024-07-18,25.11,27200,0.5(1.87 %),3200,86000000,0,0,27000,27200,27000
2024-07-19,25.01,27100,-0.1(-0.37 %),400,11000000,0,0,28000,28000,27100
2024-07-22,24.65,26700,-0.4(-1.48 %),500,13000000,0,0,28500,28500,26700
2024-07-23,24.83,26900,0.2(0.75 %),7100,190000000,0,0,26000,27000,26000
2024-07-24,24.83,26900,0(0.00 %),300,8000000,0,0,26900,26900,26900
2024-07-25,24.65,26700,-0.2(-0.74 %),6700,177000000,0,0,26500,26900,26400
2024-07-26,24.74,26800,0.1(0.37 %),2000,53000000,0,0,26700,26800,26700
2024-07-29,24.46,26500,-0.3(-1.12 %),5500,146000000,0,0,26850,26850,26500
2024-07-30,24.46,26500,0(0.00 %),5500,145000000,0,0,26500,26500,26300
2024-07-31,24.46,26500,0(0.00 %),500,13000000,0,0,26500,26500,26500
2024-08-01,24.09,26100,-0.4(-1.51 %),3000,78000000,0,0,26500,26500,26100
2024-08-02,24.09,26100,0(0.00 %),0,0,0,0,26100,26100,26100
2024-08-05,25.01,27100,1(3.83 %),400,10000000,0,0,26100,27100,26100
2024-08-06,25.01,27100,0(0.00 %),0,0,0,0,27100,27100,27100
2024-08-07,24.55,26600,-0.5(-1.85 %),8300,220000000,0,0,26600,26600,26500
2024-08-08,24.09,26100,-0.5(-1.88 %),300,7000000,0,0,26500,26500,26100
2024-08-09,24.37,26400,0.3(1.15 %),39500,974000000,0,0,26400,26500,24300
2024-08-12,24.37,26400,0(0.00 %),0,0,0,0,26400,26400,26400
2024-08-13,24.09,26100,-0.3(-1.14 %),2100,54000000,0,0,26000,26100,26000
2024-08-14,24.09,26100,0(0.00 %),6100,158000000,0,0,26000,26100,26000
2024-08-15,24.0,26000,-0.1(-0.38 %),3300,86000000,0,0,26100,26100,26000
2024-08-16,24.0,26000,0(0.00 %),9000,234000000,0,0,26000,26000,26000
2024-08-19,24.09,26100,0.1(0.38 %),3600,98000000,0,0,27800,27800,26100
