Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2007-11-16,1.91,121000,-6(-4.72 %),248510,30070000000,0,0,121000,121000,121000
2007-11-19,1.81,115000,-6(-4.96 %),120480,13855000000,0,0,115000,115000,115000
2007-11-20,1.73,110000,-5(-4.35 %),58710,6458000000,50000,5500000000,110000,110000,110000
2007-11-21,1.8,114000,4(3.64 %),728080,78430000000,0,0,105000,114000,105000
2007-11-22,1.8,114000,0(0.00 %),266040,30283000000,30000,3420000000,114000,114000,110000
2007-11-23,1.73,110000,-4(-3.51 %),106370,11838000000,0,0,111000,114000,110000
2007-11-26,1.72,109000,-1(-0.91 %),135430,14684000000,0,0,108000,110000,107000
2007-11-27,1.65,105000,-4(-3.67 %),262120,27855000000,0,0,108000,108000,105000
2007-11-28,1.69,107000,2(1.90 %),131020,13983000000,0,0,106000,107000,106000
2007-11-29,1.69,107000,0(0.00 %),128110,13693000000,0,0,107000,108000,106000
2007-11-30,1.67,106000,-1(-0.93 %),114720,12131000000,0,0,106000,106000,105000
2007-12-03,1.67,106000,0(0.00 %),68710,7290000000,0,0,107000,107000,106000
2007-12-04,1.65,105000,-1(-0.94 %),125040,13181000000,0,0,105000,106000,105000
2007-12-05,1.64,104000,-1(-0.95 %),112160,11651000000,0,0,103000,105000,103000
2007-12-06,1.65,105000,1(0.96 %),76580,8091000000,0,0,107000,107000,104000
2007-12-07,1.61,102000,-3(-2.86 %),133400,13760000000,20000,2100000000,103000,105000,102000
2007-12-10,1.54,97500,-4.5(-4.41 %),156420,15458000000,0,0,100000,101000,97500
2007-12-11,1.47,93000,-4.5(-4.62 %),184520,17317000000,0,0,94500,96500,93000
2007-12-12,1.48,94000,1(1.08 %),307780,27758000000,0,0,88500,97000,88500
2007-12-13,1.43,90500,-3.5(-3.72 %),130410,11964000000,0,0,94000,94000,90000
2007-12-14,1.43,91000,0.5(0.55 %),81260,7377000000,0,0,90000,91500,90000
2007-12-17,1.43,90000,0(0.00 %),87220,7885000000,0,0,91000,91500,90000
2007-12-18,1.47,92500,2.5(2.78 %),104160,9527000000,365000,34493000000,90000,92500,89500
2007-12-19,1.55,97000,4.5(4.86 %),217360,20915000000,0,0,95000,97000,94000
2007-12-20,1.5,94000,-3(-3.09 %),105030,10022000000,0,0,97000,97500,93500
2007-12-21,1.5,94000,0(0.00 %),114130,10687000000,0,0,92500,96000,92500
2007-12-24,1.51,95000,1(1.06 %),166920,15832000000,0,0,95500,95500,94000
2007-12-25,1.5,94000,-1(-1.05 %),109460,10373000000,0,0,95000,95500,94000
2007-12-26,1.5,94000,0(0.00 %),157680,14703000000,0,0,91000,94000,91000
2007-12-27,1.5,94000,0(0.00 %),86100,8106000000,0,0,94000,95000,94000
2007-12-28,1.51,95000,1(1.06 %),81580,7716000000,0,0,94000,95000,94000
2008-01-02,1.52,95500,0.5(0.53 %),174750,16673000000,120000,10860000000,95000,96000,95000
2008-01-03,1.53,96000,0.5(0.52 %),172390,16583000000,0,0,96500,96500,96000
2008-01-04,1.55,97000,1(1.04 %),221230,21423000000,0,0,97000,97000,96000
2008-01-07,1.57,98500,1.5(1.55 %),434240,42502000000,0,0,98000,98500,97000
2008-01-08,1.64,103000,4.5(4.57 %),364540,36722000000,0,0,98500,103000,98500
2008-01-09,1.72,108000,5(4.85 %),595940,63198000000,0,0,103000,108000,99000
2008-01-10,1.71,107000,-1(-0.93 %),476150,50507000000,0,0,107000,107000,103000
2008-01-11,1.69,106000,-1(-0.93 %),467570,50037000000,0,0,106000,109000,105000
2008-01-14,1.69,106000,0(0.00 %),283070,30183000000,0,0,107000,107000,105000
2008-01-15,1.61,101000,-5(-4.72 %),306310,31229000000,0,0,104000,104000,101000
2008-01-16,1.67,105000,4(3.96 %),441980,46364000000,0,0,103000,106000,103000
2008-01-17,1.59,100000,-5(-4.76 %),158820,16209000000,0,0,104000,104000,100000
2008-01-18,1.63,102000,2(2.00 %),141170,14165000000,0,0,98000,102000,98000
2008-01-21,1.59,100000,-2(-1.96 %),71040,7125000000,0,0,101000,102000,100000
2008-01-22,1.55,97000,-3(-3.00 %),83260,8091000000,0,0,97000,98000,97000
2008-01-23,1.47,92500,-4.5(-4.64 %),119690,11155000000,126000,11655000000,96000,96000,92500
2008-01-24,1.48,93000,0.5(0.54 %),95130,9000000000,0,0,96000,96000,93000
2008-01-25,1.48,93000,0(0.00 %),82650,7690000000,0,0,92500,94000,92500
2008-01-28,1.49,93500,0.5(0.54 %),41020,3844000000,0,0,95000,95000,93000
2008-01-29,1.52,95500,2(2.14 %),120000,11375000000,0,0,94000,95500,94000
2008-01-30,1.59,100000,4.5(4.71 %),362700,36263000000,0,0,100000,100000,98000
2008-01-31,1.56,98000,-2(-2.00 %),82360,8000000000,0,0,95000,98000,95000
2008-02-01,1.61,101000,3(3.06 %),192380,19403000000,0,0,101000,101000,99000
2008-02-12,1.59,100000,-1(-0.99 %),104780,10523000000,0,0,102000,102000,99000
2008-02-13,1.55,97000,-3(-3.00 %),150700,14713000000,0,0,99000,99000,97000
2008-02-14,1.55,97500,0.5(0.52 %),102680,10010000000,0,0,97000,98000,97000
2008-02-15,1.55,97000,-0.5(-0.51 %),184330,17886000000,0,0,97000,97500,97000
2008-02-18,1.48,93000,-4(-4.12 %),209000,19376000000,0,0,92500,93500,92500
2008-02-19,1.47,92500,-0.5(-0.54 %),86310,7944000000,0,0,91000,93000,91000
2008-02-20,1.4,88000,-4.5(-4.86 %),92170,8305000000,0,0,92500,93000,88000
2008-02-21,1.34,84000,-4(-4.55 %),62400,5242000000,0,0,84000,84000,84000
2008-02-22,1.29,81000,-3(-3.57 %),233220,18716000000,0,0,80000,81000,80000
2008-02-25,1.35,85000,4(4.94 %),231520,19622000000,0,0,84000,85000,84000
2008-02-26,1.31,82000,-3(-3.53 %),250540,21064000000,0,0,85000,85000,82000
2008-02-27,1.32,83000,1(1.22 %),92710,7697000000,0,0,82000,84500,82000
2008-02-28,1.31,82500,-0.5(-0.60 %),50120,4156000000,0,0,84000,84000,82500
2008-02-29,1.28,80500,-2(-2.42 %),150350,12119000000,0,0,81500,82000,80000
2008-03-03,1.22,76500,-4(-4.97 %),201920,15451255000,0,0,76500,77000,76500
2008-03-04,1.16,73000,-3.5(-4.58 %),107190,7824870000,0,0,73000,73000,73000
2008-03-05,1.12,70500,-2.5(-3.42 %),280760,19592935000,0,0,69500,71000,69500
2008-03-06,1.18,74000,3.5(4.96 %),25170,1862580000,0,0,74000,74000,74000
2008-03-07,1.24,77500,3.5(4.73 %),428080,33176200000,0,0,77500,77500,77500
2008-03-10,1.29,81000,3.5(4.52 %),420740,34079940000,0,0,81000,81000,81000
2008-03-11,1.28,80500,-0.5(-0.62 %),240380,19625220000,0,0,83000,83000,80500
2008-03-12,1.31,82000,1.5(1.86 %),299590,24761830000,0,0,81000,84000,81000
2008-03-13,1.31,82500,0.5(0.61 %),153220,12621375000,0,0,83000,83000,81000
2008-03-14,1.29,81000,-1.5(-1.82 %),103180,8391020000,0,0,81000,82000,81000
2008-03-17,1.23,77000,-4(-4.94 %),136120,10540160000,0,0,78000,78500,77000
2008-03-18,1.17,73500,-3.5(-4.55 %),287080,21113385000,0,0,73500,74500,73500
2008-03-19,1.17,73500,0(0.00 %),179640,13619735000,0,0,77000,77000,73500
2008-03-20,1.16,72500,-1(-1.36 %),165210,12031315000,0,0,72500,75000,72500
2008-03-21,1.1,69000,-3.5(-4.83 %),269270,18800175000,0,0,72500,72500,69000
2008-03-24,1.05,66000,-3(-4.35 %),114000,7524000000,0,0,66000,66000,66000
2008-03-25,1.0,63000,-3(-4.55 %),38680,2436840000,0,0,63000,63000,63000
