Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2006-12-27,30.01,149000,7(4.93 %),550,81950,0,0,142000,149000,142000
2006-12-28,31.42,156000,7(4.70 %),1100,171600,0,0,149000,156000,149000
2006-12-29,32.82,163000,7(4.49 %),100,16300,0,0,163000,163000,163000
2007-01-02,34.44,171000,8(4.91 %),6650,1137000000,0,0,171000,171000,171000
2007-01-03,34.44,171000,0(0.00 %),71300,0,0,0,179000,179000,171000
2007-01-04,36.05,179000,8(4.68 %),55360,9808000000,0,0,179000,179000,175000
2007-01-05,37.66,187000,8(4.47 %),42440,0,0,0,187000,187000,187000
2007-01-08,39.47,196000,9(4.81 %),41830,3140000000,0,0,196000,196000,196000
2007-01-09,39.47,196000,0(0.00 %),20650,4047000000,0,0,196000,196000,196000
2007-01-10,41.13,198000,8(4.21 %),30380,5994000000,0,0,196000,198000,196000
2007-01-11,39.47,190000,-8(-4.04 %),36470,6997000000,0,0,198000,198000,190000
2007-01-12,39.47,190000,0(0.00 %),34650,6546000000,0,0,185000,190000,185000
2007-01-15,40.92,197000,7(3.68 %),78100,15464000000,0,0,199000,199000,197000
2007-01-16,40.92,197000,0(0.00 %),41890,8252000000,0,0,197000,197000,197000
2007-01-17,40.92,197000,0(0.00 %),39220,7748000000,0,0,197000,198000,197000
2007-01-18,40.51,195000,-2(-1.02 %),36620,7145000000,0,0,197000,197000,195000
2007-01-19,41.55,200000,5(2.56 %),51560,10270000000,0,0,199000,200000,199000
2007-01-22,41.34,199000,-1(-0.50 %),31810,6315000000,0,0,195000,199000,195000
2007-01-23,41.13,198000,-1(-0.50 %),24780,4925000000,0,0,199000,199000,198000
2007-01-24,41.55,200000,2(1.01 %),28660,5828000000,0,0,205000,205000,200000
2007-01-25,41.55,200000,0(0.00 %),13010,2590000000,0,0,198000,200000,198000
2007-01-26,43.62,210000,10(5.00 %),7460,1567000000,0,0,200000,210000,200000
2007-01-29,45.7,220000,10(4.76 %),3440,757000000,0,0,220000,220000,220000
2007-01-30,47.99,231000,11(5.00 %),1060,245000000,0,0,231000,231000,231000
2007-01-31,50.27,242000,11(4.76 %),2570,257000000,0,0,231000,242000,231000
2007-02-01,52.76,254000,12(4.96 %),6780,678000000,0,0,254000,254000,254000
2007-02-02,55.26,266000,12(4.72 %),3460,346000000,0,0,254000,266000,254000
2007-02-05,57.96,279000,13(4.89 %),7080,1922000000,0,0,279000,279000,270000
2007-02-06,60.66,292000,13(4.66 %),320,93000000,0,0,292000,292000,292000
