Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2007-11-14,24.62,61000,0.5(0.83 %),323550,19665000000,0,0,61000,62000,60000
2007-11-15,24.42,60500,-0.5(-0.82 %),110380,6752000000,0,0,61500,61500,60000
2007-11-16,23.41,58000,-2.5(-4.13 %),69590,4035000000,0,0,58000,60000,57500
2007-11-19,22.4,55500,-2.5(-4.31 %),128600,7191000000,0,0,57000,57000,55500
2007-11-20,21.39,53000,-2.5(-4.50 %),124510,6599000000,0,0,53000,53000,53000
2007-11-21,20.38,50500,-2.5(-4.72 %),66220,3344000000,0,0,50500,50500,50500
2007-11-22,20.38,50500,0(0.00 %),307810,15481000000,0,0,50000,52500,49500
2007-11-23,20.38,50500,0(0.00 %),117930,5962000000,0,0,50500,51000,50000
2007-11-26,20.38,50500,0(0.00 %),131840,6700000000,0,0,51000,51500,50500
2007-11-27,21.39,53000,2.5(4.95 %),173630,9149000000,135000,6480000000,52500,53000,52000
2007-11-28,20.99,52000,-1(-1.89 %),129050,6763000000,0,0,53000,53000,51000
2007-11-29,20.99,52000,0(0.00 %),32300,1691000000,0,0,52500,52500,52000
2007-11-30,20.99,52000,0(0.00 %),146220,7618000000,0,0,52000,52500,51500
2007-12-03,20.79,51500,-0.5(-0.96 %),115750,5994000000,0,0,52000,52000,51500
2007-12-04,20.79,51500,0(0.00 %),101940,5255000000,0,0,52000,52000,51000
2007-12-05,20.79,51500,0(0.00 %),80410,4126000000,0,0,51000,51500,51000
2007-12-06,20.38,50500,-1(-1.94 %),86110,4342000000,0,0,51000,51000,50000
2007-12-07,19.98,49500,-1(-1.98 %),102640,5080000000,0,0,49000,50500,49000
2007-12-10,19.38,48000,-1.5(-3.03 %),81510,3970000000,0,0,49500,49500,48000
2007-12-11,18.41,45600,-2.4(-5.00 %),111790,5160000000,0,0,48000,48000,45600
2007-12-12,18.77,46500,0.9(1.97 %),94610,4408000000,0,0,46000,47000,46000
2007-12-13,18.61,46100,-0.4(-0.86 %),31540,1469000000,0,0,47000,47000,46000
2007-12-14,18.16,45000,-1.1(-2.39 %),59950,2719000000,0,0,45000,46100,45000
2007-12-17,18.16,45000,0(0.00 %),102050,4619000000,21000,899000000,45500,45700,45000
2007-12-18,17.76,44000,-1(-2.22 %),156700,6980000000,0,0,45000,45200,43500
2007-12-19,18.65,46200,2.2(5.00 %),35100,1604000000,0,0,45000,46200,45000
2007-12-20,18.57,46000,-0.2(-0.43 %),100600,4710000000,0,0,47600,47600,46000
2007-12-21,18.89,46800,0.8(1.74 %),24860,1159000000,0,0,46800,46800,46000
2007-12-24,18.97,47000,0.2(0.43 %),45410,2128000000,0,0,46800,47200,46500
2007-12-25,18.77,46500,-0.5(-1.06 %),56300,2600000000,0,0,46000,47200,46000
2007-12-26,18.77,46500,0(0.00 %),19470,908000000,0,0,46500,47000,46500
2007-12-27,18.69,46300,-0.2(-0.43 %),35080,1634000000,0,0,47000,47000,46300
2007-12-28,18.69,46300,0(0.00 %),34050,1581000000,0,0,46500,46900,46000
2008-01-02,18.57,46000,-0.3(-0.65 %),20130,928000000,0,0,46400,46400,46000
2008-01-03,17.88,44300,-1.7(-3.70 %),38080,1690000000,0,0,44200,45000,44200
2008-01-04,17.76,44000,-0.3(-0.68 %),29970,1319000000,0,0,44000,44300,44000
2008-01-07,16.95,42000,-2(-4.55 %),38220,1615000000,0,0,42700,42700,42000
2008-01-08,16.71,41400,-0.6(-1.43 %),41160,1722000000,0,0,42000,42500,41400
2008-01-09,16.15,40000,-1.4(-3.38 %),45410,1822000000,0,0,40500,40500,40000
2008-01-10,15.34,38000,-2(-5.00 %),58250,2215000000,0,0,38000,38200,38000
2008-01-11,15.94,39500,1.5(3.95 %),36600,1405000000,0,0,37000,39700,37000
2008-01-14,15.18,37600,-1.9(-4.81 %),30090,1148000000,0,0,39000,39000,37600
2008-01-15,14.45,35800,-1.8(-4.79 %),58230,2087000000,0,0,35900,36000,35800
2008-01-16,15.14,37500,1.7(4.75 %),86890,3245000000,0,0,37100,37500,36000
2008-01-17,14.53,36000,-1.5(-4.00 %),85970,3261000000,0,0,39300,39300,36000
2008-01-18,15.06,37300,1.3(3.61 %),46130,1667000000,0,0,36000,37300,35000
2008-01-21,14.94,37000,-0.3(-0.80 %),40150,1488000000,0,0,37300,37300,37000
2008-01-22,14.53,36000,-1(-2.70 %),24800,894000000,0,0,36000,36500,36000
