Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2017-06-16,6.76,19300,-3.2(-14.22 %),53650,1047930000,0,0,22000,22000,19200
2017-06-19,6.93,19800,0.3(1.54 %),17497,342535900,0,0,19400,19800,19400
2017-06-20,6.97,19900,0.3(1.53 %),7811,154925600,0,0,19700,19900,19700
2017-06-21,7.0,20000,0.2(1.01 %),10550,219070000,0,0,19900,20900,19900
2017-06-22,7.35,21000,0.2(0.96 %),11710,233000000,0,0,20200,21000,19600
2017-06-23,7.07,20200,0.3(1.51 %),48400,976850000,0,0,20000,20500,20000
2017-06-26,7.18,20500,0.3(1.49 %),37100,758960000,0,0,20500,20500,20200
2017-06-27,7.39,21100,0.6(2.93 %),20203,423015500,0,0,20600,21100,20600
2017-06-28,7.35,21000,0.1(0.48 %),29058,596992600,0,0,21200,21200,19800
2017-06-29,7.42,21200,0.7(3.41 %),25900,549770000,2873,50277500,21100,21300,21100
2017-06-30,7.42,21200,0(0.00 %),26500,550510000,1768,32000800,20200,21300,20200
2017-07-03,7.32,20900,0.1(0.48 %),13360,279130000,0,0,20200,21000,20200
2017-07-04,7.25,20700,-0.2(-0.96 %),3300,68000000,0,0,20600,20700,20600
2017-07-05,7.18,20500,-0.1(-0.49 %),3400,69750000,4000,81600000,20500,21000,20500
2017-07-06,7.28,20800,0.3(1.46 %),13800,285420000,1455,29121400,20800,20800,20600
2017-07-07,7.18,20500,-0.2(-0.97 %),2082,42561500,0,0,20500,20500,20500
2017-07-10,7.0,20000,-0.5(-2.44 %),4600,93150000,0,0,20500,20500,20000
2017-07-11,6.9,19700,-0.6(-2.96 %),9700,191950000,91,1574300,19500,19900,19500
2017-07-12,6.93,19800,0(0.00 %),1000,19800000,0,0,19800,19800,19800
2017-07-13,6.93,19800,0(0.00 %),6300,125470000,38,642200,19700,20000,19700
2017-07-14,6.83,19500,-0.4(-2.01 %),8566,168350800,0,0,19700,19800,19300
2017-07-17,6.93,19800,0.1(0.51 %),7000,138000000,0,0,19500,19800,19500
2017-07-18,7.14,20400,0.7(3.55 %),967,18806000,200,3880000,19400,20400,19400
2017-07-19,6.93,19800,0.2(1.02 %),5349,104931000,207,3911600,19500,19800,19000
2017-07-20,6.86,19600,0(0.00 %),0,0,0,0,19600,19600,19600
2017-07-21,6.9,19700,0.1(0.51 %),2227,43776400,0,0,19500,19700,19500
2017-07-24,6.69,19100,-0.6(-3.05 %),4043,77644100,49552,832473600,19700,19700,19000
2017-07-25,6.58,18800,-0.4(-2.08 %),4200,79750000,0,0,19100,19100,18800
2017-07-26,6.58,18800,-0.2(-1.05 %),11600,216390000,0,0,18600,18900,18600
2017-07-27,6.44,18400,-0.3(-1.60 %),9109,169416500,0,0,18700,18700,18400
2017-07-28,6.41,18300,-0.3(-1.61 %),6300,115650000,0,0,18300,18500,18300
2017-07-31,6.44,18400,0(0.00 %),3815,70019900,0,0,18200,18400,18200
2017-08-01,6.48,18500,0.1(0.54 %),1961,36014100,0,0,18400,18500,18300
2017-08-02,6.3,18000,-0.4(-2.17 %),200,3600000,0,0,18000,18000,18000
2017-08-03,6.3,18000,0(0.00 %),1227,22080600,0,0,18000,18000,18000
2017-08-04,6.44,18400,0.4(2.22 %),13301,235667600,0,0,18500,18500,17000
2017-08-07,6.27,17900,0.2(1.13 %),7500,130880000,0,0,17500,17900,17400
2017-08-08,6.16,17600,0.1(0.57 %),12696,218942000,0,0,17400,17600,17100
2017-08-09,6.09,17400,0.2(1.16 %),13651,233457000,0,0,17100,17400,17100
2017-08-10,6.02,17200,0.1(0.58 %),17199,286473200,0,0,17000,17200,16500
2017-08-11,5.88,16800,0.1(0.60 %),27482,443814400,0,0,16300,16800,16000
2017-08-14,5.88,16800,0.6(3.70 %),16500,273150000,0,0,16500,16800,16500
2017-08-15,5.81,16600,0(0.00 %),0,0,0,0,16600,16600,16600
2017-08-16,5.64,16100,-0.5(-3.01 %),2000,32200000,0,0,16100,16100,16100
2017-08-17,5.64,16100,0(0.00 %),0,0,0,0,16100,16100,16100
2017-08-18,5.71,16300,0.2(1.24 %),7100,115530000,0,0,16200,16300,16200
2017-08-21,5.71,16300,0(0.00 %),40,640000,0,0,16300,16300,16300
2017-08-22,5.71,16300,0(0.00 %),400,6510000,0,0,16200,16300,16200
2017-08-23,5.71,16300,0(0.00 %),0,0,0,0,16300,16300,16300
2017-08-24,5.71,16300,0(0.00 %),4000,65180000,0,0,16300,16300,16200
2017-08-25,5.78,16500,0.2(1.23 %),6000,98800000,0,0,16400,16500,16400
2017-08-28,5.81,16600,0.1(0.61 %),5200,86320000,0,0,16600,16600,16600
2017-08-29,5.85,16700,0.1(0.60 %),200,3350000,0,0,16800,16800,16700
