Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2011-01-11,3.59,24000,0.5(2.13 %),160,3600000,0,0,22400,24000,22400
2011-01-12,3.59,24000,0(0.00 %),0,0,0,0,24000,24000,24000
2011-01-13,3.59,24000,0(0.00 %),0,0,0,0,24000,24000,24000
2011-01-14,3.59,24000,0(0.00 %),0,0,0,0,24000,24000,24000
2011-01-17,3.59,24000,0(0.00 %),0,0,0,0,24000,24000,24000
2011-01-18,3.59,24000,0(0.00 %),0,0,0,0,24000,24000,24000
2011-01-19,3.59,24000,0(0.00 %),0,0,0,0,24000,24000,24000
2011-01-20,3.41,22800,-1.2(-5.00 %),10,228000,0,0,22800,22800,22800
2011-01-21,3.25,21700,-1.1(-4.82 %),10,217000,0,0,21700,21700,21700
2011-01-24,3.4,22700,1(4.61 %),6180,140286000,0,0,22700,22700,22700
2011-01-25,3.23,21600,-1.1(-4.85 %),10,216000,0,0,21600,21600,21600
2011-01-26,3.08,20600,-1(-4.63 %),10,206000,0,0,20600,20600,20600
2011-01-27,3.08,20600,0(0.00 %),0,0,0,0,20600,20600,20600
2011-01-28,3.08,20600,0(0.00 %),0,0,0,0,20600,20600,20600
2011-02-08,2.93,19600,-1(-4.85 %),20,392000,0,0,19600,19600,19600
2011-02-09,2.8,18700,-0.9(-4.59 %),10,187000,0,0,18700,18700,18700
2011-02-10,2.77,18500,-0.2(-1.07 %),100,1850000,0,0,18500,18500,18500
2011-02-11,2.63,17600,-0.9(-4.86 %),10,176000,0,0,17600,17600,17600
2011-02-14,2.63,17600,0(0.00 %),0,0,0,0,17600,17600,17600
2011-02-15,2.51,16800,-0.8(-4.55 %),100,1680000,0,0,16800,16800,16800
2011-02-16,2.4,16000,-0.8(-4.76 %),100,1600000,0,0,16000,16000,16000
2011-02-17,2.4,16000,0(0.00 %),0,0,0,0,16000,16000,16000
2011-02-18,2.28,15200,-0.8(-5.00 %),110,1672000,0,0,15200,15200,15200
2011-02-21,2.37,15800,0.6(3.95 %),10,158000,0,0,15800,15800,15800
2011-02-22,2.37,15800,0(0.00 %),10,158000,0,0,15800,15800,15800
2011-02-23,2.47,16500,0.7(4.43 %),10,165000,0,0,16500,16500,16500
2011-02-24,2.59,17300,0.8(4.85 %),10,173000,0,0,17300,17300,17300
2011-02-25,2.66,17800,0.5(2.89 %),10,178000,0,0,17800,17800,17800
2011-02-28,2.75,18400,0.6(3.37 %),10,184000,0,0,18400,18400,18400
2011-03-01,2.75,18400,0(0.00 %),0,0,0,0,18400,18400,18400
2011-03-02,2.75,18400,0(0.00 %),0,0,0,0,18400,18400,18400
2011-03-03,2.75,18400,0(0.00 %),0,0,0,0,18400,18400,18400
2011-03-04,2.75,18400,0(0.00 %),0,0,0,0,18400,18400,18400
2011-03-07,2.75,18400,0(0.00 %),0,0,0,0,18400,18400,18400
2011-03-08,2.62,17500,-0.9(-4.89 %),10,175000,0,0,17500,17500,17500
2011-03-09,2.5,16700,-0.8(-4.57 %),10,167000,0,0,16700,16700,16700
2011-03-10,2.5,16700,0(0.00 %),0,0,0,0,16700,16700,16700
2011-03-11,2.38,15900,-0.8(-4.79 %),20,334000,0,0,17500,17500,15900
2011-03-14,2.38,15900,0(0.00 %),0,0,0,0,15900,15900,15900
2011-03-15,2.28,15200,-0.7(-4.40 %),10,152000,0,0,15200,15200,15200
2011-03-16,2.17,14500,-0.7(-4.61 %),1000,14500000,0,0,14500,14500,14500
2011-03-17,2.17,14500,0(0.00 %),0,0,0,0,14500,14500,14500
2011-03-18,2.07,13800,-0.7(-4.83 %),10,138000,0,0,13800,13800,13800
2011-03-21,2.16,14400,0.6(4.35 %),10,144000,0,0,14400,14400,14400
2011-03-22,2.16,14400,0(0.00 %),0,0,0,0,14400,14400,14400
2011-03-23,2.07,13800,-0.6(-4.17 %),60,839000,0,0,14900,14900,13800
2011-03-24,2.1,14000,0.2(1.45 %),10,140000,0,0,14000,14000,14000
