Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2018-11-13,6.93,29900,1.95(6.98 %),256400,7666000000,0,0,29900,29900,29900
2018-11-14,7.0,30200,0.3(1.00 %),332170,9891000000,0,0,30000,31500,28700
2018-11-15,7.05,30400,0.2(0.66 %),214090,6418000000,0,0,28600,30600,28600
2018-11-16,7.05,30400,0(0.00 %),274160,8372000000,0,0,29500,31000,29500
2018-11-19,7.07,30500,0.1(0.33 %),241150,7303000000,0,0,30200,30500,29300
2018-11-20,6.84,29500,-1(-3.28 %),130070,3866000000,0,0,30500,30500,29500
2018-11-21,6.72,29000,-0.5(-1.69 %),119290,3497000000,0,0,29500,29600,29000
2018-11-22,6.84,29500,0.5(1.72 %),192500,5616000000,0,0,29700,29700,28100
2018-11-23,6.75,29100,-0.4(-1.36 %),152850,4501000000,0,0,29500,29800,29000
2018-11-26,6.95,30000,0.9(3.09 %),209270,6274000000,0,0,29850,30200,29500
2018-11-27,7.0,30200,0.2(0.67 %),265630,7988000000,0,0,30000,30200,29700
2018-11-28,7.0,30200,0(0.00 %),457020,13816000000,0,0,30000,30350,29700
2018-11-29,7.0,30200,0(0.00 %),322000,9710000000,0,0,30000,30300,29750
2018-11-30,7.04,28100,0.14(0.56 %),116870,2974000000,0,0,28100,28100,28100
2018-12-03,7.1,25300,0.2(0.80 %),193120,4893000000,0,0,25100,25650,25100
2018-12-04,6.82,24300,-1(-3.95 %),177060,4320000000,0,0,24500,24750,24000
2018-12-05,6.68,23800,-0.5(-2.06 %),230920,5521000000,0,0,24000,24200,23500
2018-12-06,6.87,24500,0.7(2.94 %),238730,5783000000,0,0,23500,24500,23500
2018-12-07,6.79,24200,-0.3(-1.22 %),137610,3314000000,0,0,23800,24600,23500
2018-12-10,6.65,23700,-0.5(-2.07 %),96290,2294000000,0,0,23750,24250,23400
2018-12-11,6.65,23700,0(0.00 %),87890,2081000000,0,0,23700,23900,23300
2018-12-12,6.66,23750,0.05(0.21 %),100300,2372000000,0,0,23650,23850,23400
2018-12-13,6.59,23500,-0.25(-1.05 %),82280,1937000000,0,0,23600,23800,23300
2018-12-14,6.45,23000,-0.5(-2.13 %),34080,796000000,0,0,23450,23450,23000
2018-12-17,6.42,22900,-0.1(-0.43 %),12810,295000000,0,0,23000,23100,22650
2018-12-18,6.0,21400,-1.5(-6.55 %),17080,372000000,0,0,21400,22850,21400
2018-12-19,6.0,21400,0(0.00 %),13640,293000000,0,0,22000,22000,21000
2018-12-20,6.03,21500,0.1(0.47 %),9800,211000000,0,0,21900,21900,20200
2018-12-21,6.45,23000,1.5(6.98 %),199450,4539000000,0,0,21700,23000,20700
2018-12-24,6.7,23900,0.9(3.91 %),34740,840000000,0,0,24500,24500,23000
2018-12-25,6.63,23650,-0.25(-1.05 %),23060,534000000,0,0,23900,23900,23000
