Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2006-01-06,2.82,17300,0.3(1.76 %),4210,72598,0,0,17200,17300,17200
2006-01-09,2.77,17000,-0.3(-1.73 %),11320,192440,0,0,17000,17000,17000
2006-01-10,2.75,16900,-0.1(-0.59 %),12090,204321,0,0,16900,16900,16900
2006-01-11,2.65,16300,-0.6(-3.55 %),10830,180839,0,0,16800,16800,16300
2006-01-12,2.57,15800,-0.5(-3.07 %),32920,523418,0,0,16000,16000,15800
2006-01-13,2.6,16000,0.2(1.27 %),3050,48800,0,0,16000,16000,16000
2006-01-17,2.6,16000,0(0.00 %),8190,131040,0,0,16000,16000,16000
2006-01-18,2.6,16000,0(0.00 %),7050,112800,0,0,16000,16000,16000
2006-01-19,2.56,15700,-0.3(-1.88 %),10850,171205,0,0,15900,15900,15700
2006-01-20,2.54,15600,-0.1(-0.64 %),15660,244296,0,0,15700,15700,15600
2006-01-23,2.49,15300,-0.3(-1.92 %),25090,384382,0,0,15400,15400,15300
2006-01-24,2.57,15800,0.5(3.27 %),3200,50560,0,0,15800,15800,15800
2006-01-25,2.64,16200,0.4(2.53 %),10,162,0,0,15800,16200,15800
2006-01-26,2.6,16000,-0.2(-1.23 %),950,15205,0,0,16100,16100,16000
2006-01-27,2.65,16300,0.3(1.88 %),200,3240,0,0,16100,16300,16100
2006-02-06,2.65,16300,0(0.00 %),5940,96822,0,0,16300,16300,16300
2006-02-07,2.6,16000,-0.3(-1.84 %),4500,72000,0,0,16000,16000,16000
2006-02-08,2.6,16000,0(0.00 %),7560,120960,0,0,16000,16000,16000
2006-02-09,2.6,16000,0(0.00 %),13500,216000,0,0,16000,16000,16000
2006-02-10,2.62,16100,0.1(0.62 %),7010,112639,0,0,16000,16100,16000
2006-02-13,2.6,16000,-0.1(-0.62 %),4100,65600,0,0,16000,16000,16000
2006-02-14,2.6,16000,0(0.00 %),1800,28800,0,0,16000,16000,16000
2006-02-15,2.62,16100,0.1(0.62 %),6900,111090,0,0,16000,16100,16000
2006-02-16,2.62,16100,0(0.00 %),10550,169855,0,0,16100,16100,16100
2006-02-17,2.6,16000,-0.1(-0.62 %),26370,422930,0,0,16100,16100,16000
2006-02-20,2.6,16000,0(0.00 %),3700,59200,0,0,16000,16000,16000
2006-02-21,2.62,16100,0.1(0.62 %),28660,461426,0,0,16100,16100,16100
2006-02-22,2.62,16100,0(0.00 %),9200,148540,0,0,16300,16300,16100
2006-02-23,2.64,16200,0.1(0.62 %),15460,250012,0,0,16100,16200,16100
2006-02-24,2.7,16600,0.4(2.47 %),16950,278868,0,0,16300,16600,16300
2006-02-27,2.82,17300,0.7(4.22 %),30870,532860,0,0,17000,17300,17000
2006-02-28,2.95,18100,0.8(4.62 %),23390,423359,0,0,18100,18100,18100
