Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2010-05-27,5.27,20000,0(0.00 %),0,0,0,0,20000,20000,20000
2010-05-28,5.27,20000,0(0.00 %),0,0,0,0,20000,20000,20000
2010-05-31,5.27,20000,0(0.00 %),0,0,0,0,20000,20000,20000
2010-06-01,5.27,20000,0(0.00 %),0,0,0,0,20000,20000,20000
2010-06-02,5.27,20000,0(0.00 %),0,0,0,0,20000,20000,20000
2010-06-03,5.27,20000,0(0.00 %),0,0,0,0,20000,20000,20000
2010-06-04,5.27,20000,0(0.00 %),0,0,0,0,20000,20000,20000
2010-06-07,5.27,20000,0(0.00 %),0,0,0,0,20000,20000,20000
2010-06-08,5.27,20000,0(0.00 %),0,0,25000,550000000,20000,20000,20000
2010-06-09,5.27,20000,0(0.00 %),0,0,0,0,20000,20000,20000
2010-06-10,5.27,20000,0(0.00 %),0,0,0,0,20000,20000,20000
2010-06-11,5.27,20000,0(0.00 %),0,0,0,0,20000,20000,20000
2010-06-14,5.27,20000,0(0.00 %),0,0,0,0,20000,20000,20000
2010-06-15,5.27,20000,0(0.00 %),0,0,0,0,20000,20000,20000
2010-06-16,5.27,20000,0(0.00 %),0,0,0,0,20000,20000,20000
2010-06-17,5.27,20000,0(0.00 %),0,0,0,0,20000,20000,20000
2010-06-18,5.27,20000,0(0.00 %),0,0,0,0,20000,20000,20000
2010-06-21,5.27,20000,0(0.00 %),0,0,0,0,20000,20000,20000
2010-06-22,5.27,20000,0(0.00 %),0,0,0,0,20000,20000,20000
2010-06-23,5.27,20000,0(0.00 %),0,0,0,0,20000,20000,20000
2010-06-24,5.27,20000,0(0.00 %),0,0,0,0,20000,20000,20000
2010-06-25,5.27,20000,0(0.00 %),0,0,0,0,20000,20000,20000
2010-06-28,5.27,20000,0(0.00 %),0,0,0,0,20000,20000,20000
2010-06-29,5.27,20000,0(0.00 %),0,0,0,0,20000,20000,20000
2010-06-30,5.27,20000,0(0.00 %),0,0,0,0,20000,20000,20000
2010-07-01,5.27,20000,0(0.00 %),0,0,0,0,20000,20000,20000
2010-07-02,5.27,20000,0(0.00 %),0,0,0,0,20000,20000,20000
2010-07-05,5.79,21400,2(10.00 %),1500,33000000,0,0,20000,21400,20000
2010-07-06,5.79,22000,0(0.00 %),0,0,0,0,22000,22000,22000
2010-07-07,5.79,22000,0(0.00 %),0,0,0,0,22000,22000,22000
2010-07-08,6.37,23550,2.2(10.00 %),1000,24200000,0,0,22000,23550,22000
2010-07-09,7.0,25900,2.4(9.92 %),2000,53200000,0,0,24200,25900,24200
2010-07-12,7.69,28450,2.6(9.77 %),1000,29200000,0,0,26600,28450,26600
2010-07-13,7.69,29200,0(0.00 %),0,0,0,0,29200,29200,29200
2010-07-14,7.69,29200,0(0.00 %),0,0,0,0,29200,29200,29200
2010-07-15,8.45,31250,2.9(9.93 %),1781,57170100,0,0,29200,31250,29200
2010-07-16,9.3,34350,3.2(9.97 %),10000,353000000,3316,95832400,32100,34350,32100
2010-07-19,9.3,35300,0(0.00 %),0,0,0,0,35300,35300,35300
2010-07-20,11.22,37750,3.8(9.79 %),20200,860520000,0,0,37750,37750,37750
2010-07-21,12.32,45600,4.2(9.86 %),2400,112320000,0,0,45600,45600,45600
2010-07-22,11.32,43500,-3.8(-8.12 %),6600,285980000,15000,633000000,46800,46800,43500
2010-07-23,10.66,40500,-2.8(-6.47 %),5100,202200000,0,0,42000,42000,40000
2010-07-26,10.66,40500,0.9(2.27 %),0,0,0,0,39600,40500,39600
2010-07-27,9.4,37650,-3.9(-9.85 %),3000,107430000,0,0,37650,37650,37650
2010-07-28,9.22,35000,-0.8(-2.23 %),2000,70000000,0,0,35000,35000,35000
