Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2019-02-27,7.47,18600,-1.4(-7.00 %),19140,357000000,0,0,18700,19000,18600
2019-02-28,6.95,17300,-1.3(-6.99 %),1390,24000000,0,0,17300,17300,17300
2019-03-01,6.46,16100,-1.2(-6.94 %),26370,425000000,0,0,16100,17000,16100
2019-03-04,6.18,15400,-0.7(-4.35 %),5050,78000000,0,0,15200,16500,15200
2019-03-05,6.6,16450,1.05(6.82 %),17170,271000000,0,0,16000,16450,15300
2019-03-06,7.07,17600,1.15(6.99 %),6980,123000000,0,0,17400,17600,17400
2019-03-07,7.43,18500,0.9(5.11 %),6820,127000000,0,0,17950,18800,17950
2019-03-08,7.41,18450,-0.05(-0.27 %),2770,49000000,0,0,18700,18700,17500
2019-03-11,7.35,18300,-0.15(-0.81 %),6880,119000000,0,0,18300,18300,17200
2019-03-12,7.31,18200,-0.1(-0.55 %),4000,72000000,0,0,18000,18200,18000
2019-03-13,6.95,17300,-0.9(-4.95 %),8170,144000000,0,0,17050,18000,17000
2019-03-14,6.83,17000,-0.3(-1.73 %),18170,315000000,0,0,17500,17800,17000
2019-03-15,7.01,17450,0.45(2.65 %),2790,48000000,0,0,17000,17600,17000
2019-03-18,7.31,18200,0.75(4.30 %),17230,302000000,0,0,17000,18650,17000
2019-03-19,7.29,18150,-0.05(-0.27 %),1730,31000000,0,0,18200,18200,17700
2019-03-20,7.63,19000,0.85(4.68 %),3200,59000000,0,0,18250,19400,18000
2019-03-21,7.63,19000,0(0.00 %),4070,77000000,0,0,19000,19400,19000
2019-03-22,7.67,19100,0.1(0.53 %),5650,108000000,0,0,19000,20000,19000
2019-03-25,7.23,18000,-1.1(-5.76 %),2900,52000000,0,0,18100,19100,17900
2019-03-26,7.55,18800,0.8(4.44 %),940,17000000,0,0,19000,19000,18500
2019-03-27,7.43,18500,-0.3(-1.60 %),410,7000000,0,0,18000,18800,18000
2019-03-28,7.23,18000,-0.5(-2.70 %),1550,28000000,0,0,19000,19000,18000
2019-03-29,7.55,18800,0.8(4.44 %),10,0,0,0,18800,18800,18800
2019-04-01,7.35,18300,-0.5(-2.66 %),10340,186000000,0,0,18300,18800,18000
2019-04-02,7.35,18300,0(0.00 %),150,3000000,0,0,18300,18300,18300
2019-04-03,7.35,18300,0(0.00 %),8530,146000000,0,0,18500,18500,17050
2019-04-04,6.97,17350,-0.95(-5.19 %),8710,151000000,0,0,18500,18600,17100
