Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2018-12-03,14.83,20000,1.3(6.95 %),5000,100000000,552000,9604800000,20000,20000,20000
2018-12-04,15.87,21400,1.4(7.00 %),5010,107000000,0,0,21400,21400,21400
2018-12-05,16.94,22850,1.45(6.78 %),6010,137000000,0,0,22850,22850,22850
2018-12-06,18.09,24400,1.55(6.78 %),873940,21323000000,0,0,24400,24400,24350
2018-12-07,18.95,25550,1.15(4.71 %),538490,13988000000,0,0,25900,26100,25550
2018-12-10,18.54,25000,-0.55(-2.15 %),287480,7342000000,600000,15600000000,25550,25850,25000
2018-12-11,17.24,23250,-1.75(-7.00 %),107180,2492000000,0,0,23250,23250,23250
2018-12-12,16.05,21650,-1.6(-6.88 %),167420,3625000000,0,0,21650,21650,21650
2018-12-13,16.09,21700,0.05(0.23 %),737670,15156000000,0,0,20150,21700,20150
2018-12-14,15.09,20350,-1.35(-6.22 %),243280,5050000000,0,0,21000,21250,20250
2018-12-17,15.16,20450,0.1(0.49 %),362200,7299000000,0,0,20000,20450,20000
2018-12-18,15.05,20300,-0.15(-0.73 %),72290,1461000000,0,0,20200,20300,20100
2018-12-19,14.9,20100,-0.2(-0.99 %),130760,2629000000,0,0,20300,20300,19950
2018-12-20,14.94,20150,0.05(0.25 %),76100,1525000000,0,0,20050,20150,19900
2018-12-21,15.02,20250,0.1(0.50 %),151320,3010000000,0,0,20150,20250,19400
2018-12-24,15.02,20250,0(0.00 %),106900,2151000000,0,0,20000,20250,20000
2018-12-25,14.83,20000,-0.25(-1.23 %),92760,1856000000,0,0,20150,20150,19900
2018-12-26,15.16,20450,0.45(2.25 %),155870,3154000000,0,0,20000,20450,20000
2018-12-27,15.13,20400,-0.05(-0.24 %),90770,1857000000,0,0,20400,20550,20400
2018-12-28,16.05,21650,1.25(6.13 %),528250,11045000000,640000,13440000000,20400,21700,20250
2019-01-02,16.57,22350,0.7(3.23 %),359700,7906000000,0,0,22350,22350,21650
2019-01-03,15.87,21400,-0.95(-4.25 %),494820,11065000000,0,0,22350,22700,21400
2019-01-04,14.79,19950,-1.45(-6.78 %),356920,7148000000,0,0,19950,20300,19950
2019-01-07,14.9,20100,0.15(0.75 %),175560,3498000000,0,0,19950,20100,19700
2019-01-08,14.87,20050,-0.05(-0.25 %),71340,1426000000,0,0,20100,20100,19900
2019-01-09,14.9,20100,0.05(0.25 %),95960,1924000000,0,0,20000,20100,19900
2019-01-10,14.83,20000,-0.1(-0.50 %),116970,2337000000,0,0,20100,20100,19850
2019-01-11,14.87,20050,0.05(0.25 %),91830,1833000000,0,0,20000,20050,19900
2019-01-14,14.9,20100,0.05(0.25 %),79970,1602000000,0,0,20050,20100,19950
2019-01-15,14.83,20000,-0.1(-0.50 %),92630,1856000000,0,0,20100,20100,20000
2019-01-16,14.87,20050,0.05(0.25 %),113690,2276000000,0,0,20050,20100,20000
2019-01-17,14.9,20100,0.05(0.25 %),108310,2176000000,0,0,20000,20200,20000
2019-01-18,14.83,20000,-0.1(-0.50 %),87600,1759000000,0,0,20100,20100,20000
2019-01-21,14.9,20100,0.1(0.50 %),81960,1644000000,0,0,20000,20100,20000
2019-01-22,14.83,20000,-0.1(-0.50 %),91060,1824000000,0,0,20100,20100,19950
2019-01-23,14.83,20000,0(0.00 %),74450,1492000000,0,0,20050,20100,20000
2019-01-24,14.87,20050,0.05(0.25 %),97190,1948000000,0,0,20000,20050,20000
2019-01-25,14.83,20000,-0.05(-0.25 %),96640,1939000000,0,0,20050,20150,20000
2019-01-28,14.83,20000,0(0.00 %),101100,2025000000,0,0,20000,20100,19950
2019-01-29,14.83,20000,0(0.00 %),113240,2267000000,0,0,20000,20100,19950
2019-01-30,14.83,20000,0(0.00 %),91390,1825000000,0,0,20000,20000,19950
2019-01-31,14.98,20200,0.2(1.00 %),88830,1782000000,0,0,20000,20200,20000
2019-02-01,15.02,20250,0.05(0.25 %),97110,1966000000,0,0,20250,20300,20150
2019-02-11,15.13,20400,0.15(0.74 %),79750,1626000000,0,0,20250,20500,20250
2019-02-12,15.13,20400,0(0.00 %),108880,2223000000,0,0,20350,20500,20350
2019-02-13,15.05,20300,-0.1(-0.49 %),128020,2605000000,0,0,20400,20400,20250
2019-02-14,15.09,20350,0.05(0.25 %),77760,1581000000,0,0,20350,20400,20300
2019-02-15,15.13,20400,0.05(0.25 %),85070,1732000000,0,0,20350,20450,20250
2019-02-18,15.09,20350,-0.05(-0.25 %),80850,1646000000,0,0,20400,20400,20300
2019-02-19,15.57,21000,0.65(3.19 %),560270,11716000000,0,0,20350,21200,20350
2019-02-20,15.94,21500,0.5(2.38 %),520800,11141000000,0,0,21000,21750,20950
2019-02-21,15.72,21200,-0.3(-1.40 %),211220,4539000000,0,0,21500,21650,21200
2019-02-22,15.76,21250,0.05(0.24 %),129320,2742000000,0,0,21200,21300,21100
2019-02-25,15.65,21100,-0.15(-0.71 %),155420,3284000000,0,0,21250,21250,21000
2019-02-26,15.57,21000,-0.1(-0.47 %),118450,2503000000,0,0,21100,21250,20950
2019-02-27,15.57,21000,0(0.00 %),108070,2271000000,0,0,21000,21050,20950
2019-02-28,15.68,21150,0.15(0.71 %),180790,3813000000,0,0,21000,21200,21000
2019-03-01,15.79,21300,0.15(0.71 %),130720,2778000000,0,0,21150,21350,21100
2019-03-04,16.87,22750,1.45(6.81 %),527870,11712000000,0,0,21350,22750,21350
