Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2010-09-29,7.26,9900,-0.5(-4.81 %),74130,735676000,0,0,10100,10100,9900
2010-09-30,6.97,9500,-0.4(-4.04 %),27370,260015000,0,0,9500,9500,9500
2010-10-01,6.67,9100,-0.4(-4.21 %),17910,163314000,0,0,9100,9300,9100
2010-10-04,6.38,8700,-0.4(-4.40 %),23160,202062000,0,0,9100,9100,8700
2010-10-05,6.09,8300,-0.4(-4.60 %),11100,92130000,0,0,8300,8300,8300
2010-10-06,6.38,8700,0.4(4.82 %),33670,283816000,0,0,8200,8700,8200
2010-10-07,6.6,9000,0.3(3.45 %),16240,143204000,0,0,8700,9000,8600
2010-10-08,6.31,8600,-0.4(-4.44 %),2360,20320000,0,0,8800,9000,8600
2010-10-11,6.6,9000,0.4(4.65 %),5450,45128000,0,0,8200,9000,8200
2010-10-12,6.31,8600,-0.4(-4.44 %),16170,139062000,0,0,8600,8600,8600
2010-10-13,6.31,8600,0(0.00 %),48680,399867000,0,0,8400,8600,8200
2010-10-14,6.01,8200,-0.4(-4.65 %),54670,448300000,0,0,8200,8400,8200
2010-10-15,5.79,7900,-0.3(-3.66 %),13990,111139000,0,0,8000,8200,7900
2010-10-18,5.57,7600,-0.3(-3.80 %),10820,82360000,0,0,8100,8100,7600
2010-10-19,5.43,7400,-0.2(-2.63 %),25270,185574000,0,0,7600,7600,7300
2010-10-20,5.21,7100,-0.3(-4.05 %),33610,240122000,0,0,7400,7400,7100
2010-10-21,5.13,7000,-0.1(-1.41 %),17620,122391000,0,0,7100,7100,6800
2010-10-22,5.13,7000,0(0.00 %),5260,36840000,0,0,7000,7100,7000
2010-10-25,5.13,7000,0(0.00 %),9530,66973000,0,0,7000,7200,6900
2010-10-26,5.35,7300,0.3(4.29 %),28270,201831000,0,0,7100,7300,7000
2010-10-27,5.21,7100,-0.2(-2.74 %),4690,33025000,0,0,7300,7500,7000
2010-10-28,5.21,7100,0(0.00 %),5630,39122000,0,0,6900,7100,6900
2010-10-29,4.99,6800,-0.3(-4.23 %),26010,177795000,0,0,7000,7000,6800
2010-11-01,4.84,6600,-0.2(-2.94 %),8520,55903000,0,0,6700,6700,6500
2010-11-02,4.77,6500,-0.1(-1.52 %),8620,56570000,0,0,6600,6600,6500
2010-11-03,4.55,6200,-0.3(-4.62 %),14030,87720000,0,0,6500,6500,6200
2010-11-04,4.69,6400,0.2(3.23 %),4100,25440000,0,0,6200,6400,6200
2010-11-05,4.84,6600,0.2(3.12 %),14810,98723000,0,0,6400,6700,6400
2010-11-08,4.62,6300,-0.3(-4.55 %),11960,76749000,0,0,6600,6600,6300
2010-11-09,4.55,6200,-0.1(-1.59 %),6890,42720000,0,0,6300,6300,6200
2010-11-10,4.4,6000,-0.2(-3.23 %),5600,33610000,0,0,6100,6100,6000
2010-11-11,4.47,6100,0.1(1.67 %),2920,17890000,0,0,6200,6200,6000
2010-11-12,4.25,5800,-0.3(-4.92 %),30840,182461000,0,0,6100,6100,5800
2010-11-15,4.33,5900,0.1(1.72 %),16380,93930000,0,0,5800,5900,5600
2010-11-16,4.18,5700,-0.2(-3.39 %),9960,57275000,0,0,5900,5900,5700
2010-11-17,4.11,5600,-0.1(-1.75 %),9690,54268000,0,0,5900,5900,5600
2010-11-18,4.25,5800,0.2(3.57 %),5460,31628000,0,0,5600,5800,5600
2010-11-19,4.4,6000,0.2(3.45 %),42470,252201000,0,0,6000,6000,5800
2010-11-22,4.47,6100,0.1(1.67 %),22230,133380000,0,0,6000,6100,5900
2010-11-23,4.69,6400,0.3(4.92 %),26710,169918000,0,0,6000,6400,6000
2010-11-24,4.91,6700,0.3(4.69 %),16600,110384000,0,0,6500,6700,6500
2010-11-25,4.99,6800,0.1(1.49 %),15830,107476000,0,0,6900,7000,6700
2010-11-26,4.84,6600,-0.2(-2.94 %),16310,107068000,0,0,6900,6900,6500
2010-11-29,4.84,6600,0(0.00 %),8000,53001000,0,0,6600,6700,6600
2010-11-30,4.99,6800,0.2(3.03 %),34300,235723000,0,0,6900,6900,6700
2010-12-01,4.99,6800,0(0.00 %),21020,143726000,0,0,6800,7000,6800
2010-12-02,4.99,6800,0(0.00 %),21140,143777000,0,0,6800,7000,6700
2010-12-03,5.21,7100,0.3(4.41 %),45130,316010000,0,0,6900,7100,6900
2010-12-06,5.21,7100,0(0.00 %),30760,216755000,0,0,7100,7200,6800
2010-12-07,5.21,7100,0(0.00 %),10730,76203000,0,0,7300,7300,7000
2010-12-08,4.99,6800,-0.3(-4.23 %),16980,115965000,0,0,6900,6900,6800
2010-12-09,4.99,6800,0(0.00 %),200,1360000,0,0,6800,6800,6800
2010-12-10,4.91,6700,-0.1(-1.47 %),10410,70138000,0,0,7000,7000,6700
2010-12-13,5.13,7000,0.3(4.48 %),69030,482400000,0,0,6900,7000,6900
2010-12-14,5.06,6900,-0.1(-1.43 %),8170,56586000,0,0,7000,7000,6800
2010-12-15,4.84,6600,-0.3(-4.35 %),31320,206941000,0,0,6900,6900,6600
2010-12-16,4.69,6400,-0.2(-3.03 %),5120,32478000,0,0,6300,6800,6300
2010-12-17,4.91,6700,0.3(4.69 %),2230,14935000,0,0,6200,6700,6200
2010-12-20,4.77,6500,-0.2(-2.99 %),4590,30107000,0,0,7000,7000,6500
2010-12-21,4.91,6700,0.2(3.08 %),16220,107626000,0,0,6500,6700,6500
2010-12-22,4.91,6700,0(0.00 %),31580,211586000,0,0,6700,6700,6700
2010-12-23,4.84,6600,-0.1(-1.49 %),22130,148221000,0,0,6700,6700,6600
2010-12-24,4.91,6700,0.1(1.52 %),57830,387121000,0,0,6700,6700,6600
2010-12-27,4.91,6700,0(0.00 %),5260,35157000,0,0,6900,7000,6600
2010-12-28,4.99,6800,0.1(1.49 %),17610,119708000,0,0,6600,6800,6600
2010-12-29,4.99,6800,0(0.00 %),73020,496538000,0,0,6700,6900,6700
2010-12-30,4.84,6600,-0.2(-2.94 %),16920,111134000,0,0,6500,6900,6500
2010-12-31,5.06,6900,0.3(4.55 %),1720,11691000,0,0,6700,6900,6500
2011-01-04,5.06,6900,0(0.00 %),37530,258047000,0,0,6800,7000,6800
2011-01-05,5.06,6900,0(0.00 %),54900,373340000,0,0,6800,6900,6800
2011-01-06,4.99,6800,-0.1(-1.45 %),87380,594049000,0,0,6700,6800,6600
2011-01-07,4.77,6500,-0.3(-4.41 %),19540,127198000,0,0,6900,6900,6500
2011-01-10,4.99,6800,0.3(4.62 %),10580,68308000,0,0,6600,6800,6400
2011-01-11,4.99,6800,0(0.00 %),3210,21188000,0,0,6600,6800,6600
2011-01-12,4.99,6800,0(0.00 %),32930,223919000,0,0,6500,6900,6500
2011-01-13,5.06,6900,0.1(1.47 %),630,4285000,0,0,6800,6900,6800
2011-01-14,4.91,6700,-0.2(-2.90 %),5260,34817000,0,0,6900,6900,6600
2011-01-17,4.99,6800,0.1(1.49 %),2730,18080000,0,0,6800,6800,6600
2011-01-18,4.84,6600,-0.2(-2.94 %),14210,94228000,0,0,6800,6800,6600
2011-01-19,4.91,6700,0.1(1.52 %),5890,39115000,0,0,6600,6700,6500
2011-01-20,4.84,6600,-0.1(-1.49 %),420,2780000,0,0,6700,6700,6600
2011-01-21,4.77,6500,-0.1(-1.52 %),11590,75229000,0,0,6600,6600,6400
2011-01-24,4.62,6300,-0.2(-3.08 %),54620,349161000,0,0,6500,6500,6300
2011-01-25,4.84,6600,0.3(4.76 %),2630,16336000,0,0,6600,6600,6100
2011-01-26,4.84,6600,0(0.00 %),210,1385000,0,0,6500,6600,6500
2011-01-27,4.69,6400,-0.2(-3.03 %),70,454000,0,0,6600,6600,6400
2011-01-28,4.62,6300,-0.1(-1.56 %),1870,11657000,0,0,6300,6500,6200
2011-02-08,4.77,6500,0.2(3.17 %),8010,50465000,0,0,6300,6500,6300
2011-02-09,4.91,6700,0.2(3.08 %),600,3995000,0,0,6200,6700,6200
2011-02-10,4.69,6400,-0.3(-4.48 %),1880,12041000,0,0,6500,6700,6400
2011-02-11,4.84,6600,0.2(3.12 %),11760,75000000,0,0,6700,6700,6200
2011-02-14,4.77,6500,-0.1(-1.52 %),11610,76429000,0,0,6800,6800,6300
2011-02-15,4.69,6400,-0.1(-1.54 %),200,1280000,0,0,6400,6400,6400
