Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2020-01-16,11.95,17250,-1.25(-6.76 %),4800,83000000,0,0,17250,17250,17250
2020-01-17,11.12,16050,-1.2(-6.96 %),10440,168000000,0,0,16050,16050,16050
2020-01-20,11.12,16050,0(0.00 %),23100,348000000,0,0,14950,16050,14950
2020-01-21,11.88,17150,1.1(6.85 %),12030,189000000,0,0,16050,17150,15000
2020-01-22,11.05,15950,-1.2(-7.00 %),5560,89000000,0,0,17000,17000,15950
2020-01-30,10.29,14850,-1.1(-6.90 %),17300,257000000,0,0,15000,15000,14850
2020-01-31,9.6,13850,-1(-6.73 %),12900,181000000,0,0,14200,14500,13850
2020-02-03,8.94,12900,-0.95(-6.86 %),11140,144000000,0,0,12900,13900,12900
2020-02-04,8.94,12900,0(0.00 %),28040,364000000,0,0,12650,13500,12200
2020-02-05,8.94,12900,0(0.00 %),10350,133000000,0,0,12900,12900,12800
2020-02-06,9.56,13800,0.9(6.98 %),17690,238000000,0,0,12900,13800,12900
2020-02-07,9.35,13500,-0.3(-2.17 %),16480,223000000,0,0,13500,13900,13500
2020-02-10,9.35,13500,0(0.00 %),7790,105000000,0,0,13800,13800,13200
2020-02-11,9.35,13500,0(0.00 %),0,0,0,0,13500,13500,13500
2020-02-12,9.46,13650,0.15(1.11 %),22750,310000000,0,0,13800,14400,13500
2020-02-13,9.42,13600,-0.05(-0.37 %),13430,183000000,0,0,13650,13650,13600
2020-02-14,9.7,14000,0.4(2.94 %),500,7000000,0,0,14000,14000,14000
2020-02-17,9.42,13600,-0.4(-2.86 %),13020,178000000,0,0,14000,14000,13500
2020-02-18,9.42,13600,0(0.00 %),42070,567000000,0,0,13550,13600,13400
2020-02-19,9.42,13600,0(0.00 %),7320,99000000,0,0,13600,13600,13450
2020-02-20,9.63,13900,0.3(2.21 %),21790,295000000,0,0,13600,13900,13500
2020-02-21,9.7,14000,0.1(0.72 %),10,0,0,0,14000,14000,14000
2020-02-24,9.63,13900,-0.1(-0.71 %),34170,465000000,0,0,14000,14000,13500
2020-02-25,9.42,13600,-0.3(-2.16 %),36100,493000000,0,0,13550,14000,13500
2020-02-26,9.63,13900,0.3(2.21 %),10760,148000000,0,0,13600,14000,13600
2020-02-27,10.05,14500,0.6(4.32 %),4160,60000000,0,0,13900,14500,13900
2020-02-28,9.7,14000,-0.5(-3.45 %),3020,42000000,0,0,14000,14000,14000
2020-03-02,9.63,13900,-0.1(-0.71 %),5000,69000000,0,0,13600,13900,13600
2020-03-03,9.63,13900,0(0.00 %),4600,64000000,0,0,14000,14000,13900
2020-03-04,9.42,13600,-0.3(-2.16 %),29400,400000000,0,0,13900,13900,13600
2020-03-05,9.42,13600,0(0.00 %),53010,721000000,0,0,13600,13600,13600
2020-03-06,9.42,13600,0(0.00 %),82280,1119000000,0,0,13700,13700,13500
2020-03-09,9.01,13000,-0.6(-4.41 %),4040,53000000,0,0,13600,13600,12900
2020-03-10,9.28,13400,0.4(3.08 %),27140,355000000,0,0,13900,13900,13000
2020-03-11,9.21,13300,-0.1(-0.75 %),14130,186000000,0,0,13400,13400,13000
2020-03-12,8.94,12900,-0.4(-3.01 %),27080,344000000,0,0,13000,13100,12400
2020-03-13,8.83,12750,-0.15(-1.16 %),17480,218000000,0,0,12700,12900,12100
