Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2011-07-01,3.59,13700,-0.7(-4.86 %),40,548000,0,0,13700,13700,13700
2011-07-04,3.43,13100,-0.6(-4.38 %),15000,196500000,0,0,13100,13100,13100
2011-07-05,3.27,12500,-0.6(-4.58 %),220030,2750375000,0,0,12500,12500,12500
2011-07-06,3.12,11900,-0.6(-4.80 %),624470,7431697000,0,0,11900,12000,11900
2011-07-07,2.99,11400,-0.5(-4.20 %),318140,3626796000,110000,1254000000,11400,11400,11400
2011-07-08,2.96,11300,-0.1(-0.88 %),1256220,13741394000,22140,241326000,10900,11400,10900
2011-07-11,2.96,11300,0(0.00 %),79140,891425000,170000,1870000000,11600,11600,11100
2011-07-12,2.83,10800,-0.5(-4.42 %),478410,5220557000,0,0,11200,11200,10800
2011-07-13,2.86,10900,0.1(0.93 %),47600,512354000,0,0,10500,11200,10500
2011-07-14,2.72,10400,-0.5(-4.59 %),285500,2980040000,0,0,10600,10800,10400
2011-07-15,2.7,10300,-0.1(-0.96 %),88840,906474000,0,0,10000,10400,10000
2011-07-18,2.57,9800,-0.5(-4.85 %),103390,1018935000,0,0,10000,10200,9800
2011-07-19,2.62,10000,0.2(2.04 %),108560,1039691000,0,0,9800,10000,9500
2011-07-20,2.65,10100,0.1(1.00 %),67900,674570000,20000,190000000,10000,10100,9800
2011-07-21,2.57,9800,-0.3(-2.97 %),33320,328575000,0,0,10200,10200,9700
2011-07-22,2.51,9600,-0.2(-2.04 %),63980,614728000,0,0,9800,9800,9600
2011-07-25,2.44,9300,-0.3(-3.12 %),32870,306265000,0,0,9400,9800,9300
2011-07-26,2.44,9300,0(0.00 %),25630,236029000,0,0,9000,9300,9000
2011-07-27,2.46,9400,0.1(1.08 %),6400,59101000,0,0,9300,9400,9100
2011-07-28,2.46,9400,0(0.00 %),33840,312407000,0,0,9600,9600,9000
2011-07-29,2.38,9100,-0.3(-3.19 %),26900,245431000,20000,180000000,9300,9300,9100
2011-08-01,2.36,9000,-0.1(-1.10 %),38550,343749000,0,0,9300,9300,8800
2011-08-02,2.38,9100,0.1(1.11 %),47630,430207000,0,0,9000,9100,8800
2011-08-03,2.36,9000,-0.1(-1.10 %),10020,89778000,0,0,8700,9100,8700
2011-08-04,2.44,9300,0.3(3.33 %),84070,778271000,0,0,9100,9400,8800
2011-08-05,2.49,9500,0.2(2.15 %),39680,373106000,0,0,9300,9500,9000
2011-08-08,2.46,9400,-0.1(-1.05 %),5890,55000000,0,0,9400,9500,9300
2011-08-09,2.36,9000,-0.4(-4.26 %),20310,182850000,0,0,9400,9400,9000
2011-08-10,2.36,9000,0(0.00 %),26010,234060000,0,0,9000,9000,8900
2011-08-11,2.36,9000,0(0.00 %),14390,128000000,0,0,8800,9000,8600
2011-08-12,2.38,9100,0.1(1.11 %),12910,116230000,0,0,9000,9200,9000
2011-08-15,2.36,9000,-0.1(-1.10 %),80,723000,0,0,9300,9300,9000
2011-08-16,2.44,9300,0.3(3.33 %),17210,158149000,0,0,9200,9300,9000
2011-08-17,2.46,9400,0.1(1.08 %),29560,275859000,0,0,9300,9500,9100
2011-08-18,2.49,9500,0.1(1.06 %),47610,450489000,0,0,9500,9600,9400
2011-08-19,2.49,9500,0(0.00 %),57180,536120000,0,0,9300,9500,9100
2011-08-22,2.49,9500,0(0.00 %),47910,458716000,0,0,9600,9900,9500
2011-08-23,2.41,9200,-0.3(-3.16 %),21020,196191000,0,0,9600,9600,9200
2011-08-24,2.44,9300,0.1(1.09 %),37140,342378000,0,0,9200,9600,9100
2011-08-25,2.46,9400,0.1(1.08 %),43090,401037000,0,0,9400,9400,9100
2011-08-26,2.46,9400,0(0.00 %),29040,272276000,0,0,9300,9400,9300
2011-08-29,2.57,9800,0.4(4.26 %),48830,467548000,0,0,9400,9800,9400
2011-08-30,2.62,10000,0.2(2.04 %),5000,50000000,150000,1455000000,10000,10000,10000
2011-08-31,2.62,10000,0(0.00 %),53100,525260000,0,0,9600,10000,9500
