Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2010-04-20,5.1,37800,1.8(5.00 %),50000,1890000000,180000,6804000000,37800,37800,37800
2010-04-21,5.34,39600,1.8(4.76 %),105760,4188096000,0,0,39600,39600,39600
2010-04-22,5.26,39000,-0.6(-1.52 %),273260,11229000000,0,0,41500,41500,39000
2010-04-26,5.0,37100,-1.9(-4.87 %),68170,2529107000,0,0,37100,37100,37100
2010-04-27,4.81,35700,-1.4(-3.77 %),207120,7378939000,0,0,35400,36400,35300
2010-04-28,4.72,35000,-0.7(-1.96 %),168240,5940817000,0,0,35000,37000,35000
2010-04-29,4.89,36300,1.3(3.71 %),174170,6163830000,20000,666000000,36500,36500,35000
2010-05-04,4.97,36900,0.6(1.65 %),285810,10418016000,0,0,37900,37900,36000
2010-05-05,4.97,36900,0(0.00 %),1116140,39317686000,0,0,35400,36900,35100
2010-05-06,5.22,38700,1.8(4.88 %),462570,17474973000,0,0,37400,38700,36500
2010-05-07,5.47,40600,1.9(4.91 %),625780,25397839000,0,0,40600,40600,40000
2010-05-10,5.2,38600,-2(-4.93 %),382950,14882666000,0,0,41000,41000,38600
2010-05-11,5.02,37200,-1.4(-3.63 %),453640,16986342000,25000,1000000000,38100,38900,36800
2010-05-12,4.77,35400,-1.8(-4.84 %),391360,13910363000,0,0,36500,36500,35400
2010-05-13,4.69,34800,-0.6(-1.69 %),209770,7392793000,0,0,35400,36500,34800
2010-05-14,4.69,33300,0(0.00 %),137940,4582253000,0,0,33000,33500,33000
2010-05-17,4.51,32000,-1.3(-3.90 %),114820,3737842000,0,0,33500,34000,31700
2010-05-18,4.28,30400,-1.6(-5.00 %),494880,15073688000,0,0,31000,31500,30400
2010-05-19,4.07,28900,-1.5(-4.93 %),207430,6000214000,0,0,29100,29100,28900
2010-05-20,4.27,30300,1.4(4.84 %),389210,10834758000,1000000,27500000000,27500,30300,27500
2010-05-21,4.06,28800,-1.5(-4.95 %),197810,5698548000,0,0,28800,29500,28800
2010-05-24,3.9,27700,-1.1(-3.82 %),175320,4853579000,0,0,28800,28800,27400
2010-05-25,3.8,27000,-0.7(-2.53 %),104480,2867753000,0,0,27700,28000,26700
2010-05-26,3.99,28300,1.3(4.81 %),136690,3850473000,0,0,27900,28300,27500
2010-05-27,4.09,29000,0.7(2.47 %),163030,4689868000,0,0,29200,29200,27600
2010-05-28,4.28,30400,1.4(4.83 %),233150,7048229000,0,0,30000,30400,29900
2010-05-31,4.09,29000,-1.4(-4.61 %),123800,3635920000,0,0,29300,30400,28900
2010-06-01,4.11,29200,0.2(0.69 %),127200,3673316000,0,0,28200,29200,28200
2010-06-02,4.16,29500,0.3(1.03 %),143970,4134328000,0,0,28400,29500,28000
2010-06-03,4.14,29400,-0.1(-0.34 %),373470,10877485000,0,0,30400,30400,28800
2010-06-04,4.07,28900,-0.5(-1.70 %),79800,2314946000,0,0,29400,29400,28800
2010-06-07,3.87,27500,-1.4(-4.84 %),243660,6715248000,0,0,27600,28000,27500
2010-06-08,3.86,27400,-0.1(-0.36 %),88120,2409397000,0,0,27500,27500,27000
2010-06-09,3.75,26600,-0.8(-2.92 %),110560,2997664000,0,0,27800,28000,26600
2010-06-10,3.9,27700,1.1(4.14 %),165720,4584194000,400000,10120000000,27400,27900,27000
2010-06-11,3.89,27600,-0.1(-0.36 %),89000,2490330000,0,0,28400,28400,27600
2010-06-14,3.99,28300,0.7(2.54 %),145650,4099050000,0,0,28000,28500,27600
2010-06-15,4.0,28400,0.1(0.35 %),201710,5738269000,0,0,28300,28600,28100
2010-06-16,4.2,29800,1.4(4.93 %),297320,8760351000,0,0,29300,29800,28500
2010-06-17,4.4,31200,1.4(4.70 %),488420,15097872000,0,0,30700,31200,30100
2010-06-18,4.27,30300,-0.9(-2.88 %),308170,9513064000,0,0,31200,31700,29900
2010-06-21,4.37,31000,0.7(2.31 %),198340,6102514000,0,0,30500,31000,30300
2010-06-22,4.18,29700,-1.3(-4.19 %),161880,4843992000,0,0,30500,30900,29500
2010-06-23,4.25,30200,0.5(1.68 %),294000,8873539000,0,0,29000,30900,28800
2010-06-24,4.23,30000,-0.2(-0.66 %),180830,5447273000,0,0,30200,30500,30000
2010-06-25,4.14,29400,-0.6(-2.00 %),218050,6469130000,0,0,29400,30500,29000
2010-06-28,4.16,29500,0.1(0.34 %),32780,965658000,0,0,29100,29900,29100
2010-06-29,4.06,28800,-0.7(-2.37 %),80120,2332511000,0,0,30000,30000,28800
2010-06-30,3.94,28000,-0.8(-2.78 %),199370,5595008000,0,0,27800,28700,27800
2010-07-01,3.93,27900,-0.1(-0.36 %),87590,2435624000,0,0,28000,28100,27500
2010-07-02,4.03,28600,0.7(2.51 %),111260,3142828000,0,0,27900,28900,27900
2010-07-05,4.09,29000,0.4(1.40 %),101540,2965782000,0,0,29300,29400,29000
2010-07-06,3.94,28000,-1(-3.45 %),104400,2935647000,0,0,29000,29000,28000
2010-07-07,3.94,28000,0(0.00 %),66470,1861157000,0,0,28000,28200,27900
2010-07-08,3.93,27900,-0.1(-0.36 %),38620,1083259000,0,0,28500,28500,27900
2010-07-09,3.94,28000,0.1(0.36 %),48580,1361150000,0,0,28000,28200,28000
2010-07-12,3.93,27900,-0.1(-0.36 %),37410,1045179000,0,0,28000,28000,27900
2010-07-13,4.06,28800,0.9(3.23 %),115080,3281153000,0,0,28900,28900,28000
2010-07-14,4.0,28400,-0.4(-1.39 %),99220,2866570000,0,0,28800,29200,28400
2010-07-15,3.96,28100,-0.3(-1.06 %),42580,1199575000,0,0,28400,28400,28000
2010-07-16,3.93,27900,-0.2(-0.71 %),32520,909238000,0,0,27900,28100,27900
2010-07-19,3.92,27800,-0.1(-0.36 %),89520,2489442000,0,0,27500,27900,27500
2010-07-20,3.92,27800,0(0.00 %),75040,2086489000,0,0,27800,28000,27700
2010-07-21,3.89,27600,-0.2(-0.72 %),51180,1418201000,0,0,27800,27800,27600
2010-07-22,3.87,27500,-0.1(-0.36 %),45420,1254488000,0,0,27900,27900,27500
2010-07-23,3.82,27100,-0.4(-1.45 %),82600,2256781000,0,0,27900,27900,27100
2010-07-26,3.82,27100,0(0.00 %),96320,2612347000,0,0,27500,27500,27000
2010-07-27,3.8,27000,-0.1(-0.37 %),52660,1428898000,0,0,27100,27400,27000
2010-07-28,3.69,26200,-0.8(-2.96 %),35520,941086000,0,0,27000,27000,26200
2010-07-29,3.76,26700,0.5(1.91 %),30890,809856000,0,0,26200,26700,25700
2010-07-30,3.68,26100,-0.6(-2.25 %),108440,2858328000,0,0,26200,27200,26100
2010-08-02,3.68,26100,0(0.00 %),35220,927240000,0,0,26700,26700,26100
2010-08-03,3.55,25200,-0.9(-3.45 %),249700,6256536000,0,0,26500,26500,24800
2010-08-04,3.47,24600,-0.6(-2.38 %),51750,1279588000,0,0,25000,25000,24500
2010-08-05,3.41,24200,-0.4(-1.63 %),52380,1285974000,0,0,24900,24900,24200
2010-08-06,3.34,23700,-0.5(-2.07 %),199750,4756906000,0,0,24600,24600,23700
2010-08-09,3.18,22600,-1.1(-4.64 %),129840,2970149000,0,0,23700,23700,22600
2010-08-10,3.03,21500,-1.1(-4.87 %),130000,2801849000,0,0,21800,22000,21500
2010-08-11,2.97,21100,-0.4(-1.86 %),72740,1550400000,20000,410000000,21500,21900,21000
2010-08-12,2.83,20100,-1(-4.74 %),268160,5393319000,0,0,20200,20300,20100
2010-08-13,2.71,19200,-0.9(-4.48 %),144340,2770578000,0,0,19200,20100,19100
2010-08-16,2.83,20100,0.9(4.69 %),104660,2088324000,0,0,19600,20100,19300
2010-08-17,2.78,19700,-0.4(-1.99 %),59580,1182578000,0,0,20000,20000,19500
2010-08-18,2.68,19000,-0.7(-3.55 %),116480,2217601000,0,0,19900,19900,18800
2010-08-19,2.62,18600,-0.4(-2.11 %),633620,11526958000,0,0,19000,19000,18100
2010-08-20,2.62,18600,0(0.00 %),62610,1145567000,0,0,18600,18600,18000
2010-08-23,2.54,18000,-0.6(-3.23 %),78390,1416327000,0,0,18500,18500,18000
2010-08-24,2.41,17100,-0.9(-5.00 %),151070,2590363000,0,0,17200,17500,17100
2010-08-25,2.3,16300,-0.8(-4.68 %),97210,1586670000,0,0,16600,16600,16300
2010-08-26,2.25,16000,-0.3(-1.84 %),325630,5223429000,0,0,16100,16500,15600
2010-08-27,2.21,15700,-0.3(-1.88 %),91820,1433461000,0,0,15400,16000,15300
2010-08-30,2.31,16400,0.7(4.46 %),156300,2563080000,0,0,16400,16400,16200
2010-08-31,2.42,17200,0.8(4.88 %),213580,3658784000,0,0,17000,17200,16900
2010-09-01,2.54,18000,0.8(4.65 %),391970,7051955000,0,0,18000,18000,17800
2010-09-06,2.66,18900,0.9(5.00 %),17010,321489000,0,0,18900,18900,18900
2010-09-07,2.79,19800,0.9(4.76 %),39990,791802000,0,0,19800,19800,19800
2010-09-08,2.92,20700,0.9(4.55 %),980120,20116362000,0,0,20500,20700,19300
2010-09-09,2.96,21000,0.3(1.45 %),386740,8063270000,0,0,21200,21500,20100
2010-09-10,2.82,20000,-1(-4.76 %),203170,4143725000,0,0,20600,21100,20000
2010-09-13,2.68,19000,-1(-5.00 %),252850,4823164000,0,0,19300,20100,19000
2010-09-14,2.68,19000,0(0.00 %),120850,2277690000,0,0,19000,19100,18300
2010-09-15,2.61,18500,-0.5(-2.63 %),110470,2036544000,0,0,19300,19300,18200
2010-09-16,2.56,18200,-0.3(-1.62 %),109590,1996841000,0,0,18100,18500,18000
2010-09-17,2.69,19100,0.9(4.95 %),101220,1932122000,0,0,19000,19100,19000
2010-09-20,2.82,20000,0.9(4.71 %),291480,5819087000,0,0,20000,20000,19200
2010-09-21,2.92,20700,0.7(3.50 %),787320,16262156000,0,0,20300,21000,20000
2010-09-22,2.9,20600,-0.1(-0.48 %),157500,3237293000,0,0,20300,20900,20300
2010-09-23,2.82,20000,-0.6(-2.91 %),191100,3863445000,0,0,20400,20500,19700
2010-09-24,2.86,20300,0.3(1.50 %),92420,1859378000,0,0,20000,20300,19800
2010-09-27,2.82,20000,-0.3(-1.48 %),195020,3921280000,0,0,20200,20700,19900
2010-09-28,2.79,19800,-0.2(-1.00 %),168340,3403793000,0,0,20600,20900,19800
2010-09-29,2.69,19100,-0.7(-3.54 %),104810,2033009000,0,0,19800,20000,19100
2010-09-30,2.82,20000,0.9(4.71 %),183740,3674800000,0,0,20000,20000,20000
2010-10-01,2.92,20700,0.7(3.50 %),983320,20617774000,0,0,21000,21000,20700
2010-10-04,2.78,19700,-1(-4.83 %),216360,4277699000,0,0,20300,20700,19700
2010-10-05,2.75,19500,-0.2(-1.02 %),169050,3201422000,0,0,18900,19500,18800
2010-10-06,2.85,20200,0.7(3.59 %),174050,3485838000,0,0,19900,20400,19500
2010-10-07,2.82,20000,-0.2(-0.99 %),153320,3106976000,100000,2120000000,20300,20900,20000
2010-10-08,2.76,19600,-0.4(-2.00 %),134720,2650135000,0,0,19600,20000,19500
2010-10-11,2.72,19300,-0.3(-1.53 %),46030,891101000,0,0,19600,19700,19200
2010-10-12,2.72,19300,0(0.00 %),185070,3518820000,0,0,19100,19300,18600
2010-10-13,2.72,19300,0(0.00 %),101550,1964130000,100000,2020000000,18700,19800,18700
2010-10-14,2.71,19200,-0.1(-0.52 %),63470,1222674000,0,0,19400,19500,19100
2010-10-15,2.72,19300,0.1(0.52 %),88420,1700664000,0,0,19200,19300,18900
2010-10-18,2.72,19300,0(0.00 %),155850,3032783000,0,0,19600,19600,19300
2010-10-19,2.62,18600,-0.7(-3.63 %),129210,2437262000,100000,2020000000,19000,19400,18500
