Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2006-12-05,7.51,95000,-5(-5.00 %),89420,8562500,20000,1900000,96000,96000,95000
2006-12-06,7.15,90500,-4.5(-4.74 %),3250,294125,0,0,90500,90500,90500
2006-12-07,7.51,95000,4.5(4.97 %),216560,19721500,0,0,86500,95000,86500
2006-12-08,7.82,99000,4(4.21 %),18700,1851300,0,0,99000,99000,99000
2006-12-11,8.14,103000,4(4.04 %),73020,7521060,0,0,103000,103000,103000
2006-12-12,8.14,103000,0(0.00 %),92600,9777900,0,0,107000,107000,103000
2006-12-13,7.9,100000,-3(-2.91 %),87350,8718000,0,0,98000,100000,98000
2006-12-14,7.9,100000,0(0.00 %),58750,5940850,0,0,100000,100000,100000
2006-12-15,7.82,99000,-1(-1.00 %),84120,8406240,0,0,100000,103000,99000
2006-12-18,7.74,98000,-1(-1.01 %),47200,4643970,0,0,99000,99000,98000
2006-12-19,7.59,96000,-2(-2.04 %),30160,2895360,0,0,96000,96000,96000
2006-12-20,7.63,96500,0.5(0.52 %),48390,4653885,43800,4007700,96000,96500,96000
2006-12-21,7.51,95000,-1.5(-1.55 %),55170,5294910,0,0,96500,96500,95000
2006-12-22,7.15,90500,-4.5(-4.74 %),26950,2438975,0,0,90500,90500,90500
2006-12-25,7.51,95000,4.5(4.97 %),26850,2382400,0,0,88000,95000,88000
2006-12-26,7.74,98000,3(3.16 %),80250,7893675,0,0,99500,99500,98000
2006-12-27,7.9,100000,2(2.04 %),97420,9742000,0,0,100000,100000,100000
2006-12-28,7.9,100000,0(0.00 %),57710,5767250,0,0,100000,100000,100000
2006-12-29,7.9,100000,0(0.00 %),34500,3440525,0,0,99000,100000,99000
2007-01-02,7.9,100000,0(0.00 %),33390,3339000000,0,0,100000,100000,100000
2007-01-03,7.9,100000,0(0.00 %),34780,0,0,0,100000,100000,98000
2007-01-04,8.3,105000,5(5.00 %),43650,4583000000,0,0,105000,105000,105000
2007-01-05,8.53,108000,3(2.86 %),123610,0,0,0,110000,110000,108000
2007-01-08,8.69,110000,2(1.85 %),98860,3271000000,0,0,113000,113000,110000
2007-01-09,8.69,110000,0(0.00 %),119530,13148000000,0,0,110000,110000,110000
2007-01-10,9.01,114000,4(3.64 %),92650,10506000000,0,0,112000,114000,112000
2007-01-11,9.4,119000,5(4.39 %),131220,15558000000,0,0,117000,119000,117000
2007-01-12,9.8,124000,5(4.20 %),70430,8733000000,0,0,124000,124000,124000
2007-01-15,9.96,126000,2(1.61 %),43810,5520000000,0,0,126000,126000,126000
2007-01-16,9.64,122000,-4(-3.17 %),38020,4656000000,0,0,125000,125000,122000
2007-01-17,9.17,116000,-6(-4.92 %),44580,5188000000,0,0,120000,120000,116000
2007-01-18,9.33,118000,2(1.72 %),59940,6819000000,0,0,111000,118000,111000
2007-01-19,9.64,122000,4(3.39 %),63440,7702000000,0,0,120000,122000,120000
2007-01-22,9.48,120000,-2(-1.64 %),38260,4545000000,0,0,116000,120000,116000
2007-01-23,9.56,121000,1(0.83 %),65400,7871000000,0,0,120000,121000,120000
2007-01-24,9.48,120000,-1(-0.83 %),96830,11739000000,0,0,122000,122000,120000
2007-01-25,9.33,118000,-2(-1.67 %),39090,4575000000,0,0,118000,118000,116000
2007-01-26,9.48,120000,2(1.69 %),68980,8278000000,0,0,120000,120000,120000
2007-01-29,9.96,126000,6(5.00 %),68730,8660000000,0,0,126000,126000,126000
2007-01-30,10.43,132000,6(4.76 %),39230,5178000000,0,0,132000,132000,132000
2007-01-31,10.91,138000,6(4.55 %),138870,13887000000,0,0,132000,138000,132000
2007-02-01,10.91,138000,0(0.00 %),104890,10489000000,0,0,141000,141000,138000
2007-02-02,10.67,135000,-3(-2.17 %),88700,8870000000,0,0,138000,138000,135000
2007-02-05,10.27,130000,-5(-3.70 %),23530,3127000000,0,0,130000,135000,130000
2007-02-06,10.12,128000,-2(-1.54 %),66210,8528000000,0,0,128000,130000,128000
2007-02-07,10.59,134000,6(4.69 %),83850,11236000000,0,0,134000,134000,134000
2007-02-08,11.06,140000,6(4.48 %),79680,11155000000,0,0,140000,140000,140000
2007-02-09,10.51,133000,-7(-5.00 %),28970,3853000000,0,0,133000,133000,133000
2007-02-12,10.67,135000,2(1.50 %),32160,4342000000,0,0,135000,135000,135000
2007-02-13,10.83,137000,2(1.48 %),26550,3629000000,0,0,137000,137000,136000
2007-02-14,11.06,140000,3(2.19 %),53510,7513000000,0,0,140000,141000,136000
2007-02-15,11.22,142000,2(1.43 %),36370,5148000000,0,0,142000,142000,140000
2007-02-26,11.46,145000,3(2.11 %),45490,6582000000,0,0,145000,145000,144000
2007-02-27,11.85,150000,5(3.45 %),80190,12101000000,0,0,150000,152000,148000
2007-02-28,11.3,143000,-7(-4.67 %),17630,2551000000,0,0,143000,146000,143000
2007-03-01,11.3,143000,0(0.00 %),25870,3715000000,0,0,143000,145000,143000
2007-03-02,11.3,143000,0(0.00 %),48820,7000000000,0,0,145000,145000,143000
2007-03-05,11.46,145000,2(1.40 %),44210,6392000000,0,0,145000,145000,143000
2007-03-06,11.3,143000,-2(-1.38 %),42730,6196000000,0,0,143000,146000,143000
2007-03-07,11.46,145000,2(1.40 %),18980,2752000000,0,0,145000,145000,145000
2007-03-08,11.46,145000,0(0.00 %),27390,3972000000,0,0,145000,145000,145000
2007-03-09,11.3,143000,-2(-1.38 %),11540,1657000000,0,0,144000,145000,143000
2007-03-12,11.38,144000,1(0.70 %),33720,4854000000,0,0,144000,144000,143000
2007-03-13,11.85,150000,6(4.17 %),62280,9311000000,0,0,150000,150000,145000
2007-03-14,11.7,148000,-2(-1.33 %),42340,6377000000,0,0,148000,152000,148000
2007-03-15,11.14,141000,-7(-4.73 %),5670,801000000,0,0,145000,145000,141000
2007-03-16,11.7,148000,7(4.96 %),12010,1733000000,0,0,141000,148000,141000
2007-03-19,11.46,145000,-3(-2.03 %),21240,3091000000,0,0,148000,148000,145000
2007-03-20,11.3,143000,-2(-1.38 %),30030,4325000000,0,0,141000,145000,141000
2007-03-21,11.06,140000,-3(-2.10 %),9590,1337000000,0,0,137000,140000,136000
2007-03-22,10.67,135000,-5(-3.57 %),18690,2554000000,0,0,138000,138000,135000
2007-03-23,10.27,130000,-5(-3.70 %),18230,2404000000,0,0,135000,135000,130000
2007-03-26,9.8,124000,-6(-4.62 %),18780,2334000000,0,0,125000,125000,124000
2007-03-27,9.33,118000,-6(-4.84 %),22630,2670000000,0,0,118000,118000,118000
2007-03-28,9.48,120000,2(1.69 %),49710,5625000000,0,0,113000,120000,113000
2007-03-29,9.96,126000,6(5.00 %),23540,2966000000,0,0,126000,126000,126000
2007-03-30,10.43,132000,6(4.76 %),37520,4953000000,0,0,132000,132000,132000
2007-04-02,10.43,132000,0(0.00 %),21160,2793000000,0,0,132000,132000,132000
2007-04-03,10.04,127000,-5(-3.79 %),10000,1267000000,0,0,129000,129000,126000
2007-04-04,10.04,127000,0(0.00 %),5920,744000000,0,0,122000,127000,122000
2007-04-05,10.12,128000,1(0.79 %),15590,1989000000,0,0,127000,128000,127000
2007-04-06,10.04,127000,-1(-0.78 %),10340,1308000000,0,0,124000,127000,124000
2007-04-09,10.04,127000,0(0.00 %),6250,794000000,0,0,127000,127000,127000
2007-04-10,10.43,132000,5(3.94 %),19410,2551000000,0,0,130000,132000,130000
2007-04-11,10.27,130000,-2(-1.52 %),15010,1969000000,0,0,132000,132000,130000
2007-04-12,10.19,129000,-1(-0.77 %),19880,2566000000,0,0,130000,130000,129000
2007-04-13,10.12,128000,-1(-0.78 %),13870,1743000000,0,0,123000,128000,123000
2007-04-16,9.8,124000,-4(-3.12 %),20470,2589000000,0,0,127000,127000,124000
2007-04-17,9.38,115300,-5(-4.46 %),27440,2936000000,0,0,115300,115300,115300
2007-04-18,9.81,112000,5(4.67 %),4130,455000000,0,0,107000,112000,107000
2007-04-19,10.08,115000,3(2.68 %),13440,1558000000,0,0,117000,117000,115000
2007-04-20,10.08,115000,0(0.00 %),8270,951000000,0,0,115000,115000,115000
2007-04-23,9.64,110000,-5(-4.35 %),13020,1432000000,0,0,110000,110000,110000
2007-04-24,9.2,105000,-5(-4.55 %),1300,137000000,0,0,107000,107000,105000
2007-04-25,8.94,102000,-3(-2.86 %),24650,2484000000,0,0,100000,102000,100000
2007-05-02,8.94,102000,0(0.00 %),4100,420000000,0,0,106000,106000,102000
2007-05-03,8.85,101000,-1(-0.98 %),9820,999000000,0,0,102000,102000,101000
2007-05-04,8.76,100000,-1(-0.99 %),10030,1001000000,0,0,98000,100000,98000
2007-05-07,9.2,105000,5(5.00 %),19280,1971000000,0,0,99000,105000,99000
2007-05-08,9.64,110000,5(4.76 %),32580,3584000000,0,0,110000,110000,110000
2007-05-09,9.81,112000,2(1.82 %),32130,3599000000,0,0,112000,112000,112000
2007-05-10,9.64,110000,-2(-1.79 %),1440,0,0,0,110000,110000,110000
2007-05-11,9.46,108000,-2(-1.82 %),13680,1464000000,0,0,105000,108000,105000
2007-05-14,9.46,108000,0(0.00 %),7800,847000000,0,0,110000,110000,108000
2007-05-15,9.46,108000,0(0.00 %),28550,3083000000,0,0,108000,108000,108000
2007-05-16,9.2,105000,-3(-2.78 %),13140,1380000000,0,0,105000,105000,105000
2007-05-17,9.46,108000,3(2.86 %),7810,821000000,0,0,105000,108000,105000
2007-05-18,9.38,107000,-1(-0.93 %),17090,1842000000,0,0,108000,108000,107000
2007-05-21,9.46,108000,1(0.93 %),12960,1399000000,0,0,107000,108000,107000
2007-05-22,9.81,112000,4(3.70 %),29360,3243000000,0,0,108000,112000,108000
2007-05-23,10.08,115000,3(2.68 %),39790,4608000000,0,0,117000,117000,115000
2007-05-24,9.81,112000,-3(-2.61 %),14510,0,0,0,112000,115000,112000
2007-05-25,9.64,110000,-2(-1.79 %),5790,631000000,0,0,108000,110000,108000
2007-05-28,9.55,109000,-1(-0.91 %),8460,923000000,0,0,110000,110000,108000
2007-05-29,9.55,109000,0(0.00 %),21240,2315000000,0,0,109000,109000,109000
2007-05-30,9.55,109000,0(0.00 %),6850,745000000,0,0,109000,109000,106000
2007-05-31,9.55,109000,0(0.00 %),15180,1655000000,0,0,109000,109000,109000
2007-06-01,9.38,107000,-2(-1.83 %),13700,1482000000,0,0,109000,109000,107000
2007-06-04,9.2,105000,-2(-1.87 %),22980,2413000000,0,0,105000,105000,105000
2007-06-05,9.11,104000,-1(-0.95 %),11600,1215000000,0,0,105000,105000,104000
2007-06-06,9.11,104000,0(0.00 %),24450,2545000000,0,0,105000,105000,104000
2007-06-07,9.38,107000,3(2.88 %),11450,1212000000,0,0,107000,107000,105000
2007-06-08,9.2,105000,-2(-1.87 %),17360,1833000000,0,0,107000,107000,105000
2007-06-11,9.2,105000,0(0.00 %),5650,593000000,0,0,105000,105000,105000
2007-06-12,9.64,110000,5(4.76 %),66600,7326000000,0,0,110000,110000,110000
2007-06-13,9.29,106000,-4(-3.64 %),50700,5594000000,0,0,111000,111000,106000
2007-06-14,9.73,111000,5(4.72 %),31330,3466000000,0,0,111000,111000,110000
2007-06-15,10.17,116000,5(4.50 %),102640,11906000000,0,0,116000,116000,116000
2007-06-18,10.6,121000,5(4.31 %),43590,5274000000,0,0,121000,121000,121000
2007-06-19,11.13,127000,6(4.96 %),59250,7525000000,0,0,127000,127000,127000
2007-06-20,10.87,124000,-3(-2.36 %),166010,21695000000,0,0,133000,133000,124000
2007-06-21,10.34,118000,-6(-4.84 %),52800,6363000000,0,0,124000,124000,118000
2007-06-22,10.78,123000,5(4.24 %),66420,8080000000,0,0,123000,123000,120000
2007-06-25,10.78,123000,0(0.00 %),61730,7593000000,0,0,123000,123000,123000
2007-06-26,11.13,127000,4(3.25 %),82660,10415000000,0,0,125000,127000,125000
2007-06-27,10.69,122000,-5(-3.94 %),44870,5618000000,0,0,126000,126000,122000
2007-06-28,10.43,119000,-3(-2.46 %),54400,6521000000,0,0,122000,122000,119000
2007-06-29,10.87,124000,5(4.20 %),54150,6696000000,0,0,120000,124000,120000
2007-07-02,11.39,130000,6(4.84 %),295270,38385000000,0,0,130000,130000,130000
2007-07-03,11.39,130000,0(0.00 %),147680,19198000000,0,0,130000,130000,130000
2007-07-04,11.83,135000,5(3.85 %),170140,22744000000,0,0,133000,135000,133000
2007-07-05,11.66,133000,-2(-1.48 %),91490,12316000000,0,0,135000,135000,133000
2007-07-06,12.09,138000,5(3.76 %),105860,14502000000,0,0,131000,139000,131000
2007-07-09,12.62,144000,6(4.35 %),112970,16191000000,0,0,139000,144000,139000
2007-07-10,13.23,151000,7(4.86 %),67950,10260000000,0,0,151000,151000,151000
2007-07-11,13.85,158000,7(4.64 %),81210,12831000000,0,0,158000,158000,158000
2007-07-12,13.23,151000,-7(-4.43 %),70960,10715000000,0,0,151000,151000,151000
2007-07-13,13.32,152000,1(0.66 %),66000,10115000000,0,0,154000,154000,152000
2007-07-16,12.71,145000,-7(-4.61 %),27760,4029000000,0,0,148000,148000,145000
2007-07-17,12.88,147000,2(1.38 %),33880,4939000000,0,0,145000,147000,145000
2007-07-18,12.62,144000,-3(-2.04 %),27130,3979000000,0,0,149000,149000,144000
2007-07-19,12.09,138000,-6(-4.17 %),51470,7232000000,0,0,144000,144000,138000
2007-07-20,11.92,136000,-2(-1.45 %),44490,6079000000,0,0,138000,138000,136000
2007-07-23,12.44,142000,6(4.41 %),25430,3611000000,0,0,142000,142000,142000
2007-07-24,13.06,149000,7(4.93 %),80430,11984000000,0,0,149000,149000,149000
2007-07-25,12.97,148000,-1(-0.67 %),76800,11421000000,0,0,149000,149000,148000
2007-07-26,12.36,141000,-7(-4.73 %),42130,6024000000,0,0,148000,148000,141000
2007-07-27,12.18,139000,-2(-1.42 %),12940,1804000000,0,0,141000,141000,139000
2007-07-30,11.92,136000,-3(-2.16 %),11790,1604000000,0,0,136000,138000,136000
2007-07-31,11.92,136000,0(0.00 %),50810,6953000000,0,0,137000,138000,136000
2007-08-01,12.44,142000,6(4.41 %),10800,1515000000,0,0,138000,142000,138000
2007-08-02,12.09,138000,-4(-2.82 %),18200,2556000000,0,0,142000,142000,138000
